Rk,ID,Player,Pos,Team,Opp,Week,Snaps,Snap Pct,Rush Pct,Tgt Pct,Touch Pct,Util Pct,Fantasy Points,Points/100 Snaps
237,16491,Richard Rodgers,TE,GB,DET,17,31,47,0,16,16,16,9,12.9
238,15827,R Armstrong,ILB,OAK,DEN,17,78,100,0,0,0,0,0,12.8
239,4314,Tom Brady,QB,NE,BUF,17,32,48,6,0,56,56,4.10,12.8
240,7420,Lawrence Timmons,ILB,PIT,CIN,17,71,100,0,0,0,0,0,12.7
241,13868,George Iloka,FS,CIN,PIT,17,59,100,0,0,0,0,0,12.7
242,5511,Brent Celek,TE,PHI,NYG,17,48,66,0,2,2,2,7.10,12.7
243,12116,Chris Clemons,DE,JAX,HOU,17,58,72,0,0,0,0,0,12.6
244,8649,Rashad Jennings,RB,NYG,PHI,17,43,54,23,12,30,35,8.40,12.6
245,12167,Reggie Nelson,FS,CIN,PIT,17,56,95,0,0,0,0,0,12.5
246,9810,Jonathan Casillas,OLB,NE,BUF,17,52,90,0,0,0,0,0,12.5
247,11271,Barry Church,SS,DAL,WAS,17,52,75,0,0,0,0,0,12.5
248,16687,Jackson Jeffcoat,OLB,WAS,DAL,17,48,75,0,0,0,0,0,12.5
249,10962,Jared Odrick,DE,MIA,NYJ,17,48,77,0,0,0,0,0,12.5
250,16694,Paul Richardson,WR,SEA,LA,17,48,77,0,15,10,15,11,12.5
251,204,Roddy White,WR,ATL,CAR,17,68,96,0,18,12,18,20.40,12.4
252,1286,Michael Griffin,SS,TEN,IND,17,66,100,0,0,0,0,0,12.1
253,13029,Allen Bailey,DE,KC,SD,17,63,90,0,0,0,0,0,12.1
254,9274,James Laurinaitis,ILB,LA,SEA,17,62,100,0,0,0,0,0,12.1
255,2699,Matt Forte,RB,CHI,MIN,17,61,100,28,20,41,48,15.40,12.1
256,832,Elvis Dumervil,OLB,BAL,CLE,17,33,51,0,0,0,0,0,12.1
257,14081,Dontari Poe,NT,KC,SD,17,61,87,0,0,0,0,0,12
258,13484,KJ Wright,OLB,SEA,LA,17,46,74,0,0,0,0,0,12
259,6767,Pierre Garcon,WR,WAS,DAL,17,44,64,0,11,5,11,7.30,12
260,4877,Demarcus Ware,OLB,DEN,OAK,17,25,43,0,0,0,0,0,12
261,9196,Malcolm Jenkins,S,PHI,NYG,17,80,100,0,0,0,0,0,11.9
262,7328,Peyton Manning,QB,DEN,OAK,17,71,91,1,0,54,54,9.42,11.9
263,16311,Derek Carr,QB,OAK,DEN,17,58,100,5,0,67,67,8.92,11.9
264,14856,Zach Ertz,TE,PHI,NYG,17,47,64,0,13,9,13,9.60,11.9
265,8593,Glover Quin,FS,DET,GB,17,64,97,0,0,0,0,0,11.7
266,11488,Jimmy Graham,TE,NO,TB,17,46,71,0,20,13,20,11.40,11.7
267,5467,Mario Williams,DE,BUF,NE,17,44,66,0,0,0,0,0,11.6
268,12554,Andrew Sendejo,SS,MIN,CHI,17,61,100,0,0,0,0,0,11.5
269,4490,Johnathan Joseph,CB,HOU,JAX,17,52,91,0,0,0,0,0,11.5
270,16214,Marcus Williams,CB,NYJ,MIA,17,52,74,0,0,0,0,0,11.5
271,12562,Ramon Humber,ILB,NO,TB,17,52,80,0,0,0,0,0,11.5
272,13718,Brandon Boykin,CB,PHI,NYG,17,52,65,0,0,0,0,0,11.5
273,15469,Nickell Robey,CB,BUF,NE,17,39,58,0,0,0,0,0,11.5
274,15122,Ezekiel Ansah,DE,DET,GB,17,39,59,0,0,0,0,0,11.5
275,9555,Sen'Derrick Marks,DE,JAX,HOU,17,26,32,0,0,0,0,0,11.5
276,9214,EJ Biggers,CB,WAS,DAL,17,26,41,0,0,0,0,0,11.5
277,14991,Chris Jones,DT,NE,BUF,17,26,45,0,0,0,0,0,11.5
278,13962,Jared Crick,DE,HOU,JAX,17,57,100,0,0,0,0,0,11.4
279,16283,Bradley Roby,CB,DEN,OAK,17,44,76,0,0,0,0,0,11.4
280,13285,Akeem Dent,ILB,HOU,JAX,17,35,61,0,0,0,0,0,11.4
281,15176,Paul Worrilow,ILB,ATL,CAR,17,53,100,0,0,0,0,0,11.3
282,12626,George Johnson,DE,DET,GB,17,31,47,0,0,0,0,0,11.3
283,11063,Emmanuel Sanders,WR,DEN,OAK,17,65,83,0,14,9,14,13.30,11.2
284,16640,John Brown,WR,ARI,SF,17,46,66,0,20,9,20,9.10,11.1
285,15146,Sharrif Floyd,DT,MIN,CHI,17,45,74,0,0,0,0,0,11.1
286,15119,CJ Wilson,CB,TB,NO,17,27,43,0,0,0,0,0,11.1
287,11916,Antrel Rolle,SS,NYG,PHI,17,73,100,0,0,0,0,0,11
288,2677,Jameel McClain,ILB,NYG,PHI,17,73,100,0,0,0,0,0,11
289,12581,Vincent Rey,ILB,CIN,PIT,17,59,100,0,0,0,0,0,11
290,13911,Billy Winn,DE,CLE,BAL,17,50,75,0,0,0,0,0,11
