"","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05","X2017.04.06","X2017.04.07","X2017.04.08","X2017.04.09"
"75","Jedd Gyorko_STL",0,NA,NA,NA,NA,NA,18,0
"76","Jason Heyward_CHC",5,NA,5,NA,NA,5,NA,17
"77","Eugenio Suarez_CIN",NA,2,NA,0,NA,NA,21,10
"78","Alen Hanson_PIT",NA,NA,NA,NA,NA,NA,NA,NA
"79","Aaron Altherr_PHI",NA,NA,NA,3,NA,NA,NA,NA
"80","Tony Wolters_COL",NA,10,2,0,NA,NA,NA,14
"81","Yadier Molina_STL",10,NA,3,NA,NA,0,9,3
"82","Matt Wieters_WAS",NA,5,NA,17,NA,NA,0,NA
"83","Adam Lind_WAS",NA,NA,NA,NA,NA,NA,NA,10
"84","Yasmani Grandal_LAD",NA,30,0,0,NA,NA,4,NA
"85","Chase Utley_LAD",NA,NA,NA,NA,NA,NA,0,NA
"86","Franklin Gutierrez_LAD",NA,NA,3,NA,NA,NA,NA,7
"87","Albert Almora_CHC",NA,NA,3,NA,NA,NA,17,NA
"88","Zack Cozart_CIN",NA,5,NA,8,NA,15,8,12
"89","Rhys Hoskins_PHI",NA,NA,NA,NA,NA,NA,NA,NA
"90","Cesar Hernandez_PHI",NA,14,NA,0,NA,NA,23,12
"91","Wilmer Flores_NYM",NA,NA,NA,NA,16,5,0,NA
"92","Howie Kendrick_PHI",NA,11,NA,2,NA,NA,31,9
"93","Freddy Galvis_PHI",NA,21,NA,0,NA,NA,2,8
"94","Jhonny Peralta_STL",3,NA,3,NA,NA,0,NA,0
"95","Miguel Montero_CHC",NA,NA,NA,NA,NA,NA,NA,7
"96","Jon Jay_CHC",NA,NA,NA,NA,NA,NA,NA,3
"97","Arismendy Alcantara_CIN",NA,NA,NA,NA,NA,NA,0,NA
"98","Josh Bell_PIT",NA,5,NA,0,NA,NA,NA,13
"99","Cameron Rupp_PHI",NA,0,NA,3,NA,NA,18,NA
"100","Daniel Nava_PHI",NA,NA,NA,NA,NA,NA,NA,NA
"101","Jabari Blash_SD",NA,NA,NA,NA,NA,NA,NA,NA
"102","Matt Adams_STL",NA,NA,NA,NA,NA,NA,6,3
"103","Cody Bellinger_LAD",NA,NA,NA,NA,NA,NA,NA,NA
"104","Chris Taylor_LAD",NA,NA,NA,NA,NA,NA,NA,NA
"105","Francisco Cervelli_PIT",NA,9,NA,3,NA,NA,5,NA
"106","David Freese_PIT",NA,8,NA,5,NA,NA,NA,NA
"107","Adam Frazier_PIT",NA,7,NA,3,NA,NA,5,13
"108","Jordy Mercer_PIT",NA,5,NA,0,NA,NA,7,5
"109","Travis d'Arnaud_NYM",NA,NA,NA,3,9,NA,2,NA
"110","Andrew Knapp_PHI",NA,NA,NA,NA,NA,NA,NA,9
"111","Cristhian Adames_COL",NA,NA,NA,NA,NA,NA,NA,NA
"112","Kolten Wong_STL",NA,NA,3,NA,NA,3,6,NA
"113","Ian Happ_CHC",NA,NA,NA,NA,NA,NA,NA,NA
"114","Matt Szczur_CHC",NA,NA,NA,NA,NA,NA,NA,NA
"115","Trayce Thompson_LAD",NA,NA,NA,NA,NA,NA,NA,NA
"116","John Jaso_PIT",NA,NA,NA,NA,NA,NA,2,NA
"117","Kevin Newman_PIT",NA,NA,NA,NA,NA,NA,NA,NA
"118","Jesse Winker_CIN",NA,NA,NA,NA,NA,NA,NA,NA
"119","TJ Rivera_NYM",NA,NA,NA,NA,NA,NA,NA,NA
"120","Brandon Nimmo_NYM",NA,NA,NA,NA,NA,NA,NA,NA
"121","Alexi Amarista_COL",NA,NA,NA,NA,NA,NA,NA,0
"122","Harrison Bader_STL",NA,NA,NA,NA,NA,NA,NA,NA
"123","Austin Barnes_LAD",NA,NA,NA,NA,NA,NA,NA,18
"124","Tommy La Stella_CHC",NA,NA,NA,NA,NA,NA,NA,NA
"125","Patrick Kivlehan_CIN",NA,NA,NA,NA,NA,NA,0,NA
"126","Jose Martinez_STL",NA,NA,NA,NA,NA,NA,NA,NA
"127","Stephen Drew_WAS",NA,0,NA,NA,NA,NA,NA,0
"128","Rob Segedin_LAD",NA,NA,NA,NA,NA,NA,NA,NA
"129","Brock Stassi_PHI",NA,NA,NA,NA,NA,NA,NA,NA
"130","Juan Lagares_NYM",NA,NA,NA,NA,NA,NA,NA,NA
"131","Hector Sanchez_SD",NA,NA,NA,NA,NA,NA,NA,NA
"132","Luis Torrens_SD",NA,NA,NA,NA,NA,NA,NA,NA
"133","Erick Aybar_SD",NA,NA,15,2,NA,NA,NA,3
"134","Allen Cordoba_SD",NA,NA,NA,NA,NA,NA,5,NA
"135","Wilmer Difo_WAS",NA,NA,NA,NA,NA,NA,NA,NA
"136","Greg Garcia_STL",NA,NA,NA,NA,NA,NA,NA,NA
"137","Andre Ethier_LAD",NA,NA,NA,NA,NA,NA,NA,NA
"138","Andrew Toles_LAD",NA,8,NA,2,NA,NA,14,NA
"139","Devin Mesoraco_CIN",NA,NA,NA,NA,NA,NA,NA,NA
"140","Phil Gosselin_PIT",NA,NA,NA,NA,NA,NA,NA,NA
"141","Andres Blanco_PHI",NA,NA,NA,NA,NA,NA,NA,NA
"142","Eric Fryer_STL",NA,NA,NA,NA,NA,NA,NA,NA
