"Position","Name...ID","Name","ID","Salary","GameInfo","Team","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"QB","Kevin Hogan (9505800)","Kevin Hogan",9505800,4600,"CLE@IND 01:00PM ET","CLE","IND",0,0,0,0,0,0,0,0
"WR","DeSean Jackson (9505416)","DeSean Jackson",9505416,4600,"TB@MIN 01:00PM ET","TB","MIN",11.82,12.8,0,0,0,0,0,1
"RB","Jacquizz Rodgers (9505538)","Jacquizz Rodgers",9505538,4600,"TB@MIN 01:00PM ET","TB","MIN",11.8,8.2,0,0,0,0,0,0
"WR","Jermaine Kearse (9505540)","Jermaine Kearse",9505540,4600,"MIA@NYJ 01:00PM ET","NYJ","MIA",11,11.4,0,0,0,0,0,1
"TE","Jimmy Graham (9505403)","Jimmy Graham",9505403,4600,"SEA@TEN 04:05PM ET","SEA","TEN",11.17,11.4,0,0,0,0,0,0
"WR","Tyrell Williams (9505910)","Tyrell Williams",9505910,4600,"KC@LAC 04:25PM ET","LAC","KC",10.24,11,0,0,0,0,0,1
"RB","Mark Ingram (9505530)","Mark Ingram",9505530,4500,"NO@CAR 01:00PM ET","NO","CAR",12.02,9.7,0,0,0,0,0,0
"WR","Willie Snead (9505769)","Willie Snead",9505769,4500,"NO@CAR 01:00PM ET","NO","CAR",0,0,0,0,0,0,0,1
"QB","Landry Jones (9505523)","Landry Jones",9505523,4500,"PIT@CHI 01:00PM ET","PIT","CHI",0,0,0,0,0,0,0,0
"QB","Mitchell Trubisky (9506021)","Mitchell Trubisky",9506021,4500,"PIT@CHI 01:00PM ET","CHI","PIT",0,0,0,0,0,0,0,0
"RB","James Conner (9506064)","James Conner",9506064,4500,"PIT@CHI 01:00PM ET","PIT","CHI",1.31,2.2,0,0,0,0,0,0
"WR","Mohamed Sanu (9505587)","Mohamed Sanu",9505587,4500,"ATL@DET 01:00PM ET","ATL","DET",11.06,11,0,0,0,0,0,1
"QB","Case Keenum (9505459)","Case Keenum",9505459,4500,"TB@MIN 01:00PM ET","MIN","TB",14.03,13.2,0,0,0,0,0,0
"RB","Doug Martin (9505474)","Doug Martin",9505474,4500,"TB@MIN 01:00PM ET","TB","MIN",0,0,0,0,0,0,0,0
"QB","Josh McCown (9505335)","Josh McCown",9505335,4500,"MIA@NYJ 01:00PM ET","NYJ","MIA",12.4,15.9,0,0,0,0,0,0
"QB","Matt Moore (9505350)","Matt Moore",9505350,4500,"MIA@NYJ 01:00PM ET","MIA","NYJ",0,0,0,0,0,0,0,0
"QB","Geno Smith (9505651)","Geno Smith",9505651,4500,"NYG@PHI 01:00PM ET","NYG","PHI",0,0,0,0,0,0,0,0
"RB","Joe Mixon (9506125)","Joe Mixon",9506125,4500,"CIN@GB 04:25PM ET","CIN","GB",9.31,9.2,0,0,0,0,0,0
"QB","Cardale Jones (9505933)","Cardale Jones",9505933,4500,"KC@LAC 04:25PM ET","LAC","KC",0,0,0,0,0,0,0,0
"RB","Chris Thompson (9505638)","Chris Thompson",9505638,4500,"OAK@WAS 08:30PM ET","WAS","OAK",8.88,10,0,0,0,0,0,0
"RB","Samaje Perine (9506127)","Samaje Perine",9506127,4500,"OAK@WAS 08:30PM ET","WAS","OAK",3.06,2.6,0,0,0,0,0,0
"QB","Blake Bortles (9505749)","Blake Bortles",9505749,4400,"BAL@JAX 09:30AM ET","JAX","BAL",9.28,15.3,0,0,0,0,0,0
"WR","Marqise Lee (9505805)","Marqise Lee",9505805,4400,"BAL@JAX 09:30AM ET","JAX","BAL",12.97,11.7,0,0,0,0,0,1
"QB","Ryan Fitzpatrick (9505341)","Ryan Fitzpatrick",9505341,4400,"TB@MIN 01:00PM ET","TB","MIN",0,0,0,0,0,0,0,0
"QB","Tom Savage (9505648)","Tom Savage",9505648,4400,"HOU@NE 01:00PM ET","HOU","NE",0,0,0,0,0,0,0,0
"WR","Kenny Stills (9505665)","Kenny Stills",9505665,4400,"MIA@NYJ 01:00PM ET","MIA","NYJ",10.81,8.7,0,0,0,0,0,1
"TE","Delanie Walker (9505360)","Delanie Walker",9505360,4400,"SEA@TEN 04:05PM ET","TEN","SEA",13.9,10.5,0,0,0,0,0,0
"RB","Jamaal Williams (9505985)","Jamaal Williams",9505985,4400,"CIN@GB 04:25PM ET","GB","CIN",2.35,4.9,0,0,0,0,0,0
"QB","Chad Henne (9505386)","Chad Henne",9505386,4300,"BAL@JAX 09:30AM ET","JAX","BAL",0,0,0,0,0,0,0,0
"WR","Kendall Wright (9505542)","Kendall Wright",9505542,4300,"PIT@CHI 01:00PM ET","CHI","PIT",13.31,14.3,0,0,0,0,0,1
"QB","Matt Schaub (9505381)","Matt Schaub",9505381,4300,"ATL@DET 01:00PM ET","ATL","DET",0,0,0,0,0,0,0,0
"QB","Scott Tolzien (9505441)","Scott Tolzien",9505441,4300,"CLE@IND 01:00PM ET","IND","CLE",0,0,0,0,0,0,0,0
"RB","Matt Forte (9505391)","Matt Forte",9505391,4300,"MIA@NYJ 01:00PM ET","NYJ","MIA",9.47,9.1,0,0,0,0,0,0
"QB","Nick Foles (9505515)","Nick Foles",9505515,4300,"NYG@PHI 01:00PM ET","PHI","NYG",0,0,0,0,0,0,0,0
"QB","Matt Cassel (9505336)","Matt Cassel",9505336,4300,"SEA@TEN 04:05PM ET","TEN","SEA",0,0,0,0,0,0,0,0
"QB","Austin Davis (9505505)","Austin Davis",9505505,4300,"SEA@TEN 04:05PM ET","SEA","TEN",0,0,0,0,0,0,0,0
"WR","Tyler Lockett (9505835)","Tyler Lockett",9505835,4300,"SEA@TEN 04:05PM ET","SEA","TEN",9.4,10.1,0,0,0,0,0,1
"QB","Connor Cook (9505853)","Connor Cook",9505853,4300,"OAK@WAS 08:30PM ET","OAK","WAS",0,0,0,0,0,0,0,0
"RB","Jamaal Charles (9505418)","Jamaal Charles",9505418,4200,"DEN@BUF 01:00PM ET","DEN","BUF",8.71,7.3,0,0,0,0,0,0
"QB","Brock Osweiler (9505596)","Brock Osweiler",9505596,4200,"DEN@BUF 01:00PM ET","DEN","BUF",0,0,0,0,0,0,0,0
"WR","Devin Funchess (9505995)","Devin Funchess",9505995,4200,"NO@CAR 01:00PM ET","CAR","NO",11.01,12.6,0,0,0,0,0,1
"WR","Marvin Jones Jr. (9505545)","Marvin Jones",9505545,4200,"ATL@DET 01:00PM ET","DET","ATL",11.29,8.8,0,0,0,0,0,1
"QB","Jake Rudock (9505896)","Jake Rudock",9505896,4200,"ATL@DET 01:00PM ET","DET","ATL",0,0,0,0,0,0,0,0
"RB","Frank Gore (9505337)","Frank Gore",9505337,4200,"CLE@IND 01:00PM ET","IND","CLE",13.07,9.2,0,0,0,0,0,0
"RB","Duke Johnson Jr. (9505955)","Duke Johnson",9505955,4200,"CLE@IND 01:00PM ET","CLE","IND",12.04,7.2,0,0,0,0,0,0
"TE","Kyle Rudolph (9505577)","Kyle Rudolph",9505577,4200,"TB@MIN 01:00PM ET","MIN","TB",9.12,10.3,0,0,0,0,0,0
"RB","Bilal Powell (9505513)","Bilal Powell",9505513,4200,"MIA@NYJ 01:00PM ET","NYJ","MIA",11.35,8.5,0,0,0,0,0,0
"WR","Nelson Agholor (9505944)","Nelson Agholor",9505944,4200,"NYG@PHI 01:00PM ET","PHI","NYG",9.89,7,0,0,0,0,0,1
"WR","Rishard Matthews (9505731)","Rishard Matthews",9505731,4200,"SEA@TEN 04:05PM ET","TEN","SEA",13.81,11.6,0,0,0,0,0,1
"QB","Brett Hundley (9505762)","Brett Hundley",9505762,4200,"CIN@GB 04:25PM ET","GB","CIN",0,0,0,0,0,0,0,0
"RB","Rob Kelley (9505827)","Rob Kelley",9505827,4200,"OAK@WAS 08:30PM ET","WAS","OAK",0,10.3,0,0,0,0,0,0
"WR","Ted Ginn Jr. (9505382)","Ted Ginn",9505382,4100,"NO@CAR 01:00PM ET","NO","CAR",11.51,9.6,0,0,0,0,0,1
"TE","Coby Fleener (9505493)","Coby Fleener",9505493,4100,"NO@CAR 01:00PM ET","NO","CAR",8.01,10.1,0,0,0,0,0,0
"WR","Kenny Britt (9505457)","Kenny Britt",9505457,4100,"CLE@IND 01:00PM ET","CLE","IND",9.11,8.1,0,0,0,0,0,1
"QB","Christian Hackenberg (9506090)","Christian Hackenberg",9506090,4100,"MIA@NYJ 01:00PM ET","NYJ","MIA",0,0,0,0,0,0,0,0
"WR","Paul Richardson (9505743)","Paul Richardson",9505743,4100,"SEA@TEN 04:05PM ET","SEA","TEN",7.14,8.3,0,0,0,0,0,1
"RB","Jalen Richard (9505968)","Jalen Richard",9505968,4100,"OAK@WAS 08:30PM ET","OAK","WAS",4.97,7.2,0,0,0,0,0,0
"QB","Ryan Mallett (9505466)","Ryan Mallett",9505466,4000,"BAL@JAX 09:30AM ET","BAL","JAX",0,0,0,0,0,0,0,0
"QB","Ryan Nassib (9506173)","Ryan Nassib",9506173,4000,"BAL@JAX 09:30AM ET","JAX","BAL",0,0,0,0,0,0,0,0
"QB","Joe Webb (9505409)","Joe Webb",9505409,4000,"DEN@BUF 01:00PM ET","BUF","DEN",0,0,0,0,0,0,0,0
"QB","Nathan Peterman (9505916)","Nathan Peterman",9505916,4000,"DEN@BUF 01:00PM ET","BUF","DEN",0,0,0,0,0,0,0,0
"QB","Paxton Lynch (9505967)","Paxton Lynch",9505967,4000,"DEN@BUF 01:00PM ET","DEN","BUF",0,0,0,0,0,0,0,0
"QB","Taysom Hill (9505611)","Taysom Hill",9505611,4000,"NO@CAR 01:00PM ET","NO","CAR",0,0,0,0,0,0,0,0
"RB","Alvin Kamara (9506105)","Alvin Kamara",9506105,4000,"NO@CAR 01:00PM ET","NO","CAR",9.2,9,0,0,0,0,0,0
"QB","Brad Kaaya (9506148)","Brad Kaaya",9506148,4000,"NO@CAR 01:00PM ET","CAR","NO",0,0,0,0,0,0,0,0
"QB","Mark Sanchez (9505412)","Mark Sanchez",9505412,4000,"PIT@CHI 01:00PM ET","CHI","PIT",0,0,0,0,0,0,0,0
"QB","Joshua Dobbs (9506055)","Joshua Dobbs",9506055,4000,"PIT@CHI 01:00PM ET","PIT","CHI",0,0,0,0,0,0,0,0
"WR","Taylor Gabriel (9506109)","Taylor Gabriel",9506109,4000,"ATL@DET 01:00PM ET","ATL","DET",7.18,10.9,0,0,0,0,0,1
"WR","Josh Gordon (9505614)","Josh Gordon",9505614,4000,"CLE@IND 01:00PM ET","CLE","IND",0,0,0,0,0,0,0,1
"QB","Cody Kessler (9505773)","Cody Kessler",9505773,4000,"CLE@IND 01:00PM ET","CLE","IND",0,0,0,0,0,0,0,0
"WR","Rashard Higgins (9506058)","Rashard Higgins",9506058,4000,"CLE@IND 01:00PM ET","CLE","IND",10.69,9.4,0,0,0,0,0,1
"RB","Jerick McKinnon (9505752)","Jerick McKinnon",9505752,4000,"TB@MIN 01:00PM ET","MIN","TB",4.57,4.9,0,0,0,0,0,0
"QB","Kyle Sloter (9505970)","Kyle Sloter",9505970,4000,"TB@MIN 01:00PM ET","MIN","TB",0,0,0,0,0,0,0,0
"RB","Rex Burkhead (9505601)","Rex Burkhead",9505601,4000,"HOU@NE 01:00PM ET","NE","HOU",0,0,0,0,0,0,0,0
"WR","Phillip Dorsett (9505798)","Phillip Dorsett",9505798,4000,"HOU@NE 01:00PM ET","NE","HOU",2.74,3.5,0,0,0,0,0,1
"RB","D'Onta Foreman (9506153)","D'Onta Foreman",9506153,4000,"HOU@NE 01:00PM ET","HOU","NE",6.58,4,0,0,0,0,0,0
"QB","Bryce Petty (9505616)","Bryce Petty",9505616,4000,"MIA@NYJ 01:00PM ET","NYJ","MIA",0,1,0,0,0,0,0,0
"RB","Kenyan Drake (9505979)","Kenyan Drake",9505979,4000,"MIA@NYJ 01:00PM ET","MIA","NYJ",1.59,4.5,0,0,0,0,0,0
"RB","Shane Vereen (9505509)","Shane Vereen",9505509,4000,"NYG@PHI 01:00PM ET","NYG","PHI",8.67,8.3,0,0,0,0,0,0
