"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08"
"Brandon Nimmo_NYM",NA,NA,NA,NA,NA,NA,NA
"Cristhian Adames_COL",NA,NA,NA,NA,NA,NA,NA
"Aaron Hill_SF",NA,NA,NA,NA,16,NA,NA
"Travis Jankowski_SD",NA,5,4,2,NA,NA,NA
"Mike Zunino_SEA",NA,NA,3,5,NA,3,5
"Ben Gamel_SEA",NA,NA,NA,NA,NA,NA,NA
"Guillermo Heredia_SEA",NA,NA,NA,NA,NA,0,NA
"Derek Dietrich_MIA",NA,0,NA,4,NA,21,2
"Juan Lagares_NYM",NA,NA,NA,NA,NA,NA,NA
"Adam Rosales_OAK",NA,NA,NA,NA,NA,NA,NA
"Hanser Alberto_TEX",NA,NA,NA,NA,NA,NA,NA
"Chris Iannetta_ARI",NA,NA,NA,5,NA,2,NA
"Roberto Perez_CLE",NA,NA,NA,5,NA,NA,0
"Alexi Amarista_COL",NA,NA,NA,NA,NA,NA,NA
"Christian Bethancourt_SD",NA,NA,NA,NA,NA,NA,NA
"Austin Hedges_SD",NA,0,0,2,NA,NA,2
"Chris Marrero_SF",NA,NA,2,NA,0,NA,NA
"Conor Gillaspie_SF",NA,NA,NA,NA,NA,NA,NA
"Gorkys Hernandez_SF",NA,NA,20,0,0,NA,NA
"Shawn O'Malley_SEA",NA,NA,NA,NA,NA,NA,NA
"Destin Hood_MIA",NA,NA,NA,NA,NA,NA,NA
"Daniel Descalso_ARI",NA,NA,NA,NA,3,NA,NA
"Carlos Ruiz_SEA",NA,NA,NA,NA,4,NA,NA
"Martin Maldonado_LAA",NA,NA,9,5,NA,8,3
"Tyler Moore_MIA",NA,NA,NA,NA,NA,NA,NA
"Adeiny Hechavarria_MIA",NA,0,NA,3,NA,2,8
"Ichiro Suzuki_MIA",NA,NA,NA,NA,NA,NA,NA
"Nick Ahmed_ARI",NA,NA,NA,7,NA,5,NA
"Luis Sardinas_SD",NA,NA,NA,NA,NA,NA,3
"Jabari Blash_SD",NA,NA,NA,NA,NA,NA,NA
"Carlos Perez_LAA",NA,NA,NA,NA,NA,NA,NA
"Rene Rivera_NYM",NA,3,NA,NA,NA,8,NA
"AJ Ellis_MIA",NA,NA,NA,NA,NA,2,NA
"Ty Kelly_NYM",NA,NA,NA,NA,NA,NA,NA
"Jeff Mathis_ARI",18,NA,0,NA,4,NA,5
"Cliff Pennington_LAA",NA,NA,NA,NA,NA,NA,NA
"Miguel Rojas_MIA",NA,NA,NA,NA,NA,NA,15
"Hector Sanchez_SD",NA,NA,NA,NA,NA,NA,NA
"Luis Torrens_SD",NA,NA,NA,NA,NA,NA,NA
"Erick Aybar_SD",NA,NA,15,2,NA,NA,NA
"Allen Cordoba_SD",NA,NA,NA,NA,NA,NA,5
