Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fantasy Points
133,13852,Bobby Rainey,RB,12,TB,DET,0,0,0,57,0,2,8,0,8.50
134,14895,Geno Smith,QB,12,NYJ,BAL,172,0,0,16,0,0,0,0,8.48
135,12800,Bilal Powell,RB,12,NYJ,BAL,0,0,0,39,0,3,14,0,8.30
136,13981,DeVier Posey,WR,12,HOU,JAX,0,0,0,0,0,4,43,0,8.30
137,15746,Matt McGloin,QB,12,OAK,TEN,107,1,0,-1,0,0,0,0,8.18
138,14973,Markus Wheaton,WR,12,PIT,CLE,0,0,0,0,0,4,41,0,8.10
139,5537,Josh Morgan,WR,12,WAS,SF,0,0,0,0,0,4,41,0,8.10
140,12816,Tandon Doss,WR,12,BAL,NYJ,0,0,0,0,0,3,50,0,8
141,13264,Andre Holmes,WR,12,OAK,TEN,0,0,0,0,0,3,49,0,7.90
142,8664,Tiquan Underwood,WR,12,TB,DET,0,0,0,0,0,3,49,0,7.90
143,1944,Santana Moss,WR,12,WAS,SF,0,0,0,5,0,3,44,0,7.90
144,7451,Willis McGahee,RB,12,CLE,PIT,0,0,0,56,0,2,2,0,7.80
145,11565,Andre Roberts,WR,12,ARI,IND,0,0,0,0,0,4,37,0,7.70
146,5100,Jacoby Jones,WR,12,BAL,NYJ,0,0,0,1,0,4,35,0,7.60
147,8604,Donald Brown,RB,12,IND,ARI,0,0,0,30,0,2,25,0,7.50
148,12874,Greg Little,WR,12,CLE,PIT,0,0,0,0,0,3,45,0,7.50
149,12239,Chris Ivory,RB,12,NYJ,BAL,0,0,0,74,0,0,0,0,7.40
150,14242,Rueben Randle,WR,12,NYG,DAL,0,0,0,0,0,3,42,0,7.20
151,11230,Jacoby Ford,WR,12,OAK,TEN,0,0,0,5,0,3,37,0,7.20
152,15072,Mychal Rivera,TE,12,OAK,TEN,0,0,0,0,0,4,31,0,7.10
153,12109,Ted Ginn,WR,12,CAR,MIA,0,0,0,0,0,3,39,0,6.90
154,15215,Tavon Austin,WR,12,LA,CHI,0,0,0,2,0,2,46,0,6.80
155,12153,Ed Dickson,TE,12,BAL,NYJ,0,0,0,0,0,3,38,0,6.80
156,8771,Darrius Heyward-Bey,WR,12,IND,ARI,0,0,0,8,0,3,30,0,6.80
157,14715,Chris Owusu,WR,12,TB,DET,0,0,0,0,0,3,38,0,6.80
158,15479,Marlon Brown,WR,12,BAL,NYJ,0,0,0,0,0,3,36,0,6.60
159,15196,Kenny Stills,WR,12,NO,ATL,0,0,0,0,0,2,45,0,6.50
160,15616,Fozzy Whittaker,RB,12,CLE,PIT,0,0,0,11,0,3,24,0,6.50
161,7857,Jerome Simpson,WR,12,MIN,GB,0,0,0,0,0,3,35,0,6.50
162,13337,Mark Ingram,RB,12,NO,ATL,0,0,0,50,0,1,4,0,6.40
163,14152,James Hanna,TE,12,DAL,NYG,0,0,0,0,0,4,23,0,6.30
164,3931,Rashard Mendenhall,RB,12,ARI,IND,0,0,0,36,0,2,6,0,6.20
165,12323,Joique Bell,RB,12,DET,TB,0,0,0,32,0,1,19,0,6.10
166,1545,Anthony Fasano,TE,12,KC,SD,0,0,0,0,0,3,31,0,6.10
167,15367,Tim Wright,TE,12,TB,DET,0,0,0,0,0,3,31,0,6.10
168,7580,DeAngelo Williams,RB,12,CAR,MIA,0,0,0,39,0,1,10,0,5.90
169,5451,Jonathan Stewart,RB,12,CAR,MIA,0,0,0,36,0,1,13,0,5.90
170,14687,Bernard Pierce,RB,12,BAL,NYJ,0,0,0,26,0,2,13,0,5.90
171,11345,Logan Paulsen,TE,12,WAS,SF,0,0,0,0,0,3,29,0,5.90
172,15088,Terrance Williams,WR,12,DAL,NYG,0,0,0,0,0,2,38,0,5.80
173,14141,Cole Beasley,WR,12,DAL,NYG,0,0,0,0,0,3,28,0,5.80
174,15163,Darius Johnson,WR,12,ATL,NO,0,0,0,0,0,3,26,0,5.60
175,13817,Stephen Hill,WR,12,NYJ,BAL,0,0,0,0,0,2,33,0,5.30
176,254,Davone Bess,WR,12,CLE,PIT,0,0,0,0,0,3,23,0,5.30
177,4104,Jerricho Cotchery,WR,12,PIT,CLE,0,0,0,0,0,2,32,0,5.20
178,7389,Eddie Royal,WR,12,SD,KC,0,0,0,0,0,2,32,0,5.20
