"Mike Trout_LAA","Paul Goldschmidt_Ari","Wil Myers_SD","AJ Pollock_Ari","Albert Pujols_LAA","Jake Lamb_Ari","Yasmany Tomas_Ari","Corey Seager_LAD","Ryan Schimpf_SD","Kole Calhoun_LAA","Yangervis Solarte_SD","David Peralta_Ari","Cameron Maybin_LAA","Manuel Margot_SD","CJ Cron_LAA","Khris Davis_Oak","Brandon Drury_Ari","Chris Owings_Ari","Alex Dickerson_SD","Hunter Renfroe_SD","Luis Valbuena_LAA","Cory Spangenberg_SD","Jefry Marte_LAA","Rajai Davis_Oak","Jeremy Hazelbaker_Ari","Adrian Gonzalez_LAD","Hunter Pence_SF","Yasiel Puig_LAD","Chris Herrmann_Ari","Travis Jankowski_SD","Buster Posey_SF","Logan Forsythe_LAD","Justin Turner_LAD","Joc Pederson_LAD","Trevor Plouffe_Oak","Yunel Escobar_LAA","Ben Revere_LAA","Socrates Brito_Ari","Brandon Belt_SF","Eduardo Nunez_SF","Ryon Healy_Oak","Marcus Semien_Oak","Andrelton Simmons_LAA","Yasmani Grandal_LAD","Chase Utley_LAD","Kike Hernandez_LAD","Franklin Gutierrez_LAD","Denard Span_SF","Danny Espinosa_LAA","Scott Van Slyke_LAD","Joe Panik_SF","Stephen Vogt_Oak","Christian Bethancourt_SD","Austin Hedges_SD","Cody Bellinger_LAD","Chris Taylor_LAD","Brandon Crawford_SF","Josh Phegley_Oak","Mark Canha_Oak","Chris Iannetta_Ari","Erick Aybar_SD","Trayce Thompson_LAD","Yonder Alonso_Oak","Daniel Descalso_Ari","Luis Sardinas_SD","Allen Cordoba_SD","Austin Barnes_LAD","Jarrett Parker_SF","Andrew Toles_LAD","Jed Lowrie_Oak","Nick Ahmed_Ari","Jabari Blash_SD","Nick Hundley_SF","Rob Segedin_LAD","Jake Smolinski_Oak","Hector Sanchez_SD","Andre Ethier_LAD","Mac Williamson_SF","Martin Maldonado_LAA","Juan Graterol_LAA","Bruce Maxwell_Oak","Kelby Tomlinson_SF","Carlos Perez_LAA","Matt Joyce_Oak","Jeff Mathis_Ari","Gorkys Hernandez_SF","Adam Rosales_Oak","Luis Torrens_SD","Conor Gillaspie_SF","Cliff Pennington_LAA","Chad Pinder_Oak","Jaff Decker_Oak","Matt Olson_Oak","Tim Federowicz_SF","Aaron Hill_SF","Chris Marrero_SF","Brett Eibner_LAD"
0,-4.33333333333333,0,0,0,4.33333333333333,0,0,0,0,0,52,0,0,0,0,75.8333333333333,0,0,0,0,0,0,0,56.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8.11538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1923076923077,0,1.92307692307692,0,0,0,-4.85714285714286,11.6818181818182,11.6666666666667,0,0,0,0,0,0,0,0,0,23.5454545454545,-7.6,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5661764705882,0,0,0,4.26363636363636,0,0,0,0,0,0,0,5.575,16.6666666666667,0,0,0,0,0,0,0,4.25555555555556,0,0,7.84583333333333,0,0,0,0,0,17.2857142857143,0,0,0,0,0,0,0,0,0,0,2.97619047619048,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,8.33333333333333,0,0,0,0,0,-22,16.8571428571429,0
0,0,0,0,0,0,0,20.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92307692307692,0,68.1397058823529,0,0,0,19.1111111111111,21.5047619047619,-2.61818181818182,0,0,0,0,0,0,0,0,0,6.96703296703297,-1,0,-1,0,0,-11.5,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,72,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39.6666666666667,0,-6.08333333333333,0,50.1,110,0,0,0,0,79.35,0,0,0,0,8.33333333333333,-40.6666666666667,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-12.1590909090909,0,0,0,0,0,-2.02272727272727,0,-2.54545454545455,0,0,-4.34545454545455,0,0,0,0,0,-5.86363636363636,0,0,0,0,0,0,0,0,0,11.4772727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.1555555555556,0,0,0,0,0,0,2.91111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26363636363636,0,0,0,10.969696969697,0,0,0,0,0,0,0,9.21212121212121,-3.21212121212121,0,0,0,0,0,0,0,-4.2,0,0,1.4,0,0,0,0,0,0.303030303030303,0,0,0,0,0,0,0,0,0,0,-6.41666666666667,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-13,0,0,0,0,0,0,0,0,63,-4.9,0
0,0,0,0,0,0,0,22.5555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.85714285714286,0,19.1111111111111,0,0,0,21.5555555555556,7.19444444444444,20.6333333333333,0,0,0,0,0,0,0,0,0,25.5714285714286,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,25.6593406593407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6818181818182,0,21.5047619047619,0,0,0,7.19444444444444,25.2666666666667,19.9333333333333,0,0,0,0,0,0,0,0,0,26.5151515151515,-1.8,0,0.5,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10.1964285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,42.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6666666666667,0,-2.61818181818182,0,0,0,20.6333333333333,19.9333333333333,40.3636363636364,0,0,0,0,0,0,0,0,0,54.8888888888889,-3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,-7.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
