"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
12,"0",4200,22.8,0.02,-0.3,-0.02,0,0,0,0,0,7,5.3,5.1,0.7,8.8,15.3,11.7,9,5.7,17.6,11.2,13,24,5.6,8,6.2,10.2,13.2,16,7.7,13.8,24.3,33,47,5,0.155629139072848,3,3,1,0
7,"0",4100,20,0.08,-0.25,0.18,1.7,1.8,2,0.4,4.5,7,8.3,7.7,0.9,4.8,10.4,10.9,17,2.8,19,13.6,21,21,5.5,10.6,21.4,2.8,15.5,5.6,22.7,0,2.8,37,65,2,0.22887323943662,2,1,3,0
0,"0",4100,22.8,0.02,-0.3,-0.02,0.3,0.2,0,0,15,4.7,4.5,4.1,0.2,11.7,10.5,11.2,7,-0.3,22.7,7.3,13,24,0,0,0,3.4,1.9,30.3,3.2,19.9,8.4,19,26,2,0.0860927152317881,5,6,4,0
1,"0",4000,26.8,-0.02,-0.2,-0.05,0,0.3,0,0,2.5,3.3,5.1,4.8,0.5,10.4,0.5,9.7,8,-1.7,21.2,8.4,8,8,7.6,12.3,8,13.8,34.9,0,1.4,0,0,20,39,2,0.120743034055728,4,3,4,0
0,"0",4000,24.5,0.09,-0.13,0,0,0.1,0,0,-2,4,5.5,5.8,1,8.6,9.7,11.2,9,3.1,19.3,8,12,20,13.1,6.9,5.2,8.4,26.8,9.3,18.3,1.6,0,28,47,4,0.157190635451505,3,2,1,0
0,"0",3900,25.8,0.08,0.36,0.12,0,0,0,0,0,4.7,3.1,2.1,0.1,6.2,6.9,3.7,3,-0.1,7.5,3.7,32,25,3.4,0,1.5,3.9,0,10.4,8.5,0,1.9,16,29,0,0.0855457227138643,6,5,5,0
2,"0",3900,22.5,-0.23,0.17,-0.27,0.3,0.1,0.2,0,11,6.3,6.1,5.6,0.8,9,12.1,10.2,11,4.3,16.1,7.8,5,3,4.2,12.5,9.4,6.8,0,12.1,20.7,2.1,13.5,36,51,0,0.149122807017544,2,3,9,0
4,"0",3800,20.5,0.16,-0.28,0.05,1.7,1,0,0,5.6,4,3.5,5.6,0.9,8.4,13.6,9.2,10,2.9,15.5,10.5,26,28,7.9,2.7,5.3,13.2,0,4,13.1,21.5,6.2,22,28,4,0.096551724137931,4,4,1,1
1,"0",3800,19.8,0,0.15,-0.07,0,0,0,0,0,5.3,5.1,3.9,0.5,10.5,8.3,10.2,7,2.4,17.9,8.4,16,9,9.4,8.1,5.9,4.1,28.7,0,7.2,7,10.8,30,41,1,0.144366197183099,3,3,4,0
0,"0",3800,16.3,-0.19,-0.05,-0.15,0,0,0,0,0,4,4.4,4.5,0.4,6.2,7.7,6.1,8,-0.1,12.3,8,1,5,3.3,14.5,6.5,1.3,0,16.6,2.7,0,3.8,15,35,2,0.14,4,3,2,0
1,"1",3800,30.3,-0.08,0.79,-0.01,0,0,0,0,0,4,6.1,3.5,1,6,7.2,9,5,4.8,13.1,6.5,31,27,9.1,8.8,10.5,12.6,0,10.2,11.5,0,0,21,44,3,0.131736526946108,4,4,2,0
1,"0",3700,20,0.08,-0.25,0.18,0,0,0,0,0,6.7,4.8,4.6,0.4,10.7,11,10.3,8,4.5,16.1,7.3,21,21,5.3,1.8,13.3,20.9,8.1,11.1,13.2,0,8.8,24,38,3,0.133802816901408,5,4,1,0
0,"0",3700,23.5,-0.02,0.16,0.08,0.7,0.8,0,0,6,7,4.9,4.7,0.1,7.3,10.1,6.8,8,2.9,10.6,8.7,11,25,3.5,6.6,9.7,3.4,0.5,11,0,10.3,9,25,39,1,0.131313131313131,3,3,4,0
0,"0",3700,23.8,0.12,0.09,0.1,0,0,0.2,0,0,7.3,6.2,4.8,1.2,9.1,15.9,14,8,6.4,21.5,9.7,29,30,15.7,15.2,5.1,27.1,11.3,9.4,0,0,0,30,38,2,0.128378378378378,3,4,2,0
0,"0",3700,21.3,-0.04,-0.06,0.18,0.3,0.3,0,0,6.5,4.7,5.6,5.4,0.3,7.5,9.6,9.5,8,2.6,16.4,9.6,14,32,7.1,12.7,22,1.4,4.1,0,4.3,8.8,15.6,35,51,1,0.160377358490566,2,2,4,0
2,"0",3700,22.3,0.12,-0.21,0.1,0,0,0,0,0,4,4.1,5,0.3,9.9,9.8,8.8,8,0.6,17.1,8.5,22,17,2.6,11.9,12.6,14.4,0,3.2,24,0,2.1,19,33,3,0.136929460580913,3,3,1,0
0,"0",3700,16.3,-0.19,-0.05,-0.15,0,0,0,0,0,6,7.9,6.6,0.6,5.6,4,10.4,11,1.3,19.5,9.9,1,5,0,5.9,4.4,20.8,27.2,3.2,3.5,0,5.2,34,63,2,0.252,1,1,2,1
1,"0",3600,22.3,-0.14,-0.14,-0.29,0,0,0,0,0,7.7,6.9,6.5,1,7.2,10.2,10.2,11,5.8,14.6,11,2,2,11.1,4.5,10.9,7.9,16.6,13.7,4.2,12.7,0,37,58,1,0.175226586102719,3,3,3,0
0,"0",3600,25.8,0.08,0.36,0.12,0,0.1,0.3,0,2,5.7,4.8,3.3,0.3,5.7,5.4,4.9,6,3.1,6.6,5.9,32,25,4.5,5.2,4.4,5.4,3.1,7.8,2.1,0,6.3,17,38,1,0.112094395280236,5,4,2,0
0,"0",3600,23.8,0.08,-0.08,-0.1,0,0,0,0,0,5,4.9,4.1,0.3,10.4,6.6,9.2,7,5,13.4,7.6,15,4,6.4,0,11.8,14.4,12,11.5,0,4.5,3.9,24,36,1,0.140077821011673,3,4,5,0
0,"0",3600,21,0,-0.06,-0.11,0.3,0.3,0,0,7.5,2.7,3.5,4.2,0.4,7.6,4.8,5.1,7,1,9.3,7.8,9,6,4.7,13.9,0,2.3,0,5.5,3.3,7.2,4,20,32,0,0.118081180811808,4,4,5,0
0,"0",3500,23.8,0.08,-0.08,-0.1,0,0,0,0,0,2.3,2.9,1.1,0.6,5.4,4.6,4.4,2,-0.7,9.6,1.9,15,4,2.6,0,0,15.1,4,9,0,2.9,1.9,12,23,3,0.0894941634241245,6,5,2,0
6,"0",3500,26.8,-0.02,-0.2,-0.05,0,0,0,0,0,6.7,6,5.9,0.4,7.9,10.7,10.4,10,2.6,18.2,9.4,8,8,17.9,1.9,5.2,0,0,7.5,0,0,19.3,19,29,1,0.0897832817337461,5,5,5,0
2,"0",3500,20.5,0.16,-0.28,0.05,0,0,0,0,0,3.7,4.8,6,0.8,8.3,6.5,7.2,10,4.2,10.1,9.4,26,28,8.3,3.5,7.4,13,0,5.6,4.9,8.9,5.8,26,42,0,0.144827586206897,3,3,6,0
0,"0",3400,23.3,-0.1,-0.01,-0.07,0.7,0.3,0,0.2,12,3.3,3,3.3,0.2,12.6,12,8.8,6,2,15.7,5.5,7,14,0,0,0,0,0,0,0,0,0,16,19,1,0.059375,6,6,8,0
3,"0",3400,19.8,0,0.15,-0.07,0,0.5,0,0,3.8,6,4,4.5,0.5,7.5,12.3,8,8,1.2,14.9,8,16,9,2.4,-0.2,1.8,9,14.6,0,19.7,6.6,10.5,27,33,2,0.116197183098592,4,4,2,0
10,"0",3400,26.3,-0.08,0.26,0.02,0,0,0,0,0,7.3,5.2,6.4,0.3,7.8,10.5,8.1,10,-0.5,16.6,10.8,18,26,1.6,1.7,6.2,28,1.3,2.1,8.8,11.2,11.6,29,52,1,0.157575757575758,3,3,6,0
0,"0",3300,20.5,0.16,-0.28,0.05,0.3,0.2,0,0.2,-5,3.3,4.3,6.4,0.5,5.2,5.9,5.7,11,1.1,10.3,11.9,26,28,3.1,3.1,0,10.2,0,3.6,1.4,0,12.7,15,26,1,0.0896551724137931,7,5,4,0
0,"0",3300,23.5,0.04,0.08,-0.14,0,0,0,0,0,2,2,0.6,0.3,10.2,7,7,1,2.4,11.7,1.1,24,6,0,0,0,0,0,9.4,1.7,0,10,3,7,2,0.0222929936305732,11,10,3,0
0,"0",3200,18.3,-0.09,-0.29,0.06,0,0.2,0.2,0,0,5.3,4.4,3.2,1,5.9,9.1,7.3,6,0.8,13.8,5.6,7,29,-0.1,5.8,3.5,5.8,15.6,7.8,3.9,20.1,3.3,24,41,3,0.125382262996942,4,4,2,0
0,"0",3200,23.5,-0.02,0.16,0.08,0,0,0,0,0,5,4,4.1,0.6,6.4,7.8,6.1,7,1.6,10.6,6.2,11,25,1.9,9.9,0,7.6,0,12.8,0,6.8,3.8,11,32,2,0.107744107744108,6,5,3,0
0,"0",3200,28.5,-0.03,-0.08,-0.06,0,0,0.3,0,0,2,2.5,3.3,0.6,9.6,5.6,6.5,6,-0.2,13.2,7.8,6,9,7.8,20,4.3,0,3.1,5,0,11.9,0,16,21,3,0.0777777777777778,6,6,2,0
0,"0",3200,19,-0.06,-0.08,0.04,0,0,0,0,0,1.3,2.1,2.7,0.3,8.9,5,3.8,4,-1.7,9.2,4.2,10,18,0,6.5,2.9,0,0,2.1,0,0,14.9,9,17,2,0.0536277602523659,8,7,2,0
7,"0",3100,25.3,0.16,-0.15,0.27,0,0.1,0,0,5,5.7,5.4,5.7,1.3,6,5.5,7.2,9,3.3,11,9.1,30,31,15.7,8.2,5.1,0,5.2,6.4,3,5.5,8.1,26,45,1,0.168539325842697,2,2,2,0
0,"0",3100,25.8,0.05,-0.1,0.1,0,0,0,0,0,3.7,2.6,0.8,0.4,6,6.5,4.6,2,-0.4,9.5,1.3,19,10,0,0,0,0,0,3.4,2.9,13,3.5,9,13,1,0.0392749244712991,6,6,4,0
1,"0",3000,19.5,-0.13,0.08,0,0,0.2,0.3,0.2,-2,2.3,2.3,5.3,1,3.7,2.7,2.2,9,0.5,3.9,7.8,20,20,1.6,1.1,0,0,2.2,3.3,0,4.8,0,8,13,0,0.0437710437710438,7,7,5,0
0,"0",3000,22.5,-0.23,0.17,-0.27,0,0,0,0,0,1,1.6,0,0.2,4,1.2,1.4,0,0.6,2.2,0,5,3,1.9,1.7,0,1.8,0,0,1.8,0,0,5,7,0,0.0204678362573099,8,9,9,0
0,"0",3000,23.5,0.18,0.01,-0.01,0,0.1,0,0,0,3,3.1,2.9,0.2,6.6,5.8,4.5,5,0.1,8.9,5.4,27,12,0,5.4,0,4.5,4.4,8.9,1.8,1.9,13.6,17,27,1,0.0865384615384615,3,3,4,0
0,"0",3000,23.5,0.18,0.01,-0.01,0,0,0,0,0,1,2.3,1,0.1,3.7,1,2.8,2,-1,6.7,2,27,12,0,0,2.3,0,3.3,11.2,1.7,0,1.4,8,16,1,0.0512820512820513,7,7,4,0
0,"0",3000,26.5,-0.24,0.19,-0.41,0,0,0,0,0,1.7,3.1,0.7,0.7,8.9,6.3,6.1,1,1.7,10.4,1.1,3,1,0,3.5,14.8,3.7,0,1.6,8,6.4,4.5,17,21,1,0.06,7,7,6,0
0,"0",3000,19,-0.06,-0.08,0.04,0.3,0.1,0,0,30,5,4.4,4.7,0.4,6.5,8.4,6,8,3.1,8.9,7.8,10,18,0,0,5.4,3.2,2,6.4,10.1,6.1,8.9,20,31,1,0.0977917981072555,5,4,5,0
0,"0",3000,20,0.08,-0.25,0.18,0,0,0,0,0,1,1,0,0,1.5,0.7,0.7,0,-0.3,1.6,0,21,21,0,0,0,0,0,0,0,0,1.3,1,1,0,0.00352112676056338,10,11,5,0
0,"0",3000,23.3,-0.1,-0.01,-0.07,0,0,0,0,0,2,1.9,0.9,0.4,6.4,3.6,4.3,2,0.4,8.2,1.6,7,14,1,7.8,10.6,0,0,6,2.6,2.3,0,10,13,2,0.040625,8,9,4,0
0,"0",3000,25.3,0.16,-0.15,0.27,0,0,0,0,0,6,4.5,5,0.9,5.4,6.4,5.4,8,2,8.9,8.2,30,31,0,3.8,6.3,0,7.3,3.3,8.8,10.5,0,20,39,1,0.146067415730337,5,3,2,0
0,"0",3000,23.5,-0.02,0.16,0.08,0,0,0,0,0,3.7,4.4,2.4,0.6,5.5,2.6,5.4,4,0.4,10.3,4.4,11,25,2.1,4.5,9.7,15.8,3.3,4.3,0,1.3,2.1,19,35,1,0.117845117845118,5,4,4,0
0,"0",3000,23.8,0.12,0.09,0.1,0.3,0.2,0,0,7,2,1.4,0.6,0,7.1,2.4,1.9,1,-0.1,4,0,29,30,0,0,0,0,2.4,0.7,5.2,1.4,0,4,7,0,0.0236486486486486,8,8,6,0
1,"0",3000,21.3,-0.04,-0.06,0.18,0,0,0,0,0,3.3,3.3,4.6,0,3.2,1.7,1.7,7,0.2,3.3,8,14,32,0,0,0,0,0,0,0,0,0,2,11,0,0.0345911949685535,12,8,7,0
0,"0",3000,19.8,0,0.15,-0.07,0,0,0,0,0,1.3,2.4,0.9,0,5.3,0.6,2.1,2,-0.9,5.2,1.7,16,9,1.5,3.5,0,9,1.2,0,0,0,1.9,7,20,0,0.0704225352112676,7,6,5,0
0,"0",3000,22.3,-0.14,-0.14,-0.29,0,0,0,0,0,1.7,1.3,4.6,0.2,3.4,1.4,1,8,-0.2,2.1,6.7,2,2,0,1.5,0,0,0,0,1.5,2.7,0,4,10,0,0.0302114803625378,8,8,8,0
3,"0",3000,22.8,0.02,-0.3,-0.02,0,0.1,0,0.1,1,5,6,4.4,0.4,5.9,7.3,6.5,8,2,11.1,9.2,13,24,14.6,7.3,7.8,3.5,3.7,0.1,9.9,2.1,9.8,28,61,0,0.201986754966887,4,1,9,0
1,"0",3000,16.3,-0.19,-0.05,-0.15,0,0,0,0,0,6.7,5,4.5,0.5,7.3,11,7.2,8,1.2,13.1,6.5,1,5,11,5.5,1.8,2.3,3.6,9.2,4.3,0,19.6,26,41,0,0.164,2,2,6,0
0,"0",3000,26.8,-0.02,-0.2,-0.05,0,0,0,0,0,3,3,1.2,0,8,6.1,6.1,2,0.2,11.9,2.1,8,8,0,0,0,0,0,0,6.6,0,0,5,9,1,0.0278637770897833,9,10,5,0
1,"0",3000,21,0,-0.06,-0.11,0,0,0,0,0,5,4.8,4.8,0.5,7.4,7.8,6.5,8,3.7,9.3,8.6,9,6,10.7,3.1,3.1,5.3,0,6.5,8.1,9.7,5.6,26,40,0,0.14760147601476,3,3,5,0
0,"0",3000,21,0,-0.06,-0.11,0,0,0,0,0,2,2.1,1.6,0.1,8.7,3.3,3.2,3,1,5.4,3.8,9,6,2.1,6.5,0,3.7,0,0,2,5.3,2.5,9,16,0,0.0590405904059041,6,6,5,0
0,"0",3000,24.5,0.09,-0.13,0,0.3,0.1,0.3,0,3,5,4.8,4.4,0.4,7.4,7.4,6.6,7,2.3,10.9,7.1,12,20,4.4,12.8,4.8,2,6.3,11.9,1.3,9.1,0,25,38,0,0.127090301003344,4,4,5,0
