Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
258,15263,Luke Willson,TE,1,SEA,MIA,26,7,2700,4.2
259,18014,Leonte Carroo,WR,1,MIA,SEA,1,3,3200,4.2
260,16063,Quincy Enunwa,WR,1,NYJ,CIN,5,12,3800,4.2
261,16917,CJ Uzomah,TE,1,CIN,NYJ,6,3,2500,4.2
262,18451,Rob Kelley,RB,1,WAS,PIT,18,3,4300,4.1
263,5511,Brent Celek,TE,1,PHI,CLE,28,14,2700,4
264,16553,Corey Brown,WR,1,CAR,DEN,2,1,3000,4
265,17290,Adam Humphries,WR,1,TB,ATL,10,2,3000,4
266,14533,Robert Turbin,RB,1,IND,DET,23,22,3000,3.9
267,16567,Brandon Coleman,WR,1,NO,OAK,20,11,3000,3.9
268,15305,Demetrius Harris,TE,1,KC,SD,16,21,2500,3.9
269,16189,Alfred Blue,RB,1,HOU,CHI,17,23,3600,3.8
270,13117,Dwayne Harris,WR,1,NYG,DAL,14,7,3600,3.8
271,18067,Jordan Howard,RB,1,CHI,HOU,4,10,3700,3.8
272,16491,Richard Rodgers,TE,1,GB,JAX,29,27,3100,3.7
273,12551,Jordan Norwood,WR,1,DEN,CAR,3,9,3000,3.7
274,13741,Brandon Bolden,RB,1,NE,ARI,8,7,3000,3.6
275,16699,Fitzgerald Toussaint,RB,1,PIT,WAS,24,17,3500,3.6
276,17975,Hunter Henry,TE,1,SD,KC,7,1,2500,3.6
277,14424,Brian Quick,WR,1,LA,SF,25,18,3500,3.6
278,16878,Blake Bell,TE,1,SF,LA,13,20,2500,3.6
279,14496,Garrett Celek,TE,1,SF,LA,13,20,2700,3.6
280,14872,Mike Gillislee,RB,1,BUF,BAL,19,6,3800,3.5
281,18041,Tyler Ervin,RB,1,HOU,CHI,17,23,3000,3.5
282,16899,Rashad Greene,WR,1,JAX,GB,9,13,3500,3.5
283,16694,Paul Richardson,WR,1,SEA,MIA,26,19,3000,3.5
284,18032,Tyler Higbee,TE,1,LA,SF,25,10,2500,3.4
285,16919,JJ Nelson,WR,1,ARI,NE,11,22,3200,3.4
286,16962,AJ Derby,TE,1,NE,ARI,8,19,2500,3.4
287,13002,Cecil Shorts,WR,1,TB,ATL,10,2,3300,3.4
288,17048,Tyrell Williams,WR,1,SD,KC,7,24,3000,3.4
289,13264,Andre Holmes,WR,1,OAK,NO,32,27,3200,3.3
290,15224,Andre Ellington,RB,1,ARI,NE,11,5,4100,3.3
291,16469,Jared Abbrederis,WR,1,GB,JAX,29,15,3300,3.3
292,14731,Lance Dunbar,RB,1,DAL,NYG,31,25,3000,3.2
293,17963,Austin Hooper,TE,1,ATL,TB,21,13,2500,3.2
294,16031,Damien Williams,RB,1,MIA,SEA,1,1,3000,3.2
295,16411,Ryan Grant,WR,1,WAS,PIT,18,30,3000,3.2
296,15066,Brice Butler,WR,1,DAL,NYG,31,20,3000,3.2
297,16933,James O'Shaughnessy,TE,1,KC,SD,16,21,2500,3.2
298,6211,Harry Douglas,WR,1,TEN,MIN,12,14,3400,3.2
299,15971,Josh Huff,WR,1,PHI,CLE,28,31,3000,3.1
300,13255,Matt Asiata,RB,1,MIN,TEN,22,9,3300,3.1
