"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
34,748468625,"jacksmithcollector (4/4)",0,188.2,"P A.J. Griffin 3B Joey Gallo OF Ryan Rua P Carlos Carrasco 1B Ryan Zimmerman 2B Daniel Murphy SS Freddy Galvis C Cameron Rupp OF Bryce Harper OF Ben Gamel",NA,"Anthony Rendon","9.61%",10
34,748480593,"rjrat84 (7/12)",0,188.2,"P A.J. Griffin 3B Joey Gallo OF Nomar Mazara 2B Robinson Canó P Carlos Carrasco OF Mark Trumbo 1B Tommy Joseph OF Aaron Altherr C Cameron Rupp SS Trea Turner",NA,"Lonnie Chisenhall","9.44%",14
37,748463093,"sqs1",0,187.65,"P A.J. Griffin OF Shin-soo Choo 3B Joey Gallo SS Elvis Andrus OF Nomar Mazara 1B Ryan Zimmerman P Max Scherzer C Matt Wieters 2B César Hernández OF Ben Gamel",NA,"Freddy Galvis","8.84%",9
38,748362566,"Davichamp88",0,187.2,"P A.J. Griffin OF Carlos Gómez 3B Joey Gallo C Robinson Chirinos OF Jayson Werth 2B Robinson Canó P Carlos Carrasco 1B Ryan Zimmerman OF Ben Gamel SS Francisco Lindor",NA,"Maikel Franco","8.50%",0
38,748399267,"vmolina",0,187.2,"P A.J. Griffin 2B Robinson Canó P Carlos Carrasco 1B Ryan Zimmerman 3B Anthony Rendon SS Jean Segura OF Aaron Altherr C Cameron Rupp OF Ben Gamel OF Trey Mancini",NA,"Kyle Seager","8.50%",12
38,748417876,"tidan27",0,187.2,"P A.J. Griffin C Robinson Chirinos OF Jayson Werth 1B Edwin Encarnación OF Seth Smith P Carlos Carrasco 3B Anthony Rendon SS Jean Segura 2B César Hernández OF Ben Gamel",NA,"Cory Spangenberg","8.25%",6
41,748394549,"jwall2488",0,186.65,"P A.J. Griffin OF Carlos Gómez 3B Joey Gallo SS Elvis Andrus C Robinson Chirinos 1B Ryan Rua 2B Robinson Canó P Max Scherzer OF Aaron Altherr OF Bryce Harper",NA,"Yangervis Solarte","7.91%",0
41,748439870,"ross1236 (9/10)",0,186.65,"P A.J. Griffin 2B Robinson Canó SS J.J. Hardy 1B Carlos Santana P Max Scherzer OF Aaron Altherr C Yan Gomes OF Bryce Harper OF Ben Gamel 3B Maikel Franco",NA,"Odúbel Herrera","7.74%",14
41,748451854,"taylordm1 (3/4)",0,186.65,"P A.J. Griffin OF Nomar Mazara C Robinson Chirinos 2B Robinson Canó P Max Scherzer SS Freddy Galvis 1B Tommy Joseph OF Bryce Harper OF Ben Gamel 3B Maikel Franco",NA,"Adam Jones","6.89%",19
44,748368068,"m1caskey",0,186.35,"C Robinson Chirinos P Carlos Carrasco 1B Carlos Santana P Max Scherzer SS Jean Segura OF Aaron Altherr 2B César Hernández OF Ben Gamel 3B José Ramírez OF Guillermo Heredia",NA,"Trey Mancini","6.89%",0
