"Cody Bellinger_LAD","Corey Seager_LAD","Justin Turner_LAD","JD Martinez_DET","Yasiel Puig_LAD","Chris Taylor_LAD","Jose Abreu_CWS","Miguel Cabrera_DET","Whit Merrifield_KC","Ian Kinsler_DET","Justin Upton_DET","Andrew Romine_DET","Eric Hosmer_KC","Adrian Gonzalez_LAD","Chase Utley_LAD","Joc Pederson_LAD","Salvador Perez_KC","Jorge Bonifacio_KC","Melky Cabrera_CWS","Yasmani Grandal_LAD","Mike Moustakas_KC","Nicholas Castellanos_DET","Logan Forsythe_LAD","Avisail Garcia_CWS","Alex Avila_DET","Franklin Gutierrez_LAD","Matt Davidson_CWS","Peter O'Brien_LAD","Austin Barnes_LAD","Yoan Moncada_CWS","Lorenzo Cain_KC","Jose Iglesias_DET","Mikie Mahtook_DET","Victor Martinez_DET","Todd Frazier_CWS","Alen Hanson_CWS","Tim Anderson_CWS","Cheslor Cuthbert_KC","Trayce Thompson_LAD","Kike Hernandez_LAD","Andrew Toles_LAD","Willie Calhoun_LAD","Paulo Orlando_KC","Billy Burns_KC","Jorge Soler_KC","Rob Segedin_LAD","Charlie Tilson_CWS","Adam Engel_CWS","Alex Verdugo_LAD","Dixon Machado_DET","JaCoby Jones_DET","Andre Ethier_LAD","Alcides Escobar_KC","Alex Presley_DET","John Hicks_DET","Tyler Collins_DET","Scott Van Slyke_LAD","Tyler Saladino_CWS","Yolmer Sanchez_CWS","James McCann_DET","Ryan O'Hearn_KC","Leury Garcia_CWS","Omar Narvaez_CWS","Jacob May_CWS","Jim Adduci_DET","Terrance Gore_KC","Cody Asche_CWS","Geovany Soto_CWS","Willy Garcia_CWS","Matt den Dekker_DET","Mike Freeman_LAD","Brandon Moss_KC","Raul Mondesi_KC","Ramon Torres_KC","Brett Eibner_LAD","Kevan Smith_CWS","Alex Gordon_KC","Hunter Dozier_KC","Drew Butera_KC","Grant Green_CWS","Zack Collins_CWS"
0,0,0,0,0,0,0,0,5.72267759562842,0,0,0,9.0045045045045,0,0,0,7.46630483943917,7.64175084175084,0,0,58.0295495495496,0,0,0,0,0,0,0,0,0,2.84874429223744,0,0,0,0,0,0,1.94230769230769,0,0,0,0,7.25,0,0.91578947368421,0,0,0,0,0,0,0,-4.40774774774775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0239361702128,-12.8888888888889,1.26190476190476,0,0,15.6384986830553,0,25.6545454545455,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,19.9076923076923,18.8624338624339,0,-4.89564564564565,25.9103448275862,0,0,0,0,0,0,0,0.278947368421053,21.0166666666667,4.42857142857143,0,0,0,14.1988636363636,0,0,44.9082125603865,0,0,6.80357142857143,0,0,23.7380952380952,0,0,0,0,0,0,0,0,0,6.54761904761905,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0
0,0,0,0,0,0,7.95346795434592,0,0,0,0,0,0,0,0,0,0,0,2.06971153846154,0,0,0,0,84.4006820119352,0,0,25.9592760180995,0,0,0,0,0,0,0,21.0447670901391,-25.75,19.6256830601093,0,0,0,0,0,0,0,0,0,0,0.741666666666667,0,0,0,0,0,0,0,0,0,14.8019943019943,9.46806039488966,0,0,5.2030487804878,5.92043010752688,0.333333333333333,0,0,12.3461538461538,44.0444444444444,39.4725274725275,0,0,0,0,0,0,1.42328042328042,0,0,0,0,0
0,0,0,11.6149193548387,0,0,0,13.400426742532,0,17.2859174964438,8.87486157253599,-1.27173913043478,0,0,0,0,0,0,0,0,0,0,0,0,52.8830917874396,0,0,0,0,0,0,8.15931721194879,2.34444444444444,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93333333333333,31.5,0,0,14.2472527472527,1.66666666666667,8.23529411764706,0,0,0,55,0,0,0,0,32.2142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.714285714285714,0.154545454545455,9.66666666666667,0,30.8611111111111,0.377777777777778,0,0,0,0,0,0,0,15,0,-2.5,0,0,0,-4,0,0,6.80357142857143,0,0,27.2307692307692,0,0,-9.89090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83333333333333,0,0,0,0,0,0
0,0,0,0,0,0,18.6659090909091,0,0,0,0,0,0,0,0,0,0,0,12.1509433962264,0,0,0,0,25.9592760180995,0,0,68.1071428571429,0,0,0,0,0,0,0,6.04070305272895,-15,18.9795918367347,0,0,0,0,0,0,0,0,0,0,6.49264705882353,0,0,0,0,0,0,0,0,0,7.8,1.0398293029872,0,0,-9.34827586206896,6.66304347826087,-7.33333333333333,0,0,9.83333333333333,-47.4,25.9230769230769,0,0,0,0,0,0,10.7936507936508,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.415441176470588,7.37581699346405,33.6732026143791,0,10.4,-8.95,0,0,0,0,0,0,0,12.1,31.1666666666667,-15.9285714285714,0,0,0,-10.5,0,0,23.7380952380952,0,0,-9.89090909090909,0,0,80.5217391304348,0,0,0,0,0,0,0,0,0,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
