"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07"
"Matt Szczur_CHC",NA,NA,NA,NA,NA,NA
"JT Realmuto_MIA",NA,10,NA,23,NA,NA
"Robinson Chirinos_TEX",NA,NA,0,NA,NA,NA
"Yonder Alonso_OAK",NA,NA,7,3,NA,14
"Salvador Perez_KC",NA,3,NA,NA,NA,19
"Yuli Gurriel_HOU",NA,NA,NA,NA,NA,NA
"Derek Fisher_HOU",NA,NA,NA,NA,NA,NA
"Matt Wieters_WAS",NA,5,NA,17,NA,NA
"Adam Lind_WAS",NA,NA,NA,NA,NA,NA
"Rhys Hoskins_PHI",NA,NA,NA,NA,NA,NA
"Chris Herrmann_ARI",NA,NA,NA,NA,10,NA
"Brandon Guyer_CLE",NA,NA,5,2,NA,NA
"Bradley Zimmer_CLE",NA,NA,NA,NA,NA,NA
"Pat Valaika_COL",NA,NA,NA,NA,NA,NA
"Alex Dickerson_SD",NA,NA,NA,NA,NA,NA
"Hunter Renfroe_SD",NA,0,3,14,NA,NA
"Danny Valencia_SEA",NA,NA,8,0,2,3
"Yunel Escobar_LAA",NA,NA,5,4,NA,13
"Ben Revere_LAA",NA,NA,NA,NA,NA,NA
"Martin Prado_MIA",NA,NA,NA,NA,NA,NA
"Wilmer Flores_NYM",NA,NA,NA,NA,16,5
"Brett Nicholas_TEX",NA,NA,NA,NA,NA,NA
"Jed Lowrie_OAK",NA,NA,24,0,NA,4
"Cheslor Cuthbert_KC",NA,NA,NA,NA,NA,NA
"Alcides Escobar_KC",NA,0,NA,NA,NA,10
"Cameron Rupp_PHI",NA,0,NA,3,NA,NA
"Michael Martinez_CLE",NA,NA,NA,NA,NA,NA
"Socrates Brito_ARI",NA,NA,NA,NA,NA,NA
"Tony Wolters_COL",NA,10,2,0,NA,NA
"Cory Spangenberg_SD",NA,NA,NA,NA,NA,NA
"Jarrett Parker_SF",0,NA,NA,0,NA,NA
"Jace Peterson_ATL",NA,NA,NA,NA,NA,NA
"Josh Bell_PIT",NA,5,NA,0,NA,NA
"Taylor Motter_SEA",NA,NA,NA,NA,NA,NA
"Andrelton Simmons_LAA",NA,NA,7,12,NA,11
"Leonys Martin_SEA",NA,NA,0,12,0,NA
"Andrew Susac_MIL",NA,NA,NA,NA,NA,NA
"Tommy La Stella_CHC",NA,NA,NA,NA,NA,NA
"Kirk Nieuwenhuis_MIL",NA,NA,NA,0,NA,NA
"Jake Smolinski_OAK",NA,NA,NA,NA,NA,NA
"Marwin Gonzalez_HOU",NA,NA,14,NA,16,NA
"Mike Moustakas_KC",NA,14,NA,NA,NA,7
"Paulo Orlando_KC",NA,0,NA,NA,NA,2
"Billy Burns_KC",NA,NA,NA,NA,NA,NA
"Andrew Knapp_PHI",NA,NA,NA,NA,NA,NA
"Yan Gomes_CLE",NA,NA,4,NA,NA,3
"Nick Hundley_SF",NA,NA,NA,NA,NA,NA
"Francisco Cervelli_PIT",NA,9,NA,3,NA,NA
"Tyler Flowers_ATL",NA,3,NA,NA,3,NA
"David Freese_PIT",NA,8,NA,5,NA,NA
"Adam Frazier_PIT",NA,7,NA,3,NA,NA
"Jordy Mercer_PIT",NA,5,NA,0,NA,NA
"Danny Espinosa_LAA",NA,NA,18,9,NA,2
"Travis d'Arnaud_NYM",NA,NA,NA,3,9,NA
"Justin Bour_MIA",NA,0,NA,2,NA,9
"Ryan Rua_TEX",NA,NA,2,NA,NA,NA
"Drew Robinson_TEX",NA,NA,NA,NA,NA,NA
"Brock Stassi_PHI",NA,NA,NA,NA,NA,NA
"Giovanny Urshela_CLE",NA,NA,NA,NA,NA,NA
"Cristhian Adames_COL",NA,NA,NA,NA,NA,NA
"Travis Jankowski_SD",NA,5,4,2,NA,NA
"Mac Williamson_SF",NA,NA,NA,NA,NA,NA
"John Jaso_PIT",NA,NA,NA,NA,NA,NA
"Kevin Newman_PIT",NA,NA,NA,NA,NA,NA
"Jarrod Dyson_SEA",NA,NA,5,8,5,2
"Manny Pina_MIL",NA,NA,NA,0,NA,5
"Derek Dietrich_MIA",NA,0,NA,4,NA,21
"TJ Rivera_NYM",NA,NA,NA,NA,NA,NA
"Brandon Nimmo_NYM",NA,NA,NA,NA,NA,NA
"Matt Joyce_OAK",NA,NA,0,3,NA,21
"Stephen Drew_WAS",NA,0,NA,NA,NA,NA
"Yandy Diaz_CLE",NA,NA,0,10,NA,4
"Alexi Amarista_COL",NA,NA,NA,NA,NA,NA
"Kelby Tomlinson_SF",NA,NA,NA,NA,NA,NA
"Aaron Hill_SF",NA,NA,NA,NA,16,NA
"Micah Johnson_ATL",NA,NA,NA,NA,NA,NA
"Chase d'Arnaud_ATL",NA,NA,NA,NA,NA,NA
"Mike Zunino_SEA",NA,NA,3,5,NA,3
"Ben Gamel_SEA",NA,NA,NA,NA,NA,NA
"Jett Bandy_MIL",NA,5,6,NA,NA,NA
"Tyler Moore_MIA",NA,NA,NA,NA,NA,NA
"Adam Rosales_OAK",NA,NA,NA,NA,NA,NA
"Hanser Alberto_TEX",NA,NA,NA,NA,NA,NA
"Ryan O'Hearn_KC",NA,NA,NA,NA,NA,NA
"Jake Marisnick_HOU",NA,NA,NA,0,0,NA
"Wilmer Difo_WAS",NA,NA,NA,NA,NA,NA
"Chris Iannetta_ARI",NA,NA,NA,5,NA,2
"Christian Bethancourt_SD",NA,NA,NA,NA,NA,NA
"Austin Hedges_SD",NA,0,0,2,NA,NA
"Chris Marrero_SF",NA,NA,2,NA,0,NA
"Rio Ruiz_ATL",NA,NA,NA,NA,NA,NA
"Guillermo Heredia_SEA",NA,NA,NA,NA,NA,0
"Juan Lagares_NYM",NA,NA,NA,NA,NA,NA
"Destin Hood_MIA",NA,NA,NA,NA,NA,NA
"Terrance Gore_KC",NA,NA,NA,NA,NA,NA
"Andres Blanco_PHI",NA,NA,NA,NA,NA,NA
"Chris Heisey_WAS",NA,NA,NA,NA,NA,NA
"Roberto Perez_CLE",NA,NA,NA,5,NA,NA
"Daniel Descalso_ARI",NA,NA,NA,NA,3,NA
"Gorkys Hernandez_SF",NA,NA,20,0,0,NA
"Phil Gosselin_PIT",NA,NA,NA,NA,NA,NA
"Shawn O'Malley_SEA",NA,NA,NA,NA,NA,NA
"Ichiro Suzuki_MIA",NA,NA,NA,NA,NA,NA
"Christian Colon_KC",NA,NA,NA,NA,NA,NA
"Nick Ahmed_ARI",NA,NA,NA,7,NA,5
"Conor Gillaspie_SF",NA,NA,NA,NA,NA,NA
"Luis Sardinas_SD",NA,NA,NA,NA,NA,NA
"Kurt Suzuki_ATL",NA,NA,NA,5,NA,NA
"Carlos Ruiz_SEA",NA,NA,NA,NA,4,NA
"Eloy Jimenez_CHC",NA,NA,NA,NA,NA,NA
"Adeiny Hechavarria_MIA",NA,0,NA,3,NA,2
"Jose Lobaton_WAS",NA,NA,NA,NA,NA,NA
"Emilio Bonifacio_ATL",NA,NA,NA,NA,NA,NA
"Martin Maldonado_LAA",NA,NA,9,5,NA,8
"AJ Ellis_MIA",NA,NA,NA,NA,NA,2
"Ty Kelly_NYM",NA,NA,NA,NA,NA,NA
"Raul Mondesi_KC",NA,0,NA,NA,NA,13
"Chris Stewart_PIT",NA,NA,NA,NA,NA,NA
"Carlos Perez_LAA",NA,NA,NA,NA,NA,NA
"Rene Rivera_NYM",NA,3,NA,NA,NA,8
"Jeff Mathis_ARI",18,NA,0,NA,4,NA
"Anthony Recker_ATL",NA,NA,NA,NA,NA,NA
"Cliff Pennington_LAA",NA,NA,NA,NA,NA,NA
"Miguel Rojas_MIA",NA,NA,NA,NA,NA,NA
"Drew Butera_KC",NA,NA,NA,NA,NA,NA
"Hector Sanchez_SD",NA,NA,NA,NA,NA,NA
"Luis Torrens_SD",NA,NA,NA,NA,NA,NA
"Erick Aybar_SD",NA,NA,15,2,NA,NA
"Allen Cordoba_SD",NA,NA,NA,NA,NA,NA
