QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Kirk Cousins (9358981),David Johnson (9359235),Jordan Howard (9360049),Golden Tate (9358960),Jamison Crowder (9359423),Marvin Jones Jr. (9359028),Coby Fleener (9358665),Todd Gurley (9359771),Colts  (9358747)
Russell Wilson (9358965),David Johnson (9359235),Jordan Howard (9360049),Terrelle Pryor Sr. (9359005),Larry Fitzgerald (9358814),Paul Richardson (9359329),Zach Ertz (9359110),Lamar Miller (9359144),Ravens  (9358762)
Aaron Rodgers (9358780),David Johnson (9359235),Todd Gurley (9359771),Terrelle Pryor Sr. (9359005),Stefon Diggs (9358532),Davante Adams (9359572),Evan Engram (9360027),Marvin Jones Jr. (9359028),Bengals  (9358741)
Russell Wilson (9358965),Todd Gurley (9359771),Lamar Miller (9359144),Antonio Brown (9358987),Doug Baldwin (9358950),Terrelle Pryor Sr. (9359005),Evan Engram (9360027),Tyler Lockett (9359463),Bengals  (9358741)
Kirk Cousins (9358981),Ameer Abdullah (9359363),Frank Gore (9358765),Antonio Brown (9358987),Julio Jones (9359003),Terrelle Pryor Sr. (9359005),Zach Ertz (9359110),Davante Adams (9359572),Vikings  (9358568)
Kirk Cousins (9358981),David Johnson (9359235),Jordan Howard (9360049),Terrelle Pryor Sr. (9359005),Stefon Diggs (9358532),Tyler Lockett (9359463),Coby Fleener (9358665),Lamar Miller (9359144),Bengals  (9358741)
Matthew Stafford (9358878),David Johnson (9359235),Todd Gurley (9359771),A.J. Green (9359007),Davante Adams (9359572),Jeremy Maclin (9358902),Zach Ertz (9359110),Marvin Jones Jr. (9359028),Colts  (9358747)
Aaron Rodgers (9358780),David Johnson (9359235),Jordan Howard (9360049),Golden Tate (9358960),Allen Robinson (9359555),Davante Adams (9359572),Coby Fleener (9358665),Carlos Hyde (9359217),Vikings  (9358568)
Aaron Rodgers (9358780),Todd Gurley (9359771),Isaiah Crowell (9359508),A.J. Green (9359007),Terrelle Pryor Sr. (9359005),Larry Fitzgerald (9358814),Zach Ertz (9359110),Davante Adams (9359572),Seahawks  (9358757)
Sam Bradford (9358515),Jordan Howard (9360049),Todd Gurley (9359771),Antonio Brown (9358987),Stefon Diggs (9358532),Larry Fitzgerald (9358814),Zach Ertz (9359110),Carlos Hyde (9359217),Seahawks  (9358757)
Russell Wilson (9358965),Jordan Howard (9360049),Todd Gurley (9359771),Antonio Brown (9358987),Golden Tate (9358960),Allen Robinson (9359555),Zach Ertz (9359110),Paul Richardson (9359329),Redskins  (9358759)
Matthew Stafford (9358878),Ezekiel Elliott (9359890),Lamar Miller (9359144),Doug Baldwin (9358950),Golden Tate (9358960),Larry Fitzgerald (9358814),Zach Ertz (9359110),Davante Adams (9359572),Seahawks  (9358757)
Kirk Cousins (9358981),LeSean McCoy (9358939),Todd Gurley (9359771),Golden Tate (9358960),Terrelle Pryor Sr. (9359005),Larry Fitzgerald (9358814),Zach Ertz (9359110),Tyler Lockett (9359463),Colts  (9358747)
Russell Wilson (9358965),Todd Gurley (9359771),Carlos Hyde (9359217),Doug Baldwin (9358950),Golden Tate (9358960),Jamison Crowder (9359423),Travis Kelce (9358502),Davante Adams (9359572),Seahawks  (9358757)
