"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Curtis Granderson",3700,"WAS@NYM 01:10PM ET",6.125,"NYM","WAS",6.13,8.4,6.78,NA,"x","6",5
"OF","Adam Eaton",3700,"WAS@NYM 01:10PM ET",10.13,"WAS","NYM",NA,0,NA,NA,"x","x",NA
"C","Chris Iannetta",3700,"ARI@PHI 01:35PM ET",6.969,"ARI","PHI",6.52,0,6.82,NA,"x","x",NA
"3B","Nicholas Castellanos",3600,"TB@DET 01:10PM ET",7.578,"DET","TB",NA,7.3,NA,NA,"6","6",NA
"2B","Jason Kipnis",3600,"CLE@MIN 02:10PM ET",6.804,"CLE","MIN",8.91,9,9.65,NA,"1","2",5
"OF","Adam Jones",3600,"STL@BAL 01:35PM ET",7.016,"BAL","STL",6.76,7.5,7.88,NA,"2","3",10
"2B","Paul DeJong",3600,"STL@BAL 01:35PM ET",6.143,"STL","BAL",5.65,6.6,1.77,NA,"9","9",0
"1B","Jesus Aguilar",3600,"SD@MIL 02:10PM ET",4.641,"MIL","SD",6.1,0,1.88,NA,"x","x",NA
"3B/OF","Cory Spangenberg",3600,"SD@MIL 02:10PM ET",5.279,"SD","MIL",6.26,7.7,7.4,NA,"6","6",8
"OF","Manuel Margot",3600,"SD@MIL 02:10PM ET",6.553,"SD","MIL",NA,0,NA,NA,"x","x",NA
"OF","Billy Hamilton",3600,"LAD@CIN 01:10PM ET",8.517,"CIN","LAD",7.15,8.8,9.22,NA,"x","1",22
"OF","Trayce Thompson",3600,"LAD@CIN 01:10PM ET",0,"LAD","CIN",NA,0,NA,NA,"x","x",NA
"OF/SS","Kike Hernandez",3600,"LAD@CIN 01:10PM ET",5.203,"LAD","CIN",NA,7.1,1.96,NA,"x","8",NA
"C","Austin Barnes",3600,"LAD@CIN 01:10PM ET",5.176,"LAD","CIN",NA,7.9,1.91,NA,"x","7",7
