"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg"
"WR","DeSean Jackson (7395499)","DeSean Jackson",7395499,6300,"Dal@Was 01:00PM ET","Was","DeSean","Jackson","Dal",13.45,12.5,13.91,12.5,1,0.261904761904762,NA
"QB","Alex Smith (7395318)","Alex Smith",7395318,6300,"KC@Hou 01:00PM ET","KC","Alex","Smith","Hou",16.89,16.6,16.27,16.6,8,0.0222222222222222,NA
"RB","Jamaal Charles (7395410)","Jamaal Charles",7395410,6300,"KC@Hou 01:00PM ET","KC","Jamaal","Charles","Hou",0,0,0,0,11,0,NA
"WR","Jeremy Maclin (7395543)","Jeremy Maclin",7395543,6300,"KC@Hou 01:00PM ET","KC","Jeremy","Maclin","Hou",14.27,15.7,14.39,15.7,4,0.133333333333333,NA
"RB","Mark Ingram (7395395)","Mark Ingram",7395395,6200,"NO@NYG 01:00PM ET","NO","Mark","Ingram","NYG",16.36,16.5,17.8,16.5,6,0.0476190476190476,NA
"WR","Julian Edelman (7395534)","Julian Edelman",7395534,6200,"Mia@NE 01:00PM ET","NE","Julian","Edelman","Mia",17.42,18.5,16.81,18.5,1,0.222222222222222,NA
"QB","Jameis Winston (7395343)","Jameis Winston",7395343,6200,"TB@Ari 04:05PM ET","TB","Jameis","Winston","Ari",18.93,16.3,18.52,16.3,0,0,NA
"QB","Brock Osweiler (7395321)","Brock Osweiler",7395321,6100,"KC@Hou 01:00PM ET","Hou","Brock","Osweiler","KC",15.23,15.4,16.1,15.4,0,0,NA
"RB","Spencer Ware (7395416)","Spencer Ware",7395416,6100,"KC@Hou 01:00PM ET","KC","Spencer","Ware","Hou",16.39,15.3,16.71,15.3,1,0.177777777777778,NA
"RB","Devonta Freeman (7395468)","Devonta Freeman",7395468,6100,"Atl@Oak 04:25PM ET","Atl","Devonta","Freeman","Oak",14.91,15.2,17.84,15.2,5,0.105263157894737,NA
"WR","Michael Crabtree (7395610)","Michael Crabtree",7395610,6100,"Atl@Oak 04:25PM ET","Oak","Michael","Crabtree","Atl",14.67,13.8,15.3,13.8,2,0.24390243902439,NA
"QB","Tony Romo (7395296)","Tony Romo",7395296,6000,"Dal@Was 01:00PM ET","Dal","Tony","Romo","Was",0,0,0,0,0,0,NA
"RB","Arian Foster (7395400)","Arian Foster",7395400,6000,"Mia@NE 01:00PM ET","Mia","Arian","Foster","NE",15.14,13.4,10.82,13.4,2,0.185185185185185,NA
"QB","Marcus Mariota (7395327)","Marcus Mariota",7395327,6000,"Ten@Det 01:00PM ET","Ten","Marcus","Mariota","Det",18.28,19.2,18.46,19.2,0,0,NA
"WR","Emmanuel Sanders (7395621)","Emmanuel Sanders",7395621,6000,"Ind@Den 04:25PM ET","Den","Emmanuel","Sanders","Ind",14.49,13.7,13.91,13.7,2,0.24,NA
"RB","Eddie Lacy (7395484)","Eddie Lacy",7395484,6000,"GB@Min 08:30PM ET","GB","Eddie","Lacy","Min",12.7,12.9,14.9,12.9,6,0.0540540540540541,NA
"QB","Jimmy Garoppolo (7395315)","Jimmy Garoppolo",7395315,5900,"Mia@NE 01:00PM ET","NE","Jimmy","Garoppolo","Mia",16.23,19.5,18.36,19.5,7,0.0277777777777778,NA
"RB","Doug Martin (7395448)","Doug Martin",7395448,5900,"TB@Ari 04:05PM ET","TB","Doug","Martin","Ari",13.26,12.8,17.14,12.8,3,0.161290322580645,NA
"WR","Michael Floyd (7395590)","Michael Floyd",7395590,5900,"TB@Ari 04:05PM ET","Ari","Michael","Floyd","TB",14.33,13.5,15.01,13.5,2,0.205128205128205,NA
"QB","Dak Prescott (7395300)","Dak Prescott",7395300,5800,"Dal@Was 01:00PM ET","Dal","Dak","Prescott","Was",17.94,17.3,15.55,17.3,0,0,NA
"WR","Willie Snead (7395526)","Willie Snead",7395526,5800,"NO@NYG 01:00PM ET","NO","Willie","Snead","NYG",13.56,15.4,15.61,15.4,2,0.214285714285714,NA
"RB","DeMarco Murray (7395420)","DeMarco Murray",7395420,5700,"Ten@Det 01:00PM ET","Ten","DeMarco","Murray","Det",14.75,12.2,13.59,12.2,2,0.175,NA
"RB","Latavius Murray (7395465)","Latavius Murray",7395465,5700,"Atl@Oak 04:25PM ET","Oak","Latavius","Murray","Atl",15.07,13.3,15.95,13.3,6,0.0487804878048781,NA
"TE","Greg Olsen (7395644)","Greg Olsen",7395644,5600,"SF@Car 01:00PM ET","Car","Greg","Olsen","SF",16.71,15,15.01,15,2,0.28125,NA
"RB","Rashad Jennings (7395389)","Rashad Jennings",7395389,5600,"NO@NYG 01:00PM ET","NYG","Rashad","Jennings","NO",15.26,13.7,16.59,13.7,6,0.0714285714285714,NA
"QB","Ryan Tannehill (7395314)","Ryan Tannehill",7395314,5600,"Mia@NE 01:00PM ET","Mia","Ryan","Tannehill","NE",15.6,16.8,16.65,16.8,0,0,NA
"QB","Sam Bradford (7395361)","Sam Bradford",7395361,5600,"GB@Min 08:30PM ET","Min","Sam","Bradford","GB",14,11.9,14.27,11.9,8,0,NA
"WR","Marvin Jones Jr. (7395561)","Marvin Jones",7395561,5500,"Ten@Det 01:00PM ET","Det","Marvin","Jones","Ten",15.23,15,14.73,15,1,0.289473684210526,NA
"RB","Thomas Rawls (7395442)","Thomas Rawls",7395442,5500,"Sea@LA 04:05PM ET","Sea","Thomas","Rawls","LA",13.39,11.2,15.77,11.2,5,0.0697674418604651,NA
"WR","Mohamed Sanu (7395613)","Mohamed Sanu",7395613,5500,"Atl@Oak 04:25PM ET","Atl","Mohamed","Sanu","Oak",12.29,10,11.08,10,1,0.210526315789474,NA
"RB","Jonathan Stewart (7395365)","Jonathan Stewart",7395365,5400,"SF@Car 01:00PM ET","Car","Jonathan","Stewart","SF",15.39,12.8,14.02,12.8,4,0.0625,NA
"WR","Allen Hurns (7395602)","Allen Hurns",7395602,5400,"Jax@SD 04:25PM ET","Jax","Allen","Hurns","SD",15.36,12.6,11.79,12.6,3,0.128205128205128,NA
"QB","Robert Griffin III (7395332)","Robert Griffin III",7395332,5300,"Bal@Cle 01:00PM ET","Cle","Robert","Griffin III","Bal",0,0,0,0,0,0,NA
"WR","John Brown (7395592)","John Brown",7395592,5300,"TB@Ari 04:05PM ET","Ari","John","Brown","TB",11.84,11.8,12.74,11.8,4,0.128205128205128,NA
"WR","Sterling Shepard (7395530)","Sterling Shepard",7395530,5200,"NO@NYG 01:00PM ET","NYG","Sterling","Shepard","NO",13.36,13.3,12.42,13.3,4,0.107142857142857,NA
"RB","Danny Woodhead (7395455)","Danny Woodhead",7395455,5200,"Jax@SD 04:25PM ET","SD","Danny","Woodhead","Jax",15.82,0,16.73,0,2,0.205128205128205,NA
"QB","Trevor Siemian (7395357)","Trevor Siemian",7395357,5200,"Ind@Den 04:25PM ET","Den","Trevor","Siemian","Ind",14.3,12.4,14.59,12.4,0,0,NA
"RB","Carlos Hyde (7395369)","Carlos Hyde",7395369,5100,"SF@Car 01:00PM ET","SF","Carlos","Hyde","Car",14.17,11.8,12.94,11.8,5,0.0769230769230769,NA
"QB","Case Keenum (7395334)","Case Keenum",7395334,5100,"Sea@LA 04:05PM ET","LA","Case","Keenum","Sea",10.85,9.3,10.24,9.3,0,0,NA
"WR","Stefon Diggs (7395640)","Stefon Diggs",7395640,5100,"GB@Min 08:30PM ET","Min","Stefon","Diggs","GB",15.54,10.3,13.53,10.3,1,0.264705882352941,NA
"QB","Derek Anderson (7395290)","Derek Anderson",7395290,5000,"SF@Car 01:00PM ET","Car","Derek","Anderson","SF",0,0,0,0,0,0,NA
"QB","Joe Webb (7395291)","Joe Webb",7395291,5000,"SF@Car 01:00PM ET","Car","Joe","Webb","SF",0,0,0,0,9,0,NA
"QB","Colin Kaepernick (7395292)","Colin Kaepernick",7395292,5000,"SF@Car 01:00PM ET","SF","Colin","Kaepernick","Car",0,2,0,2,0,0,NA
"QB","Christian Ponder (7395293)","Christian Ponder",7395293,5000,"SF@Car 01:00PM ET","SF","Christian","Ponder","Car",0,0,0,0,0,0,NA
"QB","Blaine Gabbert (7395295)","Blaine Gabbert",7395295,5000,"SF@Car 01:00PM ET","SF","Blaine","Gabbert","Car",13.51,12.5,13.11,12.5,8,0.0256410256410256,NA
"QB","Mark Sanchez (7395297)","Mark Sanchez",7395297,5000,"Dal@Was 01:00PM ET","Dal","Mark","Sanchez","Was",0,1.5,0,1.5,0,0,NA
"QB","Colt McCoy (7395298)","Colt McCoy",7395298,5000,"Dal@Was 01:00PM ET","Was","Colt","McCoy","Dal",0,0,0,0,0,0,NA
"QB","Nate Sudfeld (7395301)","Nate Sudfeld",7395301,5000,"Dal@Was 01:00PM ET","Was","Nate","Sudfeld","Dal",0,0,0,0,0,0,NA
"QB","Landry Jones (7395304)","Landry Jones",7395304,5000,"Cin@Pit 01:00PM ET","Pit","Landry","Jones","Cin",0,0,0,0,0,0,NA
"QB","Zach Mettenberger (7395305)","Zach Mettenberger",7395305,5000,"Cin@Pit 01:00PM ET","Pit","Zach","Mettenberger","Cin",0,0,0,0,0,0,NA
"QB","AJ McCarron (7395306)","AJ McCarron",7395306,5000,"Cin@Pit 01:00PM ET","Cin","AJ","McCarron","Pit",0,0,0,0,0,0,NA
"QB","Jeff Driskel (7395307)","Jeff Driskel",7395307,5000,"Cin@Pit 01:00PM ET","Cin","Jeff","Driskel","Pit",0,0,0,0,0,0,NA
"WR","Markus Wheaton (7395514)","Markus Wheaton",7395514,5000,"Cin@Pit 01:00PM ET","Pit","Markus","Wheaton","Cin",10.18,0,0,0,6,0,NA
"QB","Luke McCown (7395310)","Luke McCown",7395310,5000,"NO@NYG 01:00PM ET","NO","Luke","McCown","NYG",0,0,0,0,0,0,NA
"QB","Josh Johnson (7395311)","Josh Johnson",7395311,5000,"NO@NYG 01:00PM ET","NYG","Josh","Johnson","NO",0,0,0,0,0,0,NA
"QB","Ryan Nassib (7395312)","Ryan Nassib",7395312,5000,"NO@NYG 01:00PM ET","NYG","Ryan","Nassib","NO",0,0,0,0,0,0,NA
"QB","Matt Moore (7395313)","Matt Moore",7395313,5000,"Mia@NE 01:00PM ET","Mia","Matt","Moore","NE",0,0,0,0,0,0,NA
"QB","Brandon Doughty (7395316)","Brandon Doughty",7395316,5000,"Mia@NE 01:00PM ET","Mia","Brandon","Doughty","NE",0,0,0,0,0,0,NA
"QB","Jacoby Brissett (7395317)","Jacoby Brissett",7395317,5000,"Mia@NE 01:00PM ET","NE","Jacoby","Brissett","Mia",0,0,0,0,0,0,NA
"QB","Brandon Weeden (7395319)","Brandon Weeden",7395319,5000,"KC@Hou 01:00PM ET","Hou","Brandon","Weeden","KC",0,0,0,0,0,0,NA
"QB","Nick Foles (7395320)","Nick Foles",7395320,5000,"KC@Hou 01:00PM ET","KC","Nick","Foles","Hou",0,0,0,0,0,0,NA
"QB","Tom Savage (7395322)","Tom Savage",7395322,5000,"KC@Hou 01:00PM ET","Hou","Tom","Savage","KC",0,0,0,0,0,0,NA
"QB","Tyler Bray (7395323)","Tyler Bray",7395323,5000,"KC@Hou 01:00PM ET","KC","Tyler","Bray","Hou",0,0,0,0,0,0,NA
"TE","Travis Kelce (7395678)","Travis Kelce",7395678,5000,"KC@Hou 01:00PM ET","KC","Travis","Kelce","Hou",12.59,12.9,11.6,12.9,2,0.155555555555556,NA
"QB","Matt Cassel (7395324)","Matt Cassel",7395324,5000,"Ten@Det 01:00PM ET","Ten","Matt","Cassel","Det",0,0,0,0,0,0,NA
"QB","Dan Orlovsky (7395325)","Dan Orlovsky",7395325,5000,"Ten@Det 01:00PM ET","Det","Dan","Orlovsky","Ten",0,0,0,0,0,0,NA
"QB","Alex Tanney (7395328)","Alex Tanney",7395328,5000,"Ten@Det 01:00PM ET","Ten","Alex","Tanney","Det",0,0,0,0,0,0,NA
"QB","Josh McCown (7395329)","Josh McCown",7395329,5000,"Bal@Cle 01:00PM ET","Cle","Josh","McCown","Bal",17.01,15.3,13.5,15.3,0,0,NA
"QB","Ryan Mallett (7395331)","Ryan Mallett",7395331,5000,"Bal@Cle 01:00PM ET","Bal","Ryan","Mallett","Cle",0,0,0,0,0,0,NA
"QB","Cody Kessler (7395333)","Cody Kessler",7395333,5000,"Bal@Cle 01:00PM ET","Cle","Cody","Kessler","Bal",0,0,0,0,0,0,NA
"QB","Sean Mannion (7395336)","Sean Mannion",7395336,5000,"Sea@LA 04:05PM ET","LA","Sean","Mannion","Sea",0,0,0,0,0,0,NA
"QB","Trevone Boykin (7395337)","Trevone Boykin",7395337,5000,"Sea@LA 04:05PM ET","Sea","Trevone","Boykin","LA",0,1.4,0,1.4,0,0,NA
"QB","Jared Goff (7395338)","Jared Goff",7395338,5000,"Sea@LA 04:05PM ET","LA","Jared","Goff","Sea",0,0,0,0,0,0,NA
"QB","Drew Stanton (7395340)","Drew Stanton",7395340,5000,"TB@Ari 04:05PM ET","Ari","Drew","Stanton","TB",0,0,0,0,0,0,NA
"QB","Mike Glennon (7395341)","Mike Glennon",7395341,5000,"TB@Ari 04:05PM ET","TB","Mike","Glennon","Ari",0,0,0,0,0,0,NA
"QB","Ryan Griffin (7395342)","Ryan Griffin",7395342,5000,"TB@Ari 04:05PM ET","TB","Ryan","Griffin","Ari",0,0,0,0,6,0.0571428571428571,NA
"QB","Kellen Clemens (7395344)","Kellen Clemens",7395344,5000,"Jax@SD 04:25PM ET","SD","Kellen","Clemens","Jax",0,0,0,0,0,0,NA
"QB","Chad Henne (7395346)","Chad Henne",7395346,5000,"Jax@SD 04:25PM ET","Jax","Chad","Henne","SD",0,0,0,0,0,0,NA
"QB","Brandon Allen (7395348)","Brandon Allen",7395348,5000,"Jax@SD 04:25PM ET","Jax","Brandon","Allen","SD",0,0,0,0,0,0,NA
"QB","Matt Schaub (7395350)","Matt Schaub",7395350,5000,"Atl@Oak 04:25PM ET","Atl","Matt","Schaub","Oak",0,0,0,0,0,0,NA
"QB","Matt McGloin (7395351)","Matt McGloin",7395351,5000,"Atl@Oak 04:25PM ET","Oak","Matt","McGloin","Atl",0,0,0,0,0,0,NA
"QB","Connor Cook (7395353)","Connor Cook",7395353,5000,"Atl@Oak 04:25PM ET","Oak","Connor","Cook","Atl",0,0,0,0,0,0,NA
"QB","Scott Tolzien (7395354)","Scott Tolzien",7395354,5000,"Ind@Den 04:25PM ET","Ind","Scott","Tolzien","Den",0,0,0,0,0,0,NA
"QB","Austin Davis (7395355)","Austin Davis",7395355,5000,"Ind@Den 04:25PM ET","Den","Austin","Davis","Ind",0,0,0,0,0,0,NA
"QB","Paxton Lynch (7395358)","Paxton Lynch",7395358,5000,"Ind@Den 04:25PM ET","Den","Paxton","Lynch","Ind",0,0,0,0,0,0,NA
"RB","Frank Gore (7395472)","Frank Gore",7395472,5000,"Ind@Den 04:25PM ET","Ind","Frank","Gore","Den",9.73,9.1,12.41,9.1,3,0.130434782608696,NA
"QB","Shaun Hill (7395359)","Shaun Hill",7395359,5000,"GB@Min 08:30PM ET","Min","Shaun","Hill","GB",0,0,0,0,0,0,NA
"QB","Brett Hundley (7395362)","Brett Hundley",7395362,5000,"GB@Min 08:30PM ET","GB","Brett","Hundley","Min",0,0,0,0,0,0,NA
"QB","Joe Callahan (7395363)","Joe Callahan",7395363,5000,"GB@Min 08:30PM ET","GB","Joe","Callahan","Min",0,0,0,0,0,0,NA
"RB","Ameer Abdullah (7395426)","Ameer Abdullah",7395426,4900,"Ten@Det 01:00PM ET","Det","Ameer","Abdullah","Ten",12.04,11.6,14.61,11.6,3,0.131578947368421,NA
"WR","Tavon Austin (7395580)","Tavon Austin",7395580,4900,"Sea@LA 04:05PM ET","LA","Tavon","Austin","Sea",11.96,11.7,11.23,11.7,1,0.352941176470588,NA
"WR","DeVante Parker (7395539)","DeVante Parker",7395539,4800,"Mia@NE 01:00PM ET","Mia","DeVante","Parker","NE",9.54,9.2,9.03,9.2,7,0,NA
"RB","Melvin Gordon (7395459)","Melvin Gordon",7395459,4800,"Jax@SD 04:25PM ET","SD","Melvin","Gordon","Jax",11.02,11.3,14.74,11.3,8,0,NA
"WR","Torrey Smith (7395489)","Torrey Smith",7395489,4700,"SF@Car 01:00PM ET","SF","Torrey","Smith","Car",12.04,9.8,9.36,9.8,2,0.179487179487179,NA
"WR","Mike Wallace (7395567)","Mike Wallace",7395567,4700,"Bal@Cle 01:00PM ET","Bal","Mike","Wallace","Cle",12.25,8.2,11.33,8.2,2,0.193548387096774,NA
"WR","Corey Coleman (7395574)","Corey Coleman",7395574,4700,"Bal@Cle 01:00PM ET","Cle","Corey","Coleman","Bal",11.57,11.8,10.74,11.8,3,0.153846153846154,NA
"RB","T.J. Yeldon (7395462)","T.J. Yeldon",7395462,4700,"Jax@SD 04:25PM ET","Jax","T.J.","Yeldon","SD",15.35,16.7,15.46,16.7,2,0.153846153846154,NA
"RB","Christine Michael (7395440)","Christine Michael",7395440,4600,"Sea@LA 04:05PM ET","Sea","Christine","Michael","LA",6.78,4.5,10.04,4.5,4,0.0930232558139535,NA
"WR","Tyler Lockett (7395583)","Tyler Lockett",7395583,4600,"Sea@LA 04:05PM ET","Sea","Tyler","Lockett","LA",12.91,11.3,10.28,11.3,2,0.209302325581395,NA
"RB","Matt Jones (7395379)","Matt Jones",7395379,4500,"Dal@Was 01:00PM ET","Was","Matt","Jones","Dal",11.65,11.2,12.86,11.2,6,0.0238095238095238,NA
"TE","Tyler Eifert (7395660)","Tyler Eifert",7395660,4500,"Cin@Pit 01:00PM ET","Cin","Tyler","Eifert","Pit",0,0,0,0,7,0,NA
"WR","Anquan Boldin (7395555)","Anquan Boldin",7395555,4500,"Ten@Det 01:00PM ET","Det","Anquan","Boldin","Ten",9.62,7.8,7.81,7.8,6,0.0789473684210526,NA
"TE","Delanie Walker (7395687)","Delanie Walker",7395687,4500,"Ten@Det 01:00PM ET","Ten","Delanie","Walker","Det",14.24,12.7,12.04,12.7,4,0.125,NA
"RB","Duke Johnson Jr. (7395436)","Duke Johnson",7395436,4500,"Bal@Cle 01:00PM ET","Cle","Duke","Johnson","Bal",11.46,11.7,12.66,11.7,2,0.230769230769231,NA
"TE","Antonio Gates (7395718)","Antonio Gates",7395718,4500,"Jax@SD 04:25PM ET","SD","Antonio","Gates","Jax",12.74,10.9,12.53,10.9,5,0.102564102564103,NA
"RB","Tevin Coleman (7395471)","Tevin Coleman",7395471,4500,"Atl@Oak 04:25PM ET","Atl","Tevin","Coleman","Oak",10.44,9,11.66,9,4,0.157894736842105,NA
"TE","Martellus Bennett (7395672)","Martellus Bennett",7395672,4400,"Mia@NE 01:00PM ET","NE","Martellus","Bennett","Mia",9.94,10.7,7.29,10.7,3,0.138888888888889,NA
"RB","Justin Forsett (7395429)","Justin Forsett",7395429,4400,"Bal@Cle 01:00PM ET","Bal","Justin","Forsett","Cle",12.32,9.7,12.93,9.7,9,0,NA
"RB","Isaiah Crowell (7395434)","Isaiah Crowell",7395434,4400,"Bal@Cle 01:00PM ET","Cle","Isaiah","Crowell","Bal",9.23,9.1,10.66,9.1,5,0.0769230769230769,NA
