Sum of  FantasyPoints,Column Labels,,,,,,
Row Labels,DEF,K,QB,RB,TE,WR,Grand Total
CHI,2,-1,2.7,0,0.8,5.4,9.9
CIN,3,0,12.6,14.3,3.4,19.6,52.9
CLE,13,6,17.1,18.1,9.5,19.7,83.4
DAL,10,7,,12.9,0.2,19.2,49.3
DEN,12,10,22.7,29,7.1,24.2,105
DET,9,15,3.5,9,0.3,13.9,50.7
GB,7,4,16.6,8.9,1.6,30.6,68.7
IND,0,6,24.7,24.7,15.3,27.8,98.5
JAC,7,18,23.7,1.6,1.2,54.1,105.6
KC,16,,,4.5,1.6,18.6,40.7
MIA,11,1,11.2,3.9,1.2,2.9,31.2
MIN,5,7,13.9,0,4.9,17.6,48.4
NE,4,12,14.2,14.5,0,11.1,55.8
NO,9,10,17.7,16.3,0,30.4,83.4
NYG,3,,17,26.6,0,29.9,76.5
NYJ,6,2,21.2,14.5,6.4,29.3,79.4
OAK,8,7,30,20.8,4.5,12.3,82.6
PHI,1,6,23.1,6.9,12.7,8,57.7
SD,12,9,5,14.8,1.9,12.1,54.8
SEA,9,10,10.2,25.9,5.2,19.1,79.4
SF,4,2,16.1,27.4,1.2,25.7,76.4
STL,15,13,18.5,29.5,7.4,28.3,111.7
TB,19,,22.1,21.9,1.4,28.3,92.7
TEN,3,,11.1,9.7,6.7,16.4,46.9
WAS,6,4,10.2,16.7,7.9,8.4,53.2
3,202,135,301.6,479,95.5,448.3,1661.4
ATL,14,5,7.4,14.9,0,11.6,52.9
BAL,3,5,6.7,19.6,5.6,3.3,43.2
BUF,2,1,19.4,7.3,8.9,29.1,67.7
CAR,6,3,11,8.7,6.1,16.9,51.7
CHI,4,0,10.5,0,1.8,21,37.3
CIN,6,-2,4.7,7.3,2.3,12.4,30.7
CLE,5,11,20.9,9.4,10.3,21.1,77.7
DAL,7,9,,14.3,0,8.1,38.4
DEN,18,15,14,18.9,3.9,21.5,91.3
DET,0,3,11.5,5.5,5.3,17.5,42.8
GB,7,5,1.8,10.9,3.4,10.3,38.4
JAC,13,6,11.5,3.9,2.7,22.9,60
KC,10,,,26.1,4.3,34.8,75.2
MIA,8,7,9.2,24,4.1,4.1,56.4
MIN,5,3,19,0,8.8,13.4,49.2
NE,8,0,11.7,17.3,0,19.1,56.1
NO,6,4,11.4,14.8,0,17.7,53.9
NYG,6,,14.1,28.8,4.8,18.4,72.1
NYJ,16,8,8.9,22,0.3,6,61.2
OAK,4,5,9.4,3,3.2,21.2,45.8
PHI,13,3,4.7,15.3,1,2,39
PIT,2,8,8.8,30.8,0.5,16.1,66.2
SD,10,3,4.8,12.7,4.5,2.6,37.6
SEA,2,7,9.9,25.7,9.8,8.2,62.6
SF,5,6,20.8,30.6,1.3,25,88.7
STL,4,11,19.7,38.2,1.1,44.2,118.2
TB,13,6,20,27.6,0,15.7,82.3
WAS,5,3,9.8,41.4,1.5,4.1,64.8
4,231,160,347.2,391.6,142.4,522.6,1794.8
ARI,,3,-0.4,7.4,1.1,13.2,24.3
ARZ,3,,,,,,3
ATL,7,8,10.6,9.3,15.1,14.1,64.1
BAL,12,13,16.6,37.1,10,14,102.7
CHI,5,2,15.6,0.3,5,26.3,54.2
CIN,2,0,0.3,6.5,0,4.1,12.9
CLE,1,3,6.5,6.1,2.3,11.1,30
DAL,0,6,14,10.8,0,16.8,47.6
DEN,13,9,6.2,20.5,2.7,13.4,64.8
DET,11,2,14.5,17.7,2.3,24.4,71.9
GB,9,17,19.2,25.9,5.6,21.2,97.9
IND,11,11,32,21.4,11.7,49.8,136.9
JAC,2,2,16.7,5.8,1.2,32.8,60.5
KC,7,,,13.6,18.7,12.4,51.7
MIA,6,4,8.2,5.3,0,18,41.5
NE,7,2,4.9,5.3,0,10.7,29.9
NO,7,1,12.5,12.2,0,10.9,43.6
NYG,1,,10.4,14,1.8,20.5,47.7
NYJ,10,7,6.2,21.9,2.5,17,64.6
OAK,15,10,7.7,26.5,4.4,10.8,74.4
PHI,19,3,19.2,4,12.5,12.7,70.4
PIT,7,7,18.1,21.4,4,14.4,71.9
SD,9,12,5.4,10,12,7,55.4
SEA,12,8,14,6.9,5.8,17.5,64.2
SF,9,11,27.4,31.3,1.3,37,117
STL,22,11,27.1,10.8,0.7,53.8,125.4
TB,13,5,4.2,12.2,7,9.4,50.8
TEN,5,,10.8,13.7,11.9,12.5,53.9
WAS,6,3,19.3,13.7,2.8,16.8,61.6
5,183,176,420.4,496.1,125,565,1965.5
ARI,,7,15.4,23.5,1.4,17.8,65.1
ARZ,3,,,,,,3
ATL,12,4,4.3,6.5,0,13.1,39.9
BAL,8,11,4.8,20.9,8.3,6.5,59.5
BUF,3,10,17.9,17.7,0.5,25.9,75
CAR,6,7,8.6,16,2.6,7.7,47.9
CHI,8,8,27.2,0,3.5,33.4,80.1
CIN,6,10,13.4,18,9.3,11.3,68
CLE,3,0,2.3,2.1,0,16.7,24.1
DAL,7,5,1.4,22.1,0,6.6,42.1
DEN,13,2,17.3,5.6,6,35.4,79.3
DET,2,5,18.1,26.1,1.2,19.5,71.9
GB,5,6,23.3,10,5.4,36.3,86
IND,4,4,15.6,10.3,6.1,20.3,60.3
JAC,8,7,9.2,3.8,3.7,21.9,53.6
KC,10,,,20.4,9.4,26.1,65.9
MIA,11,7,16.7,17.6,0,25.3,77.6
MIN,4,7,25.7,1.2,3.8,36.5,78.2
NE,8,4,24.6,16,0,37.5,90.1
NYG,4,2,9.8,5.4,6.2,20.6,48
PHI,10,12,24.1,23.4,6.6,12.3,88.4
PIT,11,6,7.4,37.2,0.5,6.3,68.4
SD,2,6,19.9,29,5,12.2,74.1
SEA,2,5,9.4,23,8.6,9.5,57.5
SF,4,9,16.4,23.5,2.4,21.5,76.8
STL,7,21,38.9,46.4,3.6,48.5,165.4
TB,5,4,12.4,15.7,5.9,13.5,56.5
TEN,9,,25.8,21.7,22.2,17.7,96.4
WAS,8,7,10.5,33,2.8,5.1,66.4
6,208,165,373.2,399.7,110,512.2,1768.1
ARI,,11,14.7,19.5,0.5,25.1,70.8
ARZ,1,,,,,,1
ATL,4,5,6.2,2.4,9.3,10.9,37.8
BAL,15,15,6.8,6.3,2.6,9.5,55.2
BUF,3,7,11.3,11.1,2.3,16,50.7
CAR,3,13,19.5,15.1,12,21,83.6
CHI,10,3,6.9,0,1.8,18.4,40.1
CIN,12,0,4.7,16.2,1.9,4,38.8
CLE,5,2,5.6,30.7,1.6,9.8,54.7
DEN,10,3,22.1,9.5,14.4,24.3,83.3
DET,20,7,18.6,19.1,0,16.6,81.3
GB,5,10,9.7,23.3,1.8,23.1,72.9
IND,4,10,12.1,10.9,2.1,34.1,73.2
JAC,4,3,5.8,15.1,4.5,15.8,48.2
MIA,18,8,10.6,7.9,0.4,14.9,59.8
MIN,8,11,22.7,-0.1,10.1,18.8,70.5
NE,8,6,21,15.8,0,22.5,73.3
NO,11,7,25.7,26,0,24.5,94.2
NYG,10,7,2.5,23.5,0,7.5,50.5
NYJ,1,2,1.1,5.7,1.9,8.4,20.1
OAK,4,6,30.9,12.7,0,40.1,93.7
PHI,7,2,13.7,5.2,8.7,18,54.6
PIT,9,8,12.9,23.9,1.5,16.6,71.9
SD,2,0,7.8,8.5,13.2,0,31.5
SEA,4,3,6.9,6.2,3.6,13.7,37.4
SF,5,3,31,18.9,1.9,44.8,104.6
TB,10,10,20,9.3,1.5,18.8,69.6
TEN,5,,12.9,25.4,7.6,18.1,69
WAS,10,3,9.5,31.6,4.8,16.9,75.8
7,201,142,371.1,543.8,118.6,519.6,1896.1
ARI,,2,16.8,16.6,0.5,17.9,53.8
ARZ,3,,,,,,3
ATL,11,3,14.8,18.8,1.5,22.9,72
BAL,5,3,5.2,7,5,8.2,33.4
BUF,12,9,14.3,26.3,1.1,28.9,91.6
CAR,7,6,5.1,-0.9,5.3,9.4,31.9
CHI,5,4,15.1,0,3.2,23.4,50.7
CIN,1,0,4.3,6.4,3.7,13.6,29
CLE,0,4,10.5,10.4,7.6,19.4,51.9
DAL,2,2,3.1,21.9,1.9,9.2,40.1
DEN,17,13,27.4,19.1,8.5,42.8,127.8
GB,2,7,18.1,35.4,4,20.9,87.4
IND,12,13,15.2,40.8,15.3,15.9,112.2
JAC,2,7,9.6,14.3,1.1,6.3,40.3
KC,4,4,,14.9,16,13.5,52.4
MIN,2,4,21.4,0.6,0.9,17.1,46
NE,5,5,7.3,10.8,0,19.4,47.5
NO,12,5,5.3,36.1,0,19.1,77.5
NYG,12,,11,27.5,6.1,8.4,65
NYJ,25,9,3.9,38.5,0,9.2,85.6
OAK,3,6,19.6,22.5,1.9,11.9,64.9
PHI,7,9,22.5,28.6,12.2,7.6,86.9
PIT,12,7,11.3,10,0.5,22.7,63.5
SD,8,6,13.6,12.2,0,20.3,60.1
SEA,5,5,21.4,6,8.1,34.6,80.1
SF,2,4,30,25.5,0,41,102.5
STL,11,1,22.6,49.9,0,34,118.5
TEN,9,,17.8,24.7,10.7,15.1,77.3
WAS,5,4,3.9,19.9,3.5,6.9,43.2
8,181,194,369.5,577.2,110.2,579.5,2011.4
ARI,,1,4.8,17.7,0.4,10.8,34.7
ARZ,1,,,,,,1
ATL,4,6,17.6,9,2.4,29.7,68.7
BAL,4,6,6,12.9,10.4,12.3,51.6
BUF,2,9,20.6,28.8,0,27.8,88.2
CAR,13,10,24.7,25.5,2.4,30.1,105.7
CHI,5,9,5.5,0,0.9,18.2,38.6
CIN,8,7,2.6,45.7,2.5,15.9,81.7
CLE,3,-1,-3.1,5.6,2.3,2.9,9.7
DAL,13,12,14.2,25.5,0,19.2,83.9
DEN,4,1,20.2,23.3,11.2,30.6,90.3
DET,8,7,7.4,34.7,1.7,10.5,69.3
IND,2,6,22.7,22.9,4.8,34.1,92.5
JAC,4,10,12,16.7,11.1,14.7,68.5
KC,12,11,,30.6,17.7,29,100.3
MIA,9,12,14.4,30.8,1.3,33.3,100.8
MIN,3,11,22.9,0,1.2,18.3,56.4
NE,2,11,19.9,27,2.4,11.4,73.7
NO,6,3,9.4,40.3,2,13.6,74.3
NYJ,8,10,29.8,24.3,6.1,37.9,116.1
OAK,8,7,18.4,27,3.7,25.6,89.7
PHI,5,7,13.6,14.7,8.2,5.7,54.2
PIT,7,16,6.3,18.9,0,10.3,58.5
SEA,3,2,1.3,18,3.9,5.4,33.6
SF,3,4,21.5,23.8,2.2,24.3,78.8
STL,2,,23.4,18.8,9.4,47.6,101.2
TB,9,12,3.3,8.1,1.8,10.6,44.8
TEN,19,,9.3,0.4,0.5,7.7,36.9
WAS,14,5,20.8,26.2,-0.3,42,107.7
9,211,134,317.5,467.9,167.4,415.9,1713.7
ARI,,2,10.9,17.6,12.7,13.8,57
ARZ,4,,,,,,4
ATL,12,5,4.3,16.5,0.9,12.6,51.3
BAL,7,6,4.4,16.5,3.5,6.4,43.8
BUF,15,10,11.6,17.3,1.3,19.8,75
CAR,7,12,0.2,7.4,5.7,7.4,39.7
CIN,6,4,1.3,26,1.9,4.5,43.7
CLE,6,3,4.9,5.6,0.3,13.2,33
DAL,0,5,5.7,10.1,0.5,17.2,38.5
DET,11,3,11.8,23.5,2,3.6,54.9
GB,3,7,3.8,32.8,6.1,5.8,58.5
IND,13,4,19.5,18.5,24.6,17.6,97.2
JAC,8,4,25.3,12.8,19.8,19.3,89.2
KC,11,6,,10.3,10.1,39.4,76.8
MIA,12,4,16.9,13.1,0,20.4,66.4
MIN,1,7,14,0.5,3.6,16.7,42.8
NO,17,2,10.3,23,0,4.5,56.8
NYG,6,,14.4,36.2,1.3,20.7,78.6
NYJ,1,8,13.7,8.6,7.3,28.5,67.1
OAK,7,14,6.9,4.7,2.1,10.6,45.3
PHI,3,0,11.4,5.3,2.6,11.3,33.6
PIT,9,3,10.4,11,1.1,16.1,50.6
SD,3,0,15,3.8,23.1,1.6,46.5
SEA,7,7,11,23.5,12.2,11,71.7
SF,4,4,23,14.3,1.7,30.2,77.2
STL,2,,19,43.8,1.7,23.8,90.3
TB,14,11,27,24.7,8.7,32.2,117.6
TEN,21,,9.4,11.3,8.8,2.4,52.9
WAS,1,3,11.4,29.2,3.8,5.3,53.7
10,177,171,372.3,482.2,175.8,551.7,1930
ARI,,3,1.8,13.8,1.3,10,29.9
ARZ,13,,,,,,13
ATL,6,2,9.9,10.7,1.4,28.1,58.1
BAL,4,9,22.4,19,18.6,18.4,91.4
BUF,7,10,11.5,15.9,10.9,8.9,64.2
CAR,9,13,15,6.3,7.6,24.2,75.1
CHI,12,9,12.7,2.3,2.1,22.5,60.6
CIN,1,1,4.3,6.7,5.2,11.4,29.6
CLE,5,3,6.4,6.6,2.7,11,34.7
DAL,4,7,,20.3,0,6,37.3
DEN,6,12,20.3,18.2,8,35.8,100.3
DET,1,0,4.4,15.3,6.4,4,31.1
GB,13,8,17.6,24.1,0,25.3,88
IND,0,4,18.3,23.7,10.8,20.5,77.3
KC,0,7,,12.7,13.4,41.8,74.9
MIA,10,11,8.7,28.1,3.3,4.9,66
MIN,2,8,15,0.9,0.9,14.3,41.1
NE,3,7,0.5,16.9,0,9.1,36.5
NO,4,7,25.1,18.1,0.6,33.4,88.2
NYG,6,,22.4,18.6,0.1,38.4,85.5
NYJ,3,11,9.7,21.8,10.1,18.2,73.8
OAK,10,,29,42.9,17.6,22.3,121.8
PHI,7,9,14.9,29.1,2.3,2.8,65.1
PIT,3,1,9.6,6.3,11.2,2,33.1
SD,3,8,10.9,17.6,8.6,10.3,58.4
SEA,7,5,9.4,7,7,11.5,46.9
SF,4,0,12.9,20.6,5.3,18.3,61.1
STL,9,,26.4,10.1,1.8,47.1,94.4
TB,12,9,14.1,10.1,7.6,22.2,75
TEN,8,,12.1,10.1,5.7,16.2,52.1
WAS,5,7,7,28.4,5.3,12.8,65.5
11,198,163,387.4,473,125.1,507.1,1853.6
ARI,,2,9.7,15.3,1,11.6,39.6
ARZ,11,,,,,,11
ATL,4,4,1,21.5,0,8.5,39
BAL,5,6,17.2,20.5,9.2,23.9,81.8
BUF,16,7,14.5,13.2,0.7,14.1,65.5
CAR,6,4,8.9,7.4,0,30.5,56.8
CHI,3,3,-1.5,0.4,1.2,11.8,17.9
CIN,2,6,1.2,12.1,2.1,4,27.4
CLE,12,13,11.3,18.9,6.9,6.1,68.2
DAL,7,8,16.2,3.1,1.3,30.4,66
DEN,10,9,13,12.8,18.5,13.4,76.7
DET,7,7,3.5,13,1.7,4.2,36.4
GB,2,8,12.4,10.2,10.5,11.9,55
IND,4,11,12.6,19.6,7.6,17.3,72.1
JAC,1,3,25.1,19.7,3,31.3,83.1
KC,1,0,,22.3,4.6,10,37.9
MIA,11,5,7.2,21.1,0,6.8,51.1
MIN,7,7,28.6,2.6,1.1,17.2,63.5
NE,1,3,5.1,19.2,8,9.6,45.9
NO,24,7,11.2,17.7,0,19.7,79.6
NYG,4,,17.6,23.3,3.3,26.9,75.1
NYJ,2,-1,10.8,20.1,0,28.6,60.5
OAK,5,6,14.9,19.7,3.7,31.5,80.8
PHI,5,13,19.2,21,10.3,1.8,70.3
PIT,11,11,6.1,23.4,0.3,7.6,59.4
SD,0,0,5.2,17.6,3.9,7.1,33.8
SEA,7,4,21.5,26.8,3.3,26.3,88.9
SF,5,2,26.2,20.4,4.1,10.9,68.6
STL,9,7,36.3,7.9,6.1,45.5,111.8
TB,3,8,13.9,11.4,5.7,20.8,62.8
TEN,13,,18.5,10.8,7,17.8,67.1
12,268,171,387.2,466,161.6,525.9,1979.7
ARI,,3,3.1,11.4,0.3,17.7,35.5
ARZ,7,,,,,,7
ATL,2,6,4.2,10.8,2.9,9.1,35
BAL,7,8,13.6,36.5,16.1,14.3,95.5
BUF,9,3,25.9,3.7,10.1,21.1,72.8
CAR,5,5,11,21.2,4.7,15,61.9
CHI,16,6,5.1,1.1,0.9,13,42.1
CIN,3,6,,14.6,2.9,24.7,51.2
CLE,23,4,2.5,8.5,2,3.9,43.9
DAL,6,-1,-0.5,6,0,10.1,20.6
DEN,9,7,28.1,13.8,19.8,51.5,129.2
DET,12,6,20,17.2,11.6,14.4,81.2
GB,16,5,17.7,19.8,9.5,27.6,95.6
IND,4,6,21.8,20.2,3.9,30.4,86.3
JAC,15,10,7.7,49.3,6.2,11.4,99.6
KC,3,4,,13.4,20.2,22.7,63.3
MIA,6,3,-0.9,13,-1.4,5.7,25.4
MIN,11,7,22.3,1.6,2.8,17.9,62.6
NE,5,10,7.9,11.9,0.3,23.9,59
NO,7,10,15.6,14.9,0,27,74.5
NYG,5,,25.8,11.9,12.9,23.7,79.3
NYJ,11,8,1.5,10.5,0.8,3.4,35.2
OAK,5,7,18.2,19.2,1.7,22.9,74
PHI,16,10,19.6,23,16,1.8,86.4
PIT,7,3,23.4,10.6,1.7,16.1,61.8
SD,19,13,22.3,5.1,4.5,17.8,81.7
SF,12,10,14.3,14.4,0.3,11.1,62.1
STL,4,8,20.9,19.2,1.2,28.9,82.2
TB,3,4,12.8,8.2,3.1,5.1,36.2
TEN,6,,1.3,33.3,4.5,11.8,56.9
WAS,14,0,22,21.7,2.1,21.9,81.7
13,255,178,404.8,548.6,151.3,504.4,2042.1
ARI,,1,-1.2,24.8,1.3,9.2,35.1
ARZ,3,,,,,,3
ATL,4,2,9.8,10.7,8.7,9.7,44.9
BAL,12,14,15.6,46.3,1.7,25.1,114.7
BUF,7,4,23.8,15,7.7,28.1,85.6
CAR,13,7,18.8,30.2,4.2,26.1,99.3
CHI,2,4,7.9,1.8,0,12.8,28.5
CIN,4,4,6.7,38.7,0,15.6,69
CLE,4,1,1.8,9,2.5,8.8,27.1
DAL,2,8,13.3,9.6,10.5,16.9,60.3
DEN,13,8,10.1,31.1,17.5,25.3,105
DET,12,10,17.5,17.8,14,6,77.3
GB,6,2,8.7,23.7,1.2,20.5,62.1
IND,2,1,17,15.5,4.5,24.7,64.7
JAC,2,10,9.6,18.6,2.8,14.3,57.3
KC,22,10,,12,0,8.5,52.5
MIA,2,5,11.3,23.4,0,14,55.7
MIN,4,9,17,1.2,2.6,28.3,62.1
NE,4,9,4.8,5.3,2.5,11.5,37.1
NO,14,6,23,12.8,0,16.8,72.6
NYG,14,,13.1,26.9,9.9,23.2,87.1
NYJ,6,4,14.5,16.1,6.2,10.2,57
OAK,16,11,23.6,31.1,1.7,30.2,113.6
PHI,5,11,26,4.7,12.6,3.2,62.5
PIT,16,12,29.3,17.7,9,32.1,116.1
SD,7,5,11,8.3,14.7,1.2,47.2
SEA,23,7,11.2,27.8,1.6,16.2,86.8
STL,5,6,15.6,10.4,0.5,34.8,72.3
TB,16,7,11,24.9,1.7,6.6,67.2
TEN,7,,13.7,23.8,1.8,6.4,52.7
WAS,8,0,20.3,9.4,9.9,18.1,65.7
14,222,172,318.7,530.6,133.1,525.1,1901.5
ARI,,0,17.1,10.8,0,34,61.9
ARZ,3,,,,,,3
ATL,0,4,6.2,8.5,14,13.7,46.4
BUF,4,-1,0.3,18.3,1,6.9,29.5
CAR,22,10,4.2,9.4,2.2,13.9,61.7
CHI,1,6,7.6,0.6,4.7,7.8,27.7
CIN,5,4,,42.9,8.9,5.7,66.5
CLE,2,0,-1,7.9,0,1.6,10.5
DAL,4,0,2.7,17.9,1.4,9.7,35.7
DEN,9,8,12,52.7,16.6,8.1,106.4
DET,4,5,0.9,16.2,2.3,21.4,49.8
GB,11,4,12.7,22.7,2,23.3,75.7
IND,4,5,15.6,8,3.6,39.2,75.4
JAC,8,12,19.9,45.4,4.1,23.1,112.5
KC,5,6,,8.7,20.7,26.7,67.1
MIA,12,15,18.6,23.4,0,23,92
MIN,9,6,8.9,1.5,3.2,6,34.6
NE,6,11,19.8,15.2,12.8,26.2,91
NO,1,10,22.9,3.1,0,39.8,76.8
NYG,6,,4.7,16.7,0.1,9.6,37.1
NYJ,9,8,18.1,35.7,1.9,31.2,103.9
OAK,13,7,18.8,13.4,3.9,18.2,74.3
PHI,4,7,19.5,5.5,5.5,9.1,50.6
PIT,4,3,21,19.6,7.1,13.3,68
SD,2,5,6.8,12,4.9,17.7,48.4
SEA,18,12,14,22.2,0.9,22.5,89.6
SF,18,13,23.6,17.4,6.2,36.7,114.9
STL,11,3,-0.4,14.7,0,8.1,36.4
TB,16,9,2.8,39,-2,4.3,69.1
TEN,5,,10.7,12.9,3.9,11.5,44
WAS,6,0,10.7,8.3,3.2,12.8,41
15,218,179,398.9,514.4,119.4,599.1,2028.8
ARI,,3,5.9,6.5,1.2,19.8,36.4
ARZ,0,,,,,,0
BAL,12,6,9.7,21.3,0.7,25.5,75.2
BUF,2,6,10.2,21.4,0,22.8,62.4
CAR,8,1,12.3,11.1,10.3,17.9,60.6
CHI,2,5,17.8,0.5,3.6,21.4,50.3
CIN,4,3,,7.2,3.2,7.3,24.7
CLE,9,6,12.7,19,5,32.8,84.5
DAL,9,13,3.8,24.8,1.1,22.9,74.6
DEN,14,7,10,25.7,0.7,25.9,83.3
DET,6,7,5.1,12.5,1.4,12.5,44.5
GB,10,13,8.7,26.1,3.8,15.3,76.9
IND,27,14,5.1,32.4,1.6,9.5,89.6
JAC,6,14,24.9,28.2,8.1,33.2,114.4
KC,8,9,,10.8,17.6,16.9,62.3
MIA,6,7,-2.8,17.1,0,7.5,34.8
MIN,0,3,30.5,0,12.8,14.7,61
NE,3,5,17.6,6.7,3.9,25.6,61.8
NO,8,11,26.9,19,0,20.8,85.7
NYG,4,,21.1,17.8,2.5,38,83.4
NYJ,4,1,9.4,22.7,1.5,13.6,52.2
OAK,19,7,15.2,20.7,1.5,24.3,87.7
PHI,11,5,30.8,11,10.8,26.9,95.5
PIT,1,2,11.8,5.6,0,26,46.4
SD,9,3,-0.6,7,1.7,3.2,23.3
SEA,3,6,20.6,10.7,6,36.8,83.1
SF,5,3,32.3,11.3,8.4,27.7,87.7
STL,4,10,13.9,49.8,4,26.9,108.6
TB,17,9,6.6,15.7,2.2,4.1,54.6
TEN,4,,27.6,34.2,5,13.1,83.9
WAS,3,0,11.8,17.6,0.8,6.2,39.4
16,231,127,305.4,559.2,106.3,423.2,1752.1
ARI,,0,11.2,7.3,-0.2,26,44.3
ARZ,8,,,,,,8
ATL,9,1,2.1,11.2,2.4,1.5,27.2
BAL,10,7,2.5,19.2,3.7,3.3,45.7
BUF,1,2,14.9,17.3,8,13.2,56.4
CAR,11,6,14.2,1.4,2.4,26.3,61.3
CHI,7,0,1.2,0,0.8,7,16
CIN,9,5,,8.1,0,12.4,34.5
CLE,4,0,4.5,4.7,0.8,3.5,17.5
DAL,3,7,5.4,12.5,0,5.5,33.4
DEN,10,0,9.8,7.1,1.8,18.5,47.2
DET,5,4,3.6,24.1,3.1,3.6,43.4
GB,5,15,23.4,28.9,4.1,30.1,106.5
IND,10,8,20.2,12.3,14.9,6.6,72
JAC,12,1,11,16.5,3.8,17.9,62.2
KC,4,8,,34.8,4.6,7.2,58.6
MIA,5,7,6.9,17,2.4,4,42.3
MIN,2,4,33.6,0,11,24,74.6
NE,6,6,7.6,24.1,4.2,10.8,58.7
NO,17,11,10.1,18.6,0,21,77.7
NYG,11,0,7.5,21.3,2.1,12.6,54.5
NYJ,7,-1,5.8,19,0.5,9,40.3
OAK,7,5,6,37.6,1.5,12.6,69.7
PIT,19,6,7.9,29.4,2.1,12.6,77
SD,13,1,15.7,21.9,10.7,8.1,70.4
SEA,9,7,13.2,32.8,2.9,15.2,80.1
SF,4,4,26.2,7.2,8,40.7,90.1
STL,6,5,14.6,37.2,0.8,32.6,96.2
TB,8,8,20,38,1,31.3,106.3
TEN,6,,3.1,36.4,2.4,4.6,52.5
WAS,3,0,3.2,13.3,6.5,1.5,27.5
17,287,165,383.3,490,154.1,495.8,1975.2
ARI,,3,0.8,6.5,5,8.3,23.6
ARZ,6,,,,,,6
ATL,6,17,16.7,13.7,10.3,13.1,76.8
BAL,33,5,4.5,10.6,4.6,6.7,64.4
BUF,13,5,29.7,41.2,8.4,39.2,136.5
CAR,0,9,7.3,8.5,1,16,41.8
CHI,15,11,11.6,2,2,18.9,60.5
CIN,10,0,0,10.9,4,16.9,41.8
DAL,9,,-5.7,4.1,0,4.2,11.6
DEN,10,7,21,29.7,4.5,22.1,94.3
DET,5,8,7.2,9.3,9.3,7.9,46.7
GB,5,5,6.1,31.4,1.1,5.7,54.3
IND,3,7,25.2,27.4,2.1,35.7,100.4
JAC,5,5,16.5,11.7,9.1,25.8,73.1
KC,3,0,,12.6,14.6,11.2,41.4
MIA,7,7,17.1,19.9,13.4,5.5,69.9
MIN,2,4,11.3,0.1,1.8,13.4,32.6
NE,2,6,16.5,24.1,6.1,20.7,75.4
NO,11,3,15,4.6,0.6,29.7,63.9
NYG,12,0,18.7,19.8,2,36.4,88.9
NYJ,8,8,19.2,29.3,1.5,32.4,98.4
OAK,22,10,32.4,23.2,27.8,16.7,132.1
PHI,8,9,9.9,11,6.6,13.6,58.1
PIT,16,10,27.5,10.2,3.3,3.6,70.6
SD,12,3,7.4,9.8,1.7,2.8,36.7
SEA,8,5,9.5,21.8,2.6,10,56.9
SF,6,2,10.9,6.1,0,19.9,44.9
STL,4,8,11.9,46.7,1.1,19.6,91.3
TB,9,5,15.5,9.1,2.6,22.7,63.9
TEN,26,,11.6,16.4,3.5,16.5,74
WAS,11,3,8,18.3,3.5,0.6,44.4
2001,3751,2968,6348.3,8541.1,2430.1,9418.9,33457.4
1,230,176,355.3,468.8,170.2,500.3,1900.6
ATL,4,7,9.6,15.4,0,2.7,38.7
BAL,6,4,,17.7,9.1,11.9,48.7
BUF,1,6,2.7,11.3,1.6,13.3,35.9
CAR,17,6,16.6,9.4,7.4,18.9,75.3
