"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"3B","Rio Ruiz",2800,"NYM@ATL 01:10PM ET",4.619,"ATL","NYM",5.53,5.6,5.92,NA,"7","7",NA
"1B/OF","Jose Martinez",2700,"PHI@STL 02:15PM ET",3.857,"STL","PHI",5.73,0,1.78,NA,"x","x",NA
"3B","Maikel Franco",2700,"PHI@STL 02:15PM ET",5.909,"PHI","STL",6.02,7.1,5.47,NA,"5","5",0
"2B/3B","Christian Colon",2700,"MIA@PIT 04:05PM ET",1.556,"MIA","PIT",NA,0,1.5,NA,"x","x",NA
"2B/OF","Steve Lombardozzi",2700,"MIA@PIT 04:05PM ET",0,"MIA","PIT",NA,0,NA,NA,"x","x",NA
"C","Elias Diaz",2700,"MIA@PIT 04:05PM ET",6,"PIT","MIA",5.49,5.8,5.94,NA,"7","7",15
"SS","Adeiny Hechavarria",2700,"MIA@PIT 04:05PM ET",5,"MIA","PIT",NA,0,NA,NA,"x","x",NA
"OF","Peter Bourjos",2700,"OAK@TB 02:10PM ET",3.306,"TB","OAK",NA,NA,NA,NA,"8","x",5
"OF","Ben Revere",2700,"LAA@HOU 04:10PM ET",3.644,"LAA","HOU",5.41,6.4,6.16,NA,"7","7",7
"C","Christian Bethancourt",2700,"KC@SD 04:10PM ET",0.375,"SD","KC",NA,0,NA,NA,"x","x",NA
"SS","Amed Rosario",2700,"NYM@ATL 01:10PM ET",0,"NYM","ATL",NA,0,NA,NA,"x","x",NA
"SS","Ozhaino Albies",2700,"NYM@ATL 01:10PM ET",0,"ATL","NYM",NA,0,NA,NA,"x","x",NA
"OF","Michael Saunders",2600,"PHI@STL 02:15PM ET",5.304,"PHI","STL",NA,NA,NA,NA,"6","x",NA
"2B/SS","Greg Garcia",2600,"PHI@STL 02:15PM ET",2.609,"STL","PHI",NA,0,1.75,NA,"x","x",NA
"OF","Magneuris Sierra",2600,"PHI@STL 02:15PM ET",8.625,"STL","PHI",NA,0,NA,NA,"x","x",NA
"C","AJ Ellis",2600,"MIA@PIT 04:05PM ET",4.286,"MIA","PIT",NA,0,1.55,NA,"x","x",NA
"2B","Phil Gosselin",2600,"MIA@PIT 04:05PM ET",1.261,"PIT","MIA",NA,0,NA,NA,"x","x",NA
"2B","Chris Bostick",2600,"MIA@PIT 04:05PM ET",0.667,"PIT","MIA",NA,0,NA,NA,"x","x",NA
"OF","Austin Meadows",2600,"MIA@PIT 04:05PM ET",0,"PIT","MIA",NA,0,NA,NA,"x","x",NA
"3B","Trevor Plouffe",2600,"OAK@TB 02:10PM ET",4.947,"OAK","TB",5.92,5.6,7.07,NA,"x","7",3
"OF","Jake Smolinski",2600,"OAK@TB 02:10PM ET",0,"OAK","TB",NA,0,NA,NA,"x","x",NA
"C","Stephen Vogt",2600,"OAK@TB 02:10PM ET",4.556,"OAK","TB",NA,NA,NA,NA,"7","x",0
"OF","Ryan LaMarre",2600,"OAK@TB 02:10PM ET",0.667,"OAK","TB",NA,0,NA,NA,"x","x",NA
"2B/SS","Chad Pinder",2600,"OAK@TB 02:10PM ET",6.029,"OAK","TB",5.58,5.2,1.49,NA,"8","2",7
