"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","Projection_dfn_floor","Projection_dfn_ceiling","Actual","Week14","FreqInd"
"WR","Willie Snead (7942094)","Willie Snead",7942094,5600,"NO@Ari 04:05PM ET","NO","Willie","Snead","Ari",10.31,12.4,3,0.155268022181146,"Snead, Willie",61,84,4,3,3,4.9,22.4,15.6,14.5,1
"WR","Taylor Gabriel (7942113)","Taylor Gabriel",7942113,5600,"SF@Atl 04:05PM ET","Atl","Taylor","Gabriel","SF",10.95,9.6,4,0.0883002207505519,"Gabriel, Taylor",29,40,5,4,1,4.3,19.8,15,NA,0
"RB","Jeremy Hill (7941997)","Jeremy Hill",7941997,5600,"Pit@Cin 01:00PM ET","Cin","Jeremy","Hill","Pit",13.09,14.1,7,0.0568421052631579,"Hill, Jeremy",21,27,0,6,6,4.6,21.4,12.1,26.2,1
"TE","Tyler Eifert (7942235)","Tyler Eifert",7942235,5600,"Pit@Cin 01:00PM ET","Cin","Tyler","Eifert","Pit",14.02,13.3,5,0.0926315789473684,"Eifert, Tyler",29,44,5,5,1,5.2,23.3,1.9,21.8,1
"WR","Donte Moncrief (7942083)","Donte Moncrief",7942083,5500,"Ind@Min 01:00PM ET","Ind","Donte","Moncrief","Min",9.71,13.5,4,0.107287449392713,"Moncrief, Donte",29,53,7,4,1,4.7,18.2,0,NA,1
"QB","Andy Dalton (7941875)","Andy Dalton",7941875,5500,"Pit@Cin 01:00PM ET","Cin","Andy","Dalton","Pit",18.47,17.7,NA,NA,"Dalton, Andy",NA,NA,NA,NA,NA,14.4,23.3,11.4,16.9,1
"RB","DeAngelo Williams (7941990)","DeAngelo Williams",7941990,5500,"Pit@Cin 01:00PM ET","Pit","DeAngelo","Williams","Cin",0,3.7,8,0.0460921843687375,"Williams, DeAngelo",15,23,1,6,6,-3.1,25.6,0,NA,0
"RB","Lamar Miller (7941900)","Lamar Miller",7941900,5400,"Jax@Hou 01:00PM ET","Hou","Lamar","Miller","Jax",14.27,15.6,5,0.0818965517241379,"Miller, Lamar",30,38,1,5,5,5.5,23.3,16.9,22.2,1
"WR","Jordan Matthews (7942049)","Jordan Matthews",7942049,5400,"Phi@Bal 01:00PM ET","Phi","Jordan","Matthews","Bal",13.86,17.2,1,0.207739307535642,"Matthews, Jordan",65,102,3,1,1,7.1,20,8.7,15.9,1
"QB","Alex Smith (7941840)","Alex Smith",7941840,5400,"Ten@KC 01:00PM ET","KC","Alex","Smith","Ten",15.58,17.5,15,0.0043859649122807,"Smith, Alex",1,2,0,15,6,7.9,21.8,12.6,14.2,1
"RB","Theo Riddick (7941939)","Theo Riddick",7941939,5400,"Det@NYG 01:00PM ET","Det","Theo","Riddick","NYG",12.6,13.7,4,0.144050104384134,"Riddick, Theo",55,69,5,3,2,8.4,24,0,NA,1
"RB","Doug Martin (7941889)","Doug Martin",7941889,5300,"TB@Dal 08:30PM ET","TB","Doug","Martin","Dal",11.37,10.3,8,0.0335429769392034,"Martin, Doug",14,16,0,7,9,7.1,16.4,4.2,16.5,1
"WR","Steve Smith Sr. (7942045)","Steve Smith Sr.",7942045,5300,"Phi@Bal 01:00PM ET","Bal","Steve","Smith","Phi",13.54,13.1,3,0.156363636363636,"Smith, Steve",60,86,3,3,3,NA,NA,NA,NA,NA
"WR","Terrelle Pryor Sr. (7942036)","Terrelle Pryor Sr.",7942036,5200,"Cle@Buf 01:00PM ET","Cle","Terrelle","Pryor","Buf",12.98,12.4,1,0.250535331905782,"Pryor, Terrelle",65,117,4,1,1,NA,NA,NA,NA,NA
"QB","Trevor Siemian (7941866)","Trevor Siemian",7941866,5200,"NE@Den 04:25PM ET","Den","Trevor","Siemian","NE",16.71,15,NA,NA,"Siemian, Trevor",NA,NA,NA,NA,NA,7.8,25.1,10.7,20.4,1
"QB","Tony Romo (7941816)","Tony Romo",7941816,5100,"TB@Dal 08:30PM ET","Dal","Tony","Romo","TB",0,0,NA,NA,"Romo, Tony",NA,NA,NA,NA,NA,0,0,0,NA,1
"WR","Cole Beasley (7942015)","Cole Beasley",7942015,5100,"TB@Dal 08:30PM ET","Dal","Cole","Beasley","TB",11.48,10.5,1,0.219753086419753,"Beasley, Cole",65,89,5,1,2,7.7,17.8,8.8,8.1,1
"QB","Brock Osweiler (7941824)","Brock Osweiler",7941824,5100,"Jax@Hou 01:00PM ET","Hou","Brock","Osweiler","Jax",14.94,13.3,14,0.0021551724137931,"Osweiler, Brock",1,1,0,13,8,8.2,17.3,-0.1,4.7,1
"RB","Derrick Henry (7941934)","Derrick Henry",7941934,5100,"Ten@KC 01:00PM ET","Ten","Derrick","Henry","KC",5.61,5.8,9,0.0288461538461538,"Henry, Derrick",10,12,0,8,10,0.8,11.7,17.8,5.7,0
"WR","Dontrelle Inman (7942128)","Dontrelle Inman",7942128,5100,"Oak@SD 04:25PM ET","SD","Dontrelle","Inman","Oak",11.58,11.4,2,0.179431072210066,"Inman, Dontrelle",48,82,4,2,4,1.7,19.9,11.8,19.1,0
"QB","Matt Barkley (7941813)","Matt Barkley",7941813,5000,"GB@Chi 01:00PM ET","Chi","Matt","Barkley","GB",13.33,15.6,NA,NA,"Barkley, Matt",NA,NA,NA,NA,NA,1.5,22.1,21.5,NA,1
"QB","David Fales (7941814)","David Fales",7941814,5000,"GB@Chi 01:00PM ET","Chi","David","Fales","GB",0,0,NA,NA,"Fales, David",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Brett Hundley (7941815)","Brett Hundley",7941815,5000,"GB@Chi 01:00PM ET","GB","Brett","Hundley","Chi",0,0,NA,NA,"Hundley, Brett",NA,NA,NA,NA,NA,-0.7,0.3,0,-0.2,1
"QB","Mark Sanchez (7941817)","Mark Sanchez",7941817,5000,"TB@Dal 08:30PM ET","Dal","Mark","Sanchez","TB",0,0,NA,NA,"Sanchez, Mark",NA,NA,NA,NA,NA,0.1,0.1,0,NA,1
"QB","Mike Glennon (7941818)","Mike Glennon",7941818,5000,"TB@Dal 08:30PM ET","TB","Mike","Glennon","Dal",0,0,NA,NA,"Glennon, Mike",NA,NA,NA,NA,NA,9,9,0,NA,1
"QB","Ryan Griffin (7941819)","Ryan Griffin",7941819,5000,"TB@Dal 08:30PM ET","TB","Ryan","Griffin","Dal",0,0,NA,NA,"Griffin, Ryan",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Chad Henne (7941822)","Chad Henne",7941822,5000,"Jax@Hou 01:00PM ET","Jax","Chad","Henne","Hou",0,0,NA,NA,"Henne, Chad",NA,NA,NA,NA,NA,-0.2,-0.2,0,NA,1
"QB","Brandon Weeden (7941823)","Brandon Weeden",7941823,5000,"Jax@Hou 01:00PM ET","Hou","Brandon","Weeden","Jax",0,0,NA,NA,"Weeden, Brandon",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Tom Savage (7941825)","Tom Savage",7941825,5000,"Jax@Hou 01:00PM ET","Hou","Tom","Savage","Jax",0,0,NA,NA,"Savage, Tom",NA,NA,NA,NA,NA,0,0,10.4,NA,1
"QB","Blake Bortles (7941826)","Blake Bortles",7941826,5000,"Jax@Hou 01:00PM ET","Jax","Blake","Bortles","Hou",16.2,15.4,NA,NA,"Bortles, Blake",NA,NA,NA,NA,NA,13.4,25.2,8.2,15.6,1
"QB","Brandon Allen (7941827)","Brandon Allen",7941827,5000,"Jax@Hou 01:00PM ET","Jax","Brandon","Allen","Hou",0,0,NA,NA,"Allen, Brandon",NA,NA,NA,NA,NA,0,0,0,NA,1
"WR","DeAndre Hopkins (7942028)","DeAndre Hopkins",7942028,5000,"Jax@Hou 01:00PM ET","Hou","DeAndre","Hopkins","Jax",12.54,12.9,1,0.265086206896552,"Hopkins, DeAndre",60,123,4,1,1,5.7,18.5,16.7,5.3,1
"QB","Josh McCown (7941828)","Josh McCown",7941828,5000,"Cle@Buf 01:00PM ET","Cle","Josh","McCown","Buf",0,0,NA,NA,"McCown, Josh",NA,NA,NA,NA,NA,3.7,23.6,0,NA,1
"QB","Robert Griffin III (7941830)","Robert Griffin III",7941830,5000,"Cle@Buf 01:00PM ET","Cle","Robert","Griffin III","Buf",15.54,0,NA,NA,"Griffin III, Robert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QB","EJ Manuel (7941831)","EJ Manuel",7941831,5000,"Cle@Buf 01:00PM ET","Buf","EJ","Manuel","Cle",0,0,NA,NA,"Manuel, EJ",NA,NA,NA,NA,NA,0.2,3.2,0.1,NA,1
"QB","Cody Kessler (7941832)","Cody Kessler",7941832,5000,"Cle@Buf 01:00PM ET","Cle","Cody","Kessler","Buf",0,0,NA,NA,"Kessler, Cody",NA,NA,NA,NA,NA,3.5,17.2,0,NA,1
"QB","Kevin Hogan (7941833)","Kevin Hogan",7941833,5000,"Cle@Buf 01:00PM ET","Cle","Kevin","Hogan","Buf",0,0,NA,NA,"Hogan, Kevin",NA,NA,NA,NA,NA,-5.1,19.5,0,NA,1
"QB","Cardale Jones (7941834)","Cardale Jones",7941834,5000,"Cle@Buf 01:00PM ET","Buf","Cardale","Jones","Cle",0,0,NA,NA,"Jones, Cardale",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Chase Daniel (7941836)","Chase Daniel",7941836,5000,"Phi@Bal 01:00PM ET","Phi","Chase","Daniel","Bal",0,0,NA,NA,"Daniel, Chase",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Ryan Mallett (7941837)","Ryan Mallett",7941837,5000,"Phi@Bal 01:00PM ET","Bal","Ryan","Mallett","Phi",0,0,NA,NA,"Mallett, Ryan",NA,NA,NA,NA,NA,-0.4,0.3,0,NA,1
"QB","Carson Wentz (7941838)","Carson Wentz",7941838,5000,"Phi@Bal 01:00PM ET","Phi","Carson","Wentz","Bal",15.1,15.3,NA,NA,"Wentz, Carson",NA,NA,NA,NA,NA,10.4,20.3,12.6,18.1,1
"QB","Matt Cassel (7941839)","Matt Cassel",7941839,5000,"Ten@KC 01:00PM ET","Ten","Matt","Cassel","KC",0,0,NA,NA,"Cassel, Matt",NA,NA,NA,NA,NA,-0.2,0.7,0,NA,1
"QB","Nick Foles (7941841)","Nick Foles",7941841,5000,"Ten@KC 01:00PM ET","KC","Nick","Foles","Ten",0,0,NA,NA,"Foles, Nick",NA,NA,NA,NA,NA,10,18,0,NA,1
"QB","Tyler Bray (7941842)","Tyler Bray",7941842,5000,"Ten@KC 01:00PM ET","KC","Tyler","Bray","Ten",0,0,NA,NA,"Bray, Tyler",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Dan Orlovsky (7941844)","Dan Orlovsky",7941844,5000,"Det@NYG 01:00PM ET","Det","Dan","Orlovsky","NYG",0,0,NA,NA,"Orlovsky, Dan",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Josh Johnson (7941846)","Josh Johnson",7941846,5000,"Det@NYG 01:00PM ET","NYG","Josh","Johnson","Det",0,0,NA,NA,"Johnson, Josh",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Ryan Nassib (7941848)","Ryan Nassib",7941848,5000,"Det@NYG 01:00PM ET","NYG","Ryan","Nassib","Det",0,0,NA,NA,"Nassib, Ryan",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Jake Rudock (7941849)","Jake Rudock",7941849,5000,"Det@NYG 01:00PM ET","Det","Jake","Rudock","NYG",0,0,NA,NA,"Rudock, Jake",NA,NA,NA,NA,NA,0,0,0,NA,1
"RB","Ameer Abdullah (7941943)","Ameer Abdullah",7941943,5000,"Det@NYG 01:00PM ET","Det","Ameer","Abdullah","NYG",0,0,9,0.0104384133611691,"Abdullah, Ameer",5,5,1,9,6,-0.2,27,0,NA,0
"QB","Shaun Hill (7941850)","Shaun Hill",7941850,5000,"Ind@Min 01:00PM ET","Min","Shaun","Hill","Ind",0,0,NA,NA,"Hill, Shaun",NA,NA,NA,NA,NA,-1.8,12.3,0,NA,1
"QB","Scott Tolzien (7941851)","Scott Tolzien",7941851,5000,"Ind@Min 01:00PM ET","Ind","Scott","Tolzien","Min",0,0,NA,NA,"Tolzien, Scott",NA,NA,NA,NA,NA,-2.1,13,0,NA,1
"QB","Sam Bradford (7941852)","Sam Bradford",7941852,5000,"Ind@Min 01:00PM ET","Min","Sam","Bradford","Ind",16.04,16.7,13,0.00212314225053079,"Bradford, Sam",1,1,0,11,6,10.2,19,9.6,NA,1
"QB","Taylor Heinicke (7941854)","Taylor Heinicke",7941854,5000,"Ind@Min 01:00PM ET","Min","Taylor","Heinicke","Ind",0,0,NA,NA,"Heinicke, Taylor",NA,NA,NA,NA,NA,0,0,0,NA,1
"RB","Adrian Peterson (7941947)","Adrian Peterson",7941947,5000,"Ind@Min 01:00PM ET","Min","Adrian","Peterson","Ind",0,0,10,0.0106157112526539,"Peterson, Adrian",2,5,0,10,6,2.8,4.9,2.3,NA,0
"QB","Drew Stanton (7941857)","Drew Stanton",7941857,5000,"NO@Ari 04:05PM ET","Ari","Drew","Stanton","NO",0,0,NA,NA,"Stanton, Drew",NA,NA,NA,NA,NA,-3.1,9.6,0,NA,1
"QB","Luke McCown (7941858)","Luke McCown",7941858,5000,"NO@Ari 04:05PM ET","NO","Luke","McCown","Ari",0,0,NA,NA,"McCown, Luke",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Matt Schaub (7941860)","Matt Schaub",7941860,5000,"SF@Atl 04:05PM ET","Atl","Matt","Schaub","SF",0,0,NA,NA,"Schaub, Matt",NA,NA,NA,NA,NA,-0.2,0,0.6,NA,1
"QB","Christian Ponder (7941862)","Christian Ponder",7941862,5000,"SF@Atl 04:05PM ET","SF","Christian","Ponder","Atl",0,0,NA,NA,"Ponder, Christian",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Blaine Gabbert (7941863)","Blaine Gabbert",7941863,5000,"SF@Atl 04:05PM ET","SF","Blaine","Gabbert","Atl",0,0,14,0.00249376558603491,"Gabbert, Blaine",1,1,0,14,8,4.9,21.7,0,NA,1
"RB","Tevin Coleman (7941971)","Tevin Coleman",7941971,5000,"SF@Atl 04:05PM ET","Atl","Tevin","Coleman","SF",12.47,13.8,5,0.0728476821192053,"Coleman, Tevin",25,33,2,5,6,5.3,24.3,8.6,19.5,1
"QB","Austin Davis (7941865)","Austin Davis",7941865,5000,"NE@Den 04:25PM ET","Den","Austin","Davis","NE",0,0,NA,NA,"Davis, Austin",NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Jimmy Garoppolo (7941867)","Jimmy Garoppolo",7941867,5000,"NE@Den 04:25PM ET","NE","Jimmy","Garoppolo","Den",0,0,13,0.0020746887966805,"Garoppolo, Jimmy",1,1,0,11,8,-1.9,20.4,0,NA,1
