"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg"
"RB","Jay Prosch (8045532)","Jay Prosch",8045532,3000,"Oak@Hou 04:35PM ET","Hou","Jay","Prosch","Oak",0,0,0,0
"RB","Jamize Olawale (8045533)","Jamize Olawale",8045533,3000,"Oak@Hou 04:35PM ET","Oak","Jamize","Olawale","Hou",0,1.6,0,0
"RB","Tyler Ervin (8045534)","Tyler Ervin",8045534,3000,"Oak@Hou 04:35PM ET","Hou","Tyler","Ervin","Oak",0,0,13,0.00838926174496644
"WR","Keith Mumphery (8045566)","Keith Mumphery",8045566,3000,"Oak@Hou 04:35PM ET","Hou","Keith","Mumphery","Oak",0,3.9,11,0.0218120805369128
"WR","Andre Holmes (8045567)","Andre Holmes",8045567,3000,"Oak@Hou 04:35PM ET","Oak","Andre","Holmes","Hou",2.25,3.5,7,0.0417335473515249
"WR","Seth Roberts (8045570)","Seth Roberts",8045570,3000,"Oak@Hou 04:35PM ET","Oak","Seth","Roberts","Hou",5.45,5.5,3,0.128410914927769
"WR","Johnny Holton (8045571)","Johnny Holton",8045571,3000,"Oak@Hou 04:35PM ET","Oak","Johnny","Holton","Hou",0,0,12,0.00642054574638844
"WR","Wendall Williams (8045573)","Wendall Williams",8045573,3000,"Oak@Hou 04:35PM ET","Hou","Wendall","Williams","Oak",4.76,0,12,0.011744966442953
"RB","Marcel Reece (8045538)","Marcel Reece",8045538,3000,"Det@Sea 08:15PM ET","Sea","Marcel","Reece","Det",2.88,3.1,0,0
"RB","Joique Bell (8045539)","Joique Bell",8045539,3000,"Det@Sea 08:15PM ET","Det","Joique","Bell","Sea",0,0,13,0.00165837479270315
"RB","Michael Burton (8045540)","Michael Burton",8045540,3000,"Det@Sea 08:15PM ET","Det","Michael","Burton","Sea",0,0,0,0
"RB","Terrence Magee (8045542)","Terrence Magee",8045542,3000,"Det@Sea 08:15PM ET","Sea","Terrence","Magee","Det",0,0,0,0
"RB","J.D. McKissic (8045544)","J.D. McKissic",8045544,3000,"Det@Sea 08:15PM ET","Sea","J.D.","McKissic","Det",0,0,15,0.00375234521575985
"WR","Andre Roberts (8045575)","Andre Roberts",8045575,3000,"Det@Sea 08:15PM ET","Det","Andre","Roberts","Sea",2.74,2.5,6,0.0431177446102819
"WR","TJ Jones (8045580)","TJ Jones",8045580,3000,"Det@Sea 08:15PM ET","Det","TJ","Jones","Sea",0,0,0,0
"WR","Tanner McEvoy (8045582)","Tanner McEvoy",8045582,3000,"Det@Sea 08:15PM ET","Sea","Tanner","McEvoy","Det",4.24,2.5,10,0.0187617260787993
"WR","Kasen Williams (8045583)","Kasen Williams",8045583,3000,"Det@Sea 08:15PM ET","Sea","Kasen","Williams","Det",0,0,17,0.00187617260787992
"WR","Jace Billingsley (8045584)","Jace Billingsley",8045584,3000,"Det@Sea 08:15PM ET","Det","Jace","Billingsley","Sea",0,0,0,0
"RB","Roosevelt Nix (8045551)","Roosevelt Nix",8045551,3000,"Mia@Pit 01:05PM ET","Pit","Roosevelt","Nix","Mia",0,0,0,0
"RB","Kenyan Drake (8045554)","Kenyan Drake",8045554,3000,"Mia@Pit 01:05PM ET","Mia","Kenyan","Drake","Pit",2.9,2.9,10,0.0211864406779661
"WR","Darrius Heyward-Bey (8045585)","Darrius Heyward-Bey",8045585,3000,"Mia@Pit 01:05PM ET","Pit","Darrius","Heyward-Bey","Mia",0,0,10,0.0327868852459016
"WR","Cobi Hamilton (8045587)","Cobi Hamilton",8045587,3000,"Mia@Pit 01:05PM ET","Pit","Cobi","Hamilton","Mia",3.22,4.4,7,0.0508196721311475
"WR","Sammie Coates (8045590)","Sammie Coates",8045590,3000,"Mia@Pit 01:05PM ET","Pit","Sammie","Coates","Mia",5.46,5.2,5,0.0786885245901639
"WR","Rashawn Scott (8045591)","Rashawn Scott",8045591,3000,"Mia@Pit 01:05PM ET","Mia","Rashawn","Scott","Pit",0,0,0,0
"WR","Jakeem Grant (8045593)","Jakeem Grant",8045593,3000,"Mia@Pit 01:05PM ET","Mia","Jakeem","Grant","Pit",0,0,13,0.00211864406779661
"WR","Leonte Carroo (8045595)","Leonte Carroo",8045595,3000,"Mia@Pit 01:05PM ET","Mia","Leonte","Carroo","Pit",0,1,12,0.0105932203389831
"WR","Demarcus Ayers (8045596)","Demarcus Ayers",8045596,3000,"Mia@Pit 01:05PM ET","Pit","Demarcus","Ayers","Mia",0,0,0,0
"TE","Jesse James (8045626)","Jesse James",8045626,3000,"Mia@Pit 01:05PM ET","Pit","Jesse","James","Mia",3.92,1.2,4,0.0983606557377049
"RB","James Starks (8045556)","James Starks",8045556,3000,"NYG@GB 04:40PM ET","GB","James","Starks","NYG",0,0,7,0.0394321766561514
"RB","Shane Vereen (8045557)","Shane Vereen",8045557,3000,"NYG@GB 04:40PM ET","NYG","Shane","Vereen","GB",0,0,8,0.034257748776509
"RB","Bobby Rainey (8045558)","Bobby Rainey",8045558,3000,"NYG@GB 04:40PM ET","NYG","Bobby","Rainey","GB",0,0,6,0.0424143556280587
"RB","George Winn (8045559)","George Winn",8045559,3000,"NYG@GB 04:40PM ET","NYG","George","Winn","GB",0,0,0,0
"RB","Joe Kerridge (8045563)","Joe Kerridge",8045563,3000,"NYG@GB 04:40PM ET","GB","Joe","Kerridge","NYG",0,0,0,0
"WR","Dwayne Harris (8045599)","Dwayne Harris",8045599,3000,"NYG@GB 04:40PM ET","NYG","Dwayne","Harris","GB",0,0,14,0.0032626427406199
"WR","Tavarres King (8045600)","Tavarres King",8045600,3000,"NYG@GB 04:40PM ET","NYG","Tavarres","King","GB",0,0,12,0.0065252854812398
"WR","Trevor Davis (8045604)","Trevor Davis",8045604,3000,"NYG@GB 04:40PM ET","GB","Trevor","Davis","NYG",0,0,11,0.0126182965299685
"WR","Jeff Janis (8045606)","Jeff Janis",8045606,3000,"NYG@GB 04:40PM ET","GB","Jeff","Janis","NYG",2.07,0,9,0.0299684542586751
"WR","Roger Lewis (8045608)","Roger Lewis",8045608,3000,"NYG@GB 04:40PM ET","NYG","Roger","Lewis","GB",2.92,1.1,11,0.0309951060358891
"TE","Ryan Griffin (8045610)","Ryan Griffin",8045610,2900,"Oak@Hou 04:35PM ET","Hou","Ryan","Griffin","Oak",4.63,5.1,4,0.129194630872483
"TE","Will Tye (8045631)","Will Tye",8045631,2800,"NYG@GB 04:40PM ET","NYG","Will","Tye","GB",8.37,7.5,4,0.109298531810767
"TE","Mychal Rivera (8045609)","Mychal Rivera",8045609,2500,"Oak@Hou 04:35PM ET","Oak","Mychal","Rivera","Hou",4.23,1.4,8,0.0385232744783307
"TE","Clive Walford (8045611)","Clive Walford",8045611,2500,"Oak@Hou 04:35PM ET","Oak","Clive","Walford","Hou",6.04,4.1,4,0.086677367576244
"TE","Stephen Anderson (8045613)","Stephen Anderson",8045613,2500,"Oak@Hou 04:35PM ET","Hou","Stephen","Anderson","Oak",1.96,1.7,9,0.0302013422818792
"TE","Clay Harbor (8045614)","Clay Harbor",8045614,2500,"Det@Sea 08:15PM ET","Det","Clay","Harbor","Sea",0,0,11,0.00497512437810945
"TE","Matthew Mulligan (8045616)","Matthew Mulligan",8045616,2500,"Det@Sea 08:15PM ET","Det","Matthew","Mulligan","Sea",0,0,13,0.00165837479270315
"TE","Luke Willson (8045617)","Luke Willson",8045617,2500,"Det@Sea 08:15PM ET","Sea","Luke","Willson","Det",2.88,1.5,6,0.0393996247654784
"TE","Brandon Williams (8045618)","Brandon Williams",8045618,2500,"Det@Sea 08:15PM ET","Sea","Brandon","Williams","Det",0,0,13,0.00562851782363977
"TE","Nick Vannett (8045620)","Nick Vannett",8045620,2500,"Det@Sea 08:15PM ET","Sea","Nick","Vannett","Det",0,0,12,0.0075046904315197
"TE","David Johnson (8045621)","David Johnson",8045621,2500,"Mia@Pit 01:05PM ET","Pit","David","Johnson","Mia",0,0,12,0.0180327868852459
"TE","MarQueis Gray (8045622)","MarQueis Gray",8045622,2500,"Mia@Pit 01:05PM ET","Mia","MarQueis","Gray","Pit",3.33,2.7,7,0.038135593220339
"TE","Dion Sims (8045624)","Dion Sims",8045624,2500,"Mia@Pit 01:05PM ET","Mia","Dion","Sims","Pit",6.56,5.9,5,0.0720338983050847
"TE","Xavier Grimble (8045625)","Xavier Grimble",8045625,2500,"Mia@Pit 01:05PM ET","Pit","Xavier","Grimble","Mia",0,1.9,9,0.0360655737704918
"TE","Dominique Jones (8045627)","Dominique Jones",8045627,2500,"Mia@Pit 01:05PM ET","Mia","Dominique","Jones","Pit",0,0,8,0.0254237288135593
"TE","Thomas Duarte (8045628)","Thomas Duarte",8045628,2500,"Mia@Pit 01:05PM ET","Mia","Thomas","Duarte","Pit",0,0,0,0
"TE","Larry Donnell (8045630)","Larry Donnell",8045630,2500,"NYG@GB 04:40PM ET","NYG","Larry","Donnell","GB",0,0,8,0.034257748776509
"TE","Richard Rodgers (8045632)","Richard Rodgers",8045632,2500,"NYG@GB 04:40PM ET","GB","Richard","Rodgers","NYG",4.1,3.9,6,0.0757097791798107
"TE","Jerell Adams (8045633)","Jerell Adams",8045633,2500,"NYG@GB 04:40PM ET","NYG","Jerell","Adams","GB",2.77,2.1,8,0.034257748776509
