"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Week1","Week2","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs"
"WR","Brandon Marshall (7451807)","Brandon Marshall",7451807,7300,"NYJ@KC 04:25PM ET","NYJ","Brandon","Marshall","KC",14.49,11.2,15.27,11.2,1,0.273972602739726,12.0677979366365,13.167549512679,1,6.2,19.1,"Marshall, Brandon",10,20,0,2,4
"QB","Ben Roethlisberger (7451562)","Ben Roethlisberger",7451562,7300,"Pit@Phi 04:25PM ET","Pit","Ben","Roethlisberger","Phi",20.42,21.7,22.02,21.7,NA,NA,19.9643303312123,20.0771454366339,0,25.8,21.8,"Roethlisberger, Ben",NA,NA,NA,NA,NA
"QB","Carson Palmer (7451499)","Carson Palmer",7451499,7200,"Ari@Buf 01:00PM ET","Ari","Carson","Palmer","Buf",21.26,18.3,20.14,18.3,NA,NA,18.6395484963637,19.7996231132,0,18.9,27.3,"Palmer, Carson",NA,NA,NA,NA,NA
"WR","Kelvin Benjamin (7451779)","Kelvin Benjamin",7451779,7200,"Min@Car 01:00PM ET","Car","Kelvin","Benjamin","Min",17.96,15.2,16.17,15.2,1,0.283783783783784,15.6165881169857,16.6596121264685,1,21.1,32.8,"Benjamin, Kelvin",13,21,3,1,1
"RB","Todd Gurley (7451645)","Todd Gurley",7451645,7100,"LA@TB 04:05PM ET","LA","Todd","Gurley","TB",13.55,17.1,15.7,17.1,6,0.046875,14.5977694976143,14.0166871735871,0,5.2,8,"Gurley, Todd",2,3,0,5,1
"QB","Russell Wilson (7451548)","Russell Wilson",7451548,7100,"SF@Sea 04:05PM ET","Sea","Russell","Wilson","SF",19.27,25.3,19.42,25.3,10,0,21.2507100001292,20.185962172108,0,13.9,11.6,"Wilson, Russell",0,0,0,9,2
"WR","Jordan Matthews (7451831)","Jordan Matthews",7451831,7100,"Pit@Phi 04:25PM ET","Phi","Jordan","Matthews","Pit",15.8,17.7,14.93,17.7,1,0.333333333333333,15.9021628474681,15.76852640827,1,27.4,13.1,"Matthews, Jordan",13,23,1,1,1
"QB","Eli Manning (7451509)","Eli Manning",7451509,7000,"Was@NYG 01:00PM ET","NYG","Eli","Manning","Was",18.46,18.5,19.28,18.5,NA,NA,17.4895728648202,17.8628953754222,0,19.3,16.3,"Manning, Eli",NA,NA,NA,NA,NA
"WR","Mike Evans (7451791)","Mike Evans",7451791,7000,"LA@TB 04:05PM ET","TB","Mike","Evans","LA",17.62,18.5,15.68,18.5,1,0.30379746835443,17.1145842258186,17.2664541682547,1,20.9,19,"Evans, Mike",11,24,2,1,1
"RB","Matt Forte (7451656)","Matt Forte",7451656,7000,"NYJ@KC 04:25PM ET","NYJ","Matt","Forte","KC",16.92,16.4,15.94,16.4,4,0.136986301369863,15.7522354594687,16.2296188247535,1,20.5,33.9,"Forte, Matt",7,10,0,4,4
"WR","Larry Fitzgerald (7451692)","Larry Fitzgerald",7451692,6900,"Ari@Buf 01:00PM ET","Ari","Larry","Fitzgerald","Buf",18.99,16.2,16.24,16.2,1,0.27027027027027,16.5763281071179,17.6480107515405,1,28.1,20.1,"Fitzgerald, Larry",13,20,4,1,1
"QB","Derek Carr (7451506)","Derek Carr",7451506,6900,"Oak@Ten 01:00PM ET","Oak","Derek","Carr","Ten",20.9,20.7,18.26,20.7,NA,NA,19.67867706119,20.1609208863511,0,25.4,25,"Carr, Derek",NA,NA,NA,NA,NA
"WR","Eric Decker (7451808)","Eric Decker",7451808,6900,"NYJ@KC 04:25PM ET","NYJ","Eric","Decker","KC",15.75,14.3,15.32,14.3,2,0.205479452054795,14.1800716212964,14.859060424861,1,11.7,27.6,"Decker, Eric",9,15,2,3,1
"RB","Ezekiel Elliott (7451690)","Ezekiel Elliott",7451690,6900,"Chi@Dal 08:30PM ET","Dal","Ezekiel","Elliott","Chi",17.11,15.7,16.81,15.7,5,0.051948051948052,15.4871015736742,16.1845944773573,1,12.2,15.7,"Elliott, Ezekiel",3,4,0,4,2
"QB","Matthew Stafford (7451526)","Matthew Stafford",7451526,6800,"Det@GB 01:00PM ET","Det","Matthew","Stafford","GB",19.08,17.8,18.79,17.8,NA,NA,17.4163974489909,18.1231921221713,0,29.1,16.5,"Stafford, Matthew",NA,NA,NA,NA,NA
"WR","T.Y. Hilton (7451821)","T.Y. Hilton",7451821,6800,"SD@Ind 04:25PM ET","Ind","T.Y.","Hilton","SD",19.22,19.3,16.55,19.3,1,0.284090909090909,18.2287942939544,18.6081711358861,0,13.9,8.1,"Hilton, T.Y.",10,25,0,1,5
"RB","Adrian Peterson (7451631)","Adrian Peterson",7451631,6700,"Min@Car 01:00PM ET","Min","Adrian","Peterson","Car",0,0,0,0,5,0.0757575757575758,0,0,0,3.1,4.6,"Peterson, Adrian",2,5,0,5,3
"QB","Philip Rivers (7451559)","Philip Rivers",7451559,6700,"SD@Ind 04:25PM ET","SD","Philip","Rivers","Ind",19.37,20,20.95,20,NA,NA,18.6457092955352,18.8946121623739,0,14.6,24.8,"Rivers, Philip",NA,NA,NA,NA,NA
"WR","Donte Moncrief (7451825)","Donte Moncrief",7451825,6700,"SD@Ind 04:25PM ET","Ind","Donte","Moncrief","SD",0,0,0,0,3,0.113636363636364,0,0,0,18.4,1.9,"Moncrief, Donte",7,10,1,3,2
"WR","Jarvis Landry (7451730)","Jarvis Landry",7451730,6600,"Cle@Mia 01:00PM ET","Mia","Jarvis","Landry","Cle",18.74,19,16.25,19,1,0.319444444444444,17.8645353239752,18.1902331597626,1,12.9,25.7,"Landry, Jarvis",18,23,0,1,3
"RB","LeSean McCoy (7451575)","LeSean McCoy",7451575,6500,"Ari@Buf 01:00PM ET","Buf","LeSean","McCoy","Ari",15.37,15.5,13.92,15.5,3,0.173076923076923,14.6103528944235,14.8976995002061,1,17,13,"McCoy, LeSean",8,9,0,1,4
"TE","Jordan Reed (7451866)","Jordan Reed",7451866,6500,"Was@NYG 01:00PM ET","Was","Jordan","Reed","NYG",19.94,15.9,13.2,15.9,1,0.197674418604651,16.8504426535342,18.245442925714,1,13.4,12,"Reed, Jordan",12,17,0,1,2
"QB","Blake Bortles (7451522)","Blake Bortles",7451522,6500,"Bal@Jax 01:00PM ET","Jax","Blake","Bortles","Bal",19.97,19.9,19.94,19.9,NA,NA,18.8635650741626,19.2949367863414,0,19,24.6,"Bortles, Blake",NA,NA,NA,NA,NA
"QB","Kirk Cousins (7451512)","Kirk Cousins",7451512,6400,"Was@NYG 01:00PM ET","Was","Kirk","Cousins","NYG",17.69,20.1,16.88,20.1,NA,NA,17.945725266763,17.7274345577625,0,15,22.6,"Cousins, Kirk",NA,NA,NA,NA,NA
"WR","Demaryius Thomas (7451764)","Demaryius Thomas",7451764,6400,"Den@Cin 01:00PM ET","Den","Demaryius","Thomas","Cin",12.92,14.8,14.32,14.8,1,0.266666666666667,13.1666832860527,12.9781456445693,1,8.8,16,"Thomas, Demaryius",9,16,0,1,2
"RB","DeMarco Murray (7451581)","DeMarco Murray",7451581,6300,"Oak@Ten 01:00PM ET","Ten","DeMarco","Murray","Oak",15.85,14.6,14.52,14.6,2,0.186666666666667,14.3746928736321,15.0071797596468,1,23.7,21.5,"Murray, DeMarco",12,14,2,1,1
"WR","Doug Baldwin (7451798)","Doug Baldwin",7451798,6300,"SF@Sea 04:05PM ET","Sea","Doug","Baldwin","SF",17.26,17.5,13.69,17.5,1,0.253333333333333,16.4539423167948,16.7537884108044,1,24.2,5,"Baldwin, Doug",12,19,1,1,1
"QB","Ryan Tannehill (7451517)","Ryan Tannehill",7451517,6200,"Cle@Mia 01:00PM ET","Mia","Ryan","Tannehill","Cle",19.39,21.3,18.42,21.3,NA,NA,19.3045498364654,19.2429756699033,0,15.1,28.1,"Tannehill, Ryan",NA,NA,NA,NA,NA
"WR","Marvin Jones Jr. (7451754)","Marvin Jones",7451754,6200,"Det@GB 01:00PM ET","Det","Marvin","Jones","GB",15.77,18.4,15.15,18.4,1,0.27710843373494,16.2387231406914,15.9271586046504,1,12.5,22.8,"Jones, Marvin",12,23,0,1,5
"WR","Sammy Watkins (7451702)","Sammy Watkins",7451702,6100,"Ari@Buf 01:00PM ET","Buf","Sammy","Watkins","Ari",0,0,0,0,1,0.192307692307692,0,0,0,8.3,4,"Watkins, Sammy",6,10,0,2,4
"QB","Joe Flacco (7451519)","Joe Flacco",7451519,6100,"Bal@Jax 01:00PM ET","Bal","Joe","Flacco","Jax",17.63,18.2,17.79,18.2,NA,NA,16.9690686285903,17.1964402296455,0,13,21.2,"Flacco, Joe",NA,NA,NA,NA,NA
"RB","Eddie Lacy (7451617)","Eddie Lacy",7451617,6100,"Det@GB 01:00PM ET","GB","Eddie","Lacy","Det",13.21,13.3,14.09,13.3,6,0.038961038961039,12.5462449110542,12.7984877249998,0,8.8,5,"Lacy, Eddie",1,3,0,7,3
"WR","Michael Crabtree (7451705)","Michael Crabtree",7451705,6000,"Oak@Ten 01:00PM ET","Oak","Michael","Crabtree","Ten",14.09,14.4,14.44,14.4,2,0.172413793103448,13.4890158934528,13.7060838013726,1,17.7,13.1,"Crabtree, Michael",11,15,1,2,1
"WR","Emmanuel Sanders (7451763)","Emmanuel Sanders",7451763,6000,"Den@Cin 01:00PM ET","Den","Emmanuel","Sanders","Cin",12.48,12.2,13.21,12.2,2,0.233333333333333,11.6704361856202,11.9973990070497,0,9.9,6.9,"Sanders, Emmanuel",8,14,0,2,2
"QB","Jameis Winston (7451544)","Jameis Winston",7451544,6000,"LA@TB 04:05PM ET","TB","Jameis","Winston","LA",18.3,18.2,17.88,18.2,NA,NA,17.2681667096987,17.6721730972672,0,26.5,9.6,"Winston, Jameis",NA,NA,NA,NA,NA
"WR","Jeremy Maclin (7451809)","Jeremy Maclin",7451809,6000,"NYJ@KC 04:25PM ET","KC","Jeremy","Maclin","NYJ",14.78,14.9,15.24,14.9,1,0.265060240963855,14.0470085216442,14.3245416987352,1,17.2,12.8,"Maclin, Jeremy",11,22,1,1,1
"QB","Tony Romo (7451568)","Tony Romo",7451568,6000,"Chi@Dal 08:30PM ET","Dal","Tony","Romo","Chi",0,0,0,0,NA,NA,0,0,0,NA,NA,"Romo, Tony",NA,NA,NA,NA,NA
"QB","Marcus Mariota (7451508)","Marcus Mariota",7451508,5900,"Oak@Ten 01:00PM ET","Ten","Marcus","Mariota","Oak",18.45,17.2,17.93,17.2,NA,NA,16.8351964743544,17.5216323584543,0,18.7,17.6,"Mariota, Marcus",NA,NA,NA,NA,NA
"WR","DeSean Jackson (7451715)","DeSean Jackson",7451715,5900,"Was@NYG 01:00PM ET","Was","DeSean","Jackson","NYG",13.85,13,12.2,13,1,0.197674418604651,12.681970793077,13.1758046917662,1,19.2,7,"Jackson, DeSean",9,17,0,3,2
"WR","Golden Tate (7451753)","Golden Tate",7451753,5900,"Det@GB 01:00PM ET","Det","Golden","Tate","GB",12.48,13.4,12.3,13.4,2,0.228915662650602,12.2703551763909,12.3058567237325,0,11.3,3.3,"Tate, Golden",9,19,0,3,5
"QB","Ryan Fitzpatrick (7451551)","Ryan Fitzpatrick",7451551,5900,"NYJ@KC 04:25PM ET","NYJ","Ryan","Fitzpatrick","KC",16.42,18.5,18.57,18.5,NA,NA,16.5788861701021,16.4143953008726,0,16.1,24.1,"Fitzpatrick, Ryan",NA,NA,NA,NA,NA
"QB","Tyrod Taylor (7451501)","Tyrod Taylor",7451501,5800,"Ari@Buf 01:00PM ET","Buf","Tyrod","Taylor","Ari",16.86,16.8,16.93,16.8,NA,NA,15.9254235536064,16.2898351202787,0,5.5,25.4,"Taylor, Tyrod",NA,NA,NA,NA,NA
"WR","Michael Floyd (7451695)","Michael Floyd",7451695,5800,"Ari@Buf 01:00PM ET","Ari","Michael","Floyd","Buf",13.31,12,12.78,12,2,0.189189189189189,11.9409741756957,12.5353301042085,0,9.1,8.8,"Floyd, Michael",5,14,1,3,2
"TE","Greg Olsen (7451898)","Greg Olsen",7451898,5800,"Min@Car 01:00PM ET","Car","Greg","Olsen","Min",15.99,13.1,14.27,13.1,2,0.243243243243243,13.6872922416691,14.7210144816545,1,14.3,26.2,"Olsen, Greg",12,18,1,2,2
"QB","Alex Smith (7451552)","Alex Smith",7451552,5800,"NYJ@KC 04:25PM ET","KC","Alex","Smith","NYJ",16.38,15.5,15.51,15.5,9,0.0120481927710843,15.0612320913182,15.6148490469194,0,32,5.6,"Smith, Alex",0,1,0,9,3
"RB","Melvin Gordon (7451671)","Melvin Gordon",7451671,5800,"SD@Ind 04:25PM ET","SD","Melvin","Gordon","Ind",17.72,16.8,15.58,16.8,7,0.0454545454545455,16.3093404935366,16.9004773085692,1,17.7,24,"Gordon, Melvin",3,3,0,6,5
"RB","Ryan Mathews (7451676)","Ryan Mathews",7451676,5800,"Pit@Phi 04:25PM ET","Phi","Ryan","Mathews","Pit",12.4,11.5,13.1,11.5,8,0.0144927536231884,11.2847702372896,11.7606614144926,1,13.7,16.5,"Mathews, Ryan",1,1,0,8,4
"RB","Latavius Murray (7451583)","Latavius Murray",7451583,5700,"Oak@Ten 01:00PM ET","Oak","Latavius","Murray","Ten",15.52,12.4,14.08,12.4,5,0.0919540229885057,13.1275244252305,14.2073577571982,1,14.2,22.1,"Murray, Latavius",7,8,0,4,5
"QB","Andy Dalton (7451529)","Andy Dalton",7451529,5700,"Den@Cin 01:00PM ET","Cin","Andy","Dalton","Den",18.06,16.2,17.34,16.2,NA,NA,16.1611621139376,16.9876651293194,0,21.3,22.3,"Dalton, Andy",NA,NA,NA,NA,NA
"RB","Doug Martin (7451640)","Doug Martin",7451640,5700,"LA@TB 04:05PM ET","TB","Doug","Martin","LA",0,0,0,0,6,0.0632911392405063,0,0,0,14.6,2.3,"Martin, Doug",5,5,0,6,4
"RB","Spencer Ware (7451661)","Spencer Ware",7451661,5700,"NYJ@KC 04:25PM ET","KC","Spencer","Ware","NYJ",12.84,11.1,13.19,11.1,3,0.132530120481928,11.2812198607954,11.970263760305,1,35.9,11.5,"Ware, Spencer",9,11,0,3,3
"QB","Dak Prescott (7451571)","Dak Prescott",7451571,5700,"Chi@Dal 08:30PM ET","Dal","Dak","Prescott","Chi",17.62,17.7,17.94,17.7,NA,NA,16.7146382319715,17.0608156904662,0,10.3,18.3,"Prescott, Dak",NA,NA,NA,NA,NA
"QB","Josh McCown (7451515)","Josh McCown",7451515,5600,"Cle@Mia 01:00PM ET","Cle","Josh","McCown","Mia",0,0,0,0,NA,NA,0,0,0,NA,16.4,"McCown, Josh",NA,NA,NA,NA,NA
"RB","T.J. Yeldon (7451614)","T.J. Yeldon",7451614,5600,"Bal@Jax 01:00PM ET","Jax","T.J.","Yeldon","Bal",11.48,9.7,10.65,9.7,2,0.181818181818182,9.97418990841759,10.6447297078087,1,16.9,11.8,"Yeldon, T.J.",12,16,0,1,4
"RB","Jamaal Charles (7451657)","Jamaal Charles",7451657,5600,"NYJ@KC 04:25PM ET","KC","Jamaal","Charles","NYJ",0,9.1,0,9.1,11,0,4.54938568001081,2.33913768484495,0,NA,NA,"Charles, Jamaal",0,0,0,9,3
"QB","Jay Cutler (7451567)","Jay Cutler",7451567,5600,"Chi@Dal 08:30PM ET","Chi","Jay","Cutler","Dal",0,0,14.16,0,NA,NA,0,0,0,12.8,4.3,"Cutler, Jay",NA,NA,NA,NA,NA
"WR","Sterling Shepard (7451724)","Sterling Shepard",7451724,5500,"Was@NYG 01:00PM ET","NYG","Sterling","Shepard","Was",14.79,12,13.12,12,2,0.164383561643836,12.6016684444128,13.5862027073131,1,13.3,22.7,"Shepard, Sterling",12,12,1,1,1
"RB","Arian Foster (7451598)","Arian Foster",7451598,5500,"Cle@Mia 01:00PM ET","Mia","Arian","Foster","Cle",0,0,0,0,5,0.0694444444444444,0,0,0,13,0.9,"Foster, Arian",3,5,0,6,3
"RB","Thomas Rawls (7451652)","Thomas Rawls",7451652,5500,"SF@Sea 04:05PM ET","Sea","Thomas","Rawls","SF",0,0,0,0,5,0.08,0,0,0,8.8,3.8,"Rawls, Thomas",6,6,0,4,2
"QB","Carson Wentz (7451566)","Carson Wentz",7451566,5500,"Pit@Phi 04:25PM ET","Phi","Carson","Wentz","Pit",17.23,16.6,18.18,16.6,NA,NA,15.9906106223239,16.5011436516077,0,19.2,12.6,"Wentz, Carson",NA,NA,NA,NA,NA
"RB","Danny Woodhead (7451666)","Danny Woodhead",7451666,5400,"SD@Ind 04:25PM ET","SD","Danny","Woodhead","Ind",0,0,0,0,3,0.136363636363636,0,0,1,23,4.1,"Woodhead, Danny",7,9,1,2,2
"WR","Corey Coleman (7451735)","Corey Coleman",7451735,5300,"Cle@Mia 01:00PM ET","Cle","Corey","Coleman","Mia",0,0,0,0,2,0.206896551724138,0,0,1,8.9,30.4,"Coleman, Corey",7,12,2,1,1
"QB","Sam Bradford (7451538)","Sam Bradford",7451538,5300,"Min@Car 01:00PM ET","Min","Sam","Bradford","Car",15.09,13.3,14.9,13.3,9,0,13.3855051983434,14.1333799505651,0,NA,NA,"Bradford, Sam",0,0,0,9,3
"WR","Allen Hurns (7451744)","Allen Hurns",7451744,5200,"Bal@Jax 01:00PM ET","Jax","Allen","Hurns","Bal",12.82,12.4,12.23,12.4,3,0.170454545454545,11.9222037998684,12.2902253055884,0,11.5,11.4,"Hurns, Allen",9,15,0,3,4
"WR","Travis Benjamin (7451820)","Travis Benjamin",7451820,5200,"SD@Ind 04:25PM ET","SD","Travis","Benjamin","Ind",15.51,17.6,15.57,17.6,1,0.227272727272727,15.7227092347724,15.5369073722624,1,10.2,32.4,"Benjamin, Travis",13,15,2,1,1
"RB","Jeremy Langford (7451685)","Jeremy Langford",7451685,5200,"Chi@Dal 08:30PM ET","Chi","Jeremy","Langford","Dal",11.41,13.6,12.95,13.6,5,0.11864406779661,11.8926775751721,11.5975138530973,1,14.3,9.4,"Langford, Jeremy",4,7,0,5,2
"RB","Rashad Jennings (7451590)","Rashad Jennings",7451590,5100,"Was@NYG 01:00PM ET","NYG","Rashad","Jennings","Was",0,0,0,0,7,0.0547945205479452,0,0,0,8.8,6,"Jennings, Rashad",3,4,0,7,4
"QB","Trevor Siemian (7451532)","Trevor Siemian",7451532,5100,"Den@Cin 01:00PM ET","Den","Trevor","Siemian","Cin",11.23,11.1,13.27,11.1,NA,NA,10.5624916360424,10.8270847799007,0,11.1,12.3,"Siemian, Trevor",NA,NA,NA,NA,NA
"WR","Stefon Diggs (7451781)","Stefon Diggs",7451781,5100,"Min@Car 01:00PM ET","Min","Stefon","Diggs","Car",16.24,15.7,14.83,15.7,1,0.318181818181818,15.0987204832798,15.5668517985053,1,20.2,36.2,"Diggs, Stefon",16,21,1,1,1
"QB","Drew Stanton (7451500)","Drew Stanton",7451500,5000,"Ari@Buf 01:00PM ET","Ari","Drew","Stanton","Buf",0,0,0,0,NA,NA,0,0,0,NA,0.4,"Stanton, Drew",NA,NA,NA,NA,NA
"QB","EJ Manuel (7451502)","EJ Manuel",7451502,5000,"Ari@Buf 01:00PM ET","Buf","EJ","Manuel","Ari",0,0,0,0,NA,NA,0,0,0,NA,0.6,"Manuel, EJ",NA,NA,NA,NA,NA
"QB","Cardale Jones (7451503)","Cardale Jones",7451503,5000,"Ari@Buf 01:00PM ET","Buf","Cardale","Jones","Ari",0,0,0,0,NA,NA,0,0,0,NA,NA,"Jones, Cardale",NA,NA,NA,NA,NA
"QB","Matt Cassel (7451504)","Matt Cassel",7451504,5000,"Oak@Ten 01:00PM ET","Ten","Matt","Cassel","Oak",0,0,0,0,NA,NA,0,0,0,NA,-0.1,"Cassel, Matt",NA,NA,NA,NA,NA
"QB","Matt McGloin (7451505)","Matt McGloin",7451505,5000,"Oak@Ten 01:00PM ET","Oak","Matt","McGloin","Ten",0,0,0,0,NA,NA,0,0,0,NA,NA,"McGloin, Matt",NA,NA,NA,NA,NA
"QB","Connor Cook (7451507)","Connor Cook",7451507,5000,"Oak@Ten 01:00PM ET","Oak","Connor","Cook","Ten",0,0,0,0,NA,NA,0,0,0,NA,NA,"Cook, Connor",NA,NA,NA,NA,NA
"TE","Delanie Walker (7451856)","Delanie Walker",7451856,5000,"Oak@Ten 01:00PM ET","Ten","Delanie","Walker","Oak",0,0,0,0,3,0.146666666666667,0,0,1,7.2,20.3,"Walker, Delanie",9,11,1,3,2
"QB","Josh Johnson (7451510)","Josh Johnson",7451510,5000,"Was@NYG 01:00PM ET","NYG","Josh","Johnson","Was",0,0,0,0,NA,NA,0,0,0,NA,NA,"Johnson, Josh",NA,NA,NA,NA,NA
"QB","Colt McCoy (7451511)","Colt McCoy",7451511,5000,"Was@NYG 01:00PM ET","Was","Colt","McCoy","NYG",0,0,0,0,NA,NA,0,0,0,NA,NA,"McCoy, Colt",NA,NA,NA,NA,NA
"QB","Ryan Nassib (7451513)","Ryan Nassib",7451513,5000,"Was@NYG 01:00PM ET","NYG","Ryan","Nassib","Was",0,0,0,0,NA,NA,0,0,0,NA,NA,"Nassib, Ryan",NA,NA,NA,NA,NA
"QB","Nate Sudfeld (7451514)","Nate Sudfeld",7451514,5000,"Was@NYG 01:00PM ET","Was","Nate","Sudfeld","NYG",0,0,0,0,NA,NA,0,0,0,NA,NA,"Sudfeld, Nate",NA,NA,NA,NA,NA
"QB","Matt Moore (7451516)","Matt Moore",7451516,5000,"Cle@Mia 01:00PM ET","Mia","Matt","Moore","Cle",0,0,0,0,NA,NA,0,0,0,NA,NA,"Moore, Matt",NA,NA,NA,NA,NA
"QB","Cody Kessler (7451518)","Cody Kessler",7451518,5000,"Cle@Mia 01:00PM ET","Cle","Cody","Kessler","Mia",11.67,14.4,12.28,14.4,NA,NA,12.4086914810911,11.9877650854853,0,NA,NA,"Kessler, Cody",NA,NA,NA,NA,NA
"QB","Chad Henne (7451520)","Chad Henne",7451520,5000,"Bal@Jax 01:00PM ET","Jax","Chad","Henne","Bal",0,0,0,0,NA,NA,0,0,0,NA,NA,"Henne, Chad",NA,NA,NA,NA,NA
"QB","Ryan Mallett (7451521)","Ryan Mallett",7451521,5000,"Bal@Jax 01:00PM ET","Bal","Ryan","Mallett","Jax",0,0,0,0,NA,NA,0,0,0,NA,NA,"Mallett, Ryan",NA,NA,NA,NA,NA
"QB","Brandon Allen (7451523)","Brandon Allen",7451523,5000,"Bal@Jax 01:00PM ET","Jax","Brandon","Allen","Bal",0,0,0,0,NA,NA,0,0,0,NA,NA,"Allen, Brandon",NA,NA,NA,NA,NA
"WR","Mike Wallace (7451741)","Mike Wallace",7451741,5000,"Bal@Jax 01:00PM ET","Bal","Mike","Wallace","Jax",13.34,10.5,12.38,10.5,3,0.180555555555556,11.2044678886253,12.1710594300395,1,19.2,20.1,"Wallace, Mike",8,13,3,2,1
"QB","Dan Orlovsky (7451524)","Dan Orlovsky",7451524,5000,"Det@GB 01:00PM ET","Det","Dan","Orlovsky","GB",0,0,0,0,NA,NA,0,0,0,NA,NA,"Orlovsky, Dan",NA,NA,NA,NA,NA
"QB","Brett Hundley (7451527)","Brett Hundley",7451527,5000,"Det@GB 01:00PM ET","GB","Brett","Hundley","Det",0,0,0,0,NA,NA,0,0,0,NA,NA,"Hundley, Brett",NA,NA,NA,NA,NA
