"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Tajae Sharpe",1,"0",3300,18.5,0.02,0.15,0.16,0,0.1,0,0.1,1,3.7,5.3,4.4,0.3,6.7,6.6,7.3,7,1.5,13.1,8.1,3,15,28,0,0,3.1,37,78,2,0.1875,4,2,6,0
"Victor Cruz",0,"0",3300,23.3,0.02,-0.09,-0.02,0,0,0,0,0,3.7,4.8,4.6,0.5,8.8,4,7.2,8,2.9,11.6,7.8,3.9,18,8,1.4,0,4.7,28,54,1,0.108870967741935,5,3,4,0
"Justin Hardy",1,"0",3300,32.5,-0.01,0.59,0.08,0,0,0,0,0,3,2.2,2.9,0.6,6.5,6,4.8,4,1.1,8.6,5.8,2.6,32,31,8.9,1.5,7.7,17,23,3,0.0507726269315673,8,9,3,0
"Terrance Williams",1,"0",3200,27.5,0.03,0.03,0,0,0,0,0,0,3.7,4,4,0.3,9.8,10,8.2,6,2.7,13.6,7.9,6,19,18,18.6,3.3,8,34,51,3,0.125925925925926,4,4,3,0
"Kendall Wright",0,"0",3200,18.5,0.02,0.15,0.16,0,0.1,0,0,15,3.3,4.1,4.4,0.3,10.2,6,9.5,7,-0.3,19.3,7.5,3.9,15,28,0,0,0,25,36,3,0.0865384615384615,5,5,3,0
"Albert Wilson",0,"0",3200,24.5,0.14,-0.19,0.2,0.3,0.2,0,0.1,25,3.7,4.4,1.7,0.5,4.9,7.6,6.9,3,0.6,13.1,2.8,0,23,32,0,20.3,2.6,29,48,2,0.105263157894737,5,5,3,0
"Cordarrelle Patterson",0,"0",3200,24.8,0.07,0.07,-0.01,1,0.5,0.5,0,6.1,4,4.3,4.2,0.5,6.3,5.7,7.8,8,1.9,13.7,7.7,9.9,29,14,4.8,3.6,8.7,45,59,2,0.125265392781316,4,4,3,0
"Brian Quick",0,"0",3100,12.3,-0.04,-0.08,0.03,0,0,0,0,0,4.7,4.7,4.5,0.4,8.2,4.4,8,8,2.3,13.7,6.2,7.6,5,20,2,9.8,1.3,37,64,3,0.142222222222222,4,4,2,0
"Marquise Goodwin",0,"0",3100,27,0.02,0.36,0.03,0,0,0,0,0,4.7,4.9,2.8,0.5,6.7,3.6,7.4,4,0.2,14.6,5.3,7.3,31,27,0,7.5,3.3,26,54,3,0.140625,4,3,2,0
"Breshad Perriman",1,"0",3100,23,-0.01,-0.06,0.09,0,0.1,0.2,0,2,3.3,4.3,3,0.3,7.8,10.2,7.1,5,3,11.1,5.1,0,12,30,8.2,13.9,8.4,27,53,4,0.0963636363636364,5,4,1,0
"Nelson Agholor",0,"0",3100,18,-0.02,-0.3,0.07,0.3,0.2,0,0,4.5,4,5,3.3,1.2,5.2,4.3,6.1,6,2.4,9.7,5,2,5,29,4.2,6.7,0,33,63,1,0.128309572301426,5,5,5,0
"Chris Conley",0,"0",3100,24.5,0.14,-0.19,0.2,0,0,0,0,0,3,4.5,4.5,0.8,7.8,4.9,6.2,7,2.9,9.5,6.2,3.1,23,32,9,0,5.6,36,62,0,0.135964912280702,3,3,6,0
"Jermaine Kearse",0,"0",3000,27.3,-0.05,0.03,0.14,0,0,0,0,0,6.7,5.5,5.2,0.8,6,5.4,6,9,2.8,9.2,9.7,0,14,25,1.7,11.8,2.8,38,72,0,0.171021377672209,3,3,5,0
"Paul Richardson",0,"0",3000,27.3,-0.05,0.03,0.14,0,0,0,0,0,3,2.4,1.6,0.3,8.6,3.8,3.4,3,1.1,5.7,4,0,14,25,0,0,2.7,13,24,0,0.0570071258907363,6,5,5,0
"Tanner McEvoy",0,"0",3000,27.3,-0.05,0.03,0.14,0,0,0,0,0,1.7,1.3,0,0,13.8,5.7,4.7,0,-0.4,9.9,0,0,14,25,13.1,2.4,0,7,8,2,0.0190023752969121,9,9,3,0
"Brice Butler",0,"0",3000,27.5,0.03,0.03,0,0,0,0,0,0,1.7,2.5,1.1,0.5,6.2,2.3,3.9,2,-0.9,8.6,1.9,3.1,19,18,0,0,0,14,28,3,0.0691358024691358,6,6,3,0
"Freddie Martino",0,"0",3000,20.5,0.08,-0.23,0.08,0,0,0,0,0,2,1.8,2.9,0,12,7,4.6,5,-0.9,10,5.1,3.5,11,15,0,9.6,0,6,9,1,0.0188679245283019,10,11,4,0
"Bryan Walters",0,"0",3000,18,-0.13,-0.02,-0.1,0,0,0,0,0,3.3,2,0.7,0.4,5.4,6.4,3.9,1,-1.7,9.6,1.6,4.6,6,6,13.1,6.1,0,9,14,2,0.0262172284644195,10,10,4,0
"Keith Mumphery",0,"0",3000,21.5,-0.17,0.05,-0.1,0,0,0,0,0,2,2,3.8,0.5,7,3.4,3.4,6,3.1,3.7,5.2,2.1,10,5,3.6,0,0,4,4,0,0.00862068965517241,10,12,8,0
"Andrew Hawkins",0,"0",3000,16.5,-0.04,0.17,-0.06,0,0.2,0.2,0,0,1.3,3.5,2.9,0.7,5.8,1.5,5.4,6,-0.7,11.5,5.1,4.3,19,11,1.4,0,0,26,47,3,0.100642398286938,5,5,2,0
"Justin Hunter",0,"0",3000,27,0.02,0.36,0.03,0,0,0,0,0,2,2.6,1.3,0.6,6.1,6.4,6.1,2,3.1,9.2,2.3,2.6,31,27,0,0,0,8,20,4,0.0520833333333333,10,7,1,0
"Kamar Aiken",0,"0",3000,23,-0.01,-0.06,0.09,0,0,0,0,0,3,3.3,3,0.2,6.7,4.7,4.1,5,0.9,7.4,5.1,9.9,12,30,2,7.1,5,27,47,0,0.0854545454545454,5,5,9,0
"Harry Douglas",0,"0",3000,18.5,0.02,0.15,0.16,0,0,0,0,0,1.7,2.7,0.5,0.5,10.1,3.8,4.4,1,1.7,7,0,0,15,28,2,0,8,11,17,0,0.0408653846153846,6,7,10,0
"Andre Roberts",0,"0",3000,19.3,0.06,-0.14,-0.05,0,0,0,0,0,4.3,1.8,1.1,0.2,7.6,3.8,3.6,2,-0.2,7.5,1.7,0,7,7,0,7.5,3.9,13,24,1,0.0501043841336117,6,6,6,0
"Chester Rogers",0,"0",3000,19.8,-0.14,-0.05,-0.2,0,0,0,0,0,1,2,2.9,0.4,8,1,2.7,5,-0.8,6.2,6.5,5.4,2,2,3.1,0,0,13,24,0,0.048582995951417,9,9,7,0
"Brandon Coleman",0,"0",3000,22.8,-0.15,-0.1,0,0,0,0,0,0,3.7,3.1,0.7,0.7,8,8.3,6.4,1,2.6,10.2,1.2,0,3,12,9.7,0,7.3,25,33,3,0.0609981515711645,7,7,5,0
"Brittan Golden",0,"0",3000,25.8,0.1,-0.08,0.03,0,0,0,0,0,1.3,1,2.3,0.1,5.3,2.9,2,4,-1.2,5.1,4.8,3.3,27,15,7.9,0,0.9,4,7,1,0.0127041742286751,10,10,6,0
"Rod Streater",0,"0",3000,19,0.13,-0.06,0.07,0,0,0,0,0,2.3,1.6,1.7,0,7,3.4,2,3,-0.6,4.6,3.1,9.1,30,23,0,0,0,9,17,0,0.0423940149625935,8,8,8,0
"Chris Harper",0,"0",3000,19,0.13,-0.06,0.07,0,0,0,0,0,3.7,2.8,0,0,5.8,2.9,2.8,0,0.4,5.2,0,5.6,30,23,0,0,0,6,15,0,0.0374064837905237,10,9,8,0
"Jordan Norwood",0,"0",3000,20.3,0.02,-0.16,-0.07,0,0.1,0,0,0,1.7,2.8,3,0.3,6.2,1.3,3.7,5,-0.6,8,5,0.2,8,10,0,0,-1,20,32,1,0.0692640692640693,4,3,6,0
"Bennie Fowler",0,"0",3000,20.3,0.02,-0.16,-0.07,0,0,0,0,0,2.3,2.4,0,0.3,6.4,5.8,4,0,-1.2,9.2,0,0,8,10,1.5,0,14.6,10,22,2,0.0476190476190476,8,7,3,0
"Jordan Taylor",0,"0",3000,20.3,0.02,-0.16,-0.07,0,0,0,0,0,3.3,2.1,1.3,0.6,7.5,7.9,4.3,2,0.7,7.9,2.1,2.5,8,10,4.8,0,7.6,10,19,2,0.0411255411255411,8,8,3,0
"Andre Holmes",0,"0",3000,26,0.07,-0.14,-0.04,0,0,0,0,0,1,1.6,2.6,0.6,3.9,0,2.6,4,-0.6,5.9,4.4,3.3,22,9,0,0,0,10,18,2,0.0343511450381679,9,8,5,0
"Seth Roberts",5,"0",3000,26,0.07,-0.14,-0.04,0,0,0,0,0,6,5.2,3.9,1.4,5.1,7.7,7.8,6,3.6,12,6.9,4.7,22,9,3.2,5.8,14.1,34,72,4,0.137404580152672,3,3,2,0
"Cobi Hamilton",0,"0",3000,24.3,-0.03,0.11,-0.17,0,0,0,0,0,2,2.6,2.5,0.3,7.3,2.4,4.2,4,0.6,7.8,4.3,3.1,17,4,2.5,3.1,1.5,12,24,1,0.0480961923847695,8,7,6,0
"Sammie Coates",0,"0",3000,24.3,-0.03,0.11,-0.17,0,0.2,0,0,2.5,1.3,4.1,0.9,0.4,9.4,0,7.1,1,-3.5,17.7,1.8,2.9,17,4,0,0,0,20,43,2,0.0861723446893788,5,5,4,0
"Cody Core",0,"0",3000,21.3,0.04,-0.16,-0.1,0,0,0,0,0,1.7,1.7,1.7,0,13.2,3.2,3.2,3,-0.9,7.3,3,3.3,9,3,1.8,7.8,0,3,5,0,0.0105263157894737,12,12,6,0
"Corey Brown",0,"0",3000,21.8,0.07,0.05,-0.01,0.7,0.2,0,0,3,2.7,3.7,1.8,0.6,4.6,0.8,3.9,3,-0.7,8.5,3.2,7.2,25,13,2.7,-0.3,0,21,44,1,0.0958605664488017,6,5,5,0
