"player","salary","team","pos","opp","ceil","floor","fpts"
"Taywan Taylor",3600,"TEN","WR","OAK",NA,NA,2.73
"Jace Amaro",2500,"TEN","TE","OAK",NA,NA,2.45
"Delanie Walker",4300,"TEN","TE","OAK",13.7482,12.1918,12.97
"DeMarco Murray",7400,"TEN","RB","OAK",18.0942,16.0458,17.07
"Clive Walford",2500,"OAK","TE","TEN",2.3296,2.1504,2.24
"Amari Cooper",7200,"OAK","WR","TEN",20.3621,17.6979,19.03
"Jalen Richard",3900,"OAK","RB","TEN",3.0555,2.7645,2.91
"DeAndre Washington",4100,"OAK","RB","TEN",7.42,6.58,7
"Michael Crabtree",6000,"OAK","WR","TEN",16.264,14.136,15.2
"Seth Roberts",3300,"OAK","WR","TEN",7.9248,7.3152,7.62
"Jared Cook",3300,"OAK","TE","TEN",7.3458,6.5142,6.93
"Cordarrelle Patterson",3000,"OAK","WR","TEN",5.3144,4.9056,5.11
"David Johnson",9400,"ARI","RB","DET",28.8263,22.1937,25.51
"Kerwynn Williams",3800,"ARI","RB","DET",0.9646,0.8554,0.91
"Golden Tate",6500,"DET","WR","ARI",15.3792,13.1008,14.24
"Zach Zenner",3800,"DET","RB","ARI",5.9278,5.1522,5.54
"Theo Riddick",4700,"DET","RB","ARI",11.3741,9.8859,10.63
"Marvin Jones",4100,"DET","WR","ARI",12.5712,10.7088,11.64
"Kenny Golladay",3600,"DET","WR","ARI",NA,NA,10.99
"TJ Jones",3000,"DET","WR","ARI",0.9682,0.9118,0.94
"Jared Abbrederis",3000,"DET","WR","ARI",2.4543,2.4057,2.43
"Ameer Abdullah",4300,"DET","RB","ARI",13.5296,10.6304,12.08
"Troy Niklas",2500,"ARI","TE","DET",NA,NA,1.07
"Jaron Brown",3300,"ARI","WR","DET",7.0875,6.4125,6.75
"Larry Fitzgerald",5900,"ARI","WR","DET",17.384,15.416,16.4
"J.J. Nelson",3700,"ARI","WR","DET",9.3744,7.9856,8.68
"John Brown",4800,"ARI","WR","DET",9.9746,8.8454,9.41
"Jermaine Gresham",2700,"ARI","TE","DET",6.0424,5.5776,5.81
"Brittan Golden",3000,"ARI","WR","DET",3.0498,2.9302,2.99
"Marshawn Lynch",5300,"OAK","RB","TEN",NA,NA,14.23
"Anthony Fasano",2500,"MIA","TE","TBB",2.3278,2.1922,2.26
"Chris Hogan",4800,"NEP","WR","KCC",11.5881,10.0719,10.83
"Brandin Cooks",7700,"NEP","WR","KCC",17.413,14.247,15.83
"Dion Lewis",3800,"NEP","RB","KCC",8.6625,7.8375,8.25
"Malcolm Mitchell",3700,"NEP","WR","KCC",4.4512,3.8688,4.16
"Danny Amendola",4300,"NEP","WR","KCC",5.208,4.712,4.96
"Dwayne Allen",2700,"NEP","TE","KCC",2.9318,2.5482,2.74
"Rob Gronkowski",6800,"NEP","TE","KCC",19.294,15.786,17.54
"James White",3900,"NEP","RB","KCC",10.248,9.272,9.76
"Mike Gillislee",4800,"NEP","RB","KCC",11.2035,10.1365,10.67
"Chris Conley",3300,"KCC","WR","NEP",7.2409,6.8191,7.03
"Tyreek Hill",5700,"KCC","WR","NEP",16.6314,14.7486,15.69
"Charcandrick West",4000,"KCC","RB","NEP",5.3742,4.7658,5.07
"Albert Wilson",3200,"KCC","WR","NEP",6.006,5.434,5.72
"De'Anthony Thomas",3000,"KCC","WR","NEP",1.4241,1.3959,1.41
"Demetrius Harris",2500,"KCC","TE","NEP",1.5038,1.4162,1.46
"Travis Kelce",5600,"KCC","TE","NEP",17.3447,15.0753,16.21
"Jacquizz Rodgers",4900,"TBB","RB","MIA",12.9956,11.5244,12.26
"Charles Sims",3900,"TBB","RB","MIA",11.0028,9.7572,10.38
"DeVante Parker",5300,"MIA","WR","TBB",12.747,11.533,12.14
"Jarvis Landry",5400,"MIA","WR","TBB",16.086,14.554,15.32
"Kenyan Drake",4100,"MIA","RB","TBB",1.7613,1.6587,1.71
"Kenny Stills",3800,"MIA","WR","TBB",12.6352,11.2048,11.92
"Leonte Carroo",3000,"MIA","WR","TBB",3.605,3.395,3.5
"Julius Thomas",2900,"MIA","TE","TBB",8.316,7.524,7.92
"Jakeem Grant",3000,"MIA","WR","TBB",NA,NA,1.03
"Damien Williams",3800,"MIA","RB","TBB",3.588,3.312,3.45
"Jay Ajayi",6500,"MIA","RB","TBB",20.6337,17.2263,18.93
"DeSean Jackson",4900,"TBB","WR","MIA",15.423,13.677,14.55
"Mike Evans",7800,"TBB","WR","MIA",22.6908,19.3292,21.01
"Adam Humphries",3600,"TBB","WR","MIA",8.778,7.942,8.36
"Chris Godwin",3000,"TBB","WR","MIA",NA,NA,5.02
"O.J. Howard",3000,"TBB","TE","MIA",NA,NA,3.71
"Cameron Brate",3100,"TBB","TE","MIA",7.897,7.003,7.45
"Eric Ebron",3600,"DET","TE","ARI",8.9648,8.2752,8.62
"Darren Fells",2500,"DET","TE","ARI",1.236,1.164,1.2
"C.J. Fiedorowicz",3100,"HOU","TE","JAC",6.909,6.251,6.58
"Braxton Miller",3900,"HOU","WR","JAC",11.6287,10.9513,11.29
"DeAndre Hopkins",5900,"HOU","WR","JAC",16.611,15.029,15.82
"Ryan Griffin",2700,"HOU","TE","JAC",5.0752,4.6848,4.88
"Matt Forte",4800,"NYJ","RB","BUF",10.252,8.388,9.32
"Elijah McGuire",3500,"NYJ","RB","BUF",NA,NA,0.35
"Bilal Powell",4900,"NYJ","RB","BUF",18.0504,15.0696,16.56
"D'Onta Foreman",4100,"HOU","RB","JAC",NA,NA,2.55
"Alfred Blue",4200,"HOU","RB","JAC",3.7336,3.4464,3.59
"Allen Hurns",3500,"JAC","WR","HOU",5.922,5.358,5.64
"Marqise Lee",3800,"JAC","WR","HOU",11.445,10.355,10.9
"Allen Robinson",5200,"JAC","WR","HOU",14.4129,12.5271,13.47
"Dede Westbrook",3000,"JAC","WR","HOU",NA,NA,3.7
"Arrelious Benn",3000,"JAC","WR","HOU",0.936,0.864,0.9
"Lamar Miller",5100,"HOU","RB","JAC",16.371,14.229,15.3
"Marcedes Lewis",2500,"JAC","TE","HOU",6.2315,5.8685,6.05
"Robby Anderson",3800,"NYJ","WR","BUF",15.456,13.984,14.72
"Charone Peake",3500,"NYJ","WR","BUF",7.752,7.448,7.6
"Nick O'Leary",2500,"BUF","TE","NYJ",1.0201,0.9999,1.01
"Charles Clay",3200,"BUF","TE","NYJ",5.7994,5.0406,5.42
"Brandon Tate",3000,"BUF","WR","NYJ",NA,NA,0
"Terrance West",4700,"BAL","RB","CIN",10.9247,9.4953,10.21
"Danny Woodhead",5200,"BAL","RB","CIN",13.3504,10.4896,11.92
"Mike Wallace",4500,"BAL","WR","CIN",13.167,11.913,12.54
"Javorius Allen",3000,"BAL","RB","CIN",4.5186,4.3414,4.43
"Rod Streater",3000,"BUF","WR","NYJ",4.3368,4.0032,4.17
"Zay Jones",3500,"BUF","WR","NYJ",NA,NA,10.96
"Chad Hansen",3000,"NYJ","WR","BUF",NA,NA,2.9
"ArDarius Stewart",3700,"NYJ","WR","BUF",NA,NA,9.62
"LeSean McCoy",8200,"BUF","RB","NYJ",21.4839,17.9361,19.71
"Jonathan Williams",3900,"BUF","RB","NYJ",3.9372,3.7828,3.86
"Andre Holmes",3000,"BUF","WR","NYJ",8.4656,7.8144,8.14
"Jordan Matthews",4400,"BUF","WR","NYJ",13.272,12.008,12.64
"T.J. Yeldon",3900,"JAC","RB","HOU",2.877,2.603,2.74
"Chris Ivory",3600,"JAC","RB","HOU",4.179,3.781,3.98
"Tarik Cohen",3000,"CHI","RB","ATL",NA,NA,3.32
"Jeremy Langford",3900,"CHI","RB","ATL",3.484,3.216,3.35
"Jordan Howard",6300,"CHI","RB","ATL",14.8716,12.6684,13.77
"Kevin White",4200,"CHI","WR","ATL",10.0164,9.6236,9.82
"Kendall Wright",3200,"CHI","WR","ATL",10.9461,9.5139,10.23
"Dion Sims",2500,"CHI","TE","ATL",0.5985,0.5415,0.57
"Zach Miller",2800,"CHI","TE","ATL",5.0986,4.5214,4.81
"Levine Toilolo",2500,"ATL","TE","CHI",1.7472,1.6128,1.68
"Austin Hooper",3000,"ATL","TE","CHI",7.5816,6.9984,7.29
"Terron Ward",3000,"ATL","RB","CHI",0.9996,0.9604,0.98
"Tevin Coleman",5400,"ATL","RB","CHI",14.0076,11.9324,12.97
"Devonta Freeman",7000,"ATL","RB","CHI",20.2849,16.9351,18.61
"Julio Jones",8500,"ATL","WR","CHI",26.257,21.483,23.87
"Mohamed Sanu",4200,"ATL","WR","CHI",12.348,11.172,11.76
"Justin Hardy",3000,"ATL","WR","CHI",1.1232,1.0368,1.08
"Taylor Gabriel",4000,"ATL","WR","CHI",8.9238,7.7562,8.34
"Le'Veon Bell",9800,"PIT","RB","CLE",28.886,23.634,26.26
"James Conner",4500,"PIT","RB","CLE",NA,NA,2.03
"Kenny Britt",4800,"CLE","WR","PIT",15.1262,13.4138,14.27
"Corey Coleman",4400,"CLE","WR","PIT",11.1387,9.6813,10.41
"Matthew Dayes",3000,"CLE","RB","PIT",NA,NA,0.22
"Ricardo Louis",3000,"CLE","WR","PIT",7.1482,6.7318,6.94
"Rashard Higgins",3000,"CLE","WR","PIT",3.9576,3.8024,3.88
"Leonard Fournette",5700,"JAC","RB","HOU",NA,NA,14.1
"Seth DeValve",2500,"CLE","TE","PIT",3.5638,3.3562,3.46
"Duke Johnson",4600,"CLE","RB","PIT",NA,NA,10.63
"Isaiah Crowell",5300,"CLE","RB","PIT",15.582,13.818,14.7
"Martavis Bryant",6000,"PIT","WR","CLE",NA,NA,14.56
"Antonio Brown",8800,"PIT","WR","CLE",25.164,21.436,23.3
"Eli Rogers",3900,"PIT","WR","CLE",8.3895,7.5905,7.99
"Juju Smith-Schuster",3600,"PIT","WR","CLE",NA,NA,3.57
"Jesse James",3000,"PIT","TE","CLE",6.9056,6.3744,6.64
"Sammie Coates",3800,"PIT","WR","CLE",0.6804,0.5796,0.63
"Kareem Hunt",5800,"KCC","RB","NEP",NA,NA,14.87
