"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Ownership.Pctg"
"Bennie Fowler",0,0,3000,17.3,0.02,0.15,0.13,0,0,0,0,0,2.3,2.4,0,0.3,6.4,5.8,4,0,-1.2,9.2,0,1.5,15,25,0,1.5,0,10,22,2,0.0439121756487026,9,7,3,0
"Jordan Taylor",0,0,3000,17.3,0.02,0.15,0.13,0,0,0,0,0,3,2,1.3,0.6,7.9,5,4.1,2,0.7,7.6,2.2,3.6,15,25,2.5,4.8,0,11,20,2,0.0399201596806387,8,8,3,0
"Albert Wilson",1,0,3000,20.8,-0.22,0.18,-0.38,0.3,0.2,0,0.1,25,2,4.1,1.6,0.6,4.8,6.8,6.3,3,0,12.5,2.4,1.3,1,1,0,0,20.3,29,49,2,0.101449275362319,6,5,3,0
"Chris Conley",1,0,3000,20.8,-0.22,0.18,-0.38,0,0,0,0,0,3,4.4,4.1,0.9,7.4,4,6,6,2.7,9.3,5.5,3.4,1,1,3.1,9,0,38,66,0,0.136645962732919,3,3,6,0
"Andre Roberts",0,0,3000,20,0.08,-0.26,0.07,0,0,0,0,0,3,1.6,1.9,0.2,7.6,2.5,3.4,3,-0.5,7.2,2.6,2.4,11,15,0,0,7.5,13,24,1,0.0463320463320463,6,6,6,0
"Brice Butler",0,0,3000,26.5,0.01,-0.08,-0.01,0,0,0,0,0,1.3,2.4,1.1,0.4,6.7,1,3.8,2,-0.8,8.3,1.9,9.1,17,13,3.1,0,0,15,29,3,0.0653153153153153,6,6,3,0
"Garrett Celek",1,0,2900,16.8,-0.05,0,-0.22,0,0,0,0,0,3.3,3.9,3.6,0.3,7,6.9,5.9,6,1.5,10.4,6.7,7.9,16,9,10.2,1.5,0,24,42,2,0.0967741935483871,3,5,4,0.260121117476689
"Lance Kendricks",2,0,2900,22.8,0.01,0.63,-0.07,0,0,0,0,0,4,5.7,4.9,0.5,5.6,2.4,7.2,8,1.5,12.9,8.5,6.6,32,13,1.5,2.3,3.3,48,81,2,0.166324435318275,3,3,4,0.349324956192517
"Jack Doyle",4,0,2800,24.3,0.05,0.08,0.09,0,0,0,0,0,4.7,4.5,4.3,0.7,8.4,7.9,9.1,7,2.7,15.5,7.3,9.6,24,24,7.2,10.5,6,55,65,4,0.122641509433962,2,2,4,2.06984683269627
"Will Tye",0,0,2800,20.3,-0.02,-0.03,-0.45,0,0,0,0,0,3.3,4.1,4,0.4,5.7,4.9,5.5,7,3.1,7.9,7.1,7.3,12,2,6.5,3.9,4.2,40,56,1,0.106666666666667,3,3,4,0
"Gary Barnidge",0,0,2800,20.8,0.05,-0.11,-0.02,0,0,0,0,0,3.7,5,4.7,0.3,7.6,4.4,7.6,8,3.1,12,8.2,9.2,22,20,5.5,5.7,0,47,74,1,0.149193548387097,3,3,4,0.582435242098764
"Dion Sims",0,0,2600,19.8,-0.05,0.15,-0.13,0,0,0,0,0,3.3,2.8,2.8,0.6,7.9,11.6,6.6,5,0.5,12.7,4.6,3,13,10,19.1,8.9,6.9,23,31,4,0.075609756097561,5,5,2,1.07385079125848
"Dwayne Allen",1,0,2600,24.3,0.05,0.08,0.09,0,0,0,0,0,2.7,3.8,3.6,0.7,7.6,10.5,7.9,6,-1,16.9,6.5,6.1,24,24,2.3,0,29.2,30,47,5,0.0886792452830189,4,6,3,0.937661724516756
"Trey Burton",0,0,2500,22.3,0.06,-0.17,0.07,0,0,0,0,0,8.3,4.4,1.2,0.5,5.4,8.7,5.5,2,0.2,10.7,2.1,1.3,6,15,2.2,13.5,10.3,32,53,1,0.099250936329588,6,6,5,0
"Dominique Jones",0,0,2500,19.8,-0.05,0.15,-0.13,0,0,0,0,0,2,2,0,0.2,6.1,5,3.8,0,-1.5,9.1,0,0,13,10,0,0,1.7,8,12,2,0.0292682926829268,9,8,6,0.00385869022434879
"Austin Seferian-Jenkins",0,1,2500,14,0.03,-0.19,-0.03,0,0,0,0,0,3.3,2.3,1.6,0.1,7.6,4.2,4,3,0.8,7.2,2.2,2.7,7,11,0,0,0,9,14,0,0.028169014084507,9,9,7,0.0145268337857837
"Neal Sterling",0,1,2500,20,0.1,-0.15,0.01,0,0,0,0,0,4,3.2,0,0,6.9,5.8,4.6,0,1.6,7.6,0,0,20,30,0,0,0,12,17,0,0.0301418439716312,9,10,10,0.00181585422322296
"Ben Koyack",0,0,2500,20,0.1,-0.15,0.01,0,0,0,0,0,2.3,2.6,7.3,0,6.9,2.2,3.8,12,0.5,7,10.8,3.2,20,17,1.2,3.9,1.4,14,18,0,0.0319148936170213,8,9,10,0.0215632689007726
"Richard Rodgers",0,0,2500,25.3,-0.12,-0.02,-0.06,0,0,0,0,0,1.7,3.4,2.1,0.4,5.4,2.5,4.4,3,0.9,7.8,3.3,10,3,16,2,1.8,3.6,27,44,1,0.0795660036166365,5,5,5,0.0388138840213908
"Daniel Brown",1,0,2500,23,0.08,0.07,0.34,0,0,0,0,0,3.3,3.5,5.1,1,6.2,5.1,6.7,8,1.8,11.5,6.9,3.9,28,11,0,0,0,12,14,1,0.02734375,10,11,5,0.452828646916226
"Levine Toilolo",0,0,2500,26,0.14,-0.21,0.29,0,0,0,0,0,1,1.4,1.4,0.1,15.7,4,4.2,2,-0.6,9.1,2,2,27,31,4,2.9,5.2,12,16,2,0.0335429769392034,10,10,7,0.159568189865718
"Austin Hooper",0,1,2500,26,0.14,-0.21,0.29,0,0,0,0,0,1.7,2.5,3.5,0.5,10,3.1,5.8,6,1,10.7,6.5,0,27,31,7.9,1.5,0,20,29,3,0.0607966457023061,7,8,3,0.00340472666854305
"Mychal Rivera",0,0,2500,27.8,0.07,0.01,0.16,0,0,0,0,0,4,2.4,1,0.4,8.3,5.6,4.5,2,0.6,8.3,1.7,0,25,23,2.5,5.6,8.7,16,22,1,0.0397111913357401,7,7,6,0.0199743964554526
"Clive Walford",0,0,2500,27.8,0.07,0.01,0.16,0,0,0,0,0,3,3.6,3.3,0.6,6.9,3.1,5.7,5,1.3,10.1,4.9,10,25,23,2.3,4.1,2.8,31,49,3,0.0884476534296029,4,4,4,0.118711469843201
"Jermaine Gresham",1,0,2500,17.3,-0.06,-0.12,-0.21,0,0,0,0,0,6,3.9,5,0.4,6.4,9,5.9,8,1.2,10.6,7.6,6,2,5,7.2,9.5,10.2,35,55,2,0.10597302504817,4,5,4,0.672093044370398
"Luke Willson",0,0,2500,26.3,-0.09,-0.08,-0.51,0,0,0,0,0,1.7,2,0.9,0.2,5.7,5,3.1,2,0,6.3,1.4,0,8,1,10.9,2.1,0,12,18,1,0.0400890868596882,8,7,4,0.00794436222660045
"David Johnson",0,0,2500,26,-0.04,-0.24,-0.13,0,0,0,0,0,1,1,0,0.1,8,1.6,1.7,0,0.6,2.8,0,0,2,1,26.8,18.1,38.5,7,11,0,0.0203327171903882,10,11,12,1.49240518971137
"Crockett Gillmore",0,0,2500,20.5,0.02,-0.18,-0.02,0,0,0,0,0,3.3,2.8,2,0.4,5.1,5.5,4.2,3,-0.8,9.2,3.4,0,9,18,0,0,0,8,14,1,0.0242214532871972,10,10,6,0
"Darren Waller",1,0,2500,20.5,0.02,-0.18,-0.02,0,0,0,0,0,2.3,2.3,0,1,5.3,4,4.7,0,1.8,7.7,0,2.1,9,3,2.1,7.3,2.5,9,13,2,0.0224913494809689,9,11,4,0
"Jesse James",5,0,2500,26,-0.04,-0.24,-0.13,0,0,0,0,0,2.7,3.7,5.8,0.6,5.3,2.6,5.6,9,0.7,10.5,9.1,8.9,5,6,0,1.5,6.2,36,53,3,0.0979667282809612,4,4,2,0
"Virgil Green",0,1,2500,17.3,0.02,0.15,-0.3,0,0,0,0,0,1.7,3.7,0,0.3,6.7,0.6,4.6,0,1.2,7.9,0,0,15,3,1.9,0,0,19,33,0,0.0658682634730539,5,4,8,0
"A.J. Derby",0,1,2500,17.3,0.02,0.15,-0.3,0,0,0,0,0,4,3.3,0,0,8,6.2,5.2,0,1.2,9.1,0,0,15,3,0,0,0,16,20,0,0.0399201596806387,7,8,8,0
