"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","ValueWR","RankTargets","RollingTargetPctg"
"QB","Eli Manning (7975667)","Eli Manning",7975667,5800,"NYG@Phi 08:25PM ET","NYG","Eli","Manning","Phi",17.97,15.8,0,0,0
"WR","Tyrell Williams (7977034)","Tyrell Williams",7977034,5800,"SD@Cle 01:00PM ET","SD","Tyrell","Williams","Cle",12.99,13.1,0,1,0.2
"RB","Carlos Hyde (7976926)","Carlos Hyde",7976926,5800,"SF@LA 04:25PM ET","SF","Carlos","Hyde","LA",14.07,14.6,0,6,0.0691244239631336
"QB","Joe Flacco (7976818)","Joe Flacco",7976818,5800,"Bal@Pit 04:30PM ET","Bal","Joe","Flacco","Pit",17.9,16.8,0,0,0
"QB","Colin Kaepernick (7976806)","Colin Kaepernick",7976806,5700,"SF@LA 04:25PM ET","SF","Colin","Kaepernick","LA",17.14,17.5,0,0,0
"WR","Kenny Britt (7977085)","Kenny Britt",7977085,5700,"SF@LA 04:25PM ET","LA","Kenny","Britt","SF",13.48,12.7,0,1,0.227926078028747
"RB","Lamar Miller (7976933)","Lamar Miller",7976933,5700,"Cin@Hou 08:25PM ET","Hou","Lamar","Miller","Cin",0,0,0,5,0.0778210116731518
"RB","Jay Ajayi (7976839)","Jay Ajayi",7976839,5600,"Mia@Buf 01:00PM ET","Mia","Jay","Ajayi","Buf",13.27,14.6,0,4,0.0829268292682927
"RB","LeGarrette Blount (7976856)","LeGarrette Blount",7976856,5600,"NYJ@NE 01:00PM ET","NE","LeGarrette","Blount","NYJ",10.89,8.6,0,9,0.0155642023346304
"WR","Jamison Crowder (7977048)","Jamison Crowder",7977048,5600,"Was@Chi 01:00PM ET","Was","Jamison","Crowder","Chi",12,12,0,2,0.174852652259332
"WR","Jarvis Landry (7976972)","Jarvis Landry",7976972,5500,"Mia@Buf 01:00PM ET","Mia","Jarvis","Landry","Buf",15.11,12.9,0,1,0.280487804878049
"WR","Willie Snead (7976983)","Willie Snead",7976983,5500,"TB@NO 04:25PM ET","NO","Willie","Snead","TB",12.03,13.7,0,3,0.16243654822335
"WR","DeSean Jackson (7977040)","DeSean Jackson",7977040,5500,"Was@Chi 01:00PM ET","Was","DeSean","Jackson","Chi",14.06,14,0,3,0.165029469548134
"TE","Jordan Reed (7977188)","Jordan Reed",7977188,5500,"Was@Chi 01:00PM ET","Was","Jordan","Reed","Chi",0,0,0,3,0.165029469548134
"WR","Kelvin Benjamin (7977060)","Kelvin Benjamin",7977060,5500,"Atl@Car 01:00PM ET","Car","Kelvin","Benjamin","Atl",11.04,12.9,0,2,0.215686274509804
"QB","Carson Palmer (7976801)","Carson Palmer",7976801,5500,"Ari@Sea 04:25PM ET","Ari","Carson","Palmer","Sea",16,15.9,0,0,0
"RB","DeAngelo Williams (7976939)","DeAngelo Williams",7976939,5500,"Bal@Pit 04:30PM ET","Pit","DeAngelo","Williams","Bal",2.83,3,0,8,0.0425138632162662
"QB","Tyrod Taylor (7976756)","Tyrod Taylor",7976756,5400,"Mia@Buf 01:00PM ET","Buf","Tyrod","Taylor","Mia",17.39,16.3,0,0,0
"RB","Doug Martin (7976845)","Doug Martin",7976845,5400,"TB@NO 04:25PM ET","TB","Doug","Martin","NO",13.13,12.4,0,8,0.031434184675835
"WR","Davante Adams (7977019)","Davante Adams",7977019,5400,"Min@GB 01:00PM ET","GB","Davante","Adams","Min",12.5,12.7,0,2,0.198915009041591
"WR","Donte Moncrief (7977069)","Donte Moncrief",7977069,5400,"Ind@Oak 04:05PM ET","Ind","Donte","Moncrief","Oak",10.61,13,0,4,0.1
"RB","Theo Riddick (7976959)","Theo Riddick",7976959,5400,"Det@Dal 08:30PM ET","Det","Theo","Riddick","Dal",0,0,0,4,0.133204633204633
"TE","Zach Ertz (7975693)","Zach Ertz",7975693,5300,"NYG@Phi 08:25PM ET","Phi","Zach","Ertz","NYG",11.67,12,0,2,0.170411985018727
"RB","Matt Forte (7976853)","Matt Forte",7976853,5300,"NYJ@NE 01:00PM ET","NYJ","Matt","Forte","NE",0,0,0,5,0.0865191146881288
"WR","Brandon Marshall (7976991)","Brandon Marshall",7976991,5300,"NYJ@NE 01:00PM ET","NYJ","Brandon","Marshall","NE",11.48,14,0,1,0.259557344064386
"QB","Andy Dalton (7976812)","Andy Dalton",7976812,5300,"Cin@Hou 08:25PM ET","Cin","Andy","Dalton","Hou",17.02,16.6,0,0,0
"RB","Jeremy Hill (7976938)","Jeremy Hill",7976938,5300,"Cin@Hou 08:25PM ET","Cin","Jeremy","Hill","Hou",13.05,16,0,7,0.0562248995983936
"QB","Trevor Siemian (7976827)","Trevor Siemian",7976827,5300,"Den@KC 08:30PM ET","Den","Trevor","Siemian","KC",15.38,16,0,0,0
"RB","Spencer Ware (7976952)","Spencer Ware",7976952,5300,"Den@KC 08:30PM ET","KC","Spencer","Ware","Den",14.14,16.8,0,6,0.082815734989648
"QB","Matt Moore (7976753)","Matt Moore",7976753,5200,"Mia@Buf 01:00PM ET","Mia","Matt","Moore","Buf",0,12.5,0,0,0
"WR","Malcolm Mitchell (7977000)","Malcolm Mitchell",7977000,5200,"NYJ@NE 01:00PM ET","NE","Malcolm","Mitchell","NYJ",11.93,11.9,0,5,0.0894941634241245
"RB","Rob Kelley (7976893)","Rob Kelley",7976893,5200,"Was@Chi 01:00PM ET","Was","Rob","Kelley","Chi",0,14.6,0,8,0.0235756385068762
"RB","Jonathan Stewart (7976898)","Jonathan Stewart",7976898,5200,"Atl@Car 01:00PM ET","Car","Jonathan","Stewart","Atl",12.57,12.3,0,7,0.0413943355119826
"TE","Greg Olsen (7977193)","Greg Olsen",7977193,5200,"Atl@Car 01:00PM ET","Car","Greg","Olsen","Atl",15.28,15.7,0,1,0.233115468409586
"WR","DeAndre Hopkins (7977101)","DeAndre Hopkins",7977101,5200,"Cin@Hou 08:25PM ET","Hou","DeAndre","Hopkins","Cin",14.97,14.7,0,1,0.272373540856031
"WR","Jordan Matthews (7975683)","Jordan Matthews",7975683,5100,"NYG@Phi 08:25PM ET","Phi","Jordan","Matthews","NYG",13.86,16.7,0,1,0.211610486891386
"QB","Robert Griffin III (7976783)","Robert Griffin III",7976783,5100,"SD@Cle 01:00PM ET","Cle","Robert","Griffin III","SD",13.99,0,0,0,0
"WR","Mohamed Sanu (7977056)","Mohamed Sanu",7977056,5100,"Atl@Car 01:00PM ET","Atl","Mohamed","Sanu","Car",11.1,11.8,0,2,0.163522012578616
"RB","Thomas Rawls (7976919)","Thomas Rawls",7976919,5100,"Ari@Sea 04:25PM ET","Sea","Thomas","Rawls","Ari",11.59,12.5,0,8,0.0356347438752784
"WR","Steve Smith Sr. (7977107)","Steve Smith Sr.",7977107,5100,"Bal@Pit 04:30PM ET","Bal","Steve","Smith","Pit",13.21,14.7,0,3,0.160899653979239
"QB","Tony Romo (7976830)","Tony Romo",7976830,5100,"Det@Dal 08:30PM ET","Dal","Tony","Romo","Det",0,0,0,0,0
"QB","Josh Johnson (7975668)","Josh Johnson",7975668,5000,"NYG@Phi 08:25PM ET","NYG","Josh","Johnson","Phi",0,0,0,0,0
"QB","Chase Daniel (7975669)","Chase Daniel",7975669,5000,"NYG@Phi 08:25PM ET","Phi","Chase","Daniel","NYG",0,0,0,0,0
"QB","Ryan Nassib (7975670)","Ryan Nassib",7975670,5000,"NYG@Phi 08:25PM ET","NYG","Ryan","Nassib","Phi",0,0,0,0,0
"QB","Carson Wentz (7975671)","Carson Wentz",7975671,5000,"NYG@Phi 08:25PM ET","Phi","Carson","Wentz","NYG",15.1,13.9,0,0,0
"QB","T.J. Yates (7976754)","T.J. Yates",7976754,5000,"Mia@Buf 01:00PM ET","Mia","T.J.","Yates","Buf",0,0,0,0,0
"QB","Ryan Tannehill (7976755)","Ryan Tannehill",7976755,5000,"Mia@Buf 01:00PM ET","Mia","Ryan","Tannehill","Buf",0,0,0,0,0
"QB","EJ Manuel (7976757)","EJ Manuel",7976757,5000,"Mia@Buf 01:00PM ET","Buf","EJ","Manuel","Mia",0,0,0,0,0
"QB","Cardale Jones (7976758)","Cardale Jones",7976758,5000,"Mia@Buf 01:00PM ET","Buf","Cardale","Jones","Mia",0,0,0,0,0
"WR","Sammy Watkins (7976975)","Sammy Watkins",7976975,5000,"Mia@Buf 01:00PM ET","Buf","Sammy","Watkins","Mia",11.78,14.4,0,5,0.078239608801956
"QB","Luke McCown (7976760)","Luke McCown",7976760,5000,"TB@NO 04:25PM ET","NO","Luke","McCown","TB",0,0,0,0,0
"QB","Mike Glennon (7976761)","Mike Glennon",7976761,5000,"TB@NO 04:25PM ET","TB","Mike","Glennon","NO",0,0,0,0,0
"QB","Ryan Griffin (7976762)","Ryan Griffin",7976762,5000,"TB@NO 04:25PM ET","TB","Ryan","Griffin","NO",0,0,0,0,0
"QB","Ryan Fitzpatrick (7976765)","Ryan Fitzpatrick",7976765,5000,"NYJ@NE 01:00PM ET","NYJ","Ryan","Fitzpatrick","NE",0,0,0,0,0
"QB","Bryce Petty (7976766)","Bryce Petty",7976766,5000,"NYJ@NE 01:00PM ET","NYJ","Bryce","Petty","NE",13.29,13.1,0,0,0
"QB","Jimmy Garoppolo (7976767)","Jimmy Garoppolo",7976767,5000,"NYJ@NE 01:00PM ET","NE","Jimmy","Garoppolo","NYJ",0,0,0,13,0.00194552529182879
"QB","Christian Hackenberg (7976768)","Christian Hackenberg",7976768,5000,"NYJ@NE 01:00PM ET","NYJ","Christian","Hackenberg","NE",0,0,0,0,0
"QB","Matt Cassel (7976769)","Matt Cassel",7976769,5000,"Ten@Jax 01:00PM ET","Ten","Matt","Cassel","Jax",0,0,0,0,0
"QB","Chad Henne (7976770)","Chad Henne",7976770,5000,"Ten@Jax 01:00PM ET","Jax","Chad","Henne","Ten",0,0,0,0,0
"QB","Blake Bortles (7976771)","Blake Bortles",7976771,5000,"Ten@Jax 01:00PM ET","Jax","Blake","Bortles","Ten",18.19,16.3,0,0,0
"QB","Brandon Allen (7976772)","Brandon Allen",7976772,5000,"Ten@Jax 01:00PM ET","Jax","Brandon","Allen","Ten",0,0,0,0,0
"QB","Shaun Hill (7976774)","Shaun Hill",7976774,5000,"Min@GB 01:00PM ET","Min","Shaun","Hill","GB",0,0,0,0,0
"QB","Sam Bradford (7976776)","Sam Bradford",7976776,5000,"Min@GB 01:00PM ET","Min","Sam","Bradford","GB",16.51,15.3,0,13,0.001953125
"QB","Brett Hundley (7976777)","Brett Hundley",7976777,5000,"Min@GB 01:00PM ET","GB","Brett","Hundley","Min",0,0,0,0,0
"QB","Taylor Heinicke (7976778)","Taylor Heinicke",7976778,5000,"Min@GB 01:00PM ET","Min","Taylor","Heinicke","GB",0,0,0,0,0
"QB","Joe Callahan (7976779)","Joe Callahan",7976779,5000,"Min@GB 01:00PM ET","GB","Joe","Callahan","Min",0,0,0,0,0
"QB","Josh McCown (7976780)","Josh McCown",7976780,5000,"SD@Cle 01:00PM ET","Cle","Josh","McCown","SD",0,0,0,0,0
"QB","Kellen Clemens (7976781)","Kellen Clemens",7976781,5000,"SD@Cle 01:00PM ET","SD","Kellen","Clemens","Cle",0,0,0,0,0
"QB","Cody Kessler (7976784)","Cody Kessler",7976784,5000,"SD@Cle 01:00PM ET","Cle","Cody","Kessler","SD",0,0,0,0,0
"QB","Kevin Hogan (7976785)","Kevin Hogan",7976785,5000,"SD@Cle 01:00PM ET","Cle","Kevin","Hogan","SD",0,0,0,0,0
"RB","Kenneth Farrow (7976885)","Kenneth Farrow",7976885,5000,"SD@Cle 01:00PM ET","SD","Kenneth","Farrow","Cle",12.85,13.7,0,7,0.0247422680412371
"QB","Colt McCoy (7976786)","Colt McCoy",7976786,5000,"Was@Chi 01:00PM ET","Was","Colt","McCoy","Chi",0,0,0,0,0
"QB","Matt Barkley (7976788)","Matt Barkley",7976788,5000,"Was@Chi 01:00PM ET","Chi","Matt","Barkley","Was",14.02,16.4,0,0,0
"QB","David Fales (7976789)","David Fales",7976789,5000,"Was@Chi 01:00PM ET","Chi","David","Fales","Was",0,0,0,0,0
"QB","Nate Sudfeld (7976790)","Nate Sudfeld",7976790,5000,"Was@Chi 01:00PM ET","Was","Nate","Sudfeld","Chi",0,0,0,0,0
"QB","Derek Anderson (7976791)","Derek Anderson",7976791,5000,"Atl@Car 01:00PM ET","Car","Derek","Anderson","Atl",0,0,0,0,0
"QB","Matt Schaub (7976793)","Matt Schaub",7976793,5000,"Atl@Car 01:00PM ET","Atl","Matt","Schaub","Car",0,0,0,0,0
"QB","Joe Webb (7976794)","Joe Webb",7976794,5000,"Atl@Car 01:00PM ET","Car","Joe","Webb","Atl",0,0,0,11,0.00217864923747277
"RB","Tevin Coleman (7976903)","Tevin Coleman",7976903,5000,"Atl@Car 01:00PM ET","Atl","Tevin","Coleman","Car",9.87,8.1,0,5,0.0733752620545073
"QB","Scott Tolzien (7976796)","Scott Tolzien",7976796,5000,"Ind@Oak 04:05PM ET","Ind","Scott","Tolzien","Oak",0,0,0,0,0
"QB","Matt McGloin (7976798)","Matt McGloin",7976798,5000,"Ind@Oak 04:05PM ET","Oak","Matt","McGloin","Ind",0,0,0,0,0
"QB","Connor Cook (7976800)","Connor Cook",7976800,5000,"Ind@Oak 04:05PM ET","Oak","Connor","Cook","Ind",0,0,0,0,0
"QB","Drew Stanton (7976802)","Drew Stanton",7976802,5000,"Ari@Sea 04:25PM ET","Ari","Drew","Stanton","Sea",0,0,0,0,0
"QB","Zac Dysert (7976804)","Zac Dysert",7976804,5000,"Ari@Sea 04:25PM ET","Ari","Zac","Dysert","Sea",0,0,0,0,0
"QB","Trevone Boykin (7976805)","Trevone Boykin",7976805,5000,"Ari@Sea 04:25PM ET","Sea","Trevone","Boykin","Ari",0,0,0,0,0
"QB","Christian Ponder (7976807)","Christian Ponder",7976807,5000,"SF@LA 04:25PM ET","SF","Christian","Ponder","LA",0,0,0,0,0
"QB","Case Keenum (7976808)","Case Keenum",7976808,5000,"SF@LA 04:25PM ET","LA","Case","Keenum","SF",0,0,0,0,0
"QB","Blaine Gabbert (7976809)","Blaine Gabbert",7976809,5000,"SF@LA 04:25PM ET","SF","Blaine","Gabbert","LA",0,0,0,15,0.00230414746543779
"QB","Sean Mannion (7976810)","Sean Mannion",7976810,5000,"SF@LA 04:25PM ET","LA","Sean","Mannion","SF",0,0,0,0,0
"QB","Jared Goff (7976811)","Jared Goff",7976811,5000,"SF@LA 04:25PM ET","LA","Jared","Goff","SF",14,13.3,0,0,0
"QB","Brandon Weeden (7976813)","Brandon Weeden",7976813,5000,"Cin@Hou 08:25PM ET","Hou","Brandon","Weeden","Cin",0,0,0,0,0
"QB","Brock Osweiler (7976814)","Brock Osweiler",7976814,5000,"Cin@Hou 08:25PM ET","Hou","Brock","Osweiler","Cin",0,0,0,15,0.00194552529182879
"QB","AJ McCarron (7976815)","AJ McCarron",7976815,5000,"Cin@Hou 08:25PM ET","Cin","AJ","McCarron","Hou",0,0,0,0,0
"QB","Tom Savage (7976816)","Tom Savage",7976816,5000,"Cin@Hou 08:25PM ET","Hou","Tom","Savage","Cin",14.86,14.3,0,0,0
"QB","Jeff Driskel (7976817)","Jeff Driskel",7976817,5000,"Cin@Hou 08:25PM ET","Cin","Jeff","Driskel","Hou",0,0,0,0,0
"QB","Ryan Mallett (7976820)","Ryan Mallett",7976820,5000,"Bal@Pit 04:30PM ET","Bal","Ryan","Mallett","Pit",0,0,0,0,0
"QB","Landry Jones (7976821)","Landry Jones",7976821,5000,"Bal@Pit 04:30PM ET","Pit","Landry","Jones","Bal",0,0,0,0,0
"QB","Zach Mettenberger (7976822)","Zach Mettenberger",7976822,5000,"Bal@Pit 04:30PM ET","Pit","Zach","Mettenberger","Bal",0,0,0,0,0
"QB","Alex Smith (7976823)","Alex Smith",7976823,5000,"Den@KC 08:30PM ET","KC","Alex","Smith","Den",12.19,16.2,0,15,0.0041407867494824
"QB","Austin Davis (7976824)","Austin Davis",7976824,5000,"Den@KC 08:30PM ET","Den","Austin","Davis","KC",0,0,0,0,0
"QB","Nick Foles (7976825)","Nick Foles",7976825,5000,"Den@KC 08:30PM ET","KC","Nick","Foles","Den",0,0,0,0,0
"QB","Tyler Bray (7976826)","Tyler Bray",7976826,5000,"Den@KC 08:30PM ET","KC","Tyler","Bray","Den",0,0,0,0,0
"QB","Paxton Lynch (7976828)","Paxton Lynch",7976828,5000,"Den@KC 08:30PM ET","Den","Paxton","Lynch","KC",0,0,0,0,0
"TE","Travis Kelce (7977236)","Travis Kelce",7977236,5000,"Den@KC 08:30PM ET","KC","Travis","Kelce","Den",12.91,12.3,0,1,0.221532091097308
"QB","Dan Orlovsky (7976829)","Dan Orlovsky",7976829,5000,"Det@Dal 08:30PM ET","Det","Dan","Orlovsky","Dal",0,0,0,0,0
"QB","Mark Sanchez (7976831)","Mark Sanchez",7976831,5000,"Det@Dal 08:30PM ET","Dal","Mark","Sanchez","Det",0,0,0,0,0
"QB","Jake Rudock (7976834)","Jake Rudock",7976834,5000,"Det@Dal 08:30PM ET","Det","Jake","Rudock","Dal",0,0,0,0,0
"RB","Ameer Abdullah (7976964)","Ameer Abdullah",7976964,5000,"Det@Dal 08:30PM ET","Det","Ameer","Abdullah","Dal",0,0,0,9,0.00965250965250965
"RB","Derrick Henry (7976871)","Derrick Henry",7976871,4900,"Ten@Jax 01:00PM ET","Ten","Derrick","Henry","Jax",7.08,5.6,0,9,0.0269662921348315
"WR","Rishard Matthews (7977009)","Rishard Matthews",7977009,4900,"Ten@Jax 01:00PM ET","Ten","Rishard","Matthews","Jax",12.52,11,1,1,0.197752808988764
"TE","Kyle Rudolph (7977174)","Kyle Rudolph",7977174,4900,"Min@GB 01:00PM ET","Min","Kyle","Rudolph","GB",12.67,10.7,0,1,0.22265625
"WR","Terrelle Pryor Sr. (7977029)","Terrelle Pryor Sr.",7977029,4900,"SD@Cle 01:00PM ET","Cle","Terrelle","Pryor","SD",11.15,13.5,0,1,0.254032258064516
"WR","Pierre Garcon (7977042)","Pierre Garcon",7977042,4900,"Was@Chi 01:00PM ET","Was","Pierre","Garcon","Chi",13.34,14.9,1,1,0.18664047151277
"RB","Alfred Morris (7976957)","Alfred Morris",7976957,4900,"Det@Dal 08:30PM ET","Dal","Alfred","Morris","Det",0,0,0,9,0.00900900900900901
"WR","Cole Beasley (7977138)","Cole Beasley",7977138,4900,"Det@Dal 08:30PM ET","Dal","Cole","Beasley","Det",11.99,10.1,1,1,0.211711711711712
"WR","Robby Anderson (7977001)","Robby Anderson",7977001,4800,"NYJ@NE 01:00PM ET","NYJ","Robby","Anderson","NE",10.5,11.7,0,4,0.132796780684105
"WR","Travis Benjamin (7977030)","Travis Benjamin",7977030,4800,"SD@Cle 01:00PM ET","SD","Travis","Benjamin","Cle",8.04,8,1,3,0.150515463917526
"RB","Frank Gore (7976905)","Frank Gore",7976905,4800,"Ind@Oak 04:05PM ET","Ind","Frank","Gore","Oak",12.99,14.9,0,5,0.0905660377358491
"WR","Tyler Lockett (7977082)","Tyler Lockett",7977082,4800,"Ari@Sea 04:25PM ET","Sea","Tyler","Lockett","Ari",11.56,10.7,1,4,0.155902004454343
