"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Name.Clean","FreqInd"
"RB","Theo Riddick (7769931)","Theo Riddick",7769931,5100,"Jax@Det 01:00PM ET","Det","Theo","Riddick","Jax",15.23,14.6,4,0.144578313253012,"Theo Riddick",1
"WR","Rishard Matthews (7770053)","Rishard Matthews",7770053,5100,"Ten@Ind 01:00PM ET","Ten","Rishard","Matthews","Ind",12.18,11.7,3,0.158054711246201,"Rishard Matthews",1
"QB","Sam Bradford (7769891)","Sam Bradford",7769891,5100,"Ari@Min 01:00PM ET","Min","Sam","Bradford","Ari",14.66,13.1,13,0.00306748466257669,"Sam Bradford",0
"QB","Ryan Tannehill (7769895)","Ryan Tannehill",7769895,5100,"Mia@LA 04:05PM ET","Mia","Ryan","Tannehill","LA",16.44,14.8,0,0,"Ryan Tannehill",0
"RB","Christine Michael (7770001)","Christine Michael",7770001,5100,"Phi@Sea 04:25PM ET","Sea","Christine","Michael","Phi",0,0,5,0.0870967741935484,"Christine Michael",0
"WR","Ty Montgomery (7770144)","Ty Montgomery",7770144,5100,"GB@Was 08:30PM ET","GB","Ty","Montgomery","Was",8.1,7.2,5,0.0829015544041451,"Ty Montgomery",0
"QB","Josh McCown (7769850)","Josh McCown",7769850,5000,"Pit@Cle 01:00PM ET","Cle","Josh","McCown","Pit",0,0,0,0,"Josh McCown",0
"QB","Landry Jones (7769852)","Landry Jones",7769852,5000,"Pit@Cle 01:00PM ET","Pit","Landry","Jones","Cle",0,0,0,0,"Landry Jones",0
"QB","Zach Mettenberger (7769853)","Zach Mettenberger",7769853,5000,"Pit@Cle 01:00PM ET","Pit","Zach","Mettenberger","Cle",0,0,0,0,"Zach Mettenberger",0
"QB","Cody Kessler (7769854)","Cody Kessler",7769854,5000,"Pit@Cle 01:00PM ET","Cle","Cody","Kessler","Pit",14.17,17,0,0,"Cody Kessler",0
"QB","Kevin Hogan (7769855)","Kevin Hogan",7769855,5000,"Pit@Cle 01:00PM ET","Cle","Kevin","Hogan","Pit",0,0,0,0,"Kevin Hogan",0
"QB","Joe Callahan (7769856)","Joe Callahan",7769856,5000,"Pit@Cle 01:00PM ET","Cle","Joe","Callahan","Pit",0,0,0,0,"Joe Callahan",0
"QB","Mark Sanchez (7769859)","Mark Sanchez",7769859,5000,"Bal@Dal 01:00PM ET","Dal","Mark","Sanchez","Bal",0,0,0,0,"Mark Sanchez",0
"QB","Ryan Mallett (7769860)","Ryan Mallett",7769860,5000,"Bal@Dal 01:00PM ET","Bal","Ryan","Mallett","Dal",0,0,0,0,"Ryan Mallett",0
"QB","Dan Orlovsky (7769862)","Dan Orlovsky",7769862,5000,"Jax@Det 01:00PM ET","Det","Dan","Orlovsky","Jax",0,0,0,0,"Dan Orlovsky",0
"QB","Chad Henne (7769863)","Chad Henne",7769863,5000,"Jax@Det 01:00PM ET","Jax","Chad","Henne","Det",0,0,0,0,"Chad Henne",0
"QB","Brandon Allen (7769866)","Brandon Allen",7769866,5000,"Jax@Det 01:00PM ET","Jax","Brandon","Allen","Det",0,0,0,0,"Brandon Allen",0
"WR","Marvin Jones Jr. (7770042)","Marvin Jones",7770042,5000,"Jax@Det 01:00PM ET","Det","Marvin","Jones","Jax",12.48,11.5,2,0.22289156626506,"Marvin Jones",0
"QB","Matt Cassel (7769867)","Matt Cassel",7769867,5000,"Ten@Ind 01:00PM ET","Ten","Matt","Cassel","Ind",0,0,0,0,"Matt Cassel",0
"QB","Scott Tolzien (7769868)","Scott Tolzien",7769868,5000,"Ten@Ind 01:00PM ET","Ind","Scott","Tolzien","Ten",0,0,0,0,"Scott Tolzien",0
"RB","Frank Gore (7769938)","Frank Gore",7769938,5000,"Ten@Ind 01:00PM ET","Ind","Frank","Gore","Ten",13.83,10.7,3,0.0944444444444444,"Frank Gore",1
"QB","EJ Manuel (7769873)","EJ Manuel",7769873,5000,"Buf@Cin 01:00PM ET","Buf","EJ","Manuel","Cin",0,0,0,0,"EJ Manuel",0
"QB","AJ McCarron (7769874)","AJ McCarron",7769874,5000,"Buf@Cin 01:00PM ET","Cin","AJ","McCarron","Buf",0,0,0,0,"AJ McCarron",0
"QB","Jeff Driskel (7769875)","Jeff Driskel",7769875,5000,"Buf@Cin 01:00PM ET","Cin","Jeff","Driskel","Buf",0,0,0,0,"Jeff Driskel",0
"QB","Cardale Jones (7769876)","Cardale Jones",7769876,5000,"Buf@Cin 01:00PM ET","Buf","Cardale","Jones","Cin",0,0,0,0,"Cardale Jones",0
"QB","Nick Foles (7769878)","Nick Foles",7769878,5000,"TB@KC 01:00PM ET","KC","Nick","Foles","TB",0,0,0,0,"Nick Foles",0
"QB","Mike Glennon (7769879)","Mike Glennon",7769879,5000,"TB@KC 01:00PM ET","TB","Mike","Glennon","KC",0,0,0,0,"Mike Glennon",0
"QB","Ryan Griffin (7769880)","Ryan Griffin",7769880,5000,"TB@KC 01:00PM ET","TB","Ryan","Griffin","KC",0,0,4,0.131901840490798,"Ryan Griffin",0
"QB","Tyler Bray (7769881)","Tyler Bray",7769881,5000,"TB@KC 01:00PM ET","KC","Tyler","Bray","TB",0,0,0,0,"Tyler Bray",0
"RB","Charcandrick West (7769963)","Charcandrick West",7769963,5000,"TB@KC 01:00PM ET","KC","Charcandrick","West","TB",5.38,6.4,7,0.0762195121951219,"Charcandrick West",0
"QB","Josh Johnson (7769885)","Josh Johnson",7769885,5000,"Chi@NYG 01:00PM ET","NYG","Josh","Johnson","Chi",0,0,0,0,"Josh Johnson",0
"QB","Ryan Nassib (7769886)","Ryan Nassib",7769886,5000,"Chi@NYG 01:00PM ET","NYG","Ryan","Nassib","Chi",0,0,0,0,"Ryan Nassib",0
"QB","Matt Barkley (7769887)","Matt Barkley",7769887,5000,"Chi@NYG 01:00PM ET","Chi","Matt","Barkley","NYG",0,0,0,0,"Matt Barkley",0
"QB","Shaun Hill (7769888)","Shaun Hill",7769888,5000,"Ari@Min 01:00PM ET","Min","Shaun","Hill","Ari",0,0,0,0,"Shaun Hill",0
"QB","Drew Stanton (7769890)","Drew Stanton",7769890,5000,"Ari@Min 01:00PM ET","Ari","Drew","Stanton","Min",0,0,0,0,"Drew Stanton",0
"QB","Taylor Heinicke (7769892)","Taylor Heinicke",7769892,5000,"Ari@Min 01:00PM ET","Min","Taylor","Heinicke","Ari",0,0,0,0,"Taylor Heinicke",0
"QB","Matt Moore (7769893)","Matt Moore",7769893,5000,"Mia@LA 04:05PM ET","Mia","Matt","Moore","LA",0,0,0,0,"Matt Moore",0
"QB","Case Keenum (7769894)","Case Keenum",7769894,5000,"Mia@LA 04:05PM ET","LA","Case","Keenum","Mia",0,0,0,0,"Case Keenum",0
"QB","Sean Mannion (7769896)","Sean Mannion",7769896,5000,"Mia@LA 04:05PM ET","LA","Sean","Mannion","Mia",0,0,0,0,"Sean Mannion",0
"QB","Jared Goff (7769897)","Jared Goff",7769897,5000,"Mia@LA 04:05PM ET","LA","Jared","Goff","Mia",13.9,13,0,0,"Jared Goff",0
"RB","Todd Gurley (7769986)","Todd Gurley",7769986,5000,"Mia@LA 04:05PM ET","LA","Todd","Gurley","Mia",14.32,14.8,5,0.10828025477707,"Todd Gurley",0
"QB","Christian Ponder (7769900)","Christian Ponder",7769900,5000,"NE@SF 04:25PM ET","SF","Christian","Ponder","NE",0,0,0,0,"Christian Ponder",0
"QB","Blaine Gabbert (7769901)","Blaine Gabbert",7769901,5000,"NE@SF 04:25PM ET","SF","Blaine","Gabbert","NE",0,0,13,0.00357142857142857,"Blaine Gabbert",0
"QB","Jimmy Garoppolo (7769902)","Jimmy Garoppolo",7769902,5000,"NE@SF 04:25PM ET","NE","Jimmy","Garoppolo","SF",0,0,11,0.00328947368421053,"Jimmy Garoppolo",0
"QB","Chase Daniel (7769903)","Chase Daniel",7769903,5000,"Phi@Sea 04:25PM ET","Phi","Chase","Daniel","Sea",0,0,0,0,"Chase Daniel",0
"QB","Trevone Boykin (7769905)","Trevone Boykin",7769905,5000,"Phi@Sea 04:25PM ET","Sea","Trevone","Boykin","Phi",0,0,0,0,"Trevone Boykin",0
"QB","Carson Wentz (7769906)","Carson Wentz",7769906,5000,"Phi@Sea 04:25PM ET","Phi","Carson","Wentz","Sea",13.26,14.4,0,0,"Carson Wentz",0
"QB","Colt McCoy (7769908)","Colt McCoy",7769908,5000,"GB@Was 08:30PM ET","Was","Colt","McCoy","GB",0,0,0,0,"Colt McCoy",0
"QB","Brett Hundley (7769910)","Brett Hundley",7769910,5000,"GB@Was 08:30PM ET","GB","Brett","Hundley","Was",0,0,0,0,"Brett Hundley",0
"QB","Nate Sudfeld (7769911)","Nate Sudfeld",7769911,5000,"GB@Was 08:30PM ET","Was","Nate","Sudfeld","GB",0,0,0,0,"Nate Sudfeld",0
"WR","Robert Woods (7770068)","Robert Woods",7770068,4900,"Buf@Cin 01:00PM ET","Buf","Robert","Woods","Cin",12.63,11.6,1,0.221014492753623,"Robert Woods",0
"RB","Carlos Hyde (7769993)","Carlos Hyde",7769993,4900,"NE@SF 04:25PM ET","SF","Carlos","Hyde","NE",14,12,6,0.0535714285714286,"Carlos Hyde",0
"RB","James White (7769994)","James White",7769994,4800,"NE@SF 04:25PM ET","NE","James","White","SF",9.56,11.9,2,0.171052631578947,"James White",0
"WR","DeSean Jackson (7770139)","DeSean Jackson",7770139,4800,"GB@Was 08:30PM ET","Was","DeSean","Jackson","GB",12,12.3,4,0.167123287671233,"DeSean Jackson",0
"WR","Corey Coleman (7770024)","Corey Coleman",7770024,4700,"Pit@Cle 01:00PM ET","Cle","Corey","Coleman","Pit",11.8,13.9,7,0.0700280112044818,"Corey Coleman",1
"RB","Alfred Morris (7769919)","Alfred Morris",7769919,4700,"Bal@Dal 01:00PM ET","Dal","Alfred","Morris","Bal",2.56,3.5,9,0.013840830449827,"Alfred Morris",0
"TE","Travis Kelce (7770191)","Travis Kelce",7770191,4700,"TB@KC 01:00PM ET","KC","Travis","Kelce","TB",13.86,12.5,1,0.179878048780488,"Travis Kelce",1
"WR","Sterling Shepard (7770092)","Sterling Shepard",7770092,4700,"Chi@NYG 01:00PM ET","NYG","Sterling","Shepard","Chi",11.67,11.6,2,0.17515923566879,"Sterling Shepard",0
"WR","J.J. Nelson (7770099)","J.J. Nelson",7770099,4700,"Ari@Min 01:00PM ET","Ari","J.J.","Nelson","Min",9.22,9.5,5,0.0859375,"J.J. Nelson",0
"WR","Chris Hogan (7770124)","Chris Hogan",7770124,4700,"NE@SF 04:25PM ET","NE","Chris","Hogan","SF",0,0,5,0.115131578947368,"Chris Hogan",0
"RB","Giovani Bernard (7769952)","Giovani Bernard",7769952,4600,"Buf@Cin 01:00PM ET","Cin","Giovani","Bernard","Buf",11.47,11.5,3,0.1438127090301,"Giovani Bernard",1
"WR","Tyreek Hill (7770082)","Tyreek Hill",7770082,4500,"TB@KC 01:00PM ET","KC","Tyreek","Hill","TB",11.77,12.3,4,0.121951219512195,"Tyreek Hill",0
"RB","Darren Sproles (7769997)","Darren Sproles",7769997,4500,"Phi@Sea 04:25PM ET","Phi","Darren","Sproles","Sea",11.64,7.6,3,0.154605263157895,"Darren Sproles",0
"RB","Terrance West (7769923)","Terrance West",7769923,4400,"Bal@Dal 01:00PM ET","Bal","Terrance","West","Dal",10.02,7.4,7,0.0578947368421053,"Terrance West",0
