"","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Corey Seager","SS","LAD","@ COL",5.27,"Gray, R 4.91","L",0.303,0.374,0.209,0,0,0,2,5400,31.5,8.5,15.72,15.72,"%",54,2.9,NA,NA
"Anthony Rizzo","1B","CHC","@ MIL",5.25,"Milone, L 5.80","L",0.279,0.382,0.24,0,0,0,3,5300,31.2,8.9,14.99,14.99,"%",54,2.8,NA,NA
"Nolan Arenado","3B","COL","vs LAD",3.73,"Kershaw, L 1.90","R",0.292,0.389,0.274,0,0,0,3,5300,29.5,9.8,10.19,10.19,"%",51,1.9,NA,NA
"Gary Sanchez","C","NYY","@ BAL",3.9,"Gausman, R 3.60","R",0.288,0.413,0.343,0,0,0,2,5200,30,10.1,9.88,9.88,"%",50,1.9,NA,NA
"Tommy Milone","P","MIL","vs CHC",5.25,"Hendricks, R 2.13","L",5.8,0,0,3.6,6.5,1.49,NA,5200,20.3,5.9,7.12,7.12,"%",0,1.4,NA,NA
"Kris Bryant","3B/OF","CHC","@ MIL",5.25,"Milone, L 5.80","R",0.289,0.4,0.264,0,0,0,2,5200,33.5,9.9,14.83,14.83,"%",53,2.9,NA,NA
"Charlie Blackmon","OF","COL","vs LAD",3.73,"Kershaw, L 1.90","L",0.318,0.391,0.223,0,0,0,1,5200,26.7,9.9,9.66,9.66,"%",57,1.9,NA,NA
"Manny Machado","3B/SS","BAL","vs NYY",4.11,"Tanaka, R 3.38","R",0.294,0.368,0.239,0,0,0,3,5100,27.5,8.9,10.34,10.34,"%",52,2,NA,NA
"Mike Trout","OF","LAA","vs SEA",3.95,"Hernandez, R 3.81","R",0.316,0.426,0.239,0,0,0,3,5100,27.5,10.4,11.32,11.32,"%",61,2.2,NA,NA
"Bronson Arroyo","P","CIN","@ STL",5.05,"Wacha, R 5.09","R",NA,0,0,0,0,0,NA,5000,7.1,NA,7.12,7.12,"%",0,1.4,NA,NA
"Paul Goldschmidt","1B","ARI","vs CLE",4.72,"Bauer, R 4.30","R",0.297,0.393,0.197,0,0,0,3,5000,28.8,9.9,12.9,12.9,"%",60,2.6,NA,NA
"Adrian Gonzalez","1B","LAD","@ COL",5.27,"Gray, R 4.91","L",0.285,0.341,0.151,0,0,0,4,5000,28.5,7.1,13.63,13.63,"%",48,2.7,NA,NA
"Yasiel Puig","OF","LAD","@ COL",5.27,"Gray, R 4.91","R",0.257,0.33,0.168,0,0,0,7,5000,24.7,6.3,9.32,9.32,"%",39,1.9,NA,NA
"Miguel Cabrera","1B","DET","vs BOS",4.36,"Rodriguez, L 4.71","R",0.311,0.402,0.243,0,0,0,3,4900,29,9,10.86,10.86,"%",50,2.2,NA,NA
"Kendall Graveman","P","OAK","@ TEX",5.08,"Darvish, R 3.79","R",4.02,0,0,6,5.3,1.28,NA,4900,30,12.1,8.24,8.24,"%",10,1.7,NA,NA
"Bryce Harper","OF","WSH","@ PHI",3.99,"Nola, R 4.95","L",0.247,0.352,0.202,0,0,0,3,4900,25.4,8.6,11.7,11.7,"%",60,2.4,NA,NA
"Trevor Story","SS","COL","vs LAD",3.73,"Kershaw, L 1.90","R",0.267,0.374,0.288,0,0,0,4,4900,28,9.6,8.92,8.92,"%",50,1.8,NA,NA
"Chris Carter","1B","NYY","@ BAL",3.9,"Gausman, R 3.60","R",0.221,0.347,0.278,0,0,0,4,4800,24.7,7.8,8.81,8.81,"%",49,1.8,NA,NA
"Joey Votto","1B","CIN","@ STL",3.45,"Wacha, R 5.09","L",0.325,0.419,0.228,0,0,0,3,4800,24.8,9.3,9.18,9.18,"%",58,1.9,NA,NA
"Kyle Schwarber","C/OF","CHC","@ MIL",5.25,"Milone, L 5.80","L",0.158,0.322,0.211,0,0,0,1,4800,27.5,6,13.23,13.23,"%",41,2.8,NA,NA
"Jose Altuve","2B","HOU","vs KC",4.45,"Duffy, L 3.44","R",0.329,0.385,0.188,0,0,0,3,4800,27.9,9.7,10.59,10.59,"%",55,2.2,NA,NA
"Mark Reynolds","1B/3B","COL","vs LAD",3.73,"Kershaw, L 1.90","R",0.288,0.361,0.183,0,0,0,5,4800,21.1,7.1,7.65,7.65,"%",53,1.6,NA,NA
"Joc Pederson","OF","LAD","@ COL",5.27,"Gray, R 4.91","L",0.245,0.36,0.246,0,0,0,5,4800,27.8,7,12.7,12.7,"%",46,2.6,NA,NA
"Chris Davis","1B/OF","BAL","vs NYY",4.11,"Tanaka, R 3.38","L",0.218,0.339,0.23,0,0,0,4,4700,25.1,7.8,9.18,9.18,"%",49,2,NA,NA
"Josh Donaldson","3B","TOR","@ TB",3.57,"Archer, R 3.97","R",0.292,0.412,0.265,0,0,0,2,4700,27.7,10,9.26,9.26,"%",54,2,NA,NA
"Carlos Correa","SS","HOU","vs KC",4.45,"Duffy, L 3.44","R",0.271,0.35,0.17,0,0,0,4,4700,25.4,8.1,10.71,10.71,"%",55,2.3,NA,NA
"Trea Turner","OF/SS","WSH","@ PHI",3.99,"Nola, R 4.95","R",0.329,0.378,0.202,0,0,0,1,4700,28.5,11.2,10.24,10.24,"%",59,2.2,NA,NA
"Justin Turner","3B","LAD","@ COL",5.27,"Gray, R 4.91","R",0.284,0.366,0.221,0,0,0,3,4700,29.4,8.2,14.44,14.44,"%",54,3.1,NA,NA
"Brian Dozier","2B","MIN","@ CWS",4.07,"Gonzalez, R 3.67","R",0.268,0.371,0.273,0,0,0,1,4600,27,9.9,10.32,10.32,"%",58,2.2,NA,NA
"Matt Holliday","1B/OF","NYY","@ BAL",3.9,"Gausman, R 3.60","R",0.249,0.342,0.218,0,0,0,3,4600,25.5,7.2,9.17,9.17,"%",43,2,NA,NA
"Mark Trumbo","1B/OF","BAL","vs NYY",4.11,"Tanaka, R 3.38","R",0.254,0.358,0.283,0,0,0,5,4600,25.8,8.7,8.68,8.68,"%",51,1.9,NA,NA
"Edwin Encarnacion","1B","CLE","@ ARI",4.78,"Greinke, R 4.34","R",0.262,0.378,0.272,0,0,0,4,4600,29.8,9.3,12.34,12.34,"%",53,2.7,NA,NA
"Michael Brantley","OF","CLE","@ ARI",4.78,"Greinke, R 4.34","L",0.226,0.235,0.038,0,0,0,3,4600,22.5,5.6,11.18,11.18,"%",50,2.4,NA,NA
"DJ LeMahieu","2B/3B","COL","vs LAD",3.73,"Kershaw, L 1.90","R",0.339,0.386,0.143,0,0,0,2,4600,22.2,8.6,7.86,7.86,"%",58,1.7,NA,NA
"Todd Frazier","1B/3B","CWS","vs MIN",4.43,"Mejia, L 7.71","R",0.219,0.317,0.23,0,0,0,5,4500,23.9,8,8.69,8.69,"%",53,1.9,NA,NA
"Adam Jones","OF","BAL","vs NYY",4.11,"Tanaka, R 3.38","R",0.263,0.32,0.17,0,0,0,2,4500,23.7,7.6,9.53,9.53,"%",53,2.1,NA,NA
"Brett Gardner","OF","NYY","@ BAL",3.9,"Gausman, R 3.60","L",0.265,0.324,0.101,0,0,0,1,4500,21.6,7.1,8.81,8.81,"%",55,2,NA,NA
"Dexter Fowler","OF","STL","vs CIN",5.05,"Arroyo, R","B",0.266,0.362,0.166,0,0,0,1,4500,24.8,8.3,11,11,"%",58,2.4,NA,NA
"Ben Zobrist","2B/OF","CHC","@ MIL",5.25,"Milone, L 5.80","B",0.261,0.355,0.174,0,0,0,4,4500,26,7.8,11.8,11.8,"%",55,2.6,NA,NA
"Jonathan Villar","3B/SS","MIL","vs CHC",3.75,"Hendricks, R 2.13","B",0.282,0.358,0.173,0,0,0,1,4500,25.2,9.6,8.46,8.46,"%",56,1.9,NA,NA
"Daniel Murphy","2B/3B","WSH","@ PHI",3.99,"Nola, R 4.95","L",0.353,0.42,0.242,0,0,0,4,4500,25.4,9.6,9.88,9.88,"%",60,2.2,NA,NA
"Carlos Santana","1B","CLE","@ ARI",4.78,"Greinke, R 4.34","B",0.263,0.377,0.242,0,0,0,1,4500,27.6,8.6,12.05,12.05,"%",55,2.7,NA,NA
"Ian Kinsler","2B","DET","vs BOS",4.36,"Rodriguez, L 4.71","R",0.288,0.362,0.198,0,0,0,1,4400,24.8,9.1,9.5,9.5,"%",58,2.2,NA,NA
"Matt Carpenter","1B/3B","STL","vs CIN",5.05,"Arroyo, R","L",0.267,0.372,0.228,0,0,0,3,4400,27.2,8.4,10.57,10.57,"%",51,2.4,NA,NA
"Freddie Freeman","1B","ATL","@ PIT",3.78,"Kuhl, R 4.20","L",0.3,0.404,0.262,0,0,0,3,4400,26.6,9.3,9.12,9.12,"%",53,2.1,NA,NA
"Starling Marte","OF","PIT","vs ATL",4.72,"Dickey, R 4.35","R",0.31,0.356,0.141,0,0,0,2,4400,26.3,8.9,10.6,10.6,"%",56,2.4,NA,NA
"Jose Bautista","OF","TOR","@ TB",3.57,"Archer, R 3.97","R",0.228,0.353,0.215,0,0,0,3,4400,21.9,8.3,8.5,8.5,"%",60,1.9,NA,NA
"Rougned Odor","2B","TEX","vs OAK",5.08,"Graveman, R 4.02","L",0.273,0.343,0.243,0,0,0,5,4400,27.1,8.7,10.14,10.14,"%",51,2.3,NA,NA
"George Springer","OF","HOU","vs KC",4.45,"Duffy, L 3.44","R",0.258,0.356,0.199,0,0,0,1,4400,26.4,8.8,10.84,10.84,"%",56,2.5,NA,NA
"Yasmani Grandal","C","LAD","@ COL",5.27,"Gray, R 4.91","B",0.22,0.344,0.244,0,0,0,6,4400,27.2,6.7,9.88,9.88,"%",35,2.2,NA,NA
"Chase Utley","2B","LAD","@ COL",5.27,"Gray, R 4.91","L",0.245,0.308,0.134,0,0,0,8,4400,20.6,6.4,6.81,6.81,"%",46,1.5,NA,NA
"Wil Myers","1B/OF","SD","vs SF",3.18,"Bumgarner, L 2.76","R",0.262,0.348,0.207,0,0,0,2,4400,24.2,9,7.17,7.17,"%",53,1.6,NA,NA
"Jose Abreu","1B","CWS","vs MIN",4.43,"Mejia, L 7.71","R",0.297,0.356,0.173,0,0,0,4,4300,22.8,7.9,9.4,9.4,"%",57,2.2,NA,NA
"Jacoby Ellsbury","OF","NYY","@ BAL",3.9,"Gausman, R 3.60","L",0.267,0.314,0.115,0,0,0,5,4300,21,7.1,8.04,8.04,"%",54,1.9,NA,NA
"Shin-Soo Choo","OF","TEX","vs OAK",5.08,"Graveman, R 4.02","L",0.242,0.338,0.144,0,0,0,2,4300,22.5,7.6,10.24,10.24,"%",60,2.4,NA,NA
"Khris Davis","OF","OAK","@ TEX",3.92,"Darvish, R 3.79","R",0.252,0.358,0.289,0,0,0,4,4300,27.3,8.5,8.9,8.9,"%",46,2.1,NA,NA
"Francisco Lindor","SS","CLE","@ ARI",4.78,"Greinke, R 4.34","B",0.302,0.35,0.149,0,0,0,2,4300,27,8.4,11.61,11.61,"%",54,2.7,NA,NA
"Justin Upton","OF","DET","vs BOS",4.36,"Rodriguez, L 4.71","R",0.244,0.332,0.218,0,0,0,5,4200,24.9,7.8,8.22,8.22,"%",46,2,NA,NA
"Aledmys Diaz","SS","STL","vs CIN",5.05,"Arroyo, R","R",0.294,0.368,0.208,0,0,0,2,4200,24.9,8.4,10.42,10.42,"%",57,2.5,NA,NA
"Andrew McCutchen","OF","PIT","vs ATL",4.72,"Dickey, R 4.35","R",0.254,0.332,0.173,0,0,0,3,4200,25,7.6,9.81,9.81,"%",50,2.3,NA,NA
"Evan Longoria","3B","TB","vs TOR",3.94,"Sanchez, R 3.26","R",0.278,0.359,0.253,0,0,0,3,4200,23.8,8.4,8.35,8.35,"%",54,2,NA,NA
"Giancarlo Stanton","OF","MIA","@ NYM",3.83,"Gsellman, R 2.36","R",0.242,0.347,0.245,0,0,0,4,4200,24.8,7.5,8.89,8.89,"%",47,2.1,NA,NA
"Yoenis Cespedes","OF","NYM","vs MIA",4.17,"Conley, L 3.85","R",0.281,0.374,0.251,0,0,0,3,4200,24.5,8.5,9.44,9.44,"%",56,2.2,NA,NA
"Miguel Sano","3B/OF","MIN","@ CWS",4.07,"Gonzalez, R 3.67","R",0.241,0.344,0.234,0,0,0,3,4100,24.1,7.9,9.08,9.08,"%",53,2.2,NA,NA
"Melky Cabrera","OF","CWS","vs MIN",4.43,"Mejia, L 7.71","B",0.301,0.35,0.162,0,0,0,3,4100,22.6,7.7,8.78,8.78,"%",55,2.1,NA,NA
"Starlin Castro","2B/SS","NYY","@ BAL",3.9,"Gausman, R 3.60","R",0.272,0.315,0.159,0,0,0,6,4100,20.9,6.7,6.02,6.02,"%",44,1.5,NA,NA
"Adam Duvall","1B/OF","CIN","@ STL",3.45,"Wacha, R 5.09","R",0.243,0.336,0.259,0,0,0,4,4100,24.2,8.1,8.13,8.13,"%",50,2,NA,NA
"Gregory Polanco","OF","PIT","vs ATL",4.72,"Dickey, R 4.35","L",0.257,0.33,0.203,0,0,0,4,4100,25.1,8,9.16,9.16,"%",50,2.2,NA,NA
"Nelson Cruz","OF","SEA","@ LAA",4.05,"Nolasco, R 4.33","R",0.281,0.379,0.262,0,0,0,4,4100,25.4,9,9.29,9.29,"%",55,2.3,NA,NA
"Jonathan Lucroy","C","TEX","vs OAK",5.08,"Graveman, R 4.02","R",0.285,0.358,0.198,0,0,0,6,4100,23.1,7.3,8.21,8.21,"%",49,2,NA,NA
"Rajai Davis","OF","OAK","@ TEX",3.92,"Darvish, R 3.79","R",0.238,0.291,0.134,0,0,0,9,4100,20.2,7.3,3.32,3.32,"%",42,0.8,NA,NA
"Maikel Franco","3B","PHI","vs WSH",4.51,"Guthrie, R","R",0.253,0.312,0.168,0,0,0,4,4100,24.4,6.9,8.81,8.81,"%",43,2.1,NA,NA
"Adam Eaton","OF","WSH","@ PHI",3.99,"Nola, R 4.95","L",0.285,0.351,0.15,0,0,0,2,4100,23.5,8.1,9.51,9.51,"%",57,2.3,NA,NA
"Jonathan Schoop","2B/3B","BAL","vs NYY",4.11,"Tanaka, R 3.38","R",0.264,0.319,0.185,0,0,0,8,4000,18.7,7,4.46,4.46,"%",49,1.1,NA,NA
"Robinson Cano","2B","SEA","@ LAA",4.05,"Nolasco, R 4.33","L",0.295,0.373,0.23,0,0,0,3,4000,25.1,8.9,8.68,8.68,"%",54,2.2,NA,NA
"Jean Segura","2B/SS","SEA","@ LAA",4.05,"Nolasco, R 4.33","R",0.318,0.372,0.179,0,0,0,1,4000,25.7,9.5,8.92,8.92,"%",56,2.2,NA,NA
"Javier Baez","2B/3B","CHC","@ MIL",5.25,"Milone, L 5.80","R",0.276,0.32,0.146,0,0,0,7,4000,20.3,5.7,6.74,6.74,"%",41,1.7,NA,NA
"Mike Napoli","1B","TEX","vs OAK",5.08,"Graveman, R 4.02","R",0.23,0.336,0.218,0,0,0,4,4000,25.3,8.1,10.1,10.1,"%",53,2.5,NA,NA
"Carlos Gomez","OF","TEX","vs OAK",5.08,"Graveman, R 4.02","R",0.228,0.298,0.155,0,0,0,1,4000,24.6,6.8,10.1,10.1,"%",47,2.5,NA,NA
"Jake Lamb","3B","ARI","vs CLE",4.72,"Bauer, R 4.30","L",0.248,0.356,0.263,0,0,0,4,4000,25.1,8,9.81,9.81,"%",52,2.5,NA,NA
"Gerardo Parra","OF","COL","vs LAD",3.73,"Kershaw, L 1.90","L",0.255,0.286,0.14,0,0,0,6,4000,19.2,6,5.54,5.54,"%",43,1.4,NA,NA
"Jackie Bradley Jr.","OF","BOS","@ DET",4.14,"Zimmermann, R 4.87","L",0.266,0.356,0.209,0,0,0,6,3900,22.3,8,7.5,7.5,"%",54,1.9,NA,NA
"Welington Castillo","C","BAL","vs NYY",4.11,"Tanaka, R 3.38","R",0.266,0.324,0.158,0,0,0,6,3900,20.3,6.8,6.06,6.06,"%",48,1.6,NA,NA
"Randal Grichuk","OF","STL","vs CIN",5.05,"Arroyo, R","R",0.241,0.326,0.241,0,0,0,6,3900,21.9,7,7.33,7.33,"%",48,1.9,NA,NA
"Mallex Smith","OF","TB","vs TOR",3.94,"Sanchez, R 3.26","L",0.236,0.295,0.121,0,0,0,8,3900,17,5.7,3.88,3.88,"%",42,1,NA,NA
"Albert Pujols","1B","LAA","vs SEA",3.95,"Hernandez, R 3.81","R",0.261,0.326,0.183,0,0,0,4,3900,23.2,7.9,7.36,7.36,"%",50,1.9,NA,NA
"Willson Contreras","C/OF","CHC","@ MIL",5.25,"Milone, L 5.80","R",0.29,0.371,0.205,0,0,0,6,3900,20.9,6.9,8.69,8.69,"%",56,2.2,NA,NA
"Addison Russell","2B/SS","CHC","@ MIL",5.25,"Milone, L 5.80","R",0.228,0.306,0.168,0,0,0,5,3900,23.2,6.7,9.47,9.47,"%",49,2.4,NA,NA
"Christian Yelich","OF","MIA","@ NYM",3.83,"Gsellman, R 2.36","L",0.297,0.371,0.179,0,0,0,3,3900,22.7,8.3,8.31,8.31,"%",57,2.1,NA,NA
"Elvis Andrus","SS","TEX","vs OAK",5.08,"Graveman, R 4.02","R",0.304,0.354,0.153,0,0,0,9,3900,18,7.7,4.28,4.28,"%",55,1.1,NA,NA
"Anthony Rendon","2B/3B","WSH","@ PHI",3.99,"Nola, R 4.95","R",0.259,0.337,0.175,0,0,0,7,3900,18.7,7.7,5.55,5.55,"%",57,1.4,NA,NA
"Alex Bregman","3B","HOU","vs KC",4.45,"Duffy, L 3.44","R",0.259,0.334,0.208,0,0,0,2,3900,24,8.4,8.7,8.7,"%",54,2.2,NA,NA
"Odubel Herrera","2B/OF","PHI","vs WSH",4.51,"Guthrie, R","L",0.289,0.347,0.134,0,0,0,3,3900,24.6,7.6,9.45,9.45,"%",50,2.4,NA,NA
"Yasmany Tomas","OF","ARI","vs CLE",4.72,"Bauer, R 4.30","R",0.272,0.346,0.235,0,0,0,5,3900,26.3,7.8,8.11,8.11,"%",42,2.1,NA,NA
"Andrew Toles","OF","LAD","@ COL",5.27,"Gray, R 4.91","L",0.3,0.359,0.162,0,0,0,1,3900,23.7,4.7,10.75,10.75,"%",31,2.8,NA,NA
"Hunter Pence","OF","SF","@ SD",4.32,"Chacin, R 5.25","R",0.285,0.347,0.154,0,0,0,3,3900,22.6,7.4,8.95,8.95,"%",54,2.3,NA,NA
"Dustin Pedroia","2B","BOS","@ DET",4.14,"Zimmermann, R 4.87","R",0.315,0.36,0.128,0,0,0,2,3800,22,8.3,8.6,8.6,"%",60,2.3,NA,NA
"Nick Castellanos","3B","DET","vs BOS",4.36,"Rodriguez, L 4.71","R",0.284,0.356,0.22,0,0,0,2,3800,23.5,7.7,8.64,8.64,"%",52,2.3,NA,NA
"Tim Anderson","SS","CWS","vs MIN",4.43,"Mejia, L 7.71","R",0.281,0.311,0.144,0,0,0,2,3800,21.2,7.4,8.15,8.15,"%",56,2.1,NA,NA
"Max Kepler","OF","MIN","@ CWS",4.07,"Gonzalez, R 3.67","L",0.24,0.323,0.188,0,0,0,2,3800,24.5,7.1,8.08,8.08,"%",42,2.1,NA,NA
"Chase Headley","3B","NYY","@ BAL",3.9,"Gausman, R 3.60","B",0.257,0.323,0.137,0,0,0,7,3800,17.7,6.3,5.26,5.26,"%",51,1.4,NA,NA
"Troy Tulowitzki","SS","TOR","@ TB",3.57,"Archer, R 3.97","R",0.253,0.327,0.193,0,0,0,5,3800,21.4,7.3,6.37,6.37,"%",49,1.7,NA,NA
"Brad Miller","SS","TB","vs TOR",3.94,"Sanchez, R 3.26","L",0.238,0.328,0.232,0,0,0,4,3800,22.3,7.3,7.46,7.46,"%",49,2,NA,NA
"Eric Thames","1B/OF","MIL","vs CHC",3.75,"Hendricks, R 2.13","L",0.333,0.459,0.333,0,0,0,2,3800,20,8.8,6.74,6.74,"%",62,1.8,NA,NA
"Marcus Semien","3B/SS","OAK","@ TEX",3.92,"Darvish, R 3.79","R",0.238,0.319,0.195,0,0,0,1,3800,21.3,7,7.61,7.61,"%",51,2,NA,NA
"Ryon Healy","1B/3B","OAK","@ TEX",3.92,"Darvish, R 3.79","R",0.296,0.361,0.227,0,0,0,3,3800,21.9,7.6,8.08,8.08,"%",54,2.1,NA,NA
"Nomar Mazara","OF","TEX","vs OAK",5.08,"Graveman, R 4.02","L",0.275,0.331,0.161,0,0,0,3,3800,23.8,6.7,10.1,10.1,"%",49,2.7,NA,NA
"Lorenzo Cain","OF","KC","@ HOU",3.05,"Keuchel, L 4.42","R",0.287,0.333,0.119,0,0,0,2,3800,21.3,7.8,6.71,6.71,"%",53,1.8,NA,NA
"Stephen Cardullo","1B","COL","vs LAD",3.73,"Kershaw, L 1.90","R",0.193,0.27,0.14,0,0,0,7,3800,13.8,2.7,4.06,4.06,"%",10,1.1,NA,NA
"Buster Posey","1B/C","SF","@ SD",4.32,"Chacin, R 5.25","R",0.287,0.347,0.144,0,0,0,4,3800,24.1,7.6,10.29,10.29,"%",55,2.7,NA,NA
"Victor Martinez","1B","DET","vs BOS",4.36,"Rodriguez, L 4.71","B",0.289,0.355,0.185,0,0,0,4,3700,24,7.2,8.02,8.02,"%",45,2.2,NA,NA
"Andrew Benintendi","OF","BOS","@ DET",4.14,"Zimmermann, R 4.87","L",0.288,0.365,0.208,0,0,0,3,3700,21.9,7,8.73,8.73,"%",53,2.4,NA,NA
"Joe Mauer","1B","MIN","@ CWS",4.07,"Gonzalez, R 3.67","L",0.258,0.331,0.126,0,0,0,4,3700,21.2,6.8,8.21,8.21,"%",52,2.2,NA,NA
"Seth Smith","OF","BAL","vs NYY",4.11,"Tanaka, R 3.38","L",0.251,0.34,0.176,0,0,0,1,3700,22.1,5.9,7.32,7.32,"%",38,2,NA,NA
"Jedd Gyorko","2B/3B","STL","vs CIN",5.05,"Arroyo, R","R",0.238,0.332,0.238,0,0,0,7,3700,21,6.3,5.84,5.84,"%",40,1.6,NA,NA
"Ender Inciarte","OF","ATL","@ PIT",3.78,"Kuhl, R 4.20","L",0.286,0.32,0.089,0,0,0,1,3700,18.8,7.3,7.58,7.58,"%",62,2,NA,NA
"Devon Travis","2B","TOR","@ TB",3.57,"Archer, R 3.97","R",0.295,0.333,0.145,0,0,0,1,3700,19.7,7.6,6.65,6.65,"%",57,1.8,NA,NA
"Steven Souza Jr.","OF","TB","vs TOR",3.94,"Sanchez, R 3.26","R",0.252,0.317,0.163,0,0,0,5,3700,21.6,6.6,6.51,6.51,"%",43,1.8,NA,NA
