Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
24,772994637,fallfromgrace (94/95),0,189.3,P Jake Arrieta OF Aaron Judge 1B Edwin Encarnación 3B Kris Bryant SS Francisco Lindor 2B Jason Kipnis OF Austin Jackson C Buster Posey OF Nick Markakis P Andrew Moore,,Jean Segura,14.18%,5
24,773089372,bugermonster,0,189.3,P Jake Arrieta OF Aaron Judge OF Cody Bellinger 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Matt Kemp SS Addison Russell C Welington Castillo P Andrew Moore,,Javier Báez,14.10%,7
26,772777265,Awesemo (56/150),0,189.2,P Jake Arrieta P Hyun-Jin Ryu 1B Edwin Encarnación 3B Kris Bryant OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips C Buster Posey SS Addison Russell OF Nick Markakis,,Mark Trumbo,12.08%,0
26,773106423,LaBete_DU_GEVAUDANz (11/33),0,189.2,P Jake Arrieta P Hyun-Jin Ryu 2B José Ramírez 3B Manny Machado OF Brett Gardner OF Austin Jackson 1B Buster Posey SS Addison Russell C Welington Castillo OF Nick Markakis,,Jonathan Schoop,11.60%,7
28,772777264,Awesemo (55/150),0,188.85,P Jake Arrieta P Steven Matz 3B Kris Bryant OF Nelson Cruz 1B Carlos Santana SS Jean Segura 2B Robinson Canó OF Mitch Haniger C Buster Posey OF Nick Markakis,,Starlin Castro,11.42%,5
28,773136254,ganondorf (78/150),0,188.85,P Steven Matz OF Aaron Judge 1B Edwin Encarnación 3B Kris Bryant OF Brett Gardner 2B Ian Happ SS Addison Russell C Willson Contreras OF Mark Zagunis P Andrew Moore,,Matt Holliday,11.33%,2
30,773054114,madoublet98 (36/101),0,188.2,P Jake Arrieta P Hyun-Jin Ryu OF Aaron Judge 3B Kris Bryant OF Nelson Cruz 2B Robinson Canó OF Mitch Haniger SS Addison Russell C Willson Contreras 1B Danny Valencia,,Addison Russell,11.24%,33
31,773087873,coyoteutleyjk12,0,187.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Brett Gardner 2B Ian Happ OF Matt Kemp SS Addison Russell C Willson Contreras P Andrew Moore,,Seth Smith,10.89%,14
32,773122214,JimL04 (2/3),0,187.2,P Jake Arrieta P Hyun-Jin Ryu 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Seth Smith OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis,,Jason Kipnis,10.82%,5
33,772963974,ChipotleAddict (12/150),0,185.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,Miguel Cabrera,10.76%,19
33,773005954,anilprao88 (27/100),0,185.85,P Jake Arrieta P Daniel Norris 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,Mike Clevinger,10.74%,12.05
33,773051741,Redsin2014KC,0,185.85,P Jake Arrieta P Daniel Norris OF Aaron Judge 3B Kris Bryant OF Ender Inciarte OF Seth Smith 2B Brandon Phillips SS Addison Russell 1B Miguel Cabrera C Travis d'Arnaud,,Yan Gomes,10.62%,5
33,773061856,TeeJayOrTj (34/70),0,185.85,P Jake Arrieta P Steven Matz OF Aaron Judge 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Matt Kemp SS Addison Russell C Willson Contreras OF Albert Almora Jr.,,J.D. Martinez,10.61%,7
33,773094128,mavngoose (2/4),0,185.85,P Jake Arrieta P Steven Matz 3B Kris Bryant OF Nelson Cruz 1B Matt Adams OF Ian Happ OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras,,Logan Forsythe,10.60%,7
38,772824259,Sebadiah23 (1/3),0,185.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz 2B Ian Happ OF Mitch Haniger SS Addison Russell C Willson Contreras P Andrew Moore,,Brandon Phillips,10.55%,18
39,772964001,ChipotleAddict (39/150),0,184.85,P Jake Arrieta P Steven Matz 3B Kris Bryant OF Nelson Cruz OF Ian Happ 2B Robinson Canó OF Mitch Haniger SS Addison Russell C Mike Zunino 1B Danny Valencia,,Buster Posey,10.33%,30
39,773144618,zbedaman33,0,184.85,P Jake Arrieta P Steven Matz OF Aaron Judge 3B Kris Bryant 2B Jonathan Schoop OF Matt Kemp 1B Buster Posey SS Addison Russell C Willson Contreras OF Hunter Pence,,Ian Happ,9.86%,25
41,773094127,mavngoose (1/4),0,184.2,P Luis Severino P Steven Matz 3B Manny Machado 1B Matt Adams OF Ender Inciarte 2B Robinson Canó SS Addison Russell OF Nick Markakis OF Hunter Pence C John Hicks,,Mitch Haniger,9.53%,9
42,773067054,murphy458,0,183.85,P Jake Arrieta P Steven Matz 1B Edwin Encarnación 3B Kris Bryant OF Ender Inciarte 2B Brandon Phillips OF Austin Jackson OF Mitch Haniger SS Addison Russell C Willson Contreras,,Trey Mancini,9.08%,3
43,772873949,bcalicore (30/150),0,183.65,P Luis Severino 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell OF Nick Markakis C Kurt Suzuki P Andrew Moore,,Daniel Norris,9.05%,8.7
43,773149891,btwice80 (6/25),0,183.65,P Luis Severino 3B Manny Machado 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips C Buster Posey SS Addison Russell OF Nick Markakis P Andrew Moore,,Cody Bellinger,8.86%,14
45,773010186,reds114,0,183.4,P Daniel Norris P Steven Matz OF Aaron Judge C Gary Sánchez 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Curtis Granderson OF Nick Markakis SS Dansby Swanson,,Hunter Pence,8.74%,8
46,773128726,mattfarrell8 (6/10),0,183.2,P Jake Arrieta P Hyun-Jin Ryu 2B José Ramírez 1B Anthony Rizzo 3B Kris Bryant OF Austin Jackson SS Addison Russell C Willson Contreras OF Nick Markakis OF Daniel Robertson,,Wilmer Flores,8.65%,0
46,773144434,DollarBillW (89/150),0,183.2,P Jake Arrieta P Hyun-Jin Ryu 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis,,Alex Avila,8.37%,7
46,773159387,frankiev3922 (2/3),0,183.2,P Jake Arrieta P Hyun-Jin Ryu 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz 2B Ian Happ OF Mitch Haniger SS Addison Russell C Willson Contreras OF Nick Markakis,,Yoenis Céspedes,8.36%,3
49,772986223,moklovin (16/150),0,182.85,P Jake Arrieta P Steven Matz 3B Kris Bryant SS Francisco Lindor 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips C Buster Posey OF Nick Markakis,,Kyle Seager,8.27%,0
50,772929299,Machon24,0,182.8,P Jaime García P Hyun-Jin Ryu 2B José Ramírez 1B Edwin Encarnación 3B Kris Bryant OF Ian Happ OF Austin Jackson SS Addison Russell C Willson Contreras OF Nick Markakis,,Welington Castillo,8.09%,6
51,772873893,day9292,0,182.65,P Luis Severino 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis P Andrew Moore,,Dansby Swanson,7.91%,8
51,773149890,btwice80 (5/25),0,182.65,P Luis Severino 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis P Andrew Moore,,Robinson Canó,7.82%,36
53,772983411,Johnnyd53,0,181.85,P Jake Arrieta P Steven Matz C Gary Sánchez 3B Kris Bryant OF Brett Gardner 2B Brandon Phillips 1B Buster Posey OF Kole Calhoun SS Addison Russell OF Austin Slater,,Dee Gordon,7.04%,6
53,772986397,1967spike,0,181.85,P Jake Arrieta P Steven Matz 3B José Ramírez OF J.D. Martinez OF Nelson Cruz 1B Carlos Santana 2B Robinson Canó C Buster Posey SS Addison Russell OF Guillermo Heredia,,Austin Jackson,6.78%,22
53,773039482,REDCOAT85 (46/150),0,181.85,P Jake Arrieta P Steven Matz 1B Edwin Encarnación 3B Kris Bryant 2B Jason Kipnis OF Ian Happ OF Cameron Maybin SS Addison Russell C Willson Contreras OF Albert Almora Jr.,,Kurt Suzuki,6.48%,10
53,773018184,tomjk321 (101/150),0,181.85,P Steven Matz 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips C Buster Posey OF Nick Markakis SS Javier Báez P Andrew Moore,,Justin Upton,6.40%,5
57,773149888,btwice80 (3/25),0,181.65,P Luis Severino 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Austin Jackson SS Addison Russell OF Austin Slater C Willson Contreras OF Hunter Pence P Andrew Moore,,Kelby Tomlinson,6.23%,7
58,773065159,tfamularo (2/3),0,181.2,P Jake Arrieta P Hyun-Jin Ryu OF Aaron Judge 1B Edwin Encarnación 3B Kris Bryant OF Seth Smith C Buster Posey SS Addison Russell 2B Javier Báez OF Guillermo Heredia,,Mike Zunino,6.20%,0
59,772908590,CarlosDanger911 (1/2),0,180.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Aaron Hicks 2B Ian Happ OF Matt Kemp SS Addison Russell C Willson Contreras P Andrew Moore,,Chris Taylor,6.19%,4
60,772811311,zach37 (1/2),0,180.2,P Jake Arrieta P Hyun-Jin Ryu 3B Kris Bryant SS Francisco Lindor 1B Matt Adams 2B Ian Happ OF Ender Inciarte OF Matt Kemp C Buster Posey OF Nick Markakis,,Giancarlo Stanton,6.15%,0
60,773005997,anilprao88 (70/100),0,180.2,P Jake Arrieta P Hyun-Jin Ryu OF Aaron Judge 3B Kris Bryant OF Nelson Cruz SS Jean Segura 2B Robinson Canó C Willson Contreras OF Nick Markakis 1B Danny Valencia,,Albert Almora Jr.,5.57%,0
60,773140909,zrramba27,0,180.2,P Jake Arrieta P Mike Clevinger OF Cody Bellinger 1B Anthony Rizzo 3B Kris Bryant OF Chris Taylor 2B Ian Happ SS Addison Russell C Willson Contreras OF Kiké Hernández,,Nicholas Castellanos,5.51%,12
63,772970669,DaddyCarvedHim (6/10),0,179.85,P Jake Arrieta P Steven Matz 3B Kris Bryant OF Nelson Cruz 2B Ian Kinsler OF Aaron Hicks OF Ian Happ 1B Alex Avila SS Addison Russell C Willson Contreras,,Kiké Hernández,5.42%,18
63,772982669,ehafner (8/150),0,179.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell OF Nick Markakis C Kurt Suzuki,,Ian Kinsler,4.95%,24
63,772982609,RipeAvocado (6/83),0,179.85,P Steven Matz OF Aaron Judge 3B Kris Bryant OF Brett Gardner 1B Matt Holliday OF Ian Happ 2B Dee Gordon SS Addison Russell C Willson Contreras P Andrew Moore,,Jay Bruce,4.76%,4
66,773108557,goblue313 (3/4),0,179.65,P Luis Severino 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz 2B Ian Happ SS Addison Russell C Willson Contreras OF Nick Markakis OF Guillermo Heredia P Andrew Moore,,Justin Turner,4.61%,14
67,772749101,Molars (2/3),0,179.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz 2B Ian Happ OF Matt Kemp SS Addison Russell C Willson Contreras P Andrew Moore,,Carlos Santana,4.11%,10
68,772874044,bcalicore (125/150),0,178.65,P Luis Severino 3B Kris Bryant OF Nelson Cruz OF Ian Happ 2B Robinson Canó SS Addison Russell C Willson Contreras OF Albert Almora Jr. 1B Danny Valencia P Andrew Moore,,Danny Valencia,4.11%,12
68,773005981,anilprao88 (54/100),0,178.65,P Luis Severino 3B Kris Bryant OF Nelson Cruz SS Jean Segura OF Ender Inciarte 2B Robinson Canó C Buster Posey OF Nick Markakis 1B Danny Valencia P Andrew Moore,,Yasiel Puig,4.04%,2
70,772995794,billyduffy,0,178.3,P Jake Arrieta OF Aaron Judge 1B Edwin Encarnación 3B Kris Bryant OF Nelson Cruz 2B Ian Happ OF Matt Kemp SS Addison Russell C Willson Contreras P Andrew Moore,,Austin Barnes,3.95%,18
71,772957475,bhuguga3,0,177.85,P Jake Arrieta P Steven Matz OF Aaron Judge 3B Kris Bryant SS Francisco Lindor 2B Ian Kinsler OF Yoenis Céspedes C Buster Posey 1B Miguel Cabrera OF Hunter Pence,,Chris Carter,3.92%,10
71,773003269,Gsmmchance (2/19),0,177.85,P Jake Arrieta P Daniel Norris 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Seth Smith OF Cameron Maybin C Willson Contreras SS Didi Gregorius OF Nick Markakis,,Mark Zagunis,3.82%,7
71,773072045,alexfree2323,0,177.85,P Jake Arrieta P Steven Matz 1B Edwin Encarnación 3B Kris Bryant OF Nelson Cruz OF Ian Happ OF Yoenis Céspedes C Buster Posey SS Addison Russell 2B Javier Báez,,Marcell Ozuna,3.79%,17
71,773159238,Tectonic,0,177.85,P Daniel Norris OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Brett Gardner OF Aaron Hicks 2B Ian Happ SS Addison Russell C Willson Contreras P Andrew Moore,,Guillermo Heredia,3.73%,9
75,773054527,hwfloss (8/10),0,176.85,P Jake Arrieta P Steven Matz 3B Kris Bryant SS Francisco Lindor OF Nelson Cruz 1B Matt Adams OF Matt Kemp 2B Brandon Phillips C Buster Posey OF Nick Markakis,,Ronald Torreyes,3.68%,3
75,773149985,dokcash (7/7),0,176.85,P Jake Arrieta P Steven Matz 3B Kris Bryant SS Francisco Lindor OF Nelson Cruz 1B Matt Adams OF Matt Kemp 2B Brandon Phillips C Buster Posey OF Nick Markakis,,Jeff Locke,3.65%,-3
77,773069840,Bullschmid (2/2),0,176.8,P Jaime García P Hyun-Jin Ryu OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant 2B Starlin Castro OF Cameron Maybin SS Addison Russell C Willson Contreras OF Nick Markakis,,Johan Camargo,3.65%,2
78,773019491,Jgo99,0,176.3,P Jake Arrieta OF Aaron Judge 3B Kris Bryant SS Francisco Lindor OF Nelson Cruz 1B Matt Adams 2B Ian Happ OF Matt Kemp C Buster Posey P Andrew Moore,,Travis d'Arnaud,3.63%,14
78,773126543,dfalk34 (1/3),0,176.3,P Jake Arrieta OF Aaron Judge 2B José Ramírez 3B Kris Bryant SS Francisco Lindor 1B Matt Adams OF Matt Kemp C Willson Contreras OF Nick Markakis P Andrew Moore,,Alex Presley,3.52%,0
80,772845913,tinderella (16/100),0,176.2,P Jake Arrieta P Hyun-Jin Ryu 1B Anthony Rizzo 3B Kris Bryant OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,John Hicks,3.42%,7
81,773130366,dand6935 (1/4),0,175.85,P Jake Arrieta P Steven Matz OF Aaron Judge 3B Kris Bryant OF Nelson Cruz 1B Matt Holliday 2B Robinson Canó C Buster Posey SS Javier Báez OF Guillermo Heredia,,Hyun Soo Kim,3.21%,5
82,773106438,LaBete_DU_GEVAUDANz (26/33),0,175.8,P Jaime García P Hyun-Jin Ryu OF Cody Bellinger 1B Anthony Rizzo 3B Kris Bryant OF Brett Gardner 2B Ian Happ SS Addison Russell OF Nick Markakis C Austin Barnes,,Erik González,3.07%,14
83,773084890,juanshen (20/60),0,175.4,P Daniel Norris P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF J.D. Martinez 2B Ian Kinsler OF Ian Happ OF Justin Upton SS Addison Russell C Willson Contreras,,Christian Yelich,2.90%,0
84,772825628,toby3826,0,175.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz OF Matt Kemp C Buster Posey SS Addison Russell 2B Javier Báez P Andrew Moore,,J.T. Realmuto,2.90%,8
85,773001457,bric75 (1/100),0,174.9,P Jake Arrieta P Jaime García 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,Daniel Robertson,2.89%,2
85,773054139,madoublet98 (61/101),0,174.9,P Jake Arrieta P Jaime García 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,Justin Bour,2.71%,3
87,772777348,Awesemo (139/150),0,174.85,P Jake Arrieta P Steven Matz OF Aaron Judge 1B Edwin Encarnación 3B Kris Bryant 2B Brandon Phillips C Buster Posey OF Austin Slater OF Hunter Pence SS Kelby Tomlinson,,Brandon Crawford,2.62%,0
87,772948523,poorecolin,0,174.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz OF Mark Trumbo OF Ian Happ 2B Robinson Canó SS Addison Russell C Martín Maldonado,,José Reyes,2.49%,3
87,773018223,tomjk321 (130/150),0,174.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant 2B Jonathan Schoop OF Ian Happ OF Yoenis Céspedes C Buster Posey SS Addison Russell OF Albert Almora Jr.,,Curtis Granderson,2.48%,21
87,773039556,REDCOAT85 (120/150),0,174.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Ender Inciarte 2B Robinson Canó OF Matt Kemp SS Addison Russell C Willson Contreras OF Albert Almora Jr.,,Joe Panik,2.37%,27
87,773124862,wildcat33,0,174.85,P Jake Arrieta P Daniel Norris OF Aaron Judge 3B Kris Bryant 2B Ian Happ OF Seth Smith 1B Alex Avila SS Addison Russell C Willson Contreras OF Daniel Robertson,,Franklin Gutierrez,2.34%,0
92,773002316,moellenb (8/10),0,174.65,P Luis Severino 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis OF Hyun Soo Kim P Andrew Moore,,Wade Miley,2.33%,3.25
92,773027191,badgerdores,0,174.65,P Luis Severino 3B Kris Bryant OF Brett Gardner OF Chris Taylor 2B Robinson Canó OF Mitch Haniger SS Addison Russell C Willson Contreras 1B Danny Valencia P Andrew Moore,,Austin Slater,2.11%,14
92,773048298,kennyz816,0,174.65,P Luis Severino 3B Kris Bryant SS Francisco Lindor 1B Matt Adams OF Ender Inciarte 2B Brandon Phillips C Buster Posey OF Nick Markakis OF Hunter Pence P Andrew Moore,,Cameron Maybin,2.09%,27
95,773039487,REDCOAT85 (51/150),0,174.45,P Jaime García P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Ian Happ OF Ender Inciarte 2B Robinson Canó OF Giancarlo Stanton SS Addison Russell C Willson Contreras,,Ben Gamel,1.96%,11
96,773003272,jsroy3000 (1/3),0,174.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz 2B Robinson Canó OF Matt Kemp C Buster Posey SS José Reyes P Andrew Moore,,José Iglesias,1.87%,2
96,773107622,Legnip,0,174.3,P Jake Arrieta OF Aaron Judge 3B Kris Bryant SS Francisco Lindor 1B Matt Adams OF Ian Happ OF Ender Inciarte 2B Brandon Phillips C Alex Avila P Andrew Moore,,Derek Dietrich,1.69%,0
98,772796030,Assani (2/6),0,174.2,P Jake Arrieta P Hyun-Jin Ryu OF Aaron Judge 3B Kris Bryant OF Brett Gardner 2B Ian Happ SS Addison Russell C Willson Contreras 1B Chris Carter OF Albert Almora Jr.,,JT Riddle,1.67%,0
99,773008112,tomjk321 (26/150),0,173.85,P Jake Arrieta P Steven Matz 3B Kris Bryant 2B Jonathan Schoop 1B Matt Adams OF Ender Inciarte OF Matt Kemp C Buster Posey OF Nick Markakis SS Dansby Swanson,,Kole Calhoun,1.47%,6
99,773008158,tomjk321 (64/150),0,173.85,P Jake Arrieta P Daniel Norris 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips C Buster Posey OF Nick Markakis SS Kelby Tomlinson,,Lucas Duda,1.39%,11
99,773073793,kytmagic,0,173.85,P Jake Arrieta P Steven Matz 3B Kris Bryant 1B Matt Adams OF Jay Bruce 2B Robinson Canó OF Seth Smith OF Matt Kemp C Buster Posey SS Didi Gregorius,,Matt Cain,1.36%,-9
102,772862656,Sneak40oz (2/8),0,173.3,P Jake Arrieta 2B José Ramírez 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz OF Aaron Hicks OF Ian Happ SS Addison Russell C Willson Contreras P Andrew Moore,,Gavin Cecchini,1.24%,3
102,773019595,BobbyZH,0,173.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant 2B Jonathan Schoop OF Aaron Hicks OF Seth Smith SS Addison Russell C Willson Contreras P Andrew Moore,,Luis Valbuena,1.22%,5
102,773148356,n553887 (3/6),0,173.3,P Jake Arrieta 1B Anthony Rizzo 3B Kris Bryant OF J.D. Martinez OF Brett Gardner OF Nelson Cruz 2B Ian Happ SS Addison Russell C Willson Contreras P Andrew Moore,,Rubén Tejada,1.15%,4
105,773073118,lickmyditka,0,173.2,P Jake Arrieta P Mike Clevinger OF Aaron Judge 3B José Ramírez 1B Anthony Rizzo 2B Ian Happ OF Marcell Ozuna C Willson Contreras OF Nick Markakis SS Javier Báez,,Jesse Chávez,1.08%,-0.4
