Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
102,15224,Andre Ellington,RB,10,ARI,HOU,0,0,0,55,0,2,18,0,0,0,0,0,9.30
103,8438,Brian Leonard,RB,10,TB,MIA,0,0,0,57,0,2,16,0,0,0,0,0,9.30
104,13997,Coby Fleener,TE,10,IND,LA,0,0,0,0,0,4,33,0,0,0,0,0,9.30
105,5701,Fred Jackson,RB,10,BUF,PIT,0,0,0,55,0,3,7,0,0,0,0,0,9.20
106,3867,Tony Romo,QB,10,DAL,NO,128,1,0,0,0,0,0,0,0,0,0,0,9.12
107,15088,Terrance Williams,WR,10,DAL,NO,0,0,0,0,0,1,21,1,0,0,0,0,9.10
108,26,Philadelphia Eagles,DST,10,PHI,GB,0,0,0,0,0,0,0,0,1,2,1,0,9
109,28,Pittsburgh Steelers,DST,10,PIT,BUF,0,0,0,0,0,0,0,0,3,1,0,0,9
110,2699,Matt Forte,RB,10,CHI,DET,0,0,0,33,0,4,16,0,0,0,0,0,8.90
111,9739,Hakeem Nicks,WR,10,NYG,OAK,0,0,0,0,0,4,49,0,0,0,0,0,8.90
112,11463,Brandon LaFell,WR,10,CAR,SF,0,0,0,0,0,4,48,0,0,0,0,0,8.80
113,14918,Tyler Eifert,TE,10,CIN,BAL,0,0,0,0,0,3,55,0,0,0,0,0,8.50
114,7857,Jerome Simpson,WR,10,MIN,WAS,0,0,0,0,0,4,45,0,0,0,0,0,8.50
115,6302,James Jones,WR,10,GB,PHI,0,0,0,0,0,4,44,0,0,0,0,0,8.40
116,4932,Eli Manning,QB,10,NYG,OAK,140,1,1,-3,0,0,0,0,0,0,0,0,8.30
117,13102,Jordan Todman,RB,10,JAX,TEN,0,0,0,11,1,1,2,0,0,0,0,0,8.30
118,11345,Logan Paulsen,TE,10,WAS,MIN,0,0,0,0,0,2,3,1,0,0,0,0,8.30
119,15201,Mike Glennon,QB,10,TB,MIA,139,1,1,-3,0,0,0,0,0,0,0,0,8.26
120,15163,Darius Johnson,WR,10,ATL,SEA,0,0,0,0,0,1,12,1,0,0,0,0,8.20
121,11182,Eric Decker,WR,10,DEN,SD,0,0,0,0,0,3,52,0,0,0,0,0,8.20
122,15076,Keenan Allen,WR,10,SD,DEN,0,0,0,0,0,4,41,0,0,0,0,0,8.10
123,90,Seattle Seahawks,DST,10,SEA,ATL,0,0,0,0,0,0,0,0,2,0,1,1,8
124,13881,Taylor Thompson,TE,10,TEN,JAX,0,0,0,0,0,1,9,1,0,0,0,0,7.90
125,2950,Steve Johnson,WR,10,BUF,PIT,0,0,0,0,0,3,48,0,0,0,0,0,7.80
126,11063,Emmanuel Sanders,WR,10,PIT,BUF,0,0,0,25,0,4,13,0,0,0,0,0,7.80
127,13463,Kris Durham,WR,10,DET,CHI,0,0,0,0,0,1,5,1,0,0,0,0,7.50
128,13069,Denarius Moore,WR,10,OAK,NYG,0,0,0,0,0,3,45,0,0,0,0,0,7.50
129,14405,Chris Givens,WR,10,LA,IND,0,0,0,0,0,2,54,0,0,0,0,0,7.40
130,13320,Cam Newton,QB,10,CAR,SF,169,0,1,15,0,0,0,0,0,0,0,0,7.26
131,14985,Ryan Griffin,TE,10,HOU,ARI,0,0,0,0,0,1,2,1,0,0,0,0,7.20
132,244,Dallas Clark,TE,10,BAL,CIN,0,0,0,0,0,1,1,1,0,0,0,0,7.10
133,14978,Justin Hunter,WR,10,TEN,JAX,0,0,0,0,0,2,51,0,0,0,0,0,7.10
134,13,Houston Texans,DST,10,HOU,ARI,0,0,0,0,0,0,0,0,1,1,2,2,7
135,95,Tampa Bay Buccaneers,DST,10,TB,MIA,0,0,0,0,0,0,0,0,2,1,0,0,7
136,34,Tennessee Titans,DST,10,TEN,JAX,0,0,0,0,0,0,0,0,3,2,1,0,7
137,3061,Marcedes Lewis,TE,10,JAX,TEN,0,0,0,0,0,3,39,0,0,0,0,0,6.90
138,1181,Martellus Bennett,TE,10,CHI,DET,0,0,0,0,0,4,29,0,0,0,0,0,6.90
139,14788,Dan Herron,RB,10,IND,LA,0,0,0,0,0,1,57,0,0,0,0,0,6.70
140,12246,Victor Cruz,WR,10,NYG,OAK,0,0,0,0,0,3,37,0,0,0,0,0,6.70
141,14594,Griff Whalen,WR,10,IND,LA,0,0,0,0,0,3,36,0,0,0,0,0,6.60
