Player,Pos,Team,Opp,Runs,vs. Pitcher,Hand,ERA/AVG,wOBA,ISO,Order,Salary,Ceiling,Avg,FC Proj,My Proj,Exposure,Con.,Value,Actual Score,Actual Val
Scott Van Slyke,1B/OF,LAD,@ SF,3.94,"Moore, L 5.87",R,0.148,0.268,0.148,7,2300,11.5,2.6,3.57,3.57,100,23,1.6,0,
Enrique Hernandez,OF/SS,LAD,@ SF,3.94,"Moore, L 5.87",R,0.265,0.397,0.353,1,2300,18.4,5.5,6.25,6.25,100,45,2.7,2,0.9
Luis Torrens,C,SD,@ ARI,4.3,"Walker, R 4.57",R,0.111,0.162,0,8,2200,7.1,1.2,3.34,3.34,100,23,1.5,0,
Chris Coghlan,3B,TOR,@ STL,3.45,"Wainwright, R 6.27",L,0.167,0.244,0,2,2200,10.2,2.9,2.98,2.98,100,38,1.4,10,4.5
Cliff Pennington,2B/SS,LAA,vs OAK,4.46,"Graveman, R 2.00",B,0.143,0.233,0,8,2100,8.9,2.3,3.16,3.16,100,38,1.5,3,1.4
Jaff Decker,OF,OAK,@ LAA,4.04,"Nolasco, R 4.76",L,0.267,0.33,0.1,1,2100,18,5.6,5.36,5.36,100,44,2.6,0,
Chris Sale,P,BOS,vs NYY,2.89,NA,L,0.91,7.4,12.8,0.71,12900,43,34,31.61,31.61,100,83,2.5,28.6,2.2
Justin Verlander,P,DET,vs SEA,4.06,NA,R,6.04,5.6,8.8,1.52,10100,47.1,12,18.3,18.3,100,0,1.8,27.55,2.7
Corey Kluber,P,CLE,vs HOU,3.45,NA,R,4.28,6.8,9,1.13,10000,49.5,21,22.25,22.25,100,35,2.2,26.55,2.7
Masahiro Tanaka,P,NYY,@ BOS,4.11,NA,R,6,5.3,8.2,1.67,9400,38.8,10.8,14,14,100,0,1.5,33.45,3.6
Carlos Martinez,P,STL,vs TOR,3.45,NA,R,4.76,5.7,12.3,1.5,9600,43.1,16.9,19.27,19.27,100,30,2,18.7,1.9
Taijuan Walker,P,ARI,vs SD,4.3,NA,R,4.57,5.4,9.2,1.38,8900,27.5,15,13.21,13.21,100,52,1.5,37,4.2
Julio Urias,P,LAD,@ SF,3.57,NA,L,,0,0,0,8800,14.7,,14.68,14.68,100,0,1.7,14.55,1.7
Matt Harvey,P,NYM,vs ATL,3.27,NA,R,2.84,6.3,6.1,0.95,8600,27.4,17,17.84,17.84,100,72,2.1,-5.65,
Ricky Nolasco,P,LAA,vs OAK,4.04,NA,R,4.76,5.7,6.8,1.32,8300,19.6,11.8,15.47,15.47,100,83,1.9,19.75,2.4
Kendall Graveman,P,OAK,@ LAA,4.46,NA,R,2,6,6,1,7900,29.8,17.7,10.87,10.87,100,47,1.4,13.9,1.8
Jeremy Hellickson,P,PHI,vs MIA,4.19,NA,R,1.87,6,3.8,0.71,7900,22.8,16.2,13.37,13.37,100,71,1.7,13.3,1.7
Hisashi Iwakuma,P,SEA,@ DET,4.94,NA,R,5.31,5.1,4.1,1.38,7700,22.9,5.6,8.79,8.79,100,0,1.1,15.75,2
Matt Moore,P,SF,vs LAD,3.94,NA,L,5.87,5.8,6.7,1.57,7500,35.1,9.4,13.4,13.4,100,0,1.8,26.75,3.6
Adam Wainwright,P,STL,vs TOR,3.45,NA,R,6.27,3.7,10.7,1.93,8500,37.5,8.5,15.97,15.97,100,0,1.9,12.25,1.4
Edinson Volquez,P,MIA,@ PHI,4.31,NA,R,4.82,4.7,10.1,1.66,7000,23.8,11.4,8.45,8.45,100,33,1.2,6.75,1
R.A. Dickey,P,ATL,@ NYM,4.24,NA,R,3.86,6.2,6.2,1.34,6700,21.5,13.5,11.22,11.22,100,62,1.7,13.05,1.9
Jered Weaver,P,SD,@ ARI,6.2,NA,R,3.91,5.8,5.1,1,6600,18.7,10.8,7.24,7.24,100,47,1.1,-0.05,
Gio Gonzalez,P,WSH,@ COL,5.4,NA,L,1.35,6.7,7.1,0.98,6500,20.1,21.3,8.78,8.78,100,73,1.4,19,2.9
Mat Latos,P,TOR,@ STL,5.05,NA,R,7.2,5,1.8,1.8,5900,6.8,-0.8,6.76,6.76,100,0,1.1,17.9,3
Mike Fiers,P,HOU,@ CLE,5.05,NA,R,5.4,3.8,7.8,1.53,5200,18,7,8.03,8.03,100,29,1.5,6.95,1.3
Antonio Senzatela,P,COL,vs WSH,5.6,NA,R,2.08,6.5,6,0.85,4900,12,19.5,7.12,7.12,100,87,1.5,0.9,0.2
Casey Lawrence,P,TOR,@ STL,5.05,NA,R,7.56,2.8,6.4,1.92,5200,15.5,2.4,7.07,7.07,100,0,1.4,-6.55,
