"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Week1","Week2","Week3","Week4","Week5","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","Projection_dfn_floor","Projection_dfn_ceiling","Actual"
"TE","Greg Olsen (7572145)","Greg Olsen",7572145,7000,"Car@NO 01:00PM ET","Car","Greg","Olsen","NO",20.8,15.5,15.12,15.5,1,0.288770053475936,16.1932332886072,16.3881465508077,1,14.3,26.2,12.4,21.6,30.1,33,54,2,1,2,13.4,28.5,15.4
"RB","Ezekiel Elliott (7571960)","Ezekiel Elliott",7571960,7000,"Dal@GB 04:25PM ET","Dal","Ezekiel","Elliott","GB",15.9,15.2,13.87,15.2,6,0.0683229813664596,14.5408127989402,14.4599147692367,1,12.2,15.7,21,25.7,35.1,9,11,0,5,5,13,30.9,22.4
"RB","LeSean McCoy (7571862)","LeSean McCoy",7571862,6900,"SF@Buf 01:00PM ET","Buf","LeSean","McCoy","SF",20.2,20,16.31,20,3,0.15,18.9179715990219,18.7679119718491,1,17,13,29.6,22.8,20.8,19,21,1,2,2,14.4,26.9,37.2
"WR","Michael Crabtree (7572070)","Michael Crabtree",7572070,6900,"KC@Oak 04:05PM ET","Oak","Michael","Crabtree","KC",16.8,12.8,15.53,12.8,2,0.218905472636816,13.2603006803501,13.3984710865903,1,17.7,13.1,21.2,33.8,13.7,29,44,5,1,1,11.5,28.3,3
"QB","Russell Wilson (7571846)","Russell Wilson",7571846,6900,"Atl@Sea 04:25PM ET","Sea","Russell","Wilson","Atl",25.18,20.5,20.98,20.5,12,0,20.723249113421,20.8401206763922,0,13.9,11.6,14,26.9,NA,0,0,0,11,4,9.6,23.5,11.5
"WR","Jarvis Landry (7572053)","Jarvis Landry",7572053,6800,"Pit@Mia 01:00PM ET","Mia","Jarvis","Landry","Pit",17.45,16.5,17.22,16.5,1,0.324503311258278,15.8410422465501,15.7647259378076,1,12.9,25.7,29.6,13.1,6,36,49,1,1,2,7.6,27.3,16.1
"WR","Julian Edelman (7572062)","Julian Edelman",7572062,6800,"Cin@NE 01:00PM ET","NE","Julian","Edelman","Cin",17.44,14.7,14.7,14.7,1,0.244047619047619,14.676715178003,14.7232660875337,1,15.2,14.6,9.2,2.7,8.5,26,41,0,1,4,4.9,15.1,7.8
"RB","Christine Michael (7571946)","Christine Michael",7571946,6800,"Atl@Sea 04:25PM ET","Sea","Christine","Michael","Atl",17.04,13.6,14.97,13.6,NA,NA,13.8479106210769,13.9457216002843,1,9.1,10.6,28.1,20,NA,NA,NA,NA,NA,NA,8.1,25.8,23.3
"WR","Jordan Matthews (7571984)","Jordan Matthews",7571984,6700,"Phi@Was 01:00PM ET","Phi","Jordan","Matthews","Was",14.11,15.8,15.37,15.8,1,0.234375,14.3949981087614,14.1646696414711,1,27.4,13.1,9.9,NA,10.5,19,30,2,1,1,7,23.5,10.5
"RB","Todd Gurley (7571915)","Todd Gurley",7571915,6700,"LA@Det 01:00PM ET","LA","Todd","Gurley","Det",15.26,16.3,15.3,16.3,5,0.103896103896104,15.0599812992405,14.8649159399594,1,5.2,8,21,13.2,18.8,11,16,0,4,3,6.5,20,13.7
"TE","Rob Gronkowski (7572176)","Rob Gronkowski",7572176,6700,"Cin@NE 01:00PM ET","NE","Rob","Gronkowski","Cin",16.95,14,13.35,14,7,0.0595238095238095,14.0791929261601,14.1441217643712,1,NA,NA,NA,2.1,18.9,6,10,0,6,4,-3.4,17.4,32.2
"QB","Matt Ryan (7571844)","Matt Ryan",7571844,6700,"Atl@Sea 04:25PM ET","Atl","Matt","Ryan","Sea",17.9,18.4,14.48,18.4,NA,NA,17.2008886184732,17.0214601405394,0,27.4,31.8,19.9,39.5,15,NA,NA,NA,NA,NA,17,36.4,26.6
"RB","Lamar Miller (7571965)","Lamar Miller",7571965,6600,"Ind@Hou 08:30PM ET","Hou","Lamar","Miller","Ind",17.57,18.5,14.98,18.5,5,0.0972972972972973,17.1671581491551,16.9609091528766,1,18.7,11.7,14.7,13.8,3.4,15,18,0,4,4,6.8,18.1,35.8
"QB","Derek Carr (7571841)","Derek Carr",7571841,6500,"KC@Oak 04:05PM ET","Oak","Derek","Carr","KC",19.99,18.9,17.22,18.9,NA,NA,18.1457351678256,18.0584282828114,0,25.4,25,12.9,23.8,26,NA,NA,NA,NA,NA,17.1,28.1,11.8
"WR","Doug Baldwin (7572082)","Doug Baldwin",7572082,6500,"Atl@Sea 04:25PM ET","Sea","Doug","Baldwin","Atl",19.12,16.1,15.56,16.1,1,0.266129032258065,16.0801685659561,16.1323050430594,1,24.2,5,33,9.4,NA,24,33,2,1,1,4.9,30.9,7.1
"QB","Derek Anderson (7571812)","Derek Anderson",7571812,6400,"Car@NO 01:00PM ET","Car","Derek","Anderson","NO",0,0,0,0,NA,NA,0,0,0,NA,NA,0.1,14.9,8.5,NA,NA,NA,NA,NA,0.4,15.2,0
"WR","Willie Snead (7572020)","Willie Snead",7572020,6400,"Car@NO 01:00PM ET","NO","Willie","Snead","Car",15.85,15.7,13.98,15.7,4,0.104046242774566,14.8485236163895,14.7303033948095,1,35.2,16.4,NA,3.3,NA,15,18,2,3,1,2.3,34.3,8.7
"QB","Blake Bortles (7571820)","Blake Bortles",7571820,6300,"Jax@Chi 01:00PM ET","Jax","Blake","Bortles","Chi",19.64,19.1,19.81,19.1,NA,NA,18.1705695922221,18.0483728729888,0,19,24.6,14.5,25.9,NA,NA,NA,NA,NA,NA,15.7,26.2,12.9
"WR","Jeremy Maclin (7572071)","Jeremy Maclin",7572071,6300,"KC@Oak 04:05PM ET","KC","Jeremy","Maclin","Oak",15.58,18.7,15.99,18.7,1,0.221556886227545,16.7037203304109,16.3633815900697,1,17.2,12.8,7.5,12.8,NA,20,37,1,2,3,8.6,16.5,7.9
"RB","Jordan Howard (7571908)","Jordan Howard",7571908,6200,"Jax@Chi 01:00PM ET","Chi","Jordan","Howard","Jax",17.24,16.6,15.35,16.6,6,0.0913978494623656,15.8430390145349,15.7471607174363,1,NA,5.1,13.2,19.2,28.3,13,17,1,6,3,6.7,26.2,12
"QB","Matthew Stafford (7571823)","Matthew Stafford",7571823,6200,"LA@Det 01:00PM ET","Det","Matthew","Stafford","LA",19.69,20.4,17,20.4,NA,NA,19.0242085735446,18.8158619504156,0,29.1,16.5,30.5,10.2,19.8,NA,NA,NA,NA,NA,12.7,29.8,28.2
"TE","Jordan Reed (7572127)","Jordan Reed",7572127,6100,"Phi@Was 01:00PM ET","Was","Jordan","Reed","Phi",0,0,0,0,1,0.235897435897436,0,0,1,13.4,12,9.6,28.3,13.3,35,46,2,1,1,7.9,22.7,0
"QB","Marcus Mariota (7571805)","Marcus Mariota",7571805,6100,"Cle@Ten 01:00PM ET","Ten","Marcus","Mariota","Cle",18.05,18.7,16.54,18.7,NA,NA,17.4391059648972,17.2481719668205,0,18.7,17.6,7.8,9.1,30.5,NA,NA,NA,NA,NA,7.6,25.9,28.8
"WR","Terrelle Pryor Sr. (7571996)","Terrelle Pryor",7571996,6100,"Cle@Ten 01:00PM ET","Cle","Terrelle","Pryor","Ten",15,12.7,13.71,12.7,1,0.284883720930233,12.6598726875404,12.6960247048284,1,9.8,6.2,34.9,15,10.3,26,49,1,1,2,3.8,26.7,28.8
"QB","Carson Wentz (7571799)","Carson Wentz",7571799,6000,"Phi@Was 01:00PM ET","Phi","Carson","Wentz","Was",18.14,18.6,18.11,18.6,NA,NA,17.4013819596093,17.2227514199002,0,19.2,12.6,24,NA,17.9,NA,NA,NA,NA,NA,13.7,23.1,7.4
"RB","Mark Ingram (7571896)","Mark Ingram",7571896,6000,"Car@NO 01:00PM ET","NO","Mark","Ingram","Car",15.36,16.8,13.37,16.8,4,0.104046242774566,15.4123511633185,15.1890367746467,1,10.7,8.7,22.7,22.5,NA,15,18,1,3,4,8.7,23.6,8
"WR","Randall Cobb (7572097)","Randall Cobb",7572097,6000,"Dal@GB 04:25PM ET","GB","Randall","Cobb","Dal",13.78,12.6,14.27,12.6,2,0.222972972972973,12.232126341695,12.2013428649756,1,12.8,9.3,4.3,NA,22.8,23,33,1,1,3,4.5,20.1,18.3
"QB","Eli Manning (7571807)","Eli Manning",7571807,5900,"Bal@NYG 01:00PM ET","NYG","Eli","Manning","Bal",16.42,16.3,15.53,16.3,NA,NA,15.4053445931693,15.2804450237776,0,19.3,16.3,19,9.4,11.1,NA,NA,NA,NA,NA,10.5,19.6,29.1
"QB","Dak Prescott (7571852)","Dak Prescott",7571852,5900,"Dal@GB 04:25PM ET","Dal","Dak","Prescott","GB",18.51,17.9,15.48,17.9,NA,NA,17.0599049084378,16.9516717623271,0,10.3,18.3,23.5,18.1,18.5,NA,NA,NA,NA,NA,13,22.5,20.5
"WR","Will Fuller (7572114)","Will Fuller",7572114,5900,"Ind@Hou 08:30PM ET","Hou","Will","Fuller","Ind",0,0,10.11,0,2,0.216216216216216,0,0,1,24.7,17.4,6.1,27.1,1.4,20,40,2,2,2,4.1,26.6,0
"WR","DeSean Jackson (7571981)","DeSean Jackson",7571981,5800,"Phi@Was 01:00PM ET","Was","DeSean","Jackson","Phi",14.43,11.7,11.86,11.7,2,0.184615384615385,11.8449739777002,11.9152435863049,0,19.2,7,20.6,1.5,6.5,18,36,1,4,3,2.5,19.4,9.5
"QB","Joe Flacco (7571806)","Joe Flacco",7571806,5800,"Bal@NYG 01:00PM ET","Bal","Joe","Flacco","NYG",17.58,18.2,16.32,18.2,NA,NA,16.976577119135,16.7915116829843,0,13,21.2,13.8,23,13,NA,NA,NA,NA,NA,11.9,21.7,15.3
"QB","Brian Hoyer (7571817)","Brian Hoyer",7571817,5800,"Jax@Chi 01:00PM ET","Chi","Brian","Hoyer","Jax",17.65,17.6,14.01,17.6,NA,NA,16.6103014079711,16.4706274795711,0,NA,3.1,22.4,22.8,26.8,NA,NA,NA,NA,NA,8.1,29.4,15.1
"RB","Eddie Lacy (7571955)","Eddie Lacy",7571955,5800,"Dal@GB 04:25PM ET","GB","Eddie","Lacy","Dal",11.48,18.3,12.55,18.3,7,0.0405405405405405,15.2249619894987,14.6640617180534,1,8.8,5,14.5,NA,9.4,3,6,0,7,5,5.5,13.3,8.1
"QB","Alex Smith (7571838)","Alex Smith",7571838,5700,"KC@Oak 04:05PM ET","KC","Alex","Smith","Oak",16.68,20.2,17.67,20.2,11,0.00598802395209581,17.9990115046647,17.6223158760751,0,32,5.6,13.2,18.7,NA,0,1,0,12,4,6.3,28.5,8.9
"QB","Kirk Cousins (7571798)","Kirk Cousins",7571798,5600,"Phi@Was 01:00PM ET","Was","Kirk","Cousins","Phi",17.41,17.4,14.69,17.4,NA,NA,16.409808066835,16.2693362002103,0,15,22.6,19.3,18.3,13.3,NA,NA,NA,NA,NA,14,21.4,18.3
"WR","Sterling Shepard (7572014)","Sterling Shepard",7572014,5600,"Bal@NYG 01:00PM ET","NYG","Sterling","Shepard","Bal",12.36,11,11.29,11,2,0.175257731958763,10.7770431013681,10.7701199938038,1,13.3,22.7,18.3,7,3.4,24,34,2,2,1,5,20.9,6.5
"RB","Devonta Freeman (7571947)","Devonta Freeman",7571947,5600,"Atl@Sea 04:25PM ET","Atl","Devonta","Freeman","Sea",14.12,13.1,11.3,13.1,5,0.1,12.6559506803789,12.611435234246,1,8,9.3,34.7,14.4,21.3,14,17,1,5,4,6.6,28.5,8
"QB","Tony Romo (7571849)","Tony Romo",7571849,5600,"Dal@GB 04:25PM ET","Dal","Tony","Romo","GB",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"TE","Delanie Walker (7572130)","Delanie Walker",7572130,5500,"Cle@Ten 01:00PM ET","Ten","Delanie","Walker","Cle",14.8,11.4,13.45,11.4,2,0.164705882352941,11.7615746595891,11.8748034182872,1,7.2,20.3,NA,5.4,17.6,17,28,2,3,2,5.2,20,3.1
"WR","Steve Smith Sr. (7572004)","Steve Smith",7572004,5500,"Bal@NYG 01:00PM ET","Bal","Steve","Smith","NYG",0,0,0,0,2,0.185714285714286,0,0,1,6.9,9.4,16.7,28.1,5.9,27,39,1,2,2,4.2,22.6,0
"QB","Andy Dalton (7571834)","Andy Dalton",7571834,5500,"Cin@NE 01:00PM ET","Cin","Andy","Dalton","NE",17.87,19.5,15.88,19.5,NA,NA,17.9016705750635,17.6449722949941,0,21.3,22.3,11.2,14.6,22.2,NA,NA,NA,NA,NA,13.3,23.4,21.9
"QB","Ryan Tannehill (7571830)","Ryan Tannehill",7571830,5400,"Pit@Mia 01:00PM ET","Mia","Ryan","Tannehill","Pit",16.34,18,16.48,18,NA,NA,16.478356800474,16.232005676194,0,15.1,28.1,25,9.6,5.6,NA,NA,NA,NA,NA,7,26.3,10.4
"RB","Spencer Ware (7571939)","Spencer Ware",7571939,5400,"KC@Oak 04:05PM ET","KC","Spencer","Ware","Oak",9.32,6.9,9.29,6.9,4,0.101796407185629,7.22665632582342,7.31709245447462,1,35.9,11.5,8.3,9.6,NA,12,17,0,4,4,3.2,29.4,27.3
"QB","Brock Osweiler (7571857)","Brock Osweiler",7571857,5400,"Ind@Hou 08:30PM ET","Hou","Brock","Osweiler","Ind",16.11,18.4,15.02,18.4,13,0,16.6679573287037,16.3802557784407,0,17.6,12.4,8.1,17.6,10.4,0,0,0,13,4,9,17.5,17.4
"QB","Tyrod Taylor (7571792)","Tyrod Taylor",7571792,5300,"SF@Buf 01:00PM ET","Buf","Tyrod","Taylor","SF",17.87,19.2,17.26,19.2,NA,NA,17.7081122752682,17.4719926778275,0,5.5,25.4,17.4,16.6,15.8,NA,NA,NA,NA,NA,9.1,23.2,21
"RB","Theo Riddick (7571911)","Theo Riddick",7571911,5300,"LA@Det 01:00PM ET","Det","Theo","Riddick","LA",0,0,0,0,3,0.17741935483871,0,0,1,27.8,10.5,11.8,9.8,26.2,27,33,3,1,1,8.2,26.2,0
"WR","Donte Moncrief (7572111)","Donte Moncrief",7572111,5300,"Ind@Hou 08:30PM ET","Ind","Donte","Moncrief","Hou",0,0,0,0,8,0.0473933649289099,0,0,0,18.4,1.9,NA,NA,NA,7,10,1,7,4,-1.5,21.8,0
"WR","Mike Wallace (7572008)","Mike Wallace",7572008,5200,"Bal@NYG 01:00PM ET","Bal","Mike","Wallace","NYG",13.69,11.1,10.32,11.1,1,0.19047619047619,11.2375394147412,11.3042054536739,1,19.2,20.1,6.9,10.7,13.3,22,40,3,3,1,8.4,19.7,13.7
"RB","Frank Gore (7571961)","Frank Gore",7571961,5200,"Ind@Hou 08:30PM ET","Ind","Frank","Gore","Hou",13.62,9.9,11.18,9.9,4,0.0995260663507109,10.4424653271332,10.5872119540874,1,11.8,15.3,15.3,20.5,8.9,15,21,1,5,4,10,18.7,14.8
"RB","Carlos Hyde (7571864)","Carlos Hyde",7571864,5100,"SF@Buf 01:00PM ET","SF","Carlos","Hyde","Buf",15.62,14.4,12.15,14.4,5,0.0939597315436242,13.9412937791125,13.8983356664455,1,23.3,7.2,28.5,14.9,23.4,13,14,0,2,4,11,27.9,5.2
"RB","Jonathan Stewart (7571893)","Jonathan Stewart",7571893,5100,"Car@NO 01:00PM ET","Car","Jonathan","Stewart","NO",13.11,11.9,9.7,11.9,9,0.0213903743315508,11.5810132338976,11.5577198908758,0,6.4,3.6,NA,NA,NA,3,4,0,9,7,3,7,20.5
"QB","Jay Cutler (7571816)","Jay Cutler",7571816,5100,"Jax@Chi 01:00PM ET","Chi","Jay","Cutler","Jax",0,0,0,0,NA,NA,0,0,0,12.8,4.3,NA,NA,NA,NA,NA,NA,NA,NA,2.5,14.6,0
"RB","Jamaal Charles (7571934)","Jamaal Charles",7571934,5100,"KC@Oak 04:05PM ET","KC","Jamaal","Charles","Oak",15.01,15.5,10.88,15.5,11,0.00598802395209581,14.4693940887385,14.3140832789911,0,NA,NA,NA,0.7,NA,0,1,0,12,4,0.7,0.7,12.7
"QB","Colin Kaepernick (7571790)","Colin Kaepernick",7571790,5000,"SF@Buf 01:00PM ET","SF","Colin","Kaepernick","Buf",16.05,17,13.7,17,NA,NA,15.7468216443408,15.5515246813507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,18.1
"QB","Christian Ponder (7571791)","Christian Ponder",7571791,5000,"SF@Buf 01:00PM ET","SF","Christian","Ponder","Buf",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","EJ Manuel (7571793)","EJ Manuel",7571793,5000,"SF@Buf 01:00PM ET","Buf","EJ","Manuel","SF",0,0,0,0,NA,NA,0,0,0,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,1.1
"QB","Blaine Gabbert (7571794)","Blaine Gabbert",7571794,5000,"SF@Buf 01:00PM ET","SF","Blaine","Gabbert","Buf",0,1.6,0,1.6,11,0.00671140939597315,1.03231093224163,0.922557958221913,0,14.5,22.7,6,13.5,21.5,1,1,0,10,4,8.9,22.4,0
"QB","Cardale Jones (7571795)","Cardale Jones",7571795,5000,"SF@Buf 01:00PM ET","Buf","Cardale","Jones","SF",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Chase Daniel (7571796)","Chase Daniel",7571796,5000,"Phi@Was 01:00PM ET","Phi","Chase","Daniel","Was",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Colt McCoy (7571797)","Colt McCoy",7571797,5000,"Phi@Was 01:00PM ET","Was","Colt","McCoy","Phi",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Nate Sudfeld (7571800)","Nate Sudfeld",7571800,5000,"Phi@Was 01:00PM ET","Was","Nate","Sudfeld","Phi",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Josh McCown (7571801)","Josh McCown",7571801,5000,"Cle@Ten 01:00PM ET","Cle","Josh","McCown","Ten",0,0,0,0,NA,NA,0,0,0,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,16.4,16.4,0
"QB","Matt Cassel (7571802)","Matt Cassel",7571802,5000,"Cle@Ten 01:00PM ET","Ten","Matt","Cassel","Cle",0,0,0,0,NA,NA,0,0,0,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.1,0
"QB","Charlie Whitehurst (7571803)","Charlie Whitehurst",7571803,5000,"Cle@Ten 01:00PM ET","Cle","Charlie","Whitehurst","Ten",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,10.4,10.4,0
"QB","Cody Kessler (7571804)","Cody Kessler",7571804,5000,"Cle@Ten 01:00PM ET","Cle","Cody","Kessler","Ten",12.5,13,12.22,13,NA,NA,12.1091135435236,11.9734675034214,0,NA,NA,10.7,12.1,6.5,NA,NA,NA,NA,NA,6.8,12.7,24.7
"QB","Josh Johnson (7571808)","Josh Johnson",7571808,5000,"Bal@NYG 01:00PM ET","NYG","Josh","Johnson","Bal",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Ryan Mallett (7571809)","Ryan Mallett",7571809,5000,"Bal@NYG 01:00PM ET","Bal","Ryan","Mallett","NYG",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Ryan Nassib (7571810)","Ryan Nassib",7571810,5000,"Bal@NYG 01:00PM ET","NYG","Ryan","Nassib","Bal",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"RB","Terrance West (7571886)","Terrance West",7571886,5000,"Bal@NYG 01:00PM ET","Bal","Terrance","West","NYG",12.35,11.6,8.92,11.6,8,0.0476190476190476,11.1611824311834,11.1124970808628,0,5.8,6.7,6.3,20.3,10.9,6,10,0,8,5,3.9,16.1,28.3
"QB","Luke McCown (7571813)","Luke McCown",7571813,5000,"Car@NO 01:00PM ET","NO","Luke","McCown","Car",0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"QB","Joe Webb (7571814)","Joe Webb",7571814,5000,"Car@NO 01:00PM ET","Car","Joe","Webb","NO",0,0,0,0,10,0.0053475935828877,0,0,0,NA,NA,NA,1.3,NA,1,1,0,10,7,1.3,1.3,0
