Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
11,770708982,papagates (6/150),0,200.55,3B Evan Longoria OF Steven Souza Jr. 1B Anthony Rizzo OF Corey Dickerson C Willson Contreras P Jacob deGrom P Trevor Bauer SS Javier Báez OF Mallex Smith 2B Ian Happ,,Josh Donaldson,18.61%,3
11,770709017,papagates (41/150),0,200.55,1B Edwin Encarnación 3B Evan Longoria OF Steven Souza Jr. C Derek Norris OF Corey Dickerson P Jacob deGrom P Trevor Bauer SS Francisco Lindor 2B José Ramírez OF Bradley Zimmer,,José Ramírez,18.38%,24
11,770991170,madoublet98 (33/101),0,200.55,1B Edwin Encarnación OF Adam Jones OF Seth Smith OF Mark Trumbo C Welington Castillo 3B Manny Machado P Jacob deGrom P Trevor Bauer SS Francisco Lindor 2B José Ramírez,,J.A. Happ,18.10%,26.2
14,770930323,bquicksix (34/150),0,199.55,1B Edwin Encarnación OF Adam Jones OF Seth Smith OF Mark Trumbo C Derek Norris 2B Jason Kipnis P Jacob deGrom SS Francisco Lindor P Jacob Faria 3B José Ramírez,,Chris Herrmann,17.41%,0
14,770790121,crystalkali (80/130),0,199.55,P J.A. Happ OF Colby Rasmus 1B Logan Morrison 3B Justin Turner OF Steven Souza Jr. C Alex Avila OF Corey Dickerson P Jimmy Nelson 2B José Ramírez SS Corey Seager,,Justin Turner,16.60%,23
16,770991162,madoublet98 (25/101),0,199.35,1B Edwin Encarnación OF Adam Jones OF Seth Smith OF Mark Trumbo C Roberto Pérez 2B Jason Kipnis P Jimmy Nelson P Jacob deGrom SS Francisco Lindor 3B José Ramírez,,José Bautista,16.59%,5
17,770811796,ChipotleAddict (70/150),0,198.55,1B Logan Morrison 3B Justin Turner OF Steven Souza Jr. C Derek Norris 2B Logan Forsythe OF Corey Dickerson P Jacob deGrom P Trevor Bauer SS Corey Seager OF Cody Bellinger,,Matt Carpenter,16.05%,8
18,770786639,fantasyfever (1/3),0,198.35,C Russell Martin 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. 2B Jason Kipnis OF Corey Dickerson P Jimmy Nelson P Jacob deGrom SS Francisco Lindor OF Mallex Smith,,Yadier Molina,15.65%,14
18,770786641,fantasyfever (2/3),0,198.35,C Russell Martin 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. 2B Jason Kipnis OF Corey Dickerson P Jimmy Nelson P Jacob deGrom SS Francisco Lindor OF Mallex Smith,,Eric Thames,14.67%,2
18,770910315,JoeyZaZa85 (13/20),0,198.35,C Russell Martin 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. 2B Jason Kipnis OF Corey Dickerson P Jimmy Nelson P Jacob deGrom SS Francisco Lindor OF Mallex Smith,,Buck Farmer,14.30%,-8.95
21,770708998,papagates (22/150),0,197.75,P J.A. Happ 1B Logan Morrison 3B Evan Longoria 2B Daniel Murphy OF Steven Souza Jr. C Derek Norris OF Corey Dickerson OF Bryce Harper P Trevor Bauer SS Trea Turner,,Gregory Polanco,13.51%,2
22,770686773,Awesemo (67/150),0,196.55,P J.A. Happ OF Seth Smith OF Mark Trumbo C Welington Castillo 1B Matt Carpenter 3B Manny Machado P Jimmy Nelson 2B José Ramírez SS Corey Seager OF Trey Mancini,,Tommy Pham,13.30%,0
23,770924496,scout326 (62/150),0,196.35,OF Adam Jones OF Seth Smith 1B Anthony Rizzo 2B Jonathan Schoop C Willson Contreras 3B Manny Machado P Jimmy Nelson P Jacob deGrom SS Javier Báez OF Trey Mancini,,Paul Goldschmidt,13.29%,19
23,770942786,ahitspat,0,196.35,OF Jay Bruce 1B Logan Morrison 3B Evan Longoria 2B Logan Forsythe SS Kiké Hernández OF Corey Dickerson P Jimmy Nelson P Jacob deGrom C Austin Barnes OF Mallex Smith,,Dexter Fowler,12.44%,21
25,770822518,dukerg (3/3),0,195.9,1B Edwin Encarnación C Yadier Molina OF José Bautista OF Dexter Fowler 3B Justin Turner 2B Jason Kipnis OF Corey Dickerson P Jimmy Nelson P Jacob Faria SS Corey Seager,,Russell Martin,11.92%,20
26,770819614,bric75 (44/101),0,195.35,1B Edwin Encarnación 3B Evan Longoria OF Steven Souza Jr. C Derek Norris 2B Jason Kipnis OF Corey Dickerson P Jimmy Nelson P Jacob deGrom SS Francisco Lindor OF Mallex Smith,,Logan Forsythe,11.88%,19
27,770811769,ChipotleAddict (43/150),0,194.5,P John Lackey 1B Edwin Encarnación C Russell Martin OF Dexter Fowler SS Troy Tulowitzki OF Tommy Pham 3B Josh Donaldson OF Stephen Piscotty P Jacob deGrom 2B José Ramírez,,Troy Tulowitzki,11.72%,10
28,770788059,tomjk321 (9/150),0,193.25,C Russell Martin 1B Logan Morrison 3B Evan Longoria P Kenta Maeda OF Steven Souza Jr. SS Tim Beckham 2B Dee Gordon OF Corey Dickerson OF Christian Yelich P Jacob deGrom,,Alex Avila,10.82%,10
29,770855966,blakeskylarrogers,0,192.9,OF Matt Kemp OF Mark Trumbo C Welington Castillo SS Eric Sogard 1B Anthony Rizzo P Jimmy Nelson 2B Javier Báez P Jacob Faria 3B José Ramírez OF Cody Bellinger,,Giancarlo Stanton,10.78%,0
30,770819596,bric75 (26/101),0,192.2,P J.A. Happ 1B Logan Morrison 3B Evan Longoria C Derek Norris 2B Logan Forsythe SS Kiké Hernández OF Corey Dickerson P Jacob deGrom OF Joc Pederson OF Cody Bellinger,,Jake Lamb,9.97%,3
31,770900492,TonyDunstWPT (3/4),0,191.9,1B Edwin Encarnación OF Adam Jones OF Lonnie Chisenhall C Welington Castillo 3B Manny Machado P Jimmy Nelson SS Francisco Lindor P Jacob Faria 2B José Ramírez OF Trey Mancini,,Jameson Taillon,9.68%,5.85
32,770750684,petteytheft89 (32/80),0,191.55,3B Evan Longoria OF Steven Souza Jr. C Derek Norris SS Kiké Hernández 1B Justin Bour OF Corey Dickerson P Jacob deGrom P Trevor Bauer 2B José Ramírez OF Mallex Smith,,Jacob Faria,9.47%,31.55
33,770763359,fallfromgrace (134/150),0,191.35,1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. C Derek Norris 2B Jason Kipnis OF Corey Dickerson P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Francisco Lindor,,Kevin Pillar,9.18%,5
34,770790096,crystalkali (55/130),0,190.55,P J.A. Happ 1B Logan Morrison 3B Evan Longoria C Alex Avila OF Corey Dickerson P Jimmy Nelson 2B José Ramírez OF Mallex Smith SS Corey Seager OF Cody Bellinger,,Jedd Gyorko,9.12%,0
34,770989648,Smoltzjr,0,190.55,P J.A. Happ 1B Logan Morrison 3B Evan Longoria C Alex Avila OF Corey Dickerson P Jimmy Nelson 2B José Ramírez OF Mallex Smith SS Corey Seager OF Cody Bellinger,,Austin Barnes,8.99%,7
36,770762478,anilprao88 (40/70),0,190.45,P J.A. Happ 1B Logan Morrison 3B Evan Longoria P Kenta Maeda OF Steven Souza Jr. C Derek Norris OF Corey Dickerson 2B José Ramírez SS Corey Seager OF Cody Bellinger,,Manny Machado,8.90%,7
37,770762491,anilprao88 (53/70),0,190.35,1B Logan Morrison 3B Evan Longoria C Derek Norris 2B Dee Gordon OF Corey Dickerson P Jimmy Nelson P Jacob deGrom OF Joc Pederson OF Mallex Smith SS Corey Seager,,Lonnie Chisenhall,8.59%,2
37,770991181,madoublet98 (44/101),0,190.35,1B Edwin Encarnación C Yadier Molina OF Adam Jones OF Seth Smith OF Mark Trumbo 2B Jason Kipnis 3B Manny Machado P Jimmy Nelson P Jacob deGrom SS Francisco Lindor,,Dee Gordon,8.20%,15
39,770924535,scout326 (101/150),0,189.35,OF Colby Rasmus 3B Evan Longoria 1B Anthony Rizzo OF Corey Dickerson C Willson Contreras P Jimmy Nelson P Jacob deGrom SS Javier Báez OF Mallex Smith 2B Ian Happ,,Jay Bruce,7.69%,4
40,770709075,papagates (99/150),0,189.2,C Yadier Molina P J.A. Happ OF Dexter Fowler 1B Logan Morrison 3B Evan Longoria OF Stephen Piscotty 2B Greg Garcia P Jacob deGrom OF Mallex Smith SS Aledmys Díaz,,Mallex Smith,7.04%,8
41,770709001,papagates (25/150),0,188.55,1B Logan Morrison 3B Justin Turner OF Steven Souza Jr. SS Tim Beckham 2B Logan Forsythe OF Corey Dickerson P Jacob deGrom C Austin Barnes P Trevor Bauer OF Mallex Smith,,Edwin Encarnación,6.91%,37
41,770811737,ChipotleAddict (11/150),0,188.55,C Russell Martin SS Troy Tulowitzki OF Colby Rasmus 1B Logan Morrison OF Steven Souza Jr. 3B Josh Donaldson OF Corey Dickerson P Jacob deGrom P Trevor Bauer 2B José Ramírez,,Wilmer Flores,6.78%,0
43,770762496,anilprao88 (58/70),0,188.35,C Yadier Molina OF Colby Rasmus 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. 2B Jason Kipnis OF Corey Dickerson P Jimmy Nelson P Jacob deGrom SS Corey Seager,,Ian Kinsler,6.70%,0
44,770706225,shawnzhan (34/150),0,187.55,1B Edwin Encarnación C Yadier Molina OF Dexter Fowler OF Tommy Pham 2B Jason Kipnis OF Stephen Piscotty P Jacob deGrom P Trevor Bauer SS Francisco Lindor 3B José Ramírez,,Eric Sogard,6.66%,10
45,770763340,fallfromgrace (115/150),0,187.35,1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. C Derek Norris 2B Jason Kipnis P Jimmy Nelson P Jacob deGrom OF Joc Pederson OF Mallex Smith SS Corey Seager,,Mark Trumbo,6.53%,21
46,770849272,GS30 (5/9),0,186.55,OF Grégor Blanco P J.A. Happ OF Mark Trumbo C Chris Herrmann 1B Paul Goldschmidt 3B Manny Machado P Jimmy Nelson 2B Brandon Drury SS Trea Turner OF Trey Mancini,,Miguel Cabrera,6.44%,2
47,770790143,crystalkali (102/130),0,186.2,C Yadier Molina P J.A. Happ OF Seth Smith 1B Logan Morrison 3B Evan Longoria 2B Jason Kipnis OF Corey Dickerson P Jacob deGrom OF Mallex Smith SS Corey Seager,,Bryce Harper,5.98%,5
48,770743188,zakaro (2/9),0,185.35,SS José Reyes 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. C Alex Avila OF Corey Dickerson 2B Jonathan Schoop P Jimmy Nelson P Jacob deGrom OF Mallex Smith,,Lucas Duda,5.85%,12
49,770734053,RunHotSports (1/2),0,184.9,1B Edwin Encarnación C Yadier Molina 3B Justin Turner OF Eric Thames P Jimmy Nelson OF Joc Pederson P Trevor Bauer 2B José Ramírez SS Corey Seager OF Cody Bellinger,,Corey Dickerson,5.85%,16
50,770842521,Clubber62 (9/11),0,184.55,OF Colby Rasmus 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. C Chris Herrmann SS Eduardo Escobar P Jacob deGrom P Jacob Faria 2B José Ramírez OF Mallex Smith,,Carlos Santana,5.68%,4
50,770822975,leribeus75 (1/2),0,184.55,P J.A. Happ 3B Josh Donaldson OF Billy Hamilton C Willson Contreras P Jimmy Nelson 2B José Ramírez SS Trea Turner OF Byron Buxton OF Michael Conforto 1B Cody Bellinger,,Michael Conforto,5.41%,19
52,770951732,geemerboy,0,183.75,1B Edwin Encarnación C Yadier Molina P J.A. Happ OF Dexter Fowler 3B Justin Turner OF Tommy Pham P Trevor Bauer 2B José Ramírez SS Corey Seager OF Cody Bellinger,,J.D. Martinez,5.37%,0
53,770931474,mray6288 (16/150),0,183.55,1B Edwin Encarnación OF Adam Jones OF Seth Smith OF Mark Trumbo C Chris Herrmann 3B Manny Machado P Jacob deGrom P Trevor Bauer SS Francisco Lindor 2B José Ramírez,,Christian Yelich,5.13%,12
53,770931529,mray6288 (71/150),0,183.55,1B Edwin Encarnación C Russell Martin OF Steve Pearce 3B Josh Donaldson P Jacob deGrom OF Adam Duvall OF Kevin Pillar P Trevor Bauer SS Francisco Lindor 2B José Ramírez,,Kenta Maeda,5.13%,20.25
53,770896854,markcpro (5/14),0,183.55,P J.A. Happ 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. 2B Jason Kipnis OF Corey Dickerson P Jimmy Nelson C Austin Barnes SS Corey Seager OF Cody Bellinger,,Evan Longoria,5.00%,22
56,770811872,ChipotleAddict (146/150),0,183.5,P John Lackey 3B Evan Longoria OF Steven Souza Jr. 1B Anthony Rizzo SS Tim Beckham OF Corey Dickerson C Willson Contreras P Jacob deGrom OF Mallex Smith 2B Ian Happ,,Brandon Drury,4.97%,10
57,770945559,dahladino (28/61),0,183.2,C Yadier Molina P J.A. Happ 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. 2B Jason Kipnis OF Corey Dickerson P Jacob deGrom OF Mallex Smith SS Corey Seager,,Chris Owings,4.96%,16
57,770945563,dahladino (32/61),0,183.2,C Yadier Molina OF Adam Jones P J.A. Happ OF Seth Smith OF Mark Trumbo 3B Manny Machado P Jacob deGrom SS Francisco Lindor 2B José Ramírez 1B Trey Mancini,,Manny Piña,4.94%,17
59,770827918,jeffdrazek (2/13),0,182.9,OF Seth Smith OF Mark Trumbo 2B Daniel Murphy C Welington Castillo 1B Matt Carpenter 3B Manny Machado P Jimmy Nelson P Jacob Faria SS Corey Seager OF Trey Mancini,,Adam Jones,4.90%,10
59,770951825,jjames1989 (2/2),0,182.9,C Russell Martin OF Dexter Fowler 3B Josh Donaldson OF Billy Hamilton 1B Paul Goldschmidt P Jimmy Nelson P Trevor Bauer SS Francisco Lindor 2B José Ramírez OF Cody Bellinger,,Lance Lynn,4.85%,-0.7
61,770811742,ChipotleAddict (16/150),0,182.55,C Russell Martin OF Dexter Fowler 1B Kendrys Morales OF Stephen Piscotty 3B Jedd Gyorko P Jacob deGrom OF Kevin Pillar P Trevor Bauer 2B José Ramírez SS Aledmys Díaz,,Kendrys Morales,4.84%,21
61,770790080,crystalkali (39/130),0,182.55,1B Edwin Encarnación P J.A. Happ OF Dexter Fowler 3B Justin Turner OF Lonnie Chisenhall OF Tommy Pham C Alex Avila P Jimmy Nelson SS Francisco Lindor 2B José Ramírez,,Welington Castillo,4.62%,17
63,770991232,madoublet98 (95/101),0,182.35,1B Edwin Encarnación OF Adam Jones OF Seth Smith OF Mark Trumbo C Roberto Pérez 2B Jason Kipnis 3B Manny Machado P Jimmy Nelson P Jacob deGrom SS Francisco Lindor,,Jeremy Hazelbaker,4.49%,6
64,770709119,papagates (143/150),0,182.2,P J.A. Happ 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. OF Giancarlo Stanton C Derek Norris 2B Dee Gordon OF Christian Yelich P Jacob deGrom SS Aledmys Díaz,,Justin Smoak,4.31%,5
65,770826062,luckyluchian0 (1/4),0,181.9,OF Seth Smith OF Jay Bruce C Welington Castillo 1B Matt Carpenter 2B Scooter Gennett 3B Manny Machado P Jimmy Nelson P Jacob Faria OF Trey Mancini SS Aledmys Díaz,,Seth Smith,4.25%,26
65,770861435,dmspung,0,181.9,1B Edwin Encarnación OF José Bautista C Derek Norris 2B Jason Kipnis P Jimmy Nelson SS Francisco Lindor P Jacob Faria 3B José Ramírez OF Michael Conforto OF Cody Bellinger,,Aledmys Díaz,4.25%,5
67,770804483,EmileHeskey (66/150),0,181.55,1B Edwin Encarnación P J.A. Happ 2B Jason Kipnis OF Marcell Ozuna C Willson Contreras P Jimmy Nelson SS Francisco Lindor 3B José Ramírez OF Bradley Zimmer OF Cody Bellinger,,Bradley Zimmer,4.12%,6
68,770790171,crystalkali (130/130),0,180.55,P J.A. Happ OF Seth Smith OF Dexter Fowler 3B Justin Turner 2B Logan Forsythe 1B Matt Carpenter P Jimmy Nelson C Austin Barnes SS Corey Seager OF Cody Bellinger,,Justin Bour,4.09%,10
69,770706330,shawnzhan (139/150),0,180.35,1B Edwin Encarnación OF Howie Kendrick OF Lonnie Chisenhall OF Aaron Altherr C Cameron Rupp P Jimmy Nelson P Jacob deGrom 3B Maikel Franco SS Francisco Lindor 2B José Ramírez,,José Reyes,4.08%,0
69,770762452,anilprao88 (14/70),0,180.35,1B Logan Morrison 3B Evan Longoria C Derek Norris 2B Jason Kipnis OF Corey Dickerson P Jimmy Nelson P Jacob deGrom OF Joc Pederson OF Mallex Smith SS Corey Seager,,Marcell Ozuna,3.90%,18
69,770766286,ThatStunna (19/34),0,180.35,1B Logan Morrison 3B Evan Longoria C Derek Norris 2B Jason Kipnis OF Corey Dickerson P Jimmy Nelson P Jacob deGrom OF Joc Pederson OF Mallex Smith SS Corey Seager,,Stephen Piscotty,3.81%,28
69,770786356,blackout8 (3/7),0,180.35,OF Colby Rasmus 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. SS Eric Sogard 2B Jason Kipnis C Chris Herrmann OF Corey Dickerson P Jimmy Nelson P Jacob deGrom,,Justin Upton,3.77%,5
73,770777311,TDJ12,0,179.9,OF Dexter Fowler C Manny Piña 2B Dee Gordon OF Eric Thames SS Chris Owings 1B Paul Goldschmidt 3B Eugenio Suárez P Jimmy Nelson P Trevor Bauer OF Cody Bellinger,,Willson Contreras,3.77%,19
74,770900722,Austinghp (1/4),0,179.55,1B Logan Morrison 3B Evan Longoria SS Eric Sogard 2B Jason Kipnis OF Corey Dickerson C Willson Contreras P Jacob deGrom OF Max Kepler P Jacob Faria OF Mallex Smith,,Matt Adams,3.73%,2
74,770908489,youdacao (16/150),0,179.55,OF Dexter Fowler 3B Justin Turner 1B Lucas Duda 2B Logan Forsythe OF Stephen Piscotty P Jacob deGrom C Austin Barnes P Trevor Bauer SS Corey Seager OF Cody Bellinger,,Travis Shaw,3.67%,3
76,770727309,K1NG_MACHINATION,0,179.35,C Yadier Molina 3B Justin Turner OF Tommy Pham 1B Anthony Rizzo OF Daniel Robertson OF Stephen Piscotty P Jimmy Nelson P Jacob deGrom SS Francisco Lindor 2B Ian Happ,,Jonathan Schoop,3.56%,2
76,770753668,nomoreiloveyous (27/45),0,179.35,SS J.J. Hardy OF Adam Jones OF Seth Smith OF Mark Trumbo C Chris Herrmann 1B Paul Goldschmidt 3B Manny Machado P Jimmy Nelson P Jacob deGrom 2B José Ramírez,,Daniel Murphy,3.56%,5
76,770763351,fallfromgrace (126/150),0,179.35,C Yadier Molina OF Dexter Fowler 2B Logan Forsythe 1B Matt Carpenter OF Stephen Piscotty 3B Manny Machado P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Aledmys Díaz,,John Lackey,3.55%,20.5
76,770910341,Cigarman21 (6/7),0,179.35,OF Adam Jones OF Mark Trumbo C Welington Castillo 2B Logan Forsythe 3B Manny Machado P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager 1B Trey Mancini,,Billy Hamilton,3.49%,22
76,770950678,bw5126 (14/22),0,179.35,C Russell Martin SS Troy Tulowitzki OF Colby Rasmus 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. OF Corey Dickerson P Robbie Ray P Trevor Bauer 2B Ian Happ,,Todd Frazier,3.36%,10
81,770990145,DollarBillW (7/94),0,179.2,P J.A. Happ 1B Logan Morrison 3B Evan Longoria 2B Logan Forsythe OF Corey Dickerson OF Christian Yelich P Jacob deGrom C Austin Barnes OF Mallex Smith SS Corey Seager,,Grégor Blanco,3.27%,15
82,770762490,anilprao88 (52/70),0,179.15,SS Troy Tulowitzki OF Colby Rasmus 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. C Derek Norris 2B Logan Forsythe P Jimmy Nelson OF Joc Pederson P Robbie Ray,,Roberto Pérez,3.21%,6
83,770730884,rdecast,0,178.9,3B Justin Turner C Derek Norris 1B Anthony Rizzo P Jimmy Nelson P Jacob Faria 2B José Ramírez OF Mallex Smith OF Byron Buxton SS Corey Seager OF Cody Bellinger,,Joey Votto,3.18%,2
83,770867254,cmacbb07 (2/4),0,178.9,1B Edwin Encarnación C Yadier Molina OF Dexter Fowler OF Keon Broxton 2B Jonathan Schoop P Jimmy Nelson P Trevor Bauer 3B José Ramírez SS Corey Seager OF Cody Bellinger,,Paul DeJong,2.95%,0
85,770770889,aberdeenglyers (4/5),0,178.45,1B Edwin Encarnación C Russell Martin P J.A. Happ OF Dexter Fowler P Kenta Maeda 2B Jason Kipnis OF Marcell Ozuna SS Francisco Lindor 3B José Ramírez OF Cody Bellinger,,Anthony Rizzo,2.93%,28
86,770686855,Awesemo (149/150),0,178.35,OF Adam Jones OF Seth Smith OF Mark Trumbo C Welington Castillo 2B Logan Forsythe 1B Matt Carpenter 3B Manny Machado P Jimmy Nelson P Jacob deGrom SS Francisco Lindor,,Javier Báez,2.82%,10
87,770743754,juanshen (48/75),0,178.2,P J.A. Happ OF Colby Rasmus 1B Logan Morrison 3B Evan Longoria C Derek Norris 2B Logan Forsythe SS Kiké Hernández OF Corey Dickerson P Jacob deGrom OF Yasiel Puig,,Greg Garcia,2.79%,0
87,770788094,tomjk321 (35/150),0,178.2,C Yadier Molina P J.A. Happ 1B Logan Morrison 3B Evan Longoria SS Tim Beckham 2B Dee Gordon OF Corey Dickerson OF Christian Yelich P Jacob deGrom OF Mallex Smith,,Logan Morrison,2.77%,34
89,770759192,kababio,0,177.9,C Yadier Molina OF Grégor Blanco 3B Justin Turner SS Chris Owings 1B Matt Carpenter P Jimmy Nelson OF Joc Pederson P Jacob Faria 2B José Ramírez OF Yasiel Puig,,Steven Souza Jr.,2.77%,23
89,770825466,justbuzz2424,0,177.9,1B Edwin Encarnación 2B Logan Forsythe OF Eric Thames OF Matt Adams OF Christian Yelich P Jimmy Nelson C Austin Barnes P Jacob Faria 3B José Ramírez SS Corey Seager,,Derek Norris,2.76%,14
89,770850637,dschert (3/8),0,177.9,1B Edwin Encarnación C Kurt Suzuki OF Jay Bruce 2B Jason Kipnis OF Marcell Ozuna OF Christian Yelich P Jimmy Nelson SS Francisco Lindor P Jacob Faria 3B José Ramírez,,Trea Turner,2.76%,25
92,770814012,bhett11,0,177.75,1B Edwin Encarnación P J.A. Happ OF Dexter Fowler 2B Jason Kipnis OF Keon Broxton OF Corey Dickerson 3B Hernán Pérez C Willson Contreras P Jacob Faria SS Aledmys Díaz,,Steve Pearce,2.64%,17
93,770743752,juanshen (46/75),0,177.55,OF Seth Smith OF Mark Trumbo 3B Justin Turner SS Kiké Hernández 2B Jonathan Schoop P Jacob deGrom C Austin Barnes P Trevor Bauer OF Yasiel Puig 1B Trey Mancini,,Kiké Hernández,2.63%,16
93,770966385,Catchdsmobz (2/5),0,177.55,C Russell Martin P J.A. Happ 3B Evan Longoria OF Steven Souza Jr. OF Giancarlo Stanton SS Tim Beckham OF Corey Dickerson P Jimmy Nelson 2B José Ramírez 1B Cody Bellinger,,Kevan Smith,2.63%,5
95,770811807,ChipotleAddict (81/150),0,177.5,P John Lackey 3B Evan Longoria OF Steven Souza Jr. C Derek Norris SS Chris Owings OF Jeremy Hazelbaker 1B Paul Goldschmidt OF Corey Dickerson P Jacob deGrom 2B Brandon Drury,,Matt Kemp,2.63%,5
96,770753671,nomoreiloveyous (30/45),0,177.35,C Yadier Molina OF Seth Smith OF Mark Trumbo OF Tommy Pham 2B Dee Gordon 3B Manny Machado P Jimmy Nelson P Jacob deGrom SS Francisco Lindor 1B Trey Mancini,,Elias Díaz,2.45%,3
96,770763330,fallfromgrace (105/150),0,177.35,C Yadier Molina OF Dexter Fowler 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter OF Stephen Piscotty P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Aledmys Díaz,,Adam Duvall,2.39%,19
96,770908590,youdacao (117/150),0,177.35,C Roberto Pérez 1B Lucas Duda OF Billy Hamilton 2B Scooter Gennett P Jimmy Nelson P Jacob deGrom OF Adam Duvall OF Scott Schebler SS Francisco Lindor 3B José Ramírez,,Scooter Gennett,2.39%,20
99,770744677,Stano22,0,176.9,3B Justin Turner C Welington Castillo 1B Anthony Rizzo P Jimmy Nelson OF Joc Pederson P Trevor Bauer 2B José Ramírez SS Corey Seager OF Yasiel Puig OF Cody Bellinger,,Avisaíl García,2.35%,0
99,770964027,shortdog117 (8/12),0,176.9,OF Colby Rasmus 1B Logan Morrison OF Steven Souza Jr. SS Tim Beckham C Alex Avila OF Corey Dickerson 3B Jake Lamb P Jimmy Nelson P Trevor Bauer 2B José Ramírez,,Mike Foltynewicz,2.32%,12.1
101,770743719,juanshen (13/75),0,176.55,OF Dexter Fowler 3B Justin Turner 2B Logan Forsythe 1B Matt Carpenter OF Stephen Piscotty P Jacob deGrom OF Joc Pederson C Austin Barnes P Trevor Bauer SS Aledmys Díaz,,Colby Rasmus,2.27%,0
101,770945560,dahladino (29/61),0,176.55,1B Joey Votto 3B Justin Turner OF Billy Hamilton C Tucker Barnhart OF Scooter Gennett P Jacob deGrom OF Adam Duvall P Trevor Bauer 2B José Ramírez SS Corey Seager,,Tucker Barnhart,2.20%,4
101,770790170,crystalkali (129/130),0,176.55,1B Edwin Encarnación P J.A. Happ OF Seth Smith OF Lonnie Chisenhall 2B Jason Kipnis C Alex Avila P Jimmy Nelson SS Francisco Lindor 3B José Ramírez OF Cody Bellinger,,Tim Beckham,2.17%,0
