"Player","Pos","Team","Opp","Def.v.Pos","Salary","Floor","Ceiling","X2015.Avg","FC.Proj","My.Proj","Exposure","Consistency","Value","Actual.Score","Actual.Val"
"Jameis Winston","QB","TB","vs OAK","27th",5700,14.9,27.2,18.6,18.99,18.99,100,79,3.3,18.8,3.3
"Stefon Diggs","WR","MIN","@ CHI","5th",5600,6.5,30.2,11.9,14.45,14.45,100,49,2.6,NA,NA
"Jamaal Charles","RB","KC","@ IND","24th",5500,0,24.7,21.2,6.87,6.87,100,0,1.2,NA,NA
"Donte Moncrief","WR","IND","vs KC","20th",5400,1.9,28,11.2,10.55,10.55,100,15,2,14,2.6
"Brock Osweiler","QB","HOU","vs DET","15th",5400,7.5,33.3,15.8,16.12,16.12,100,33,3,10.14,1.9
"DeSean Jackson","WR","WAS","@ CIN","13th",5300,2,29.6,12.1,11.24,11.24,100,12,2.1,7.8,1.5
"LeGarrette Blount","RB","NE","@ BUF","11th",5300,3.4,31,10.5,12.59,12.59,100,47,2.4,10.3,1.9
"Tyrod Taylor","QB","BUF","vs NE","17th",5200,9.1,33.4,19.9,17.18,17.18,100,55,3.3,18.12,3.5
"Travis Benjamin","WR","SD","@ DEN","2nd",5200,0.4,25.9,13.1,8.92,8.92,100,38,1.7,13.4,2.6
"Josh McCown","QB","CLE","vs NYJ","14th",5200,1.5,27.9,18.9,10.32,10.32,100,46,2,25.64,4.9
"Giovani Bernard","RB","CIN","vs WAS","19th",5200,5.2,25,11.7,11.81,11.81,100,51,2.3,13.6,2.6
"Carson Wentz","QB","PHI","@ DAL","29th",5100,4,23.9,NA,15.96,15.96,100,0,3.1,11.78,2.3
"Trevor Siemian","QB","DEN","vs SD","9th",5100,4,24.1,-0.1,16.06,16.06,100,0,3.1,8.84,1.7
"Golden Tate","WR","DET","@ HOU","30th",5100,4.1,27.2,13.2,11.78,11.78,100,34,2.3,11.2,2.2
"Jay Cutler","QB","CHI","vs MIN","3rd",5000,4.9,23.2,16.8,11.01,11.01,100,29,2.2,NA,NA
"Sam Bradford","QB","MIN","@ CHI","4th",5000,8.4,24.9,16.2,13.89,13.89,100,63,2.8,NA,NA
"EJ Manuel","QB","BUF","vs NE","17th",5000,0,16,10.7,0.2,0.2,100,0,0,3.4,0.7
"Nick Foles","QB","KC","@ IND","10th",5000,0,15.6,9.8,0.41,0.41,100,0,0.1,16.82,3.4
"Mark Ingram","RB","NO","vs SEA","15th",5000,5.9,23.6,17.3,11.84,11.84,100,61,2.4,-0.5,NA
"Michael Thomas","WR","NO","vs SEA","16th",5000,2.8,17,NA,11.3,11.3,100,0,2.3,12.3,2.5
"Cody Kessler","QB","CLE","vs NYJ","14th",5000,2.8,16.9,NA,11.27,11.27,100,0,2.3,NA,NA
"Theo Riddick","RB","DET","@ HOU","28th",5000,3.3,21.3,11.3,9.34,9.34,100,65,1.9,27.3,5.5
"Jonathan Stewart","RB","CAR","vs ARI","13th",4900,4.4,23.6,13.1,10.85,10.85,100,37,2.2,24,4.9
"Travis Kelce","TE","KC","@ IND","8th",4900,5.6,24.2,12.2,11.75,11.75,100,44,2.4,26.1,5.3
"Davante Adams","WR","GB","@ ATL","28th",4900,7.6,27.4,8.2,14.2,14.2,100,58,2.9,19.4,4
"Quincy Enunwa","WR","NYJ","@ CLE","7th",4800,9.3,18.6,4.9,12.36,12.36,100,74,2.6,19.3,4
"Cameron Meredith","WR","CHI","vs MIN","1st",4800,6.1,15.7,3.8,9.32,9.32,100,77,1.9,NA,NA
"James White","RB","NE","@ BUF","11th",4800,1.5,25.8,10.5,9.56,9.56,100,28,2,4.9,1
"Cole Beasley","WR","DAL","vs PHI","4th",4800,4,25.9,8.5,11.32,11.32,100,52,2.4,9.3,1.9
"Allen Hurns","WR","JAC","@ TEN","18th",4800,0.2,29.3,16.1,9.92,9.92,100,10,2.1,22.8,4.8
"John Brown","WR","ARI","@ CAR","22nd",4700,4.1,25.1,14.3,11.14,11.14,100,26,2.4,14.9,3.2
"Tyrell Williams","WR","SD","@ DEN","2nd",4700,2.7,16.2,8.5,10.83,10.83,100,0,2.3,1.4,0.3
"Frank Gore","RB","IND","vs KC","31st",4700,6.3,27,12.3,13.22,13.22,100,54,2.8,14.2,3
"Delanie Walker","TE","TEN","vs JAC","10th",4700,4.3,26.2,16.5,11.57,11.57,100,42,2.5,11.8,2.5
"Jamison Crowder","WR","WAS","@ CIN","13th",4600,4.4,23.9,8.6,10.94,10.94,100,53,2.4,28.7,6.2
"Jeremy Hill","RB","CIN","vs WAS","19th",4500,5.1,28.2,10.8,12.81,12.81,100,35,2.8,14.3,3.2
"Latavius Murray","RB","OAK","@ TB","32nd",4500,4.5,26.1,13.2,11.71,11.71,100,50,2.6,12.1,2.7
"Corey Coleman","WR","CLE","vs NYJ","6th",4500,2,11.8,NA,7.88,7.88,100,0,1.8,NA,NA
"Chris Hogan","WR","NE","@ BUF","3rd",4400,2,18.8,7.2,7.59,7.59,100,26,1.7,19.1,4.3
"Jordan Howard","RB","CHI","vs MIN","21st",4400,2.1,12.5,NA,8.32,8.32,100,0,1.9,NA,NA
"Brandon LaFell","WR","CIN","vs WAS","25th",4300,2,25.1,8.4,9.71,9.71,100,39,2.3,1.6,0.4
"Anquan Boldin","WR","DET","@ HOU","30th",4200,3.1,24.7,12.6,10.33,10.33,100,39,2.5,1.4,0.3
"Mohamed Sanu","WR","ATL","vs GB","32nd",4100,2.5,24.4,5.7,9.78,9.78,100,17,2.4,23.4,5.7
"Tyler Eifert","TE","CIN","vs WAS","11th",4100,0,27.9,15,9.27,9.27,100,0,2.3,28.2,6.9
"Vikings","DST","MIN","@ CHI","24th",4100,7,25,8.8,13.02,13.02,100,61,3.2,NA,NA
"Michael Floyd","WR","ARI","@ CAR","22nd",4100,0,28.2,12.5,8.85,8.85,100,0,2.2,NA,NA
"Martellus Bennett","TE","NE","@ BUF","31st",4000,2.7,25.5,10.4,10.27,10.27,100,44,2.6,7.5,1.9
"Robert Woods","WR","BUF","vs NE","14th",4000,2.5,23.5,8.7,9.5,9.5,100,25,2.4,9,2.3
"Kendall Wright","WR","TEN","vs JAC","9th",4000,0,22.3,10,6.91,6.91,100,21,1.7,19.9,5
"Ryan Mathews","RB","PHI","@ DAL","9th",4000,2.2,22.3,10,8.89,8.89,100,35,2.2,8.1,2
"Ted Ginn","WR","CAR","vs ARI","10th",3900,0,20.9,12.5,4.54,4.54,100,0,1.2,10.3,2.6
"Pierre Garcon","WR","WAS","@ CIN","13th",3900,4.4,23.9,11.6,10.94,10.94,100,34,2.8,12.7,3.3
"Phillip Dorsett","WR","IND","vs KC","20th",3900,5.9,15.8,4.3,9.21,9.21,100,55,2.4,8.3,2.1
"Tyler Lockett","WR","SEA","@ NO","8th",3900,0.1,23.8,10.6,8.01,8.01,100,0,2.1,7.2,1.8
"Duke Johnson","RB","CLE","vs NYJ","6th",3900,1.4,17.6,10.3,6.79,6.79,100,48,1.7,17.6,4.5
"Brice Butler","WR","DAL","vs PHI","4th",3800,0,11,7.6,3.02,3.02,100,22,0.8,2.9,0.8
"Mike Gillislee","RB","BUF","vs NE","8th",3800,4.8,24,10.5,11.19,11.19,100,0,2.9,18.4,4.8
"Devin Funchess","WR","CAR","vs ARI","10th",3800,0,18.6,6.9,4.82,4.82,100,0,1.3,6.8,1.8
"Adam Thielen","WR","MIN","@ CHI","5th",3800,2.3,17,3.9,7.17,7.17,100,54,1.9,NA,NA
"T.J. Yeldon","RB","JAC","@ TEN","27th",3800,1.7,17.3,13.5,6.92,6.92,100,45,1.8,9.6,2.5
"Eddie Royal","WR","CHI","vs MIN","1st",3700,0.4,23.8,7.4,8.18,8.18,100,44,2.2,NA,NA
"Terrance Williams","WR","DAL","vs PHI","4th",3700,1.7,22.7,9.8,8.68,8.68,100,38,2.3,4.5,1.2
"Darren Sproles","RB","PHI","@ DAL","9th",3700,0,20.2,10.1,6.63,6.63,100,33,1.8,15.3,4.1
"Broncos","DST","DEN","vs SD","23rd",3700,3.4,21.1,10.8,9.27,9.27,100,41,2.5,22,5.9
"Chris Thompson","RB","WAS","@ CIN","4th",3700,1.1,19.1,7.1,7.09,7.09,100,41,1.9,9.1,2.5
"Zach Zenner","RB","DET","@ HOU","28th",3700,2.1,6.6,2.3,3.58,3.58,100,79,1,1.7,0.5
"Isaiah Crowell","RB","CLE","vs NYJ","6th",3700,4.6,24.7,8.8,11.33,11.33,100,54,3.1,14.3,3.9
"Devontae Booker","RB","DEN","vs SD","23rd",3700,3.5,20.7,NA,13.81,13.81,100,0,3.7,18.4,5
"Hunter Henry","TE","SD","@ DEN","7th",3700,2,11.8,NA,7.88,7.88,100,0,2.1,3.4,0.9
"Zach Ertz","TE","PHI","@ DAL","28th",3600,0.2,22.4,11.8,7.61,7.61,100,0,2.1,5.9,1.6
"Julius Thomas","TE","JAC","@ TEN","26th",3600,0,28.4,10.4,9.39,9.39,100,0,2.6,11.8,3.3
"Fozzy Whittaker","RB","CAR","vs ARI","13th",3600,0,11.4,2.5,3.83,3.83,100,60,1.1,2,0.6
"Jason Witten","TE","DAL","vs PHI","1st",3600,3.5,19.1,10.3,8.7,8.7,100,43,2.4,9.6,2.7
"Jack Doyle","TE","IND","vs KC","15th",3500,6.7,16.3,3.2,9.87,9.87,100,72,2.8,5.6,1.6
"Matt Asiata","RB","MIN","@ CHI","22nd",3500,2.4,27.6,2.9,10.81,10.81,100,0,3.1,NA,NA
"Kyle Rudolph","TE","MIN","@ CHI","6th",3500,5.1,21.6,8.2,10.6,10.6,100,55,3,NA,NA
"Rishard Matthews","WR","TEN","vs JAC","9th",3500,0,23.4,12.7,7.36,7.36,100,17,2.1,13.8,3.9
"Bilal Powell","RB","NYJ","@ CLE","30th",3500,0.3,21.3,12.3,7.31,7.31,100,7,2.1,14.9,4.3
"Jets","DST","NYJ","@ CLE","21st",3400,4.3,18.1,7.1,8.88,8.88,100,18,2.6,4,1.2
"DeAndre Washington","RB","OAK","@ TB","32nd",3400,1.2,7.3,NA,4.86,4.86,100,0,1.4,3.2,0.9
"Chris Ivory","RB","JAC","@ TEN","27th",3400,0,21.9,14.2,7.34,7.34,100,0,2.2,2.2,0.6
"Chris Conley","WR","KC","@ IND","12th",3400,1.7,16.4,4.8,6.63,6.63,100,31,2,8.9,2.6
"Coby Fleener","TE","NO","vs SEA","3rd",3400,1.1,23.9,8.2,8.66,8.66,100,35,2.5,7.6,2.2
"Knile Davis","RB","GB","@ ATL","5th",3400,0,19.4,1.4,4.57,4.57,100,0,1.3,2.8,0.8
"Reggie Bush","RB","BUF","vs NE","8th",3300,0,13.7,1.7,0.67,0.67,100,0,0.2,4.6,1.4
"Gary Barnidge","TE","CLE","vs NYJ","20th",3300,1.5,26.7,15.4,9.89,9.89,100,13,3,7.2,2.2
"Marqise Lee","WR","JAC","@ TEN","18th",3300,3.8,17.5,4.9,8.35,8.35,100,58,2.5,2.1,0.6
"Russell Shepard","WR","TB","vs OAK","21st",3300,3,9.9,1.7,5.26,5.26,100,54,1.6,10.4,3.2
"Danny Amendola","WR","NE","@ BUF","3rd",3300,0,19.5,11.1,4.07,4.07,100,0,1.2,11.9,3.6
"Patriots","DST","NE","@ BUF","1st",3300,2.8,17.8,8.1,7.76,7.76,100,30,2.4,2,0.6
"Corey Philly Brown","WR","CAR","vs ARI","10th",3300,0,15.8,7.4,4.98,4.98,100,18,1.5,1.3,0.4
"Cordarrelle Patterson","WR","MIN","@ CHI","5th",3300,0.5,16.7,1.1,5.94,5.94,100,32,1.8,NA,NA
"Ka'Deem Carey","RB","CHI","vs MIN","21st",3200,2.1,12.9,4.7,5.69,5.69,100,0,1.8,NA,NA
"Tajae Sharpe","WR","TEN","vs JAC","9th",3200,1.7,10.2,NA,6.81,6.81,100,0,2.1,2.1,0.7
"Eagles","DST","PHI","@ DAL","11th",3200,0,23,7.5,7.15,7.15,100,44,2.2,3,0.9
"Alfred Morris","RB","DAL","vs PHI","1st",3200,0,16.9,6.4,3.87,3.87,100,0,1.2,0.6,0.2
"Cameron Brate","TE","TB","vs OAK","21st",3200,5.3,20.3,5.8,10.33,10.33,100,45,3.2,11.2,3.5
"Dontrelle Inman","WR","SD","@ DEN","2nd",3200,0,18,8.4,5.57,5.57,100,13,1.7,11.2,3.5
"Jeremy Langford","RB","CHI","vs MIN","21st",3100,0,24.9,10,4.74,4.74,100,0,1.5,NA,NA
"Nelson Agholor","WR","PHI","@ DAL","19th",3100,3.5,15.8,4.3,7.61,7.61,100,44,2.5,5.5,1.8
"Justin Hunter","WR","BUF","vs NE","14th",3100,3.1,17.2,6,7.76,7.76,100,36,2.5,1.7,0.5
"Texans","DST","HOU","vs DET","25th",3100,0,19.6,9.4,6.19,6.19,100,0,2,5,1.6
"Jermaine Kearse","WR","SEA","@ NO","8th",3100,0,22.9,9.4,7.28,7.28,100,0,2.3,9.7,3.1
"Jalen Richard","RB","OAK","@ TB","32nd",3100,1.4,8.3,NA,5.5,5.5,100,0,1.8,5.7,1.8
"Andre Johnson","WR","TEN","vs JAC","9th",3100,0,20.3,7.2,5.48,5.48,100,0,1.8,NA,NA
"Derrick Henry","RB","TEN","vs JAC","10th",3100,1,6.2,NA,4.11,4.11,100,0,1.3,19.7,6.4
"Seth Roberts","WR","OAK","@ TB","15th",3000,0,22.7,7.2,7.32,7.32,100,1,2.4,15.9,5.3
"Adam Humphries","WR","TB","vs OAK","21st",3000,5.4,16.5,5.4,9.06,9.06,100,57,3,8.8,2.9
"Andre Holmes","WR","OAK","@ TB","15th",3000,0,18.6,4.5,4.19,4.19,100,0,1.4,1,0.3
"Jaelen Strong","WR","HOU","vs DET","24th",3000,0,16.4,4.8,4.17,4.17,100,0,1.4,NA,NA
"Tim Hightower","RB","NO","vs SEA","15th",3000,0,24.4,14.9,1.57,1.57,100,0,0.5,14.2,4.7
"Tanner McEvoy","WR","SEA","@ NO","8th",3000,1.1,6.7,NA,4.49,4.49,100,0,1.5,1.72,0.6
"Paul Richardson","WR","SEA","@ NO","8th",3000,0,9.8,5,2.42,2.42,100,0,0.8,5.3,1.8
"Brandon Coleman","WR","NO","vs SEA","16th",3000,0,12.7,5.5,2.1,2.1,100,16,0.7,6.4,2.1
"C.J. Prosise","RB","SEA","@ NO","29th",3000,0.7,4.5,NA,2.99,2.99,100,0,1,14.3,4.8
"Antone Smith","RB","TB","vs OAK","20th",3000,0,14.4,1.1,1.38,1.38,100,3,0.5,3.5,1.2
"Taylor Gabriel","WR","ATL","vs GB","32nd",3000,0,11.1,4.4,1.67,1.67,100,10,0.6,15.8,5.3
"Eric Ebron","TE","DET","@ HOU","4th",3000,4.1,18.8,9.3,9.02,9.02,100,57,3,14.9,5
"Braxton Miller","WR","HOU","vs DET","24th",3000,0.9,5.6,NA,3.73,3.73,100,0,1.2,4.8,1.6
"Alfred Blue","RB","HOU","vs DET","18th",3000,0,16.1,8.7,3.26,3.26,100,0,1.1,4.1,1.4
"Seahawks","DST","SEA","@ NO","13th",3000,2.8,19.9,9.9,8.52,8.52,100,41,2.8,10,3.3
"Andrew Hawkins","WR","CLE","vs NYJ","6th",3000,0,17.9,7,5.11,5.11,100,0,1.7,20.1,6.7
"Charone Peake","WR","NYJ","@ CLE","7th",3000,0.8,4.8,NA,3.23,3.23,100,0,1.1,2.3,0.8
"Trevor Davis","WR","GB","@ ATL","28th",3000,0.1,0.6,NA,0.37,0.37,100,0,0.1,11.4,3.8
"Justin Hardy","WR","ATL","vs GB","32nd",3000,3.9,9.6,4.5,5.78,5.78,100,60,1.9,2.3,0.8
"Ricardo Louis","WR","CLE","vs NYJ","6th",3000,1.1,6.4,NA,4.28,4.28,100,0,1.4,5.2,1.7
"Robby Anderson","WR","NYJ","@ CLE","7th",3000,1.1,6.3,NA,4.22,4.22,100,0,1.4,6.1,2
"Jeff Janis","WR","GB","@ ATL","28th",3000,0,20.8,1.1,0.62,0.62,100,0,0.2,13,4.3
"Jordan Taylor","WR","DEN","vs SD","11th",3000,0.2,1.3,NA,0.87,0.87,100,0,0.3,4.5,1.5
"Andre Ellington","RB","ARI","@ CAR","3rd",3000,0,19.5,7.6,3.32,3.32,100,0,1.1,2.6,0.9
"J.J. Nelson","WR","ARI","@ CAR","22nd",3000,0,18.6,5.5,3.03,3.03,100,0,1,27.9,9.3
"Brittan Golden","WR","ARI","@ CAR","22nd",3000,0,1.6,0.4,0.37,0.37,100,0,0.1,4.9,1.6
"Bennie Fowler","WR","DEN","vs SD","11th",3000,1,8.8,2.6,3.61,3.61,100,30,1.2,0,NA
"Jordan Norwood","WR","DEN","vs SD","11th",3000,0.8,7.4,4.3,3.05,3.05,100,39,1,1.9,0.6
"Jonathan Williams","RB","BUF","vs NE","8th",3000,0.1,0.3,NA,0.22,0.22,100,0,0.1,7.2,2.4
"Brandon Tate","WR","BUF","vs NE","14th",3000,0,9.8,0.9,2.61,2.61,100,0,0.9,5.1,1.7
"Walt Powell","WR","BUF","vs NE","14th",3000,2.2,3.4,0,2.65,2.65,100,90,0.9,8.9,3
"Tyreek Hill","WR","KC","@ IND","12th",3000,1.4,8.4,NA,5.59,5.59,100,0,1.9,21.5,7.2
"Dorial Green-Beckham","WR","PHI","@ DAL","19th",3000,0,21.3,8.5,6.87,6.87,100,0,2.3,10.5,3.5
"Tyler Boyd","WR","CIN","vs WAS","25th",3000,1.3,7.5,NA,5.01,5.01,100,0,1.7,9.1,3
"Cowboys","DST","DAL","vs PHI","3rd",3000,1.4,15.2,4.6,5.97,5.97,100,16,2,5,1.7
"Bryan Walters","WR","JAC","@ TEN","18th",3000,0,10.5,6.8,1.27,1.27,100,0,0.4,9.4,3.1
"Zach Miller","TE","CHI","vs MIN","18th",3000,7.8,13.5,NA,9.67,9.67,100,84,3.2,NA,NA
"Charles Johnson","WR","MIN","@ CHI","5th",3000,0,16,3.6,4.19,4.19,100,0,1.4,NA,NA
"Bengals","DST","CIN","vs WAS","14th",3000,1.9,17.5,8.6,7.14,7.14,100,0,2.4,3,1
"Robert Turbin","RB","IND","vs KC","31st",3000,0,9.7,3.5,2.91,2.91,100,32,1,6.4,2.1
"Charcandrick West","RB","KC","@ IND","24th",3000,0,19.9,10.5,1.93,1.93,100,0,0.6,8,2.7
"Albert Wilson","WR","KC","@ IND","12th",3000,0,14.7,6.8,4.09,4.09,100,0,1.4,NA,NA
"Rob Kelley","RB","WAS","@ CIN","4th",3000,1.8,10.7,NA,7.11,7.11,100,0,2.4,14.7,4.9
"Jaguars","DST","JAC","@ TEN","28th",2900,0.1,20.2,5.6,6.76,6.76,100,0,2.3,-4,NA
"Charles Clay","TE","BUF","vs NE","16th",2900,2.5,21.1,9.6,8.68,8.68,100,15,3,2.6,0.9
"Panthers","DST","CAR","vs ARI","5th",2900,0,24.6,10.3,7.95,7.95,100,0,2.7,19,6.6
"Vernon Davis","TE","WAS","@ CIN","17th",2900,2.2,16.9,6,7.07,7.07,100,36,2.4,14.3,4.9
"Bills","DST","BUF","vs NE","31st",2800,0.5,18.2,5.7,6.45,6.45,100,45,2.3,1,0.4
"Jacob Tamme","TE","ATL","vs GB","27th",2800,0.7,19.9,8.9,7.08,7.08,100,22,2.5,3.9,1.4
"Titans","DST","TEN","vs JAC","20th",2800,4,16,5.1,7.98,7.98,100,32,2.9,4,1.4
"Chiefs","DST","KC","@ IND","16th",2800,0.1,22.9,10.9,7.69,7.69,100,26,2.7,11,3.9
"C.J. Fiedorowicz","TE","HOU","vs DET","12th",2800,4,12.4,3,6.82,6.82,100,65,2.4,15.3,5.5
"Richard Rodgers","TE","GB","@ ATL","30th",2700,0,18.5,10.2,5.14,5.14,100,0,1.9,NA,NA
"Antonio Gates","TE","SD","@ DEN","7th",2700,0,25.1,13.5,8.28,8.28,100,0,3.1,13.3,4.9
"Virgil Green","TE","DEN","vs SD","14th",2700,3.9,14.4,3.2,7.43,7.43,100,46,2.8,9.5,3.5
"Cardinals","DST","ARI","@ CAR","18th",2700,0,24.3,10.4,7.87,7.87,100,25,2.9,3,1.1
"Raiders","DST","OAK","@ TB","19th",2600,4.1,16.1,6.7,8.14,8.14,100,18,3.1,2,0.8
"Levine Toilolo","TE","ATL","vs GB","27th",2600,0.6,9.6,1.5,3.61,3.61,100,30,1.4,0,NA
"Bears","DST","CHI","vs MIN","26th",2600,1.3,16.3,4.5,6.31,6.31,100,22,2.4,NA,NA
"Browns","DST","CLE","vs NYJ","32nd",2500,1.4,18.8,5.3,7.17,7.17,100,0,2.9,1,0.4
