Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Coby Fleener,TE,NO,@ TB,25th,3700,0.4,23.2,8.2,8.04,8.04,100,26,2.2,1.6,0.4
J.J. Nelson,WR,ARI,@ MIA,22nd,3600,1.5,24.8,5.5,9.25,9.25,100,0,2.6,19.4,5.4
Lions,DST,DET,vs CHI,29th,3600,1.2,17.4,5.9,6.61,6.61,100,21,1.8,5,1.4
Jerick McKinnon,RB,MIN,@ JAC,15th,3600,5.4,24,5.2,11.64,11.64,100,15,3.2,12.9,3.6
Cordarrelle Patterson,WR,MIN,@ JAC,2nd,3600,0.6,16.8,1.1,5.96,5.96,100,33,1.7,4.8,1.3
Dennis Pitta,TE,BAL,@ NE,9th,3600,1.8,20.7,,8.12,8.12,100,41,2.3,5.8,1.6
Andre Ellington,RB,ARI,@ MIA,30th,3500,0,19.4,7.6,3.22,3.22,100,0,0.9,,
Torrey Smith,WR,SF,vs NYJ,8th,3500,0,22.4,8,7.05,7.05,100,0,2,0,
Duke Johnson,RB,CLE,vs CIN,11th,3500,4.2,20.4,10.3,9.57,9.57,100,45,2.7,5.5,1.6
Dwayne Washington,RB,DET,vs CHI,28th,3500,1.6,9.7,,6.45,6.45,100,0,1.8,8.4,2.4
Bengals,DST,CIN,@ CLE,31st,3500,1.7,17.3,8.6,6.88,6.88,100,2,2,9,2.6
Russell Shepard,WR,TB,vs NO,27th,3500,3,10,1.7,5.35,5.35,100,59,1.5,2.7,0.8
Rex Burkhead,RB,CIN,@ CLE,23rd,3500,4.9,13,2.1,7.61,7.61,100,23,2.2,6.1,1.7
Vernon Davis,TE,WAS,@ PHI,4th,3500,0.2,14.9,6,5.12,5.12,100,45,1.5,1.1,0.3
Patriots,DST,NE,vs BAL,10th,3400,3,18,8.1,8.01,8.01,100,26,2.4,8,2.4
Jeremy Kerley,WR,SF,vs NYJ,8th,3400,2.8,18.4,2.7,7.98,7.98,100,43,2.3,10,2.9
Tajae Sharpe,WR,TEN,vs DEN,3rd,3400,1.8,11.1,,7.38,7.38,100,0,2.2,0,
Marquise Goodwin,WR,BUF,vs PIT,13th,3400,4,9.1,2.2,5.73,5.73,100,79,1.7,0,
Jalen Richard,RB,OAK,@ KC,25th,3300,1.7,9.9,,6.63,6.63,100,0,2,2.9,0.9
Danny Amendola,WR,NE,vs BAL,17th,3300,0,19.1,11.1,3.67,3.67,100,0,1.1,,
Titans,DST,TEN,vs DEN,27th,3300,2.8,14.8,5.1,6.81,6.81,100,25,2.1,11,3.3
Victor Cruz,WR,NYG,vs DAL,25th,3300,0,24.2,,7.95,7.95,100,0,2.4,1.4,0.4
Christine Michael,RB,GB,vs SEA,2nd,3300,0.1,10.9,4,3.73,3.73,100,68,1.1,3.6,1.1
Devin Funchess,WR,CAR,vs SD,20th,3300,1.1,21.8,6.9,8.02,8.02,100,0,2.4,11.3,3.4
Gary Barnidge,TE,CLE,vs CIN,29th,3300,0,24.7,15.4,7.87,7.87,100,0,2.4,5.7,1.7
Robert Turbin,RB,IND,vs HOU,7th,3300,1.5,11.7,3.5,4.88,4.88,100,36,1.5,8.3,2.5
Matt Asiata,RB,MIN,@ JAC,15th,3300,1.6,26.8,2.9,10.04,10.04,100,1,3,12.1,3.7
Cardinals,DST,ARI,@ MIA,20th,3200,0,24.2,10.4,7.75,7.75,100,1,2.4,6,1.9
Nelson Agholor,WR,PHI,vs WAS,16th,3200,0.8,13.1,4.3,4.93,4.93,100,34,1.5,4.2,1.3
Albert Wilson,WR,KC,vs OAK,14th,3200,0,15.2,6.8,4.57,4.57,100,29,1.4,0,
Quinton Patton,WR,SF,vs NYJ,8th,3200,4.4,14.6,4.7,7.8,7.8,100,48,2.4,7.1,2.2
Phillip Dorsett,WR,IND,vs HOU,23rd,3200,4.6,14.5,4.3,7.88,7.88,100,48,2.5,4.9,1.5
Terrance Williams,WR,DAL,@ NYG,21st,3200,0.5,21.5,9.8,7.47,7.47,100,3,2.3,18.6,5.8
Breshad Perriman,WR,BAL,@ NE,4th,3200,1.4,8.6,,5.71,5.71,100,0,1.8,8.2,2.6
Jets,DST,NYJ,@ SF,19th,3100,2.8,16.6,7.1,7.4,7.4,100,0,2.4,3,1
Brian Quick,WR,LA,vs ATL,11th,3100,0.3,21.9,2.2,7.47,7.47,100,15,2.4,2,0.6
Eddie Royal,WR,CHI,@ DET,6th,3100,0,22.7,7.4,7.09,7.09,100,23,2.3,,
Chiefs,DST,KC,vs OAK,9th,3100,0,21.2,10.9,6.03,6.03,100,26,1.9,11,3.5
Jason Witten,TE,DAL,@ NYG,31st,3100,5.1,20.7,10.3,10.29,10.29,100,53,3.3,6.6,2.1
Chris Conley,WR,KC,vs OAK,14th,3100,1.1,15.8,4.8,6.02,6.02,100,18,1.9,9,2.9
Falcons,DST,ATL,@ LA,30th,3100,1,20.5,5.7,7.53,7.53,100,0,2.4,26,8.4
Andrew Hawkins,WR,CLE,vs CIN,7th,3000,0,17.7,7,4.88,4.88,100,0,1.6,1.4,0.5
Alex Erickson,WR,CIN,@ CLE,15th,3000,0.8,4.7,,3.16,3.16,100,0,1.1,2.6,0.9
