"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Actual","ValueWR","Projection_dfn_rd","Ownership.Pctg.Pred"
"QB","Joe Flacco (7608831)","Joe Flacco",7608831,5800,"Bal@NYJ 01:00PM ET","Bal","Joe","Flacco","NYJ",18.56,20.2,0,0,18.2710088915081,18.1311978319364,1,7.5,0,20.25,NA
"WR","Mike Wallace (7609037)","Mike Wallace",7609037,5800,"Bal@NYJ 01:00PM ET","Bal","Mike","Wallace","NYJ",13.97,12.8,1,0.193181818181818,12.3069555524933,12.3857207592171,1,25,0,12.75,-3.27612385245592
"TE","Jimmy Graham (7609177)","Jimmy Graham",7609177,5800,"Sea@Ari 08:30PM ET","Sea","Jimmy","Graham","Ari",14.68,12.2,2,0.203947368421053,12.1806186240609,12.359085330978,0,10.3,0,12.25,-3.4801531698597
"RB","Jamaal Charles (7608858)","Jamaal Charles",7608858,5700,"NO@KC 01:00PM ET","KC","Jamaal","Charles","NO",6.57,8.1,10,0.0158730158730159,7.03851159974188,6.91636196331692,0,0,0,8,-5.12280076194951
"WR","DeSean Jackson (7609004)","DeSean Jackson",7609004,5700,"Was@Det 01:00PM ET","Was","DeSean","Jackson","Det",13.02,13.1,1,0.202586206896552,12.1737072402184,12.1575475237332,0,8.5,0,13,-3.74876179222827
"QB","Carson Palmer (7608852)","Carson Palmer",7608852,5700,"Sea@Ari 08:30PM ET","Ari","Carson","Palmer","Sea",17.33,15.9,0,0,15.2798351350042,15.3759067028154,1,17.5,0,16,NA
"WR","Jordan Matthews (7608982)","Jordan Matthews",7608982,5600,"Min@Phi 01:00PM ET","Phi","Jordan","Matthews","Min",11.87,15.2,1,0.243421052631579,13.0565863159764,12.7926041573944,1,4,0,15.25,-4.11690680969781
"RB","Carlos Hyde (7608926)","Carlos Hyde",7608926,5600,"TB@SF 04:05PM ET","SF","Carlos","Hyde","TB",0,0,5,0.0790960451977401,0,0,1,0,0,0,NA
"QB","Tyrod Taylor (7608827)","Tyrod Taylor",7608827,5500,"Buf@Mia 01:00PM ET","Buf","Tyrod","Taylor","Mia",19.04,17.2,0,0,16.6258797050982,16.7520085642159,1,24.3,0,17.25,NA
"WR","Steve Smith Sr. (7609034)","Steve Smith",7609034,5500,"Bal@NYJ 01:00PM ET","Bal","Steve","Smith","NYJ",0,0,3,0.147727272727273,0,0,1,0,0,0,NA
"RB","Mark Ingram (7608861)","Mark Ingram",7608861,5400,"NO@KC 01:00PM ET","NO","Mark","Ingram","KC",15.3,15.8,6,0.0950226244343891,14.5495878741114,14.4995295543027,1,17.2,0,15.75,-3.8296605403734
"TE","Travis Kelce (7609090)","Travis Kelce",7609090,5300,"NO@KC 01:00PM ET","KC","Travis","Kelce","NO",17.85,14.7,2,0.169312169312169,14.7300602716824,14.9573554183657,1,4.4,0,14.75,-1.12685749740566
"WR","Donte Moncrief (7608977)","Donte Moncrief",7608977,5300,"Ind@Ten 01:00PM ET","Ind","Donte","Moncrief","Ten",0,0,8,0.040983606557377,0,0,0,0,0,0,NA
"QB","Colin Kaepernick (7608836)","Colin Kaepernick",7608836,5300,"TB@SF 04:05PM ET","SF","Colin","Kaepernick","TB",17.27,15.7,0,0,15.1397895308057,15.2466209745525,1,16.1,0,15.75,NA
"QB","Carson Wentz (7608807)","Carson Wentz",7608807,5200,"Min@Phi 01:00PM ET","Phi","Carson","Wentz","Min",15.08,15.4,0,0,14.2364854427747,14.2003713835578,1,9.1,0,15.5,NA
"RB","Theo Riddick (7608891)","Theo Riddick",7608891,5200,"Was@Det 01:00PM ET","Det","Theo","Riddick","Was",0,0,4,0.150684931506849,0,0,1,0,0,0,NA
"QB","Sam Bradford (7608806)","Sam Bradford",7608806,5100,"Min@Phi 01:00PM ET","Min","Sam","Bradford","Phi",15.27,14.101,13,0,13.5176541085346,13.5954170923195,1,9.9,0,14,-5.82627540236455
"QB","Ryan Tannehill (7608826)","Ryan Tannehill",7608826,5100,"Buf@Mia 01:00PM ET","Mia","Ryan","Tannehill","Buf",16.11,16.3,0,0,15.1175759560095,15.0906161888057,1,16.3,0,16.25,NA
"QB","Ryan Fitzpatrick (7608830)","Ryan Fitzpatrick",7608830,5100,"Bal@NYJ 01:00PM ET","NYJ","Ryan","Fitzpatrick","Bal",0,0,0,0,0,0,1,8.7,0,0,NA
"WR","Sammie Coates (7609075)","Sammie Coates",7609075,5100,"NE@Pit 04:25PM ET","Pit","Sammie","Coates","NE",10.03,7.6,2,0.140350877192982,7.88010273736799,8.05832802596784,1,1.4,0,7.5,-5.25321871630834
"QB","Luke McCown (7608796)","Luke McCown",7608796,5000,"NO@KC 01:00PM ET","NO","Luke","McCown","KC",0,0,0,0,0,0,1,0,0,0,NA
"QB","Nick Foles (7608797)","Nick Foles",7608797,5000,"NO@KC 01:00PM ET","KC","Nick","Foles","NO",0,0,0,0,0,0,1,0,0,0,NA
"QB","Tyler Bray (7608798)","Tyler Bray",7608798,5000,"NO@KC 01:00PM ET","KC","Tyler","Bray","NO",0,0,0,0,0,0,1,0,0,0,NA
"QB","Joe Callahan (7608799)","Joe Callahan",7608799,5000,"NO@KC 01:00PM ET","NO","Joe","Callahan","KC",0,0,0,0,0,0,1,0,0,0,NA
"QB","Matt Cassel (7608800)","Matt Cassel",7608800,5000,"Ind@Ten 01:00PM ET","Ten","Matt","Cassel","Ind",0,0,0,0,0,0,1,0,0,0,NA
"QB","Scott Tolzien (7608801)","Scott Tolzien",7608801,5000,"Ind@Ten 01:00PM ET","Ind","Scott","Tolzien","Ten",0,0,0,0,0,0,1,0,0,0,NA
"QB","Shaun Hill (7608804)","Shaun Hill",7608804,5000,"Min@Phi 01:00PM ET","Min","Shaun","Hill","Phi",0,0,0,0,0,0,1,0,0,0,NA
"QB","Chase Daniel (7608805)","Chase Daniel",7608805,5000,"Min@Phi 01:00PM ET","Phi","Chase","Daniel","Min",0,0,0,0,0,0,1,0,0,0,NA
"QB","Josh McCown (7608808)","Josh McCown",7608808,5000,"Cle@Cin 01:00PM ET","Cle","Josh","McCown","Cin",0,0,0,0,0,0,1,0,0,0,NA
"QB","AJ McCarron (7608810)","AJ McCarron",7608810,5000,"Cle@Cin 01:00PM ET","Cin","AJ","McCarron","Cle",0,0,0,0,0,0,1,0,0,0,NA
"QB","Cody Kessler (7608811)","Cody Kessler",7608811,5000,"Cle@Cin 01:00PM ET","Cle","Cody","Kessler","Cin",13.36,14.3,0,0,13.0073786208215,12.9251445504668,1,3.1,0,14.25,NA
"QB","Jeff Driskel (7608812)","Jeff Driskel",7608812,5000,"Cle@Cin 01:00PM ET","Cin","Jeff","Driskel","Cle",0,0,0,0,0,0,1,0,0,0,NA
"QB","Kevin Hogan (7608813)","Kevin Hogan",7608813,5000,"Cle@Cin 01:00PM ET","Cle","Kevin","Hogan","Cin",0,0,0,0,0,0,1,21.4,0,0,NA
"QB","Dan Orlovsky (7608814)","Dan Orlovsky",7608814,5000,"Was@Det 01:00PM ET","Det","Dan","Orlovsky","Was",0,0,0,0,0,0,1,0,0,0,NA
"QB","Colt McCoy (7608815)","Colt McCoy",7608815,5000,"Was@Det 01:00PM ET","Was","Colt","McCoy","Det",0,0,0,0,0,0,1,0,0,0,NA
"QB","Nate Sudfeld (7608818)","Nate Sudfeld",7608818,5000,"Was@Det 01:00PM ET","Was","Nate","Sudfeld","Det",0,0,0,0,0,0,1,0,0,0,NA
"QB","Chad Henne (7608819)","Chad Henne",7608819,5000,"Oak@Jax 01:00PM ET","Jax","Chad","Henne","Oak",0,0,0,0,0,0,1,0,0,0,NA
"QB","Matt McGloin (7608820)","Matt McGloin",7608820,5000,"Oak@Jax 01:00PM ET","Oak","Matt","McGloin","Jax",0,0,0,0,0,0,1,0,0,0,NA
