Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,2016 Avg,FC Proj,My Proj,Exposure,Consistency,Value
DeVante Parker,WR,MIA,vs BUF,15th,9600,4.8,24.6,11.7,10.7,11.44,11.44,100,38,1.2
Ryan Mathews,RB,PHI,vs MIN,8th,9600,2.1,20.7,9.6,10.4,8.26,8.26,100,40,0.9
Arian Foster,RB,MIA,vs BUF,20th,9500,0,22.2,19.3,5.8,5.59,5.59,100,0,0.6
Golden Tate,WR,DET,vs WAS,7th,9500,6.5,27.2,13.1,10.5,13.4,13.4,100,34,1.4
Rashad Jennings,RB,NYG,@ LA,12th,9400,3.3,23.6,10.3,7.4,10.05,10.05,100,8,1.1
Jimmy Graham,TE,SEA,@ ARI,2nd,9400,6.1,31,11,12.3,14.42,14.42,100,33,1.5
John Brown,WR,ARI,vs SEA,3rd,9300,3.6,22.8,13.8,9,10.03,10.03,100,29,1.1
Torrey Smith,WR,SF,vs TB,21st,9100,1.6,24.1,7.8,7,9.09,9.09,100,0,1
Matt Jones,RB,WAS,@ DET,9th,9100,3.2,29,8.8,12.4,11.75,11.75,100,31,1.3
Mike Wallace,WR,BAL,@ NYJ,31st,9100,3,23.1,6.6,14,9.72,9.72,100,52,1.1
Frank Gore,RB,IND,@ TEN,11th,9100,6.4,25.9,12.1,13.9,12.89,12.89,100,53,1.4
Kendall Wright,WR,TEN,vs IND,6th,9100,1.2,22.8,9.7,10.9,8.39,8.39,100,34,0.9
Pierre Garcon,WR,WAS,@ DET,29th,9000,4.1,22.7,11.6,10.8,10.31,10.31,100,43,1.1
Jerick McKinnon,RB,MIN,@ PHI,16th,9000,5.5,23.2,5.2,7,11.42,11.42,100,16,1.3
James White,RB,NE,@ PIT,17th,8900,3.9,27,10.2,11.2,11.63,11.63,100,31,1.3
Davante Adams,WR,GB,vs CHI,20th,8900,0.2,18.8,8.2,10.6,6.38,6.38,100,42,0.7
Giovani Bernard,RB,CIN,vs CLE,15th,8800,6.4,25,11.3,12.6,12.62,12.62,100,51,1.4
Kenny Britt,WR,LA,vs NYG,14th,8800,4.3,22,7.6,14.9,10.19,10.19,100,60,1.2
Sammie Coates,WR,PIT,vs NE,11th,8800,2.3,14,2.1,12.3,9.35,9.35,100,0,1.1
Tavon Austin,WR,LA,vs NYG,14th,8700,2.9,24,12.4,10.2,9.95,9.95,100,31,1.1
Jacquizz Rodgers,RB,TB,@ SF,28th,8700,8.2,17.8,1.2,7,11.43,11.43,100,54,1.3
Tevin Coleman,RB,ATL,vs SD,22nd,8700,8.8,18.1,3.6,16.2,11.91,11.91,100,81,1.4
Duke Johnson,RB,CLE,@ CIN,7th,8600,4,20.2,10.3,10.8,9.42,9.42,100,50,1.1
Quincy Enunwa,WR,NYJ,vs BAL,26th,8600,7.1,16.4,4.9,11.6,10.21,10.21,100,73,1.2
Theo Riddick,RB,DET,vs WAS,29th,8600,6.2,24.2,11.2,17.2,12.16,12.16,100,65,1.4
Case Keenum,QB,LA,vs NYG,10th,8500,8.9,23,8.9,14.4,13.58,13.58,100,67,1.6
Travis Kelce,TE,KC,vs NO,11th,8500,7.4,24.5,11.8,12.4,13.14,13.14,100,54,1.5
Chris Ivory,RB,JAC,vs OAK,27th,8500,1.7,21.5,13.5,5.9,8.3,8.3,100,0,1
Jeremy Kerley,WR,SF,vs TB,21st,8500,3.9,19.5,2.7,11.9,9.14,9.14,100,56,1.1
Latavius Murray,RB,OAK,@ JAC,26th,8400,3.7,24.1,12.7,12.9,10.54,10.54,100,47,1.3
T.J. Yeldon,RB,JAC,vs OAK,27th,8300,6.6,20.7,13,10.6,11.32,11.32,100,56,1.4
Michael Floyd,WR,ARI,vs SEA,3rd,8300,0,25.9,11.5,8.5,8.3,8.3,100,0,1
Mohamed Sanu,WR,ATL,vs SD,13th,8300,3.4,23.8,5.7,9.5,10.19,10.19,100,28,1.2
Victor Cruz,WR,NYG,@ LA,30th,8300,1.3,21.7,,8.4,8.06,8.06,100,19,1
Landry Jones,QB,PIT,vs NE,23rd,8200,8.6,23.9,3.7,-0.1,13.73,13.73,100,0,1.7
DeAngelo Williams,RB,PIT,vs NE,5th,8200,0,26.7,14.6,12.6,4.07,4.07,100,10,0.5
Dwayne Washington,RB,DET,vs WAS,29th,8200,1.5,9.1,,4,6.05,6.05,100,0,0.7
Jeremy Hill,RB,CIN,vs CLE,15th,8200,5.5,26.8,10.6,8.9,12.61,12.61,100,20,1.5
Brian Quick,WR,LA,vs NYG,14th,8100,0.4,22,2.2,10.1,7.57,7.57,100,29,0.9
Anquan Boldin,WR,DET,vs WAS,7th,8100,3.7,23.8,12.1,11.9,10.42,10.42,100,44,1.3
Ryan Mallett,QB,BAL,@ NYJ,30th,8000,2.2,20.4,11,,8.25,8.25,100,0,1
Cody Kessler,QB,CLE,@ CIN,29th,8000,2.9,17.6,,12.5,11.71,11.71,100,0,1.5
Geno Smith,QB,NYJ,vs BAL,16th,8000,4.9,28,21,0.4,12.6,12.6,100,0,1.6
Robert Woods,WR,BUF,@ MIA,27th,7900,4.7,24.8,8.4,9.3,11.38,11.38,100,28,1.4
Darren Sproles,RB,PHI,vs MIN,8th,7900,1.5,21,10.1,10.3,7.97,7.97,100,37,1
Kamar Aiken,WR,BAL,@ NYJ,31st,7800,0,16.8,12.3,3.2,3.05,3.05,100,0,0.4
Tyler Eifert,TE,CIN,vs CLE,28th,7800,1.8,28.5,14.7,,10.73,10.73,100,0,1.4
Breshad Perriman,WR,BAL,@ NYJ,31st,7700,1.4,8.4,,5.1,5.6,5.6,100,0,0.7
Jermaine Kearse,WR,SEA,@ ARI,22nd,7700,0,20.6,9.2,5.7,6.18,6.18,100,0,0.8
Dorial Green-Beckham,WR,PHI,vs MIN,2nd,7600,0,19,8.1,4.8,6.15,6.15,100,0,0.8
Tyler Lockett,WR,SEA,@ ARI,22nd,7600,0.3,22.8,10.3,5.3,7.82,7.82,100,0,1
Dontrelle Inman,WR,SD,@ ATL,8th,7500,0.8,19.4,8.3,6.3,6.95,6.95,100,2,0.9
Jamison Crowder,WR,WAS,@ DET,29th,7400,3,21.3,8.4,12.6,9.11,9.11,100,52,1.2
Michael Thomas,WR,NO,@ KC,18th,7300,2.4,14.5,,14.9,9.65,9.65,100,0,1.3
Andre Ellington,RB,ARI,vs SEA,3rd,7300,0,18.9,7.5,1.8,3.51,3.51,100,0,0.5
Nelson Agholor,WR,PHI,vs MIN,2nd,7200,3.1,15.1,4.3,8.1,7.08,7.08,100,51,1
Danny Amendola,WR,NE,@ PIT,12th,7200,0,18.4,10.6,6.5,3.64,3.64,100,0,0.5
Julius Thomas,TE,JAC,vs OAK,19th,7200,0.2,27.2,10.1,9.2,9.16,9.16,100,2,1.3
Marquise Goodwin,WR,BUF,@ MIA,27th,7200,6.3,11.4,2.2,7.3,8,8,100,77,1.1
Tajae Sharpe,WR,TEN,vs IND,6th,7200,1.9,11.6,,6.2,7.71,7.71,100,0,1.1
Bilal Powell,RB,NYJ,vs BAL,1st,7200,0,20.6,12.3,8.3,6.61,6.61,100,16,0.9
Eli Rogers,WR,PIT,vs NE,11th,7100,1.7,10.3,,8.1,6.88,6.88,100,0,1
Martellus Bennett,TE,NE,@ PIT,32nd,7100,4.9,26.8,10.4,14.5,12.19,12.19,100,50,1.7
Matt Asiata,RB,MIN,@ PHI,16th,7100,0,24.6,2.9,7.3,7.75,7.75,100,0,1.1
Kenneth Dixon,RB,BAL,@ NYJ,4th,7000,1.2,7.2,,1.9,4.79,4.79,100,0,0.7
Justin Forsett,RB,DET,vs WAS,29th,7000,0,17.9,12.2,6.5,4.09,4.09,100,0,0.6
Adam Humphries,WR,TB,@ SF,24th,7000,3.6,14.7,5.4,8.9,7.32,7.32,100,58,1
Delanie Walker,TE,TEN,vs IND,22nd,6900,5.7,26.1,16.3,10.7,12.48,12.48,100,36,1.8
Quinton Patton,WR,SF,vs TB,21st,6800,3.3,13.5,4.7,5.6,6.72,6.72,100,39,1
Adam Thielen,WR,MIN,@ PHI,4th,6800,1.3,16,3.9,10.6,6.22,6.22,100,54,0.9
Andre Johnson,WR,TEN,vs IND,6th,6700,0,21.1,7.2,5.9,6.91,6.91,100,0,1
Phillip Dorsett,WR,IND,@ TEN,9th,6700,5.9,15.8,4.2,7.4,9.15,9.15,100,55,1.4
Bobby Rainey,RB,NYG,@ LA,12th,6600,1.7,18.5,0.3,8.8,7.29,7.29,100,36,1.1
Zach Miller,TE,CHI,@ GB,25th,6600,8.9,14.6,,12.6,10.76,10.76,100,85,1.6
Dennis Pitta,TE,BAL,@ NYJ,24th,6600,4,22.9,,10.6,10.3,10.3,100,41,1.6
Kenny Stills,WR,MIA,vs BUF,15th,6600,1.7,21.5,5.9,7.5,8.29,8.29,100,12,1.3
Chris Thompson,RB,WAS,@ DET,9th,6500,1.7,19.7,7.1,8.9,7.72,7.72,100,33,1.2
Andrew Hawkins,WR,CLE,@ CIN,10th,6500,0.5,18.8,6.8,6.4,6.57,6.57,100,5,1
Benny Cunningham,RB,LA,vs NYG,19th,6400,0,12.4,4.3,2.6,3.03,3.03,100,0,0.5
Cordarrelle Patterson,WR,MIN,@ PHI,4th,6400,0,14.5,1,5.5,4.27,4.27,100,7,0.7
C.J. Prosise,RB,SEA,@ ARI,10th,6400,0.8,4.8,,2.1,3.22,3.22,100,0,0.5
Charles Johnson,WR,MIN,@ PHI,4th,6300,0,15,3.6,3,4.23,4.23,100,0,0.7
Brandon LaFell,WR,CIN,vs CLE,32nd,6300,1.5,23,8.1,11.6,8.65,8.65,100,38,1.4
Seth Roberts,WR,OAK,@ JAC,23rd,6300,0,20.9,7,7.7,6.7,6.7,100,8,1.1
Derrick Henry,RB,TEN,vs IND,31st,6200,1.3,7.7,,4.6,5.1,5.1,100,0,0.8
Mike Gillislee,RB,BUF,@ MIA,24th,6200,5.7,25.8,10.3,5.9,12.44,12.44,100,0,2
Ka'Deem Carey,RB,CHI,@ GB,2nd,6200,0.2,11,4.6,2.4,3.85,3.85,100,0,0.6
Shaun Draughn,RB,SF,vs TB,23rd,6100,0,19.3,7.1,2.6,6.13,6.13,100,0,1
Dexter McCluster,RB,SD,@ ATL,14th,6100,0,13.1,8.3,2.4,3.86,3.86,100,0,0.6
Tyler Boyd,WR,CIN,vs CLE,32nd,6100,1.5,9.1,,6.9,6.07,6.07,100,0,1
Kyle Rudolph,TE,MIN,@ PHI,1st,6100,3.7,19,8,12.5,8.76,8.76,100,59,1.4
Coby Fleener,TE,NO,@ KC,6th,6100,3.1,24.7,8.2,12.2,10.33,10.33,100,41,1.7
Zach Ertz,TE,PHI,vs MIN,14th,6000,0.9,21,11.4,7.2,7.6,7.6,100,7,1.3
Chris Conley,WR,KC,vs NO,19th,6000,1.7,16.4,4.8,7.6,6.57,6.57,100,36,1.1
Albert Wilson,WR,KC,vs NO,19th,6000,0,15.5,6.8,5,4.89,4.89,100,0,0.8
C.J. Spiller,RB,SEA,@ ARI,10th,6000,0,15.8,6.2,8.1,5.23,5.23,100,35,0.9
Justin Hunter,WR,BUF,@ MIA,27th,6000,0.1,14.2,6,8.7,4.84,4.84,100,46,0.8
Stephen Gostkowski,K,NE,@ PIT,23rd,6000,5.1,18.9,10.7,7.8,9.67,9.67,100,41,1.6
Darrius Heyward-Bey,WR,PIT,vs NE,11th,5900,0,13.7,5.9,6,3.73,3.73,100,17,0.6
DeAndre Washington,RB,OAK,@ JAC,26th,5900,1.6,9.9,,6.3,6.58,6.58,100,0,1.1
Ty Montgomery,WR,GB,vs CHI,20th,5800,5.4,20.4,7,3.7,10.45,10.45,100,0,1.8
Chandler Catanzaro,K,ARI,vs SEA,14th,5800,2.7,15,8.9,6.3,6.82,6.82,100,35,1.2
Hunter Henry,TE,SD,@ ATL,27th,5800,2.7,16.1,,13.3,10.75,10.75,100,0,1.9
Wendell Smallwood,RB,PHI,vs MIN,8th,5800,0.9,5.6,,6.2,3.75,3.75,100,0,0.6
Eric Ebron,TE,DET,vs WAS,20th,5800,2.6,17.3,9.3,11.3,7.46,7.46,100,57,1.3
Dan Carpenter,K,BUF,@ MIA,24th,5800,2.6,15.2,7.3,7.7,6.83,6.83,100,45,1.2
Andre Holmes,WR,OAK,@ JAC,23rd,5700,0,17.7,4.5,4.4,3.88,3.88,100,0,0.7
Dustin Hopkins,K,WAS,@ DET,9th,5700,4.2,15.3,8.3,10.7,7.86,7.86,100,65,1.4
Mason Crosby,K,GB,vs CHI,22nd,5700,5.7,19.5,8.3,9,10.29,10.29,100,49,1.8
Chris Hogan,WR,NE,@ PIT,12th,5700,3.4,20.2,7.2,7.8,9.04,9.04,100,28,1.6
Steven Hauschka,K,SEA,@ ARI,8th,5700,2.5,13.6,9.1,8.6,6.17,6.17,100,57,1.1
Blair Walsh,K,MIN,@ PHI,7th,5700,1.5,16.8,9.6,8.4,6.57,6.57,100,39,1.2
Vikings,DST,MIN,@ PHI,7th,5700,3,21,8.8,16.6,8.96,8.96,100,64,1.6
Greg Zuerlein,K,LA,vs NYG,30th,5600,2.7,15.3,6.9,8.6,6.87,6.87,100,51,1.2
Jason Myers,K,JAC,vs OAK,15th,5600,3.8,17,7.6,8,8.15,8.15,100,45,1.5
Jared Abbrederis,WR,GB,vs CHI,20th,5600,0.6,11.7,2.5,0.9,4.26,4.26,100,0,0.8
Mike Nugent,K,CIN,vs CLE,5th,5600,4.8,15.9,8.2,8.8,8.52,8.52,100,58,1.5
Adam Vinatieri,K,IND,@ TEN,27th,5600,3.6,18.3,7.7,13,8.51,8.51,100,62,1.5
Robert Turbin,RB,IND,@ TEN,11th,5600,0.7,11.2,3.5,5.3,4.21,4.21,100,34,0.8
Sebastian Janikowski,K,OAK,@ JAC,26th,5600,4.3,16.3,7.1,7.5,8.26,8.26,100,47,1.5
Cecil Shorts III,WR,TB,@ SF,24th,5500,0,14.7,10,2.2,3.47,3.47,100,0,0.6
Caleb Sturgis,K,PHI,vs MIN,3rd,5500,3.1,14.2,7.5,10.8,6.79,6.79,100,66,1.2
Rishard Matthews,WR,TEN,vs IND,6th,5500,0,21.9,12.1,9.9,7.29,7.29,100,26,1.3
Jaron Brown,WR,ARI,vs SEA,3rd,5500,1,13.3,3.1,6,5.12,5.12,100,32,0.9
Patriots,DST,NE,@ PIT,9th,5500,1.3,16.3,8.1,7.8,6.34,6.34,100,36,1.2
Antonio Gates,TE,SD,@ ATL,27th,5500,0,23.6,13.5,7.5,6.8,6.8,100,0,1.2
Matt Prater,K,DET,vs WAS,20th,5500,3.8,14.9,7.4,8.2,7.48,7.48,100,55,1.4
Nick Folk,K,NYJ,vs BAL,1st,5500,3,13.8,9.3,7.2,6.56,6.56,100,50,1.2
Cairo Santos,K,KC,vs NO,19th,5500,3.3,19.2,9.1,8.4,8.57,8.57,100,37,1.6
Dwayne Allen,TE,IND,@ TEN,18th,5500,0.8,17.6,2.8,8.5,6.41,6.41,100,34,1.2
Ryan Succop,K,TEN,vs IND,32nd,5500,3.4,14.2,5.7,5.5,7.01,7.01,100,35,1.3
Connor Barth,K,CHI,@ GB,28th,5400,0.5,15.2,8.6,6,5.44,5.44,100,18,1
Josh Lambo,K,SD,@ ATL,12th,5400,4.1,13.1,7.8,9.8,7.08,7.08,100,69,1.3
Matt Bryant,K,ATL,vs SD,16th,5400,4.9,19.6,7.4,10,9.81,9.81,100,51,1.8
Bills,DST,BUF,@ MIA,18th,5400,3,20.7,5.7,12.5,8.9,8.9,100,53,1.6
Eagles,DST,PHI,vs MIN,15th,5400,1.3,25,7.5,12,9.21,9.21,100,34,1.7
Clive Walford,TE,OAK,@ JAC,5th,5400,3.9,14.7,5.3,7.2,7.5,7.5,100,50,1.4
Seahawks,DST,SEA,@ ARI,13th,5300,3,20,9.9,8.6,8.65,8.65,100,34,1.6
Gary Barnidge,TE,CLE,@ CIN,23rd,5300,0.6,24,14.8,9.3,8.37,8.37,100,16,1.6
Andrew Franks,K,MIA,vs BUF,29th,5300,1.6,11.8,4.9,5.8,4.97,4.97,100,41,0.9
Roberto Aguayo,K,TB,@ SF,21st,5300,1.5,9.2,,4.2,6.15,6.15,100,0,1.2
Justin Hardy,WR,ATL,vs SD,13th,5200,7.5,13.2,4.5,5.1,9.44,9.44,100,63,1.8
Phil Dawson,K,SF,vs TB,18th,5200,2.6,16.4,6.5,6.2,7.23,7.23,100,26,1.4
Justin Tucker,K,BAL,@ NYJ,13th,5200,2.7,16.2,9.1,10.7,7.18,7.18,100,58,1.4
Marqise Lee,WR,JAC,vs OAK,25th,5200,3.1,16.9,4.9,9,7.71,7.71,100,49,1.5
Packers,DST,GB,vs CHI,31st,5200,0,20.9,7.3,5.6,6.87,6.87,100,0,1.3
Chris Boswell,K,PIT,vs NE,2nd,5100,1.9,13.3,11.5,5.7,5.73,5.73,100,33,1.1
Rams,DST,LA,vs NYG,20th,5100,0,23,8.4,7.5,7.44,7.44,100,0,1.5
Arrelious Benn,WR,JAC,vs OAK,25th,5100,1.1,6.5,,3.8,4.34,4.34,100,0,0.9
Charles Clay,TE,BUF,@ MIA,16th,5100,3.6,21,9.4,7.7,9.38,9.38,100,25,1.8
Cardinals,DST,ARI,vs SEA,32nd,5100,0.6,25.2,10.4,11.3,8.84,8.84,100,27,1.7
Jesse James,TE,PIT,vs NE,30th,5100,3.6,12,4.3,8.7,6.41,6.41,100,68,1.3
Ryan Grant,WR,WAS,@ DET,29th,5000,0.3,13.2,5.2,0.4,4.56,4.56,100,0,0.9
Ravens,DST,BAL,@ NYJ,25th,5000,2,16.7,5.4,7.7,6.88,6.88,100,36,1.4
Jamize Olawale,RB,OAK,@ JAC,26th,5000,2.8,4.9,,,3.55,3.55,100,0,0.7
Jalen Richard,RB,OAK,@ JAC,26th,5000,1.7,10.4,,8.1,6.96,6.96,100,0,1.4
Malcolm Mitchell,WR,NE,@ PIT,12th,5000,0.9,5.4,,3.6,3.6,3.6,100,0,0.7
Brandon Bolden,RB,NE,@ PIT,17th,5000,0,13.3,6.3,1.3,3.86,3.86,100,0,0.8
Tanner McEvoy,WR,SEA,@ ARI,22nd,5000,1.4,8.7,,4.6,5.79,5.79,100,0,1.2
Aldrick Robinson,WR,ATL,vs SD,13th,5000,0.9,5.2,,4.2,3.47,3.47,100,0,0.7
Tyreek Hill,WR,KC,vs NO,19th,5000,1.5,9.2,,6.6,6.15,6.15,100,0,1.2
Paul Perkins,RB,NYG,@ LA,12th,5000,1.1,6.6,,5.9,4.41,4.41,100,0,0.9
Josh Ferguson,RB,IND,@ TEN,11th,5000,1.3,7.8,,5.4,5.23,5.23,100,0,1
Quan Bray,WR,IND,@ TEN,9th,5000,3.6,3.6,0,1.2,3.64,3.64,100,0,0.7
Richard Rodgers,TE,GB,vs CHI,13th,5000,0.6,19.8,10,4.3,7.01,7.01,100,0,1.4
Cameron Meredith,WR,CHI,@ GB,28th,5000,10,19.6,3.8,14.5,13.21,13.21,100,78,2.6
Deonte Thompson,WR,CHI,@ GB,28th,5000,1.5,8.7,1.7,0,3.88,3.88,100,0,0.8
Don Jackson,RB,GB,vs CHI,18th,5000,2,12,,,8,8,100,0,1.6
