"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12"
"Didi Gregorius_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14,13,0,4,NA,NA,3,NA,0,7,22,NA,3,8,NA,5,NA,14,14,7,0,0,16,19,0,21,NA,2,0,5,3,9,NA,7,3,21,3,NA,6,19,6,5,21,8,18
"Scott Schebler_CIN",NA,7,NA,0,NA,16,NA,11,4,0,7,0,NA,19,3,NA,0,7,0,3,0,19,25,2,28,NA,21,NA,17,3,0,0,5,17,NA,16,3,12,NA,0,15,19,0,NA,2,2,0,NA,23,17,14,4,NA,NA,14,0,14,6,5,18,NA,0,0,NA,NA,NA,24,4,0,0,23,12
"Hunter Renfroe_SD",NA,0,3,14,NA,NA,10,0,19,0,5,NA,0,17,3,0,6,0,0,8,5,16,3,7,14,0,NA,2,0,NA,0,3,7,0,NA,NA,0,0,5,7,7,4,22,29,7,2,NA,0,4,NA,NA,12,14,12,NA,3,15,22,11,2,NA,0,0,14,NA,28,3,10,3,0,NA,0
"Eric Hosmer_KC",NA,0,NA,NA,NA,3,16,3,2,NA,5,2,5,7,3,NA,5,7,4,5,0,6,0,3,14,NA,9,NA,5,16,3,12,10,24,NA,6,25,11,5,0,10,14,10,NA,5,7,4,11,NA,12,5,0,2,NA,12,0,10,16,5,8,NA,7,12,3,10,17,0,0,10,19,23,NA
"Chris Carter_NYY",NA,NA,NA,NA,NA,NA,0,7,12,NA,5,NA,NA,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,8,NA,9,10,NA,2,NA,0,NA,2,NA,3,NA,NA,9,NA,24,7,0,2,NA,2,14,16,2,NA,0,2,6,0,NA,NA,2,5,NA,NA,NA,14,26,0,NA,8,10,2
"Andrelton Simmons_LAA",NA,NA,7,12,NA,11,3,16,NA,2,7,3,2,0,NA,0,17,2,NA,3,23,6,7,3,11,0,3,3,5,NA,7,2,2,5,NA,2,2,0,0,0,10,5,5,8,13,6,NA,8,8,27,5,15,5,6,8,16,3,14,12,5,2,7,16,0,NA,12,5,19,10,2,21,3
"Scooter Gennett_CIN",NA,NA,NA,NA,NA,2,0,NA,16,28,NA,NA,NA,14,NA,NA,3,NA,NA,NA,10,5,NA,NA,NA,NA,12,NA,NA,0,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,14,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,10,NA,2,NA,2,NA,NA,NA,0,9,71,5,13,NA,7,NA,NA
"Brandon Belt_SF",4,NA,10,24,9,NA,5,6,4,0,6,3,5,NA,10,NA,5,3,NA,19,14,2,5,NA,4,7,17,9,0,NA,12,13,NA,2,NA,0,4,2,NA,16,5,16,18,5,19,NA,NA,13,0,3,19,0,8,7,2,23,4,6,0,5,NA,11,9,8,10,5,11,4,0,19,NA,NA
"Salvador Perez_KC",NA,3,NA,NA,NA,19,14,14,3,NA,5,5,16,0,6,NA,3,10,0,0,NA,NA,0,7,0,NA,21,NA,19,7,0,0,2,5,NA,5,10,30,8,11,3,7,NA,NA,0,16,0,6,NA,18,6,5,0,NA,0,2,3,9,0,7,NA,0,7,NA,3,17,12,NA,19,16,5,NA
"Yangervis Solarte_SD",NA,5,19,0,NA,NA,2,20,2,2,12,NA,2,0,0,5,0,2,7,12,11,9,11,11,14,10,6,6,3,NA,16,5,6,7,NA,NA,3,0,0,3,6,0,4,NA,5,7,NA,0,0,NA,NA,8,16,11,4,3,3,8,10,5,NA,22,0,0,NA,0,19,5,11,10,4,19
"Kole Calhoun_LAA",NA,NA,7,11,NA,21,5,9,NA,0,10,3,2,2,0,2,0,NA,NA,9,7,4,3,5,11,0,10,10,19,NA,16,21,0,NA,NA,5,3,0,2,0,15,2,0,18,0,NA,NA,3,5,4,12,4,NA,5,3,2,6,0,7,5,28,8,21,7,NA,21,0,12,16,0,16,16
"Billy Hamilton_CIN",NA,10,NA,7,NA,13,NA,7,23,5,7,10,0,0,2,NA,17,7,0,5,NA,15,10,0,3,NA,3,NA,7,27,14,18,10,40,NA,12,5,12,NA,10,2,NA,6,NA,8,10,14,12,12,12,8,9,NA,NA,14,10,NA,10,10,0,NA,0,3,NA,7,12,0,0,0,NA,3,2
"Ryan Schimpf_SD",NA,17,5,0,NA,NA,NA,4,4,2,20,NA,4,0,20,4,2,0,0,3,0,NA,0,NA,NA,14,16,18,2,NA,16,0,4,5,NA,NA,23,0,3,5,0,2,NA,0,NA,NA,NA,9,NA,NA,NA,18,0,NA,16,0,16,7,NA,14,NA,4,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"Phillip Ervin_CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joe Panik_SF",12,NA,17,5,NA,NA,3,NA,4,9,7,5,0,3,3,NA,17,0,NA,10,19,5,7,3,0,NA,8,2,7,3,5,12,NA,0,NA,3,6,0,4,3,5,8,14,0,NA,0,NA,4,3,5,30,0,0,0,NA,2,14,2,NA,5,NA,12,5,7,7,2,10,21,NA,NA,NA,NA
"Albert Pujols_LAA",NA,NA,0,5,NA,2,13,21,NA,9,0,5,3,5,2,NA,18,0,NA,17,5,15,5,3,8,7,18,2,2,NA,10,5,5,14,NA,2,6,14,NA,0,3,7,NA,0,9,14,NA,NA,NA,NA,2,5,18,NA,10,3,NA,14,23,3,3,0,22,NA,NA,0,3,5,4,5,14,2
"Jose Peraza_CIN",NA,6,NA,0,NA,0,NA,9,13,12,22,8,0,0,NA,NA,20,0,0,7,10,0,5,6,3,NA,NA,NA,8,3,3,13,5,29,NA,0,0,5,NA,0,NA,7,13,NA,10,3,5,16,5,17,5,12,NA,NA,7,NA,8,0,18,20,NA,0,18,5,0,0,NA,3,11,5,8,0
"Cory Spangenberg_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,NA,10,4,NA,NA,7,5,NA,9,NA,NA,14,6,0,NA,5,NA,0,21,3,0,NA,2,6,NA,NA,2,NA,12,0,2,NA,NA,5,0,NA,NA,3,NA,NA,5,NA,NA,6,11,28,14
"Manuel Margot_SD",NA,7,13,2,NA,NA,14,3,10,19,7,NA,5,0,0,7,0,NA,0,15,8,10,7,3,13,0,0,13,8,NA,16,3,7,2,NA,NA,8,2,5,2,NA,25,8,0,8,3,NA,3,2,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whit Merrifield_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,NA,13,3,0,2,NA,7,NA,5,NA,14,NA,5,7,0,5,NA,0,6,0,NA,23,7,5,10,NA,5,14,8,10,NA,3,5,17,3,NA,11,9,8,33,10,5,NA,7,11,9,0,16,3,0,0,14,0,NA
"Jacoby Ellsbury_NYY",2,NA,10,20,NA,3,5,NA,7,NA,10,4,13,11,2,6,5,5,NA,23,7,17,NA,NA,2,0,24,2,NA,10,NA,NA,NA,NA,NA,21,11,2,NA,10,3,NA,NA,NA,5,NA,8,12,5,7,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wil Myers_SD",NA,2,10,8,NA,NA,0,19,34,10,18,NA,3,5,3,6,5,3,17,2,13,3,18,7,0,7,0,31,18,NA,9,10,13,2,NA,NA,5,3,14,3,16,16,7,7,14,8,NA,0,0,NA,NA,0,12,6,0,NA,12,7,5,10,NA,14,5,0,NA,3,2,12,7,NA,0,5
"Alex Dickerson_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yunel Escobar_LAA",NA,NA,5,4,NA,13,26,14,NA,15,0,0,5,0,2,2,10,8,NA,7,0,NA,2,0,0,5,14,2,12,NA,5,12,12,8,NA,28,5,20,4,13,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13,6,3,NA,9,0,7,14,2,NA,7
"Jefry Marte_LAA",NA,NA,9,NA,NA,NA,5,NA,NA,14,NA,0,2,NA,NA,0,NA,0,NA,NA,NA,0,2,0,10,NA,NA,2,21,NA,4,NA,5,2,NA,NA,NA,NA,7,NA,NA,3,NA,NA,8,NA,NA,NA,4,20,4,NA,NA,4,NA,NA,12,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CJ Cron_LAA",NA,NA,NA,8,NA,0,NA,10,NA,NA,5,NA,NA,NA,5,0,0,3,NA,2,9,2,NA,NA,NA,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,0,7,NA,5,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,16,NA,9,NA,0,9,NA
"Arismendy Alcantara_CIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
"Jorge Soler_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,7,4,2,8,16,NA,7,5,2,0,NA,7,5,0,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eric Young_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,10,11,4,NA,11,0,19,3,2,28,7
"Danny Espinosa_LAA",NA,NA,18,9,NA,2,5,2,NA,20,2,21,0,3,0,3,3,12,NA,10,0,NA,2,5,13,NA,2,0,0,NA,0,NA,4,0,NA,2,NA,NA,0,NA,NA,5,16,4,2,18,NA,0,NA,12,NA,0,NA,2,0,NA,NA,NA,7,5,5,16,NA,NA,NA,0,NA,19,4,NA,5,7
"Greg Bird_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denard Span_SF",6,NA,NA,NA,NA,NA,2,5,5,NA,12,3,9,2,7,NA,0,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,19,3,12,5,5,NA,NA,10,5,0,NA,NA,14,9,3,7,4,0,NA,0,NA,27,5,9,7,6,5,12,0,5,NA,NA
"Hunter Pence_SF",5,NA,11,15,4,NA,0,16,10,14,5,5,15,0,2,NA,10,0,NA,5,NA,6,8,3,2,3,2,NA,4,16,3,10,NA,2,NA,3,16,0,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3,NA,0,0,25,NA
"Jorge Bonifacio_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,5,8,NA,5,NA,3,21,2,2,0,8,NA,0,NA,9,NA,12,NA,2,NA,NA,8,NA,5,21,NA,16,14,16,0,NA,16,7,14,0,8,5,NA,10,12,2,17,2,5,2,0,4,NA,NA
"Chase Headley_NYY",13,NA,24,10,NA,0,6,4,21,NA,10,3,15,9,14,9,NA,16,NA,5,7,0,NA,NA,12,5,13,0,7,NA,8,9,NA,5,NA,0,4,NA,NA,5,0,NA,NA,NA,8,9,0,NA,11,0,0,5,0,NA,0,NA,NA,5,8,4,10,0,0,8,NA,2,12,3,8,9,NA,5
"Devin Mesoraco_CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0,18,NA,4,NA,NA,NA,7,NA,0,NA,12,5,NA,NA,NA,NA,NA,23,10,NA,0,NA,NA,2,NA,NA,0,2,NA,NA,NA,11,NA,0,NA,0,NA,NA,18,21,NA
"Jose Pirela_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,30,17,16
"Travis Jankowski_SD",NA,5,4,2,NA,NA,NA,6,0,3,NA,NA,9,NA,0,0,10,3,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jesse Winker_CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Hundley_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9,NA,5,0,7,NA,7,5,NA,NA,NA,5,NA,0,NA,0,0,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,8,3,NA,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,0,26,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,10,NA,NA,9,NA
"Jarrett Parker_SF",0,NA,NA,0,NA,NA,0,NA,7,NA,17,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Arroyo_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,8,14,0,3,12,8,0,NA,14,NA,5,0,4,14,3,5,NA,2,11,3,0,NA,12,9,7,0,0,2,0,0,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rob Refsnyder_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Szczur_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5,14,2,0,NA,9,NA,NA,NA,2,NA,NA,NA,NA,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,0,NA
"Alex Gordon_KC",NA,3,NA,NA,NA,14,11,6,0,NA,2,5,5,7,0,NA,7,3,5,4,0,0,5,5,7,NA,2,NA,3,7,NA,9,4,0,NA,2,11,7,0,0,2,NA,4,NA,8,7,NA,3,NA,7,NA,NA,3,NA,2,5,0,7,0,3,NA,0,9,2,5,18,NA,0,2,14,14,NA
"Cheslor Cuthbert_KC",NA,NA,NA,NA,NA,NA,17,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,5,NA,0,NA,NA,3,NA,NA,NA,NA,NA,0,NA,5,NA,NA,NA,0,NA,0,5,NA,NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,7,16,NA,NA,NA,NA,NA
"Luis Valbuena_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,19,4,0,NA,20,NA,2,0,NA,0,NA,0,6,NA,2,8,0,0,7,7,0,16,7,NA,NA,2,0,7,NA,NA,2,NA,9,NA,13,0
"Tyler Austin_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erick Aybar_SD",NA,NA,15,2,NA,NA,NA,3,0,3,2,NA,4,0,2,NA,2,14,9,5,0,3,10,3,26,5,8,14,7,NA,2,14,0,5,NA,NA,2,NA,24,3,5,0,NA,10,0,0,NA,2,7,NA,NA,3,0,NA,0,5,NA,NA,NA,5,NA,NA,NA,3,NA,NA,10,NA,12,10,0,NA
"Chase d'Arnaud_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,19,0,2,NA,NA,13,5,NA,NA,0,NA,5,NA,NA,NA,NA
"Paulo Orlando_KC",NA,0,NA,NA,NA,2,0,7,0,NA,NA,3,5,0,0,NA,NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
