"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_reg","Projection_reg_split","RankTargets","RollingTargetPctg","ValueWR"
"QB","Jacoby Brissett (8080006)","Jacoby Brissett",8080006,5000,"Hou@NE 08:15PM ET","NE","Jacoby","Brissett","Hou",0,0,0,0,0,0,0
"QB","Matt Schaub (8080008)","Matt Schaub",8080008,5000,"Sea@Atl 04:35PM ET","Atl","Matt","Schaub","Sea",0,0,0,0,0,0,0
"QB","Trevone Boykin (8080010)","Trevone Boykin",8080010,5000,"Sea@Atl 04:35PM ET","Sea","Trevone","Boykin","Atl",0,0,0,0,0,0,0
"QB","Nick Foles (8080013)","Nick Foles",8080013,5000,"Pit@KC 01:05PM ET","KC","Nick","Foles","Pit",0,0,0,0,0,0,0
"QB","Landry Jones (8080014)","Landry Jones",8080014,5000,"Pit@KC 01:05PM ET","Pit","Landry","Jones","KC",0,0,0,0,0,0,0
"QB","Zach Mettenberger (8080015)","Zach Mettenberger",8080015,5000,"Pit@KC 01:05PM ET","Pit","Zach","Mettenberger","KC",0,0,0,0,0,0,0
"QB","Tyler Bray (8080016)","Tyler Bray",8080016,5000,"Pit@KC 01:05PM ET","KC","Tyler","Bray","Pit",0,0,0,0,0,0,0
"QB","Tony Romo (8080018)","Tony Romo",8080018,5000,"GB@Dal 04:40PM ET","Dal","Tony","Romo","GB",0,0,0,0,0,0,0
"QB","Mark Sanchez (8080019)","Mark Sanchez",8080019,5000,"GB@Dal 04:40PM ET","Dal","Mark","Sanchez","GB",0,0,0,0,0,0,0
"QB","Brett Hundley (8080020)","Brett Hundley",8080020,5000,"GB@Dal 04:40PM ET","GB","Brett","Hundley","Dal",0,0,0,0,0,0,0
"QB","Joe Callahan (8080022)","Joe Callahan",8080022,5000,"GB@Dal 04:40PM ET","GB","Joe","Callahan","Dal",0,0,0,0,0,0,0
"WR","Cole Beasley (8080103)","Cole Beasley",8080103,5000,"GB@Dal 04:40PM ET","Dal","Cole","Beasley","GB",11.54,10.5,10.4005927322544,10.6090120625966,1,0.209677419354839,0
"TE","Jimmy Graham (8080115)","Jimmy Graham",8080115,4900,"Sea@Atl 04:35PM ET","Sea","Jimmy","Graham","Atl",14.18,13,12.8356388237169,13.0944368453603,2,0.181988742964353,0
"WR","Malcolm Mitchell (8080071)","Malcolm Mitchell",8080071,4700,"Hou@NE 08:15PM ET","NE","Malcolm","Mitchell","Hou",9.92,6.9,7.73104578869199,7.85161398213265,5,0.0910652920962199,0
"RB","Tevin Coleman (8080042)","Tevin Coleman",8080042,4500,"Sea@Atl 04:35PM ET","Atl","Tevin","Coleman","Sea",9.73,7,7.71504765849678,7.83970489068504,5,0.0765027322404372,0
"WR","Taylor Gabriel (8080086)","Taylor Gabriel",8080086,4400,"Sea@Atl 04:35PM ET","Atl","Taylor","Gabriel","Sea",7.56,10.5,8.87375952542848,9.11010201734116,4,0.092896174863388,0
