"Mookie Betts_BOS","Miguel Sano_MIN","Mike Trout_LAA","Mike Napoli_TEX","Andrelton Simmons_LAA","Tommy Pham_STL","Dustin Pedroia_BOS","Elvis Andrus_TEX","Xander Bogaerts_BOS","Hanley Ramirez_BOS","Dexter Fowler_STL","Jackie Bradley_BOS","Andrew Benintendi_BOS","Brian Dozier_MIN","Justin Bour_MIA","Jedd Gyorko_STL","Paul DeJong_STL","Adrian Beltre_TEX","Shin-Soo Choo_TEX","Joe Mauer_MIN","Cameron Maybin_LAA","Max Kepler_MIN","Yadier Molina_STL","Giancarlo Stanton_MIA","Christian Yelich_MIA","JT Realmuto_MIA","Nomar Mazara_TEX","Eddie Rosario_MIN","Marcell Ozuna_MIA","Stephen Piscotty_STL","Aledmys Diaz_STL","Carlos Gomez_TEX","Mitch Moreland_BOS","Rougned Odor_TEX","Eduardo Escobar_MIN","Chad Huffman_STL","Randal Grichuk_STL","Matt Carpenter_STL","Deven Marrero_BOS","Delino DeShields_TEX","Joey Gallo_TEX","Daniel Palka_MIN","Chris Young_BOS","Sandy Leon_BOS","Robbie Grossman_MIN","Dee Gordon_MIA","Robinson Chirinos_TEX","Kennys Vargas_MIN","CJ Cron_LAA","Eric Young_LAA","Jonathan Lucroy_TEX","Yunel Escobar_LAA","Jason Castro_MIN","Jefry Marte_LAA","Jorge Polanco_MIN","Martin Prado_MIA","Jurickson Profar_TEX","Derek Dietrich_MIA","Nick Franklin_LAA","Tyler Moore_MIA","Brock Holt_BOS","Ryan Rua_TEX","Andy Ibanez_TEX","Chris Gimenez_MIN","Kole Calhoun_LAA","Jose Martinez_STL","Kolten Wong_STL","Jhonny Peralta_BOS","Pablo Sandoval_BOS","Christian Vazquez_BOS","Steve Selsky_BOS","Marco Hernandez_BOS","Brett Nicholas_TEX","Jared Hoying_TEX","Tzu-Wei Lin_BOS","Albert Pujols_LAA","Luis Valbuena_LAA","Ben Revere_LAA","Harrison Bader_STL","Hanser Alberto_TEX","Sam Travis_BOS","Martin Maldonado_LAA","Josh Rutledge_BOS","Ehire Adrianza_MIN","Luke Voit_STL","Drew Stubbs_TEX","Cliff Pennington_LAA","Shane Robinson_LAA","David Fletcher_LAA","Destin Hood_MIA","Alex Mejia_STL","Magneuris Sierra_STL","Kaleb Cowart_LAA","Byron Buxton_MIN","Nolan Fontana_LAA","Ichiro Suzuki_MIA","Tomas Telis_MIA","Greg Garcia_STL","JT Riddle_MIA","Carson Kelly_STL","Pete Kozma_TEX","Christian Colon_MIA","Steve Lombardozzi_MIA","Drew Robinson_TEX","Ronald Guzman_TEX","Juan Graterol_LAA","Carlos Perez_LAA","AJ Ellis_MIA","Eric Fryer_STL","Mike Aviles_MIA","Miguel Rojas_MIA","Danny Espinosa_LAA"
0,0,10.7924369747899,0,13.4711792702274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.4613415258576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45098039215686,8.79120879120879,0,8.42463768115942,0,6.62055335968379,0,0,0,0,0,0,0,0,0,0,11.4050263004091,0,0,0,0,0,0,0,0,0,0,8.30584415584416,16.4354838709677,-0.123684210526316,0,0,0,2.64941176470588,0,0,0,0,19.3974358974359,0,0,0,0,0,0,0,-13.4166666666667,0,0,0,0,0,0,0,0,0,0,1.61818181818182,0,0,0,0,0,12.6028368794326
0,31.038838612368,0,0,0,0,0,0,0,0,0,0,0,20.4100145137881,0,0,0,0,0,19.3039832285115,0,61.4248977206312,0,0,0,0,0,16.7210915818686,0,0,0,0,0,0,17.1824596774194,0,0,0,0,0,0,0,0,0,21.7231707317073,0,0,10.4437229437229,0,0,0,0,5.94352159468439,0,10.0878787878788,0,0,0,0,0,0,0,0,9.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14545454545455,0,0,0,0,0,0,0,0,0,7.13137755102041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.462698412698413,0,0,0,0,6.51147959183673,0,0,0,0,6.05241090146751,-0.072463768115942,0,0,0,0,0,38.906498015873,0,0,0,0,0,0,4.97785160575858,1.59724238026125,0,0,0,0,0,0.939024390243902,4.12781954887218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00980392156863,10.8698924731183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.75,0,0,0,0,0,47.5,-22.1904761904762,0,0,0,0,0,3.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96376388077148,0,0,0,0,0,0,0,0,77.5460426179604,8.7118544600939,-4.68661202185792,0,0,3.07668231611894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45997286295794,0,0,0,0,0,0,0,0,0,8.80434782608696,0,0.902748414376321,0,49.6818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,0,0,14.7454545454545,0,0,-4.05555555555556,0,0,0,0,0,5.87820512820513,0,0,-34.3846153846154,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1186440677966,0,0,0,0,0,0,0,0,8.7118544600939,48.036036036036,5.91010047593866,0,0,20.5161051462421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62468030690537,0,0,0,0,0,0,0,0,0,2.04545454545455,0,13.5449275362319,0,13.8525641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7857142857143,0,0,0.710144927536232,0,0,-2.61111111111111,0,0,0,0,0,-3.1978021978022,0,0,-5.32857142857143,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41333333333333,0,0,0,0,0,0,0,0,-4.68661202185792,5.91010047593866,42.7793138760881,0,0,17.4188260179799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1987012987013,0,0,0,0,0,0,0,0,0,7.67965367965368,0,16.4119047619048,0,-6.08181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83928571428571,0,0,-0.217948717948718,0,0,3.02222222222222,0,0,0,0,0,0,0,0,41.1363636363636,0
0,0,0,-5.04571428571429,0,0,0,4.790625,0,0,0,0,0,0,0,0,0,11.8418972332016,17.4966727162734,0,0,0,0,0,0,0,54.0583446404342,0,0,0,0,9.97444831591173,0,9.35685210312076,0,0,0,0,0,14.4167852062589,1.9015376984127,0,0,0,0,0,-14.0579710144928,0,0,0,10.5478723404255,0,0,0,0,0,10.1190476190476,0,0,0,0,14.2578947368421,0,0,0,0,0,0,0,0,0,0,0,31.1602564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.666666666666667,0,0,0,0,0,0,0,0,0,0,0
0,-3.74,0,0,0,0,0,0,0,0,0,0,0,13.2780392156863,0,0,0,0,0,6.35505319148936,0,16.7210915818686,0,0,0,0,0,76.1942355889724,0,0,0,0,0,0,5.43850267379679,0,0,0,0,0,0,0,0,0,-2.96870554765292,0,0,29.0054347826087,0,0,0,0,30.5064102564103,0,5.34088806660499,0,0,0,0,0,0,0,0,-6.60233918128655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.21428571428571,0,0,0,0,0,0,0,0,0,2.31515957446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31299435028249,0,0,0,0,0,0,0,0,3.07668231611894,20.5161051462421,17.4188260179799,0,0,78.945945945946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.12423178226515,0,0,0,0,0,0,0,0,0,10.397233201581,0,2.79555966697502,0,38.2692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.25,0,0,0.690338164251208,0,0,5.65555555555556,0,0,0,0,0,18.3956043956044,0,0,35.1142857142857,0
0,0,0,0,0,1.71692307692308,0,0,0,0,7.2479674796748,0,0,0,0,5.17595818815331,-14.054347826087,0,0,0,0,0,4.97785160575858,0,0,0,0,0,0,41.9205387205387,-4.75913621262458,0,0,0,0,0,4.39462365591398,-4.50637755102041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.2794117647059,-7.92153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,-10.016339869281,0,0,0,0,0,0,0,0,0,0,-2.04545454545455,0,0,0
0,0,0,0,0,-9.24789915966386,0,0,0,0,-4.43450980392157,0,0,0,0,12.2938775510204,-4.64327485380117,0,0,0,0,0,1.59724238026125,0,0,0,0,0,0,-4.75913621262458,53.0803891449053,0,0,0,0,0,10.4708392603129,15.6928571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3725490196078,1.6951871657754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.547619047619048,0,0,0,0,0,-3.83636363636364,0,0,0,0,0,0,0,0,0,0,-4.98611111111111,0,0,0
