"Charlie Blackmon_COL","Nolan Arenado_COL","Kris Bryant_CHC","Mark Reynolds_COL","Anthony Rizzo_CHC","Corey Dickerson_TB","Khris Davis_OAK","Yonder Alonso_OAK","Ryon Healy_OAK","Odubel Herrera_PHI","Logan Morrison_TB","Kyle Schwarber_CHC","Ian Desmond_COL","DJ LeMahieu_COL","David Dahl_COL","Stephen Piscotty_STL","Jedd Gyorko_STL","Jed Lowrie_OAK","Ian Happ_CHC","Dexter Fowler_STL","Carlos Gonzalez_COL","Javier Baez_CHC","Trevor Story_COL","Matt Carpenter_STL","Evan Longoria_TB","Steven Souza_TB","Kevin Kiermaier_TB","Tommy Pham_STL","Randal Grichuk_STL","Matt Joyce_OAK","Gerardo Parra_COL","Yadier Molina_STL","Aledmys Diaz_STL","Rajai Davis_OAK","Brad Miller_TB","Jason Heyward_CHC","Colby Rasmus_TB","Wilson Ramos_TB","Pat Valaika_COL","Howie Kendrick_PHI","Aaron Altherr_PHI","Stephen Cardullo_COL","Raimel Tapia_COL","Albert Almora_CHC","Freddy Galvis_PHI","Tommy Joseph_PHI","Tim Beckham_TB","Marcus Semien_OAK","Mallex Smith_TB","Matt Duffy_TB","Ben Zobrist_CHC","Jon Jay_CHC","Dustin Garneau_COL","Willson Contreras_CHC","Cesar Hernandez_PHI","Derek Norris_TB","Miguel Montero_CHC","Jeimer Candelario_CHC","Addison Russell_CHC","Tom Murphy_COL","Jhonny Peralta_STL","Kolten Wong_STL","Tony Wolters_COL","Daniel Nava_PHI","Rhys Hoskins_PHI","Paul DeJong_STL","Harrison Bader_STL","Jake Bauers_TB","Alexi Amarista_COL","Tommy La Stella_CHC","Andrew Knapp_PHI","Jose Martinez_STL","Maikel Franco_PHI","Peter Bourjos_TB","Michael Saunders_PHI","Greg Garcia_STL","Magneuris Sierra_STL","Trevor Plouffe_OAK","Jake Smolinski_OAK","Stephen Vogt_OAK","Ryan LaMarre_OAK","Chad Pinder_OAK","Cristhian Adames_COL","Jordan Patterson_COL","Brendan Rodgers_COL","Carson Kelly_STL","JP Crawford_PHI","Rickie Weeks_TB","Josh Phegley_OAK","Mark Canha_OAK","Curt Casali_TB","Daniel Robertson_TB","Bruce Maxwell_OAK","Ryan Hanigan_COL","Eric Fryer_STL","Brock Stassi_PHI","Jorge Alfaro_PHI","Roman Quinn_PHI","Jesus Sucre_TB","Jaycob Brugman_OAK","Willy Adames_TB","Andres Blanco_PHI","Nick Williams_PHI","Renato Nunez_OAK","Mark Zagunis_CHC","Eloy Jimenez_CHC","Chad Huffman_STL","Cameron Rupp_PHI","Scott Kingery_PHI","Michael Martinez_TB","Joey Wendle_OAK","Franklin Barreto_OAK","Casey Gillaspie_TB","Matt Chapman_OAK","Ty Kelly_PHI","Adam Rosales_OAK","Shane Peterson_TB","Jaff Decker_OAK","Matt Olson_OAK"
8.78188775510204,1.28613945578231,0,15.688689217759,0,0,0,0,0,0,0,0,3.02461538461538,7.3672525439408,0,0,0,0,0,0,44.3187755102041,0,4.23412698412698,0,0,0,0,0,0,0,7.46461538461538,0,0,0,0,0,0,0,13.1666666666667,0,0,-7.66666666666667,0,0,0,0,0,0,0,0,0,0,-2.86363636363636,0,0,0,0,0,0,0,0,0,6.87192118226601,0,0,0,0,0,25.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8.34009009009009,0,-0.390013495276653,0,0,0,0,0,0,20.6666666666667,0,0,0,0,0,0,-9.19871794871795,0,0,86.1923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.14814814814815,0,0,0,0,0,0,0,-10.0643274853801,0,0,0,0,0,0,2.57230769230769,3.33333333333333,0,-15.0634408602151,0,0,10.4166666666667,-8.33333333333333,-13.4854497354497,0,0,0,0,0,0,0,0,0,0,-0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.36923076923077,9,0,6.44444444444444,0,0,0,0,0,0,0,0,7.27205882352941,1.20199146514936,0,0,0,0,0,0,4.23412698412698,0,35.6439024390244,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,25.5,0,0,-10.25,0,0,0,0,0,0,0,0,0,0,-5.37179487179487,0,0,0,0,0,0,0,0,0,2.61775362318841,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.95591397849462,8.31585365853659,0,0,-15.4994192799071,0,0,0,44.2159183673469,0,0,0,11.7246376811594,5.94474153297683,0,0,4.49418604651163,18.0253699788584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2909090909091,-1.34576612903226,0,0,0,-0.777777777777778,0,0,0,0,0,21.625,0,0,0,9.93939393939394,-11.6904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,16.0588235294118,0,0,0,0,12.0238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,52.2855414398064,9.10313725490196,9.90454545454545,0,0,0,0,0,0,0,4.06451612903226,0,-11.8614718614719,0,0,0,0,0,0,0,0,0,-5.75326560232221,0,-31.25,0,0,0,0,0,0,2.37820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8974358974359,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8201581027668,0,0,0,0.864114114114114,0,0,0,0,0,0,-3.85947712418301,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,7.45833333333333,0,0
0,0,0,0,0,13.1444444444444,0,0,0,0,9.33056478405316,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10313725490196,70.3867924528302,13.6734693877551,0,0,0,0,0,0,0,22.8165024630542,0,0.709558823529412,0,0,0,0,0,0,0,0,0,10.4187925170068,0,119.071428571429,0,0,0,0,0,0,-9.29285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71794871794872,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05263157894737,0,0,0,3.57899159663866,0,0,0,0,0,0,42.6139705882353,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,5.10714285714286,0,0
0,0,0,0,0,-0.510204081632653,0,0,0,0,2.69946808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,9.90454545454545,13.6734693877551,49.4235588972431,0,0,0,0,0,0,0,10.1088709677419,0,1.20238095238095,0,0,0,0,0,0,0,0,0,3.25,0,-19.8333333333333,0,0,0,0,0,0,4.59573170731707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7628205128205,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46320346320346,0,0,0,-1.31456456456456,0,0,0,0,0,0,1.80833333333333,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10.3035714285714,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57777777777778,10.5177865612648,0,0,1.55263157894737,0,0,0,11.7246376811594,0,0,0,88.4015384615385,-6.78030303030303,0,0,-2.78656126482213,-14.1159420289855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.6666666666667,4.66666666666667,0,0,0,3.75555555555556,0,0,0,0,0,-0.8,0,0,0,24.3666666666667,-2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.68577075098814,-11.5,0,0,-2.4758064516129,0,0,0,5.94474153297683,0,0,0,-6.78030303030303,42.3400809716599,0,0,3.62689075630252,13.9428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35454545454546,1.90344827586207,0,0,0,0,0,0,0,0,0,6.38095238095238,0,0,0,-10.8888888888889,-19.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12.4423897581792,9.14761904761905,-2.71621621621622,0,0,0,0,0,0,0,0,-6.76386913229018,0,0,0,0,0,0,0,0,0,0,0,54.1128205128205,0,0,0,-17.004329004329,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67518939393939,0,11.3077651515152,0,1.77564102564103,0,0,0,0,0,0,3.16071428571429,34.3777777777778,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8005698005698,0,10.8333333333333,0
