"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09"
"Peter Bourjos_TB",NA,NA,2,NA,NA,11,NA,NA
"Shawn O'Malley_SEA",NA,NA,NA,NA,NA,NA,NA,NA
"Socrates Brito_ARI",NA,NA,NA,NA,NA,NA,NA,NA
"Carlos Ruiz_SEA",NA,NA,NA,NA,4,NA,NA,12
"Gorkys Hernandez_SF",NA,NA,20,0,0,NA,NA,NA
"Raul Mondesi_KC",NA,0,NA,NA,NA,13,NA,2
"Matt Joyce_OAK",NA,NA,0,3,NA,21,4,NA
"Jake Marisnick_HOU",NA,NA,NA,0,0,NA,5,NA
"Aaron Hill_SF",NA,NA,NA,NA,16,NA,NA,3
"Conor Gillaspie_SF",NA,NA,NA,NA,NA,NA,NA,NA
"Adam Rosales_OAK",NA,NA,NA,NA,NA,NA,NA,5
"Jesus Sucre_TB",NA,NA,NA,NA,0,NA,NA,21
"Chris Iannetta_ARI",NA,NA,NA,5,NA,2,NA,NA
"Chris Marrero_SF",NA,NA,2,NA,0,NA,NA,5
"Andrew Romine_DET",NA,NA,NA,NA,NA,NA,NA,12
"Rickie Weeks_TB",NA,NA,0,NA,NA,12,NA,NA
"Daniel Descalso_ARI",NA,NA,NA,NA,3,NA,NA,10
"Drew Butera_KC",NA,NA,NA,NA,NA,NA,0,NA
"Nick Ahmed_ARI",NA,NA,NA,7,NA,5,NA,NA
"Jeff Mathis_ARI",18,NA,0,NA,4,NA,5,NA
