Corey Seager_LAD,Wil Myers_SD,Buster Posey_SF,Maikel Franco_PHI,Hunter Pence_SF,Adrian Gonzalez_LAD,Justin Turner_LAD,Odubel Herrera_PHI,Logan Forsythe_LAD,Yasiel Puig_LAD,Brandon Belt_SF,Eduardo Nunez_SF,Tommy Joseph_PHI,Joc Pederson_LAD,Joe Panik_SF,Denard Span_SF,Cesar Hernandez_PHI,Michael Saunders_PHI,Brandon Crawford_SF,Yasmani Grandal_LAD,Chase Utley_LAD,Franklin Gutierrez_LAD,Aaron Altherr_PHI,Aaron Hill_SF,Freddy Galvis_PHI,Kike Hernandez_LAD,Howie Kendrick_PHI,Ryan Schimpf_SD,Cody Bellinger_LAD,Rhys Hoskins_PHI,Chris Taylor_LAD,Yangervis Solarte_SD,Christian Arroyo_SF,Jarrett Parker_SF,Cameron Rupp_PHI,Daniel Nava_PHI,Trayce Thompson_LAD,Nick Hundley_SF,Alex Dickerson_SD,Hunter Renfroe_SD,Manuel Margot_SD,Andrew Knapp_PHI,Austin Barnes_LAD,Andrew Toles_LAD,Cory Spangenberg_SD,Mac Williamson_SF,Rob Segedin_LAD,Kelby Tomlinson_SF,Andre Ethier_LAD,Travis Jankowski_SD,Scott Van Slyke_LAD,Brock Stassi_PHI,Gorkys Hernandez_SF,Andres Blanco_PHI,Conor Gillaspie_SF,Christian Bethancourt_SD,Austin Hedges_SD,Drew Stubbs_SF,Michael Morse_SF,Erick Aybar_SD,Ty Kelly_PHI,Tim Federowicz_SF,Luis Sardinas_SD,Allen Cordoba_SD,Jabari Blash_SD,Hector Sanchez_SD,Brett Eibner_LAD,Luis Torrens_SD,Chris Marrero_SF
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.55714285714284,-14.435019841269842,0.0,0.0,6.892156862745099,0.0,0.0,0.0,1.1111111111111114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3888888888888875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.435019841269842,24.526143790849677,0.0,0.0,11.019943019943021,0.0,0.0,0.0,3.9540740740740734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08465608465608468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.155263157894744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.767647058823535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.77777777777778,0.0,0.0,0.0,0.0,0.0,-11.192982456140351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.492592592592594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.892156862745099,11.019943019943021,0.0,0.0,95.91176470588232,0.0,0.0,0.0,20.784313725490197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.753086419753089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,18.232804232804234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.16190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.82251082251085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.72727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.827516233766234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111114,3.9540740740740734,0.0,0.0,20.784313725490197,0.0,0.0,0.0,38.56842105263157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.563888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.192982456140351,0.0,0.0,0.0,0.0,0.0,86.17543859649125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.395321637426902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
