"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd"
"RB","Theo Riddick (7688580)","Theo Riddick",7688580,4900,"Det@Min 01:00PM ET","Det","Theo","Riddick","Min",14.06,14.8,4,0.152542372881356,13.6333305332829,13.3892583205591,1
"WR","Allen Hurns (7688705)","Allen Hurns",7688705,4900,"Jax@KC 01:00PM ET","Jax","Allen","Hurns","KC",11.93,11.4,2,0.18936877076412,10.8951086067918,10.7233756691796,0
"WR","DeVante Parker (7688696)","DeVante Parker",7688696,4800,"NYJ@Mia 01:00PM ET","Mia","DeVante","Parker","NYJ",10.6,15.1,2,0.166666666666667,12.5691100107638,12.2647030923935,0
"RB","Mark Ingram (7688632)","Mark Ingram",7688632,4800,"NO@SF 04:05PM ET","NO","Mark","Ingram","SF",12.95,16.3,6,0.0814332247557003,14.1076505425977,13.8013494801708,1
"WR","Golden Tate (7688673)","Golden Tate",7688673,4700,"Det@Min 01:00PM ET","Det","Golden","Tate","Min",10.93,14.9,2,0.227118644067797,12.5710166274251,12.2775986080698,1
"RB","Terrance West (7688623)","Terrance West",7688623,4700,"Pit@Bal 01:00PM ET","Bal","Terrance","West","Pit",11.99,13.4,7,0.0557377049180328,12.0787984630086,11.8468698100996,0
"WR","Sterling Shepard (7688689)","Sterling Shepard",7688689,4600,"Phi@NYG 01:00PM ET","NYG","Sterling","Shepard","Phi",10.8,11.5,2,0.172661870503597,10.5487209049995,10.357221491025,1
"RB","Alfred Morris (7688609)","Alfred Morris",7688609,4600,"Dal@Cle 01:00PM ET","Dal","Alfred","Morris","Cle",4,5.4,9,0.0131578947368421,4.56982499738729,4.46405930087244,0
"TE","Delanie Walker (7688865)","Delanie Walker",7688865,4600,"Ten@SD 04:25PM ET","Ten","Delanie","Walker","SD",12.88,13.9,2,0.169230769230769,12.6879386413415,12.4539020166011,1
"WR","Corey Coleman (7688722)","Corey Coleman",7688722,4500,"Dal@Cle 01:00PM ET","Cle","Corey","Coleman","Dal",9.96,10.4,7,0.04,9.60881526073978,9.4384882304149,1
"RB","DeAngelo Williams (7688618)","DeAngelo Williams",7688618,4500,"Pit@Bal 01:00PM ET","Pit","DeAngelo","Williams","Bal",4.8,3.5,5,0.0833333333333333,3.75209401242331,3.71618898846082,1
"RB","Frank Gore (7688645)","Frank Gore",7688645,4500,"Ind@GB 04:25PM ET","Ind","Frank","Gore","GB",12.12,11.7,3,0.0953846153846154,11.1374534066922,10.9593680411749,1
"RB","Charcandrick West (7688607)","Charcandrick West",7688607,4400,"Jax@KC 01:00PM ET","KC","Charcandrick","West","Jax",17.16,17.1,6,0.0703125,16.0795600301936,15.8110902199014,0
"WR","Kenny Britt (7688750)","Kenny Britt",7688750,4400,"Car@LA 04:05PM ET","LA","Kenny","Britt","Car",12.73,12.3,2,0.218487394957983,11.7044745199607,11.517085921614,1
"WR","Kendall Wright (7688778)","Kendall Wright",7688778,4400,"Ten@SD 04:25PM ET","Ten","Kendall","Wright","SD",9.37,9.7,6,0.0846153846153846,8.99084280600724,8.83316895657466,0
"RB","Matt Asiata (7688578)","Matt Asiata",7688578,4300,"Det@Min 01:00PM ET","Min","Matt","Asiata","Det",7.85,10.2,5,0.0867768595041322,8.73729190844119,8.54186699420278,0
"WR","Sammie Coates (7688733)","Sammie Coates",7688733,4300,"Pit@Bal 01:00PM ET","Pit","Sammie","Coates","Bal",10.4,8.8,3,0.123188405797101,8.83654936955825,8.72159626805653,0
"WR","Tavon Austin (7688753)","Tavon Austin",7688753,4200,"Car@LA 04:05PM ET","LA","Tavon","Austin","Car",12.37,14.7,1,0.264705882352941,12.9702622873428,12.7042496953017,1
"RB","James Starks (7688646)","James Starks",7688646,4200,"Ind@GB 04:25PM ET","GB","James","Starks","Ind",0,0,8,0.0346020761245675,0,0,0
"RB","Ryan Mathews (7688589)","Ryan Mathews",7688589,4100,"Phi@NYG 01:00PM ET","Phi","Ryan","Mathews","NYG",8.92,6.1,8,0.036036036036036,6.73777768392163,6.68339805654733,1
"RB","Bilal Powell (7688595)","Bilal Powell",7688595,4100,"NYJ@Mia 01:00PM ET","NYJ","Bilal","Powell","Mia",8.9,10.7,3,0.126315789473684,9.40370618309931,9.208539643451,1
"WR","Torrey Smith (7688737)","Torrey Smith",7688737,4100,"NO@SF 04:05PM ET","SF","Torrey","Smith","NO",9.64,11.9,3,0.147619047619048,10.3659261206605,10.1450540760889,0
"RB","Jerick McKinnon (7688583)","Jerick McKinnon",7688583,4000,"Det@Min 01:00PM ET","Min","Jerick","McKinnon","Det",9.42,10.8,7,0.0578512396694215,9.64795759966109,9.45742753112253,0
"TE","Kyle Rudolph (7688799)","Kyle Rudolph",7688799,4000,"Det@Min 01:00PM ET","Min","Kyle","Rudolph","Det",15.41,10.3,1,0.235537190082645,11.5016035633135,11.4149343627325,1
"RB","Duke Johnson Jr. (7688615)","Duke Johnson",7688615,4000,"Dal@Cle 01:00PM ET","Cle","Duke","Johnson","Dal",10.74,12.6,3,0.16,11.1664597574297,10.9404772611844,1
"RB","Tim Hightower (7688627)","Tim Hightower",7688627,4000,"NO@SF 04:05PM ET","NO","Tim","Hightower","SF",9.02,9.4,11,0.0162866449511401,8.69122390978154,8.53753614183258,0
"WR","Jeremy Kerley (7688738)","Jeremy Kerley",7688738,4000,"NO@SF 04:05PM ET","SF","Jeremy","Kerley","NO",9.58,10.8,1,0.276190476190476,9.70523169598633,9.51706797386931,0
"RB","Latavius Murray (7688662)","Latavius Murray",7688662,4000,"Den@Oak 08:30PM ET","Oak","Latavius","Murray","Den",12.24,12.5,5,0.0712166172106825,11.6452938069741,11.444549963191,1
"RB","Darren Sproles (7688586)","Darren Sproles",7688586,3900,"Phi@NYG 01:00PM ET","Phi","Darren","Sproles","NYG",12.82,13.7,4,0.126126126126126,12.5502396482101,12.321423953082,0
"RB","Rashad Jennings (7688587)","Rashad Jennings",7688587,3900,"Phi@NYG 01:00PM ET","NYG","Rashad","Jennings","Phi",10.35,10.2,8,0.039568345323741,9.63219966352306,9.47374891212116,0
"WR","Kenny Stills (7688693)","Kenny Stills",7688693,3900,"NYJ@Mia 01:00PM ET","Mia","Kenny","Stills","NYJ",9.6,9.1,3,0.152380952380952,8.72451069844629,8.58856340055614,0
"RB","Isaiah Crowell (7688613)","Isaiah Crowell",7688613,3900,"Dal@Cle 01:00PM ET","Cle","Isaiah","Crowell","Dal",10.59,10.5,6,0.0666666666666667,9.89244261852516,9.72837892247483,1
"TE","Gary Barnidge (7688828)","Gary Barnidge",7688828,3900,"Dal@Cle 01:00PM ET","Cle","Gary","Barnidge","Dal",10.52,9.3,2,0.166666666666667,9.17005795932591,9.04160884383911,1
"RB","Mike Davis (7688636)","Mike Davis",7688636,3900,"NO@SF 04:05PM ET","SF","Mike","Davis","NO",6.19,6,11,0.019047619047619,5.70242781186749,5.61072655343595,0
"WR","Ted Ginn Jr. (7688749)","Ted Ginn",7688749,3900,"Car@LA 04:05PM ET","Car","Ted","Ginn","LA",6.8,9,4,0.121673003802281,7.66410340924985,7.48979920374305,0
"WR","Adam Thielen (7688678)","Adam Thielen",7688678,3800,"Det@Min 01:00PM ET","Min","Adam","Thielen","Det",9.64,7.2,3,0.144628099173554,7.63472775593742,7.55740098509733,0
"WR","Victor Cruz (7688680)","Victor Cruz",7688680,3800,"Phi@NYG 01:00PM ET","NYG","Victor","Cruz","Phi",9.16,9.1,3,0.151079136690647,8.56700693355188,8.42455218300251,0
"WR","Brice Butler (7688717)","Brice Butler",7688717,3800,"Dal@Cle 01:00PM ET","Dal","Brice","Butler","Cle",2.9,2,5,0.0964912280701754,2.20030506598989,2.18211199967534,0
