"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed"
"QB","Matt Barkley (7498699)","Matt Barkley",7498699,5000,"Det@Chi 01:00PM ET","Chi","Matt","Barkley","Det",0,0,0,0
"QB","Austin Davis (7498700)","Austin Davis",7498700,5000,"Den@TB 04:05PM ET","Den","Austin","Davis","TB",0,0,0,0
"QB","Mike Glennon (7498701)","Mike Glennon",7498701,5000,"Den@TB 04:05PM ET","TB","Mike","Glennon","Den",0,0,0,0
"QB","Ryan Griffin (7498702)","Ryan Griffin",7498702,5000,"Den@TB 04:05PM ET","TB","Ryan","Griffin","Den",0,0,0,0
"QB","Paxton Lynch (7498705)","Paxton Lynch",7498705,5000,"Den@TB 04:05PM ET","Den","Paxton","Lynch","TB",0,0,0,0
"QB","Drew Stanton (7498707)","Drew Stanton",7498707,5000,"LA@Ari 04:25PM ET","Ari","Drew","Stanton","LA",0,0,0,0
"QB","Case Keenum (7498708)","Case Keenum",7498708,5000,"LA@Ari 04:25PM ET","LA","Case","Keenum","Ari",10.67,11.4,10.31,11.4
"QB","Sean Mannion (7498709)","Sean Mannion",7498709,5000,"LA@Ari 04:25PM ET","LA","Sean","Mannion","Ari",0,0,0,0
"QB","Jared Goff (7498710)","Jared Goff",7498710,5000,"LA@Ari 04:25PM ET","LA","Jared","Goff","Ari",0,0,0,0
"QB","Kellen Clemens (7498712)","Kellen Clemens",7498712,5000,"NO@SD 04:25PM ET","SD","Kellen","Clemens","NO",0,0,0,0
"QB","Luke McCown (7498714)","Luke McCown",7498714,5000,"NO@SD 04:25PM ET","NO","Luke","McCown","SD",0,0,0,0
"QB","Mark Sanchez (7498716)","Mark Sanchez",7498716,5000,"Dal@SF 04:25PM ET","Dal","Mark","Sanchez","SF",0,1.8,0,1.8
"QB","Colin Kaepernick (7498717)","Colin Kaepernick",7498717,5000,"Dal@SF 04:25PM ET","SF","Colin","Kaepernick","Dal",0,1.4,0,1.4
"QB","Christian Ponder (7498718)","Christian Ponder",7498718,5000,"Dal@SF 04:25PM ET","SF","Christian","Ponder","Dal",0,0,0,0
"QB","Blaine Gabbert (7498719)","Blaine Gabbert",7498719,5000,"Dal@SF 04:25PM ET","SF","Blaine","Gabbert","Dal",16.24,16.1,15.11,16.1
"QB","Nick Foles (7498723)","Nick Foles",7498723,5000,"KC@Pit 08:30PM ET","KC","Nick","Foles","Pit",0,0,0,0
"QB","Landry Jones (7498724)","Landry Jones",7498724,5000,"KC@Pit 08:30PM ET","Pit","Landry","Jones","KC",0,0,0,0
"QB","Zach Mettenberger (7498725)","Zach Mettenberger",7498725,5000,"KC@Pit 08:30PM ET","Pit","Zach","Mettenberger","KC",0,0,0,0
"QB","Tyler Bray (7498726)","Tyler Bray",7498726,5000,"KC@Pit 08:30PM ET","KC","Tyler","Bray","Pit",0,0,0,0
"RB","Thomas Rawls (7498747)","Thomas Rawls",7498747,4900,"Sea@NYJ 01:00PM ET","Sea","Thomas","Rawls","NYJ",0,0,0,0
"RB","Latavius Murray (7498771)","Latavius Murray",7498771,4900,"Oak@Bal 01:00PM ET","Oak","Latavius","Murray","Bal",13.06,9.6,11.53,9.6
"WR","Corey Coleman (7498854)","Corey Coleman",7498854,4800,"Cle@Was 01:00PM ET","Cle","Corey","Coleman","Was",0,0,0,0
"RB","Jonathan Stewart (7498762)","Jonathan Stewart",7498762,4800,"Car@Atl 01:00PM ET","Car","Jonathan","Stewart","Atl",0,0,0,0
"RB","Jeremy Langford (7498781)","Jeremy Langford",7498781,4800,"Det@Chi 01:00PM ET","Chi","Jeremy","Langford","Det",0,0,0,0
"TE","Travis Kelce (7499044)","Travis Kelce",7499044,4800,"KC@Pit 08:30PM ET","KC","Travis","Kelce","Pit",15.25,14.7,12.25,14.7
"TE","Antonio Gates (7499029)","Antonio Gates",7499029,4600,"NO@SD 04:25PM ET","SD","Antonio","Gates","NO",0,0,0,0
"RB","Tevin Coleman (7498766)","Tevin Coleman",7498766,4500,"Car@Atl 01:00PM ET","Atl","Tevin","Coleman","Car",10.53,10.2,11.27,10.2
"WR","Steve Smith Sr. (7498890)","Steve Smith",7498890,4500,"Oak@Bal 01:00PM ET","Bal","Steve","Smith","Oak",13.13,15.3,11.6,15.3
"TE","Jason Witten (7499036)","Jason Witten",7499036,4500,"Dal@SF 04:25PM ET","Dal","Jason","Witten","SF",10.6,10.4,9.69,10.4
"RB","Isaiah Crowell (7498739)","Isaiah Crowell",7498739,4400,"Cle@Was 01:00PM ET","Cle","Isaiah","Crowell","Was",11.22,11.7,11.27,11.7
"WR","Quincy Enunwa (7498860)","Quincy Enunwa",7498860,4400,"Sea@NYJ 01:00PM ET","NYJ","Quincy","Enunwa","Sea",11.44,9.8,10.28,9.8
"WR","Tyrell Williams (7498942)","Tyrell Williams",7498942,4400,"NO@SD 04:25PM ET","SD","Tyrell","Williams","NO",17.23,12.7,14.3,12.7
"RB","Matt Jones (7498742)","Matt Jones",7498742,4300,"Cle@Was 01:00PM ET","Was","Matt","Jones","Cle",13.64,12.3,12.08,12.3
"WR","Terrelle Pryor Sr. (7498847)","Terrelle Pryor",7498847,4300,"Cle@Was 01:00PM ET","Cle","Terrelle","Pryor","Was",18.27,13.9,13.53,13.9
"WR","John Brown (7498928)","John Brown",7498928,4300,"LA@Ari 04:25PM ET","Ari","John","Brown","LA",10.49,13.2,10.33,13.2
"WR","Jamison Crowder (7498851)","Jamison Crowder",7498851,4200,"Cle@Was 01:00PM ET","Was","Jamison","Crowder","Cle",11.71,10.7,11.04,10.7
"WR","Anquan Boldin (7498901)","Anquan Boldin",7498901,4200,"Det@Chi 01:00PM ET","Det","Anquan","Boldin","Chi",10.17,9.4,9.19,9.4
"RB","Carlos Hyde (7498817)","Carlos Hyde",7498817,4200,"Dal@SF 04:25PM ET","SF","Carlos","Hyde","Dal",16.31,14.9,13.26,14.9
"WR","Markus Wheaton (7498957)","Markus Wheaton",7498957,4100,"KC@Pit 08:30PM ET","Pit","Markus","Wheaton","KC",7.95,10.7,8.43,10.7
"RB","Duke Johnson Jr. (7498741)","Duke Johnson",7498741,4000,"Cle@Was 01:00PM ET","Cle","Duke","Johnson","Was",10.29,11.9,10.57,9.27479733392602
"WR","Pierre Garcon (7498846)","Pierre Garcon",7498846,4000,"Cle@Was 01:00PM ET","Was","Pierre","Garcon","Cle",10.9,11.3,9.39,10.1821764337557
"TE","Jimmy Graham (7498980)","Jimmy Graham",7498980,4000,"Sea@NYJ 01:00PM ET","Sea","Jimmy","Graham","NYJ",13.73,10.3,9.45,4.22871057823057
"WR","Tavon Austin (7498929)","Tavon Austin",7498929,4000,"LA@Ari 04:25PM ET","LA","Tavon","Austin","Ari",10.17,11,10.7,20.8922287095196
"WR","Tyler Lockett (7498864)","Tyler Lockett",7498864,3900,"Sea@NYJ 01:00PM ET","Sea","Tyler","Lockett","NYJ",9.4,11.4,10.46,13.4280587521819
"RB","Fozzy Whittaker (7498763)","Fozzy Whittaker",7498763,3900,"Car@Atl 01:00PM ET","Car","Fozzy","Whittaker","Atl",8.61,6.5,7.97,0.169597277434123
"TE","Dennis Pitta (7499000)","Dennis Pitta",7499000,3900,"Oak@Bal 01:00PM ET","Bal","Dennis","Pitta","Oak",14.2,11.4,11.85,17.6866430162065
"WR","Kenny Britt (7498924)","Kenny Britt",7498924,3900,"LA@Ari 04:25PM ET","LA","Kenny","Britt","Ari",9.47,7.2,8.77,10.0694366346083
"RB","Alfred Morris (7498814)","Alfred Morris",7498814,3900,"Dal@SF 04:25PM ET","Dal","Alfred","Morris","SF",3.35,4.3,4.96,1.72705457433817
"WR","Torrey Smith (7498945)","Torrey Smith",7498945,3900,"Dal@SF 04:25PM ET","SF","Torrey","Smith","Dal",9.87,12,10.87,10.817998617299
"WR","Cole Beasley (7498949)","Cole Beasley",7498949,3900,"Dal@SF 04:25PM ET","Dal","Cole","Beasley","SF",13.28,13,10.48,13.6096684657258
"RB","Justin Forsett (7498768)","Justin Forsett",7498768,3800,"Oak@Bal 01:00PM ET","Bal","Justin","Forsett","Oak",0,3.8,0,6.19087082749946
"RB","Dwayne Washington (7498785)","Dwayne Washington",7498785,3800,"Det@Chi 01:00PM ET","Det","Dwayne","Washington","Chi",8.98,8,9.96,8.57136134976553
"WR","Michael Thomas (7498943)","Michael Thomas",7498943,3800,"NO@SD 04:25PM ET","NO","Michael","Thomas","SD",9.04,10.7,11.04,10.2000043073174
"WR","Chris Hogan (7498875)","Chris Hogan",7498875,3700,"Buf@NE 01:00PM ET","NE","Chris","Hogan","Buf",8.55,6.8,7.47,0
"WR","Ted Ginn Jr. (7498879)","Ted Ginn",7498879,3700,"Car@Atl 01:00PM ET","Car","Ted","Ginn","Atl",8.22,9.3,7.57,7.55093818292135
"RB","Jordan Howard (7498786)","Jordan Howard",7498786,3700,"Det@Chi 01:00PM ET","Chi","Jordan","Howard","Det",12.38,14.2,12.28,14.2
"TE","Eric Ebron (7499011)","Eric Ebron",7499011,3700,"Det@Chi 01:00PM ET","Det","Eric","Ebron","Chi",12.87,10.3,10.84,10.0129482234785
"TE","Gary Barnidge (7498974)","Gary Barnidge",7498974,3600,"Cle@Was 01:00PM ET","Cle","Gary","Barnidge","Was",9.94,8.9,11.2,6.31291217200411
"RB","James White (7498758)","James White",7498758,3600,"Buf@NE 01:00PM ET","NE","James","White","Buf",7.93,10.2,8.49,10.2744348242279
"WR","Danny Amendola (7498868)","Danny Amendola",7498868,3600,"Buf@NE 01:00PM ET","NE","Danny","Amendola","Buf",7.95,6.2,4.96,13.3418421857054
"WR","Devin Funchess (7498888)","Devin Funchess",7498888,3600,"Car@Atl 01:00PM ET","Car","Devin","Funchess","Atl",6.49,3.8,6.99,6.97936828261262
"WR","Sammie Coates (7498960)","Sammie Coates",7498960,3600,"KC@Pit 08:30PM ET","Pit","Sammie","Coates","KC",9.5,6.1,6.88,0.485215292458476
"RB","Derrick Henry (7498735)","Derrick Henry",7498735,3500,"Ten@Hou 01:00PM ET","Ten","Derrick","Henry","Hou",6.74,6.6,6.69,6.23140029130691
"TE","Martellus Bennett (7498987)","Martellus Bennett",7498987,3500,"Buf@NE 01:00PM ET","NE","Martellus","Bennett","Buf",5.55,7.8,8.23,6.04235069631382
"WR","Seth Roberts (7498899)","Seth Roberts",7498899,3500,"Oak@Bal 01:00PM ET","Oak","Seth","Roberts","Bal",7.56,6.4,6.58,6.71700006831722
"WR","Eddie Royal (7498902)","Eddie Royal",7498902,3500,"Det@Chi 01:00PM ET","Chi","Eddie","Royal","Det",7.39,9.5,9.22,9.5
"RB","Dexter McCluster (7498805)","Dexter McCluster",7498805,3500,"NO@SD 04:25PM ET","SD","Dexter","McCluster","NO",6.4,3,7.14,3
"WR","Eli Rogers (7498961)","Eli Rogers",7498961,3500,"KC@Pit 08:30PM ET","Pit","Eli","Rogers","KC",0,0,0,3.18179800979953
"RB","Chris Thompson (7498736)","Chris Thompson",7498736,3400,"Cle@Was 01:00PM ET","Was","Chris","Thompson","Cle",7.65,8.5,8.9,9.47907976538073
"RB","Rob Kelley (7498738)","Rob Kelley",7498738,3400,"Cle@Was 01:00PM ET","Was","Rob","Kelley","Cle",0,2.1,0,2.1
"WR","Robert Woods (7498874)","Robert Woods",7498874,3400,"Buf@NE 01:00PM ET","Buf","Robert","Woods","NE",9.65,10.1,8.13,10.1
"RB","Cameron Artis-Payne (7498767)","Cameron Artis-Payne",7498767,3400,"Car@Atl 01:00PM ET","Car","Cameron","Artis-Payne","Atl",9.8,8.3,9.51,13.0046165981444
"TE","Jacob Tamme (7498993)","Jacob Tamme",7498993,3400,"Car@Atl 01:00PM ET","Atl","Jacob","Tamme","Car",10.17,10.5,9.44,14.0316091111213
"RB","Terrance West (7498774)","Terrance West",7498774,3400,"Oak@Bal 01:00PM ET","Bal","Terrance","West","Oak",8.91,9.6,9.58,7.02921652320833
"RB","Jalen Richard (7498778)","Jalen Richard",7498778,3400,"Oak@Bal 01:00PM ET","Oak","Jalen","Richard","Bal",4.25,4,5.91,6.04075486559465
