"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Michael Wacha",NA,"SP",7600,"STL","@ATL","52%",4.14,NA,NA,NA,4.56,"19.8%",4.13,3.95,"R",0.277,0.324,"-1%","2%","0%",17.9,17.9,17.9,12.7,23.1,15.9,2.1,0,0
"Matt Harvey",NA,"SP",7500,"NYM","MIA","54%",4.05,NA,NA,NA,4.46,"22.1%",3.7,3.62,"R",0.277,0.269,"3%","3%","-3%",7.5,9.8,9.8,-2.3,21.8,14.4,1.9,0,0
"Tyler Glasnow",1,"SP",7400,"PIT","MIL","54%",4.06,NA,NA,NA,4.93,"21.7%",4.76,4.92,"R",NA,NA,"1%","3%","-2%",7,7,7,-3.6,17.6,12.6,1.7,0,0
"Trevor Cahill",1,"SP",7400,"SD","LAD","43%",3.75,NA,NA,NA,4.57,"23.0%",3.62,3.62,"R",0.343,0.299,"1%","2%","0%",19.9,19.9,19.9,13.1,26.6,16.2,2.2,0,0
"Mike Fiers",NA,"SP",7200,"HOU","@LAA","46%",4.68,NA,NA,NA,3.9,"21.0%",4.08,4.09,"R",0.307,0.33,"3%","2%","0%",10.3,10.3,10.3,5.6,15,13.6,1.9,0,0
"Zach Davies",NA,"SP",7200,"MIL","@PIT","46%",4.44,NA,NA,NA,3.9,"19.3%",4.17,4.03,"R",0.315,0.323,"2%","4%","-2%",11.8,8.5,8.5,-1.5,18.5,13.3,1.8,0,0
"Jeremy Hellickson",NA,"SP",7100,"PHI","WAS","47%",4.38,NA,NA,NA,6.31,"18.8%",4.22,4.17,"R",0.319,0.32,"3%","6%","0%",12.4,12.1,12.1,2.4,21.7,11.3,1.6,0,0
"R.A. Dickey",NA,"SP",6900,"ATL","STL","48%",4.36,NA,NA,NA,4.29,"15.6%",4.77,4.71,"R",0.316,0.329,"0%","3%","0%",13,13,13,8.3,17.7,13.9,2,0,0
"Scott Feldman",NA,"SP",6800,"CIN","SF","46%",4.44,NA,NA,NA,3.43,"15.6%",4.34,4.15,"R",0.31,0.328,"0%","3%","-1%",11.4,11.4,11.4,0.9,21.9,13,1.9,0,0
"Andrew Cashner",NA,"SP",6600,"TEX","@SEA","",NA,NA,NA,NA,4.77,"19.5%",4.41,4.26,"R",0.342,0.304,"14%","2%","0%",8.4,8.4,8.4,3.4,13.4,10.1,1.5,0,0
"Taijuan Walker",NA,"SP",5900,"ARI","@COL","47%",5.93,NA,NA,NA,4.6,"22.0%",3.83,3.97,"R",0.31,0.315,"-15%","-2%","0%",17.8,17.9,17.9,6.5,29.4,12.8,2.2,0,0
"Tyler Chatwood",NA,"SP",5500,"COL","ARI","53%",5.57,NA,NA,NA,5.03,"17.4%",4.56,4.29,"R",0.313,0.334,"-12%","-2%","0%",12.6,12.3,12.3,0.4,24.1,11.1,2,0,0
"Jose Urena",NA,"SP",5000,"MIA","@NYM","46%",4.45,NA,NA,NA,5.04,"13.2%",4.87,4.9,"R",0.353,0.338,"4%","4%","-3%",0,0,0,0,0,12.4,2.5,0,0
"Mike Clevinger",NA,"SP",4900,"CLE","@KC","49%",4.29,NA,NA,NA,2.89,"21.5%",4.77,4.82,"R",NA,NA,"-1%","0%","0%",0,0,0,0,0,16.1,3.3,0,0
"Joe Biagini",NA,"SP",4800,"TOR","@TB","43%",4.32,NA,NA,NA,4.29,"20.7%",3.39,3.68,"R",0.294,0.281,"5%","0%","0%",0,0,0,0,0,14.8,3.1,0,0
