"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Michael Wacha",NA,"SP",6800,"STL","TOR","56%",3.48,NA,NA,NA,NA,"19.7%",4.14,3.95,"R",0.277,0.326,"1%","1%","0%",20.5,20.5,20.5,16.3,24.7,15.4,2.3,0,0
"Zach Davies",NA,"SP",6600,"MIL","CIN","54%",4.29,NA,NA,NA,NA,"19.1%",4.18,4.02,"R",0.32,0.32,"-1%","4%","1%",5.2,5.2,5.2,-3.8,14.2,14,2.1,0,0
"Jordan Zimmermann",NA,"SP",6400,"DET","SEA","48%",4.36,NA,NA,NA,NA,"17.7%",4.23,4.26,"R",0.312,0.294,"0%","2%","0%",8,8,8,-0.8,16.8,12.2,1.9,0,0
"Josh Tomlin",NA,"SP",6300,"CLE","HOU","47%",4.14,NA,NA,NA,NA,"17.7%",4.05,4.02,"R",0.28,0.362,"-4%","2%","0%",0.2,0.2,0.2,-13.9,14.4,11,1.7,0,0
"Scott Feldman",NA,"SP",6000,"CIN","@MIL","46%",4.71,NA,NA,NA,NA,"15.5%",4.29,4.11,"R",0.31,0.327,"-1%","5%","1%",16.2,16.2,16.2,7.8,24.6,12.9,2.1,0,0
"Ty Blach",NA,"RP",5600,"SF","LAD","34%",3.85,NA,NA,NA,NA,"",NA,NA,"L",NA,NA,"1%","2%","0%",0,0,0,0,0,12,2.1,0,0
"Jesse Hahn",NA,"SP",5500,"OAK","@LAA","44%",4.52,NA,NA,NA,NA,"14.7%",4.48,4.26,"R",0.332,0.263,"3%","2%","0%",18.3,18.3,18.3,16,20.6,11.6,2.1,0,0
"Andrew Cashner",NA,"SP",5400,"TEX","MIN","49%",4.53,NA,NA,NA,NA,"19.6%",4.35,4.21,"R",0.341,0.301,"-5%","0%","0%",10.3,10.3,10.3,3.1,17.4,9,1.7,0,0
"Joe Ross",NA,"SP",5300,"WAS","@COL","53%",5.59,NA,NA,NA,NA,"21.5%",3.86,3.72,"R",0.355,0.237,"-18%","8%","1%",23.6,23.6,23.6,23.6,23.6,13.4,2.5,0,0
"Clayton Richard",NA,"SP",5100,"SD","@ARI","43%",5.13,NA,NA,NA,NA,"13.6%",3.86,3.85,"L",0.269,0.349,"-11%","2%","0%",16.3,16.3,16.3,2.9,29.6,11.2,2.2,0,0
"Patrick Corbin",NA,"SP",5000,"ARI","SD","56%",4.37,NA,NA,NA,NA,"19.4%",4.08,3.94,"L",0.277,0.355,"-3%","1%","0%",11.9,11.9,11.9,2.2,21.6,12.9,2.6,0,0
"Erasmo Ramirez",NA,"SP",4400,"TB","@BAL","42%",4.35,NA,NA,NA,NA,"18.1%",3.94,4.03,"R",0.314,0.322,"-2%","3%","0%",22.1,22.1,22.1,22.1,22.1,13.9,3.2,0,0
"Dylan Covey",NA,"SP",4300,"CWS","KC","44%",4,NA,NA,NA,NA,"",NA,NA,"R",NA,NA,"2%","3%","0%",-1.4,-1.4,-1.4,-13.5,10.8,8.8,2,0,0
"German Marquez",NA,"SP",4200,"COL","WAS","47%",5.91,NA,NA,NA,NA,"",NA,NA,"R",NA,NA,"-10%","8%","1%",0,0,0,0,0,13.3,3.2,0,0
"J.C. Ramirez",1,"SP",4200,"LAA","OAK","56%",3.98,NA,NA,NA,NA,"17.8%",3.97,4.24,"R",0.314,0.339,"2%","2%","0%",11.7,11.7,11.7,0.3,23.1,13.6,3.2,0,0
