Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Ubaldo Jimenez,1,SP,6600,BAL,NYY,50%,4.27,4,0.321,20.4%,3.00,20.5%,4.29,4.19,R,0.327,0.317,0%,7%,0%,0.0,0.0,0.0,0.0,0.0,13.2,2.0,5.0,0.8
Phil Hughes,,SP,6500,MIN,@CWS,48%,4.34,3.5,0.309,24.0%,7.00,14.1%,4.57,4.52,R,0.325,0.340,4%,7%,0%,0.0,0.0,0.0,0.0,0.0,14.8,2.3,18.5,2.8
Brett Anderson,5,SP,6400,CHC,@MIL,63%,3.87,4,0.307,27.4%,4.25,14.9%,3.59,3.60,L,0.333,0.325,-2%,5%,0%,0.0,0.0,0.0,0.0,0.0,16.3,2.5,15.2,2.4
Shelby Miller,3,SP,6300,ARI,CLE,44%,5.34,4,0.322,20.6%,7.00,18.3%,4.49,4.40,R,0.336,0.293,-3%,-1%,0%,0.0,0.0,0.0,0.0,0.0,13.3,2.1,19.2,3.0
A.J. Griffin,,SP,6100,TEX,OAK,57%,4.31,4,0.318,19.5%,3.75,21.0%,4.63,5.01,R,0.333,0.304,-3%,4%,0%,0.0,0.0,0.0,0.0,0.0,12.1,2.0,3.3,0.5
Jason Vargas,,SP,6000,KC,@HOU,41%,4.69,4,0.336,16.4%,3.00,16.5%,4.54,4.64,L,0.326,0.313,8%,1%,-2%,0.0,0.0,0.0,0.0,0.0,10.0,1.7,23.3,3.9
Luis Severino,0,SP,5800,NYY,@BAL,50%,4.23,4.5,0.338,21.1%,3.00,21.5%,3.97,3.89,R,0.319,0.342,0%,6%,0%,0.0,0.0,0.0,0.0,0.0,15.3,2.6,11.1,1.9
Hyun-Jin Ryu,,SP,5700,LAD,@COL,57%,5.67,,0.302,23.0%,4.00,,,,L,0.311,0.297,-21%,0%,0%,0.0,0.0,0.0,0.0,0.0,12.5,2.2,12.3,2.2
Derek Holland,2,SP,5600,CWS,MIN,52%,4.16,4,0.334,24.0%,7.00,15.3%,4.87,4.89,L,0.291,0.337,1%,7%,0%,0.0,0.0,0.0,0.0,0.0,13.9,2.5,15.9,2.8
Matt Cain,0,SP,5500,SF,@SD,49%,4.32,4,0.295,22.5%,2.50,16.9%,4.71,4.86,R,0.335,0.339,2%,1%,0%,0.0,0.0,0.0,0.0,0.0,13.5,2.5,2.4,0.4
Amir Garrett,1,SP,5500,CIN,@STL,39%,4.49,,0.324,21.1%,3.00,,,,L,,,3%,6%,0%,0.0,0.0,0.0,0.0,0.0,13.8,2.5,23.1,4.2
Luis Perdomo,0,SP,5100,SD,SF,51%,4.18,3.5,0.304,20.5%,5.50,15.9%,4.04,4.00,R,0.366,0.355,2%,1%,0%,0.0,0.0,0.0,0.0,0.0,11.3,2.2,3.2,0.6
Raul Alcantara,,SP,4500,OAK,@TEX,42%,5.19,,0.333,21.7%,4.67,,,,R,,,-13%,5%,0%,0.0,0.0,0.0,0.0,0.0,9.3,2.1,-13.7,-3.0
Kyle Freeland,,SP,4000,COL,LAD,42%,6.83,,0.331,24.7%,6.75,,,,L,,,-15%,-1%,0%,0.0,0.0,0.0,0.0,0.0,8.9,2.2,23.9,6.0
