"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Taijuan Walker",1,"SP",7900,"ARI","SD","",NA,NA,NA,NA,3.29,"21.7%",3.87,4.01,"R",0.309,0.319,"-2%","0%","0%",15,15,15,6.8,23.3,15.4,1.9,0,0
"Dylan Bundy",1,"SP",7800,"BAL","TB","56%",3.7,NA,NA,NA,4.57,"21.7%",4.13,4.4,"R",0.311,0.315,"0%","2%","0%",21.9,21.9,21.9,12.3,31.5,15,1.9,0,0
"Sean Manaea",1,"SP",7600,"OAK","@LAA","43%",4.29,NA,NA,NA,3.48,"21.8%",3.96,3.91,"L",0.233,0.316,"2%","1%","0%",15.7,15.7,15.7,11,20.4,16.3,2.1,0,0
"Luis Severino",NA,"SP",7600,"NYY","@BOS","",NA,NA,NA,NA,4.05,"23.2%",3.69,3.61,"R",0.307,0.334,"-5%","3%","1%",25.1,25.1,25.1,12.8,37.5,16.7,2.2,0,0
"Matt Shoemaker",1,"SP",7500,"LAA","OAK","56%",3.71,NA,NA,NA,4,"21.0%",3.94,4.05,"R",0.31,0.311,"2%","1%","0%",11.5,11.5,11.5,-0.9,23.9,16.2,2.2,0,0
"Alex Wood",NA,"SP",7400,"LAD","@SF","50%",3.48,NA,NA,NA,3.55,"19.6%",3.98,3.75,"L",0.273,0.311,"-1%","1%","0%",9.6,9.6,9.6,9.4,9.8,16,2.2,0,0
"Wei-Yin Chen",NA,"SP",7100,"MIA","@PHI","",NA,NA,NA,NA,4.72,"19.1%",4.06,4.11,"L",0.287,0.336,"1%","2%","0%",13.1,13.1,13.1,-1.3,27.4,13.8,1.9,0,0
"Daniel Norris",NA,"SP",6900,"DET","SEA","46%",4.19,NA,NA,NA,4.5,"20.2%",4.29,4.36,"L",0.328,0.317,"0%","0%","0%",11.5,11.5,11.5,0.8,22.3,13.9,2,0,0
"Wily Peralta",NA,"SP",6800,"MIL","CIN","55%",4.26,NA,NA,NA,4.95,"14.8%",4.66,4.43,"R",0.357,0.32,"-1%","0%","2%",11.3,11.3,11.3,-3.1,25.7,11.1,1.6,0,0
"Alex Cobb",NA,"SP",6400,"TB","@BAL","43%",4.3,NA,NA,NA,4.11,"16.4%",4.13,3.97,"R",0.305,0.298,"-2%","2%","0%",11.9,11.9,11.9,1,22.8,14,2.2,0,0
"Tyler Glasnow",NA,"SP",6300,"PIT","CHC","40%",4.45,NA,NA,NA,5.42,"21.9%",4.54,4.61,"R",NA,NA,"1%","0%","0%",5.1,5.1,5.1,-7.7,17.9,13.8,2.2,0,0
"Tanner Roark",NA,"SP",6000,"WAS","@COL","48%",5.87,NA,NA,NA,4.4,"18.2%",4.24,4.16,"R",0.306,0.277,"-23%","9%","0%",15.2,15.2,15.2,10.7,19.6,11.7,1.9,0,0
"Hector Santiago",NA,"SP",5500,"MIN","@TEX","41%",4.65,NA,NA,NA,4.4,"19.5%",4.74,5.2,"L",0.302,0.324,"-6%","8%","0%",17.3,17.3,17.3,11.3,23.3,12.5,2.3,0,0
"Tyler Chatwood",NA,"SP",5400,"COL","WAS","52%",5.63,NA,NA,NA,5.11,"17.5%",4.53,4.27,"R",0.311,0.327,"-13%","8%","0%",16.4,16.4,16.4,3.6,29.2,12,2.2,0,0
"Rookie Davis",NA,"SP",4400,"CIN","@MIL","45%",4.74,NA,NA,NA,4.86,"",NA,NA,"R",NA,NA,"-1%","0%","2%",6,6,6,1.1,10.8,9.9,2.3,0,0
"Trevor Cahill",NA,"SP",4200,"SD","@ARI","",NA,NA,NA,NA,5.33,"22.6%",3.61,3.63,"R",0.341,0.299,"-11%","0%","0%",19.1,19.1,19.1,15.4,22.8,11.9,2.8,0,0
