"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"1B","Rhys Hoskins",3000,"Was@Phi 01:35PM ET",0,"Phi","Was",NA,0,NA,0,"x","x",NA
"2B/OF","Brock Holt",2900,"Bos@Det 01:10PM ET",5,"Bos","Det",5.42,0,1.48,2.3,"x","x",NA
"C","Geovany Soto",2900,"Min@CWS 02:10PM ET",18,"CWS","Min",NA,0,1.71,2.1,"x","x",NA
"3B","Matt Davidson",2900,"Min@CWS 02:10PM ET",32,"CWS","Min",5.65,0,1.67,1.9,"x","x",NA
"OF","Charlie Tilson",2900,"Min@CWS 02:10PM ET",0,"CWS","Min",NA,0,NA,0,"x","x",NA
"C","Austin Romine",2900,"NYY@Bal 01:35PM ET",0,"NYY","Bal",4.81,6.8,5.68,6.7,"8","8",NA
"OF","Joey Rickard",2900,"NYY@Bal 01:35PM ET",0,"Bal","NYY",6.56,0,1.61,0,"x","x",NA
"2B","Kolten Wong",2900,"Cin@StL 02:15PM ET",3.75,"StL","Cin",5.31,0,1.71,2.5,"x","x",NA
"OF","Patrick Kivlehan",2900,"Cin@StL 02:15PM ET",1.5,"Cin","StL",NA,0,1.5,1.8,"x","x",NA
"OF","Josh Bell",2900,"Atl@Pit 01:35PM ET",3.333,"Pit","Atl",5.84,7.7,7.29,6.3,"2","5",NA
"1B/3B","Marwin Gonzalez",2900,"KC@Hou 02:10PM ET",8.75,"Hou","KC",5.59,6.5,6.67,6.4,"9","8",NA
"3B","Cheslor Cuthbert",2900,"KC@Hou 02:10PM ET",2,"KC","Hou",NA,0,1.5,2,"x","x",NA
"SS","Alcides Escobar",2900,"KC@Hou 02:10PM ET",3.75,"KC","Hou",4.61,5.3,4.99,5.6,"8","8",NA
"C","Cameron Rupp",2900,"Was@Phi 01:35PM ET",2.667,"Phi","Was",5.11,0,1.38,1.9,"x","x",NA
"1B","Mitch Moreland",2800,"Bos@Det 01:10PM ET",3.333,"Bos","Det",NA,5.6,6.63,6.8,"x","5",NA
"3B/SS","Ronald Torreyes",2800,"NYY@Bal 01:35PM ET",4.5,"NYY","Bal",4.96,5.2,5.5,6.9,"9","9",NA
"OF","Jesse Winker",2800,"Cin@StL 02:15PM ET",0,"Cin","StL",NA,0,NA,0,"x","x",NA
"OF","Harrison Bader",2800,"Cin@StL 02:15PM ET",0,"StL","Cin",NA,0,NA,0,"x","x",NA
"C","Francisco Cervelli",2800,"Atl@Pit 01:35PM ET",10,"Pit","Atl",4.8,0,1.68,1.9,"x","x",NA
"C","Tyler Flowers",2800,"Atl@Pit 01:35PM ET",1.5,"Atl","Pit",5.17,4.2,5.33,5.8,"x","7",NA
"1B/3B","David Freese",2800,"Atl@Pit 01:35PM ET",9.667,"Pit","Atl",5.76,0,1.6,0,"x","x",NA
"2B/3B","Jace Peterson",2800,"Atl@Pit 01:35PM ET",0,"Atl","Pit",NA,6,5.19,5.9,"x","8",NA
"2B/OF","Adam Frazier",2800,"Atl@Pit 01:35PM ET",3.333,"Pit","Atl",5.68,7.7,7.56,6.6,"x","1",NA
"SS","Jordy Mercer",2800,"Atl@Pit 01:35PM ET",4.333,"Pit","Atl",4.27,4.7,6.02,5.4,"8","6",NA
"1B","Jake Bauers",2800,"Tor@TB 01:10PM ET",0,"TB","Tor",NA,0,NA,0,"x","x",NA
"2B/SS","Tim Beckham",2800,"Tor@TB 01:10PM ET",3.4,"TB","Tor",5.54,0,1.57,2.3,"x","x",NA
"C","Andrew Susac",2800,"ChC@Mil 02:10PM ET",0,"Mil","ChC",NA,0,NA,0,"x","x",NA
"OF","Kirk Nieuwenhuis",2800,"ChC@Mil 02:10PM ET",2.8,"Mil","ChC",NA,0,1.52,2,"x","x",NA
"3B","Mike Moustakas",2800,"KC@Hou 02:10PM ET",10.25,"KC","Hou",5.83,8.8,7.49,7.1,"2","2",NA
"OF","Paulo Orlando",2800,"KC@Hou 02:10PM ET",3.5,"KC","Hou",4.98,6.3,5.88,6.6,"7","7",NA
"OF","Billy Burns",2800,"KC@Hou 02:10PM ET",0,"KC","Hou",NA,0,NA,0,"x","x",NA
"C","Andrew Knapp",2800,"Was@Phi 01:35PM ET",4,"Phi","Was",NA,5,4.95,5.7,"x","7",NA
"OF","Chris Young",2700,"Bos@Det 01:10PM ET",8,"Bos","Det",6.62,7.9,7.31,8.6,"5","4",NA
"OF/SS","Danny Santana",2700,"Min@CWS 02:10PM ET",3,"Min","CWS",NA,0,NA,2.1,"x","x",NA
"1B/OF","Jose Martinez",2700,"Cin@StL 02:15PM ET",4.5,"StL","Cin",NA,0,1.73,2.1,"x","x",NA
"1B","John Jaso",2700,"Atl@Pit 01:35PM ET",0,"Pit","Atl",NA,0,1.66,2.1,"x","x",NA
"SS","Kevin Newman",2700,"Atl@Pit 01:35PM ET",0,"Pit","Atl",NA,0,NA,0,"x","x",NA
"1B","Justin Smoak",2700,"Tor@TB 01:10PM ET",5.5,"Tor","TB",NA,6.4,6.09,6.9,"x","7",NA
"1B","Rowdy Tellez",2700,"Tor@TB 01:10PM ET",0,"Tor","TB",NA,0,NA,0,"x","x",NA
"OF","Dalton Pompey",2700,"Tor@TB 01:10PM ET",0,"Tor","TB",NA,0,NA,0,"x","x",NA
"1B/OF","Brock Stassi",2700,"Was@Phi 01:35PM ET",2,"Phi","Was",NA,0,1.48,1.8,"x","x",NA
"2B/SS","Stephen Drew",2700,"Was@Phi 01:35PM ET",1.25,"Was","Phi",NA,6.8,5.78,7,"x","7",NA
"C","Alex Avila",2600,"Bos@Det 01:10PM ET",7,"Det","Bos",NA,5.9,5.62,5.3,"x","7",NA
"C","Jason Castro",2600,"Min@CWS 02:10PM ET",12.333,"Min","CWS",NA,5.5,6.12,5,"x","5",NA
"2B/SS","Leury Garcia",2600,"Min@CWS 02:10PM ET",2.5,"CWS","Min",4.55,0,1.81,2.5,"x","x",NA
"3B/SS","Ryan Flaherty",2600,"NYY@Bal 01:35PM ET",0,"Bal","NYY",NA,0,1.58,1.9,"x","x",NA
"C","Eric Fryer",2600,"Cin@StL 02:15PM ET",0,"StL","Cin",NA,0,1.53,1.7,"x","x",NA
"C","Stuart Turner",2600,"Cin@StL 02:15PM ET",2,"Cin","StL",NA,4.8,4.57,5.3,"x","8",NA
"3B/SS","Greg Garcia",2600,"Cin@StL 02:15PM ET",1.333,"StL","Cin",NA,0,1.51,2.2,"x","x",NA
"2B","Micah Johnson",2600,"Atl@Pit 01:35PM ET",0,"Atl","Pit",NA,0,NA,0,"x","x",NA
"3B/SS","Chase d'Arnaud",2600,"Atl@Pit 01:35PM ET",3.5,"Atl","Pit",NA,0,1.53,1.9,"x","x",NA
"C","Jarrod Saltalamacchia",2600,"Tor@TB 01:10PM ET",5,"Tor","TB",NA,0,1.51,2.1,"x","x",NA
"C","Manny Pina",2600,"ChC@Mil 02:10PM ET",3.25,"Mil","ChC",NA,0,NA,1.7,"x","x",NA
"OF","Jake Marisnick",2600,"KC@Hou 02:10PM ET",0,"Hou","KC",5.1,0,NA,2.1,"x","x",NA
"2B/SS","Wilmer Difo",2600,"Was@Phi 01:35PM ET",0,"Was","Phi",4.87,0,1.56,2.6,"x","x",NA
"C","Sandy Leon",2500,"Bos@Det 01:10PM ET",11.333,"Bos","Det",5.33,6,5.39,7.4,"7","7",NA
