"George Springer_HOU","Cody Bellinger_LAD","Jose Altuve_HOU","Carlos Correa_HOU","JD Martinez_DET","Nelson Cruz_SEA","Robinson Cano_SEA","Corey Seager_LAD","Chris Taylor_LAD","Yonder Alonso_OAK","Yoenis Cespedes_NYM","Mitch Haniger_SEA","Yasiel Puig_LAD","Jean Segura_SEA","Ben Gamel_SEA","Justin Turner_LAD","Carlos Beltran_HOU","Ryon Healy_OAK","Jarrod Dyson_SEA","Mike Zunino_SEA","Jay Bruce_NYM","Michael Conforto_NYM","Jed Lowrie_OAK","Miguel Cabrera_DET","Justin Upton_DET","Alex Avila_DET","Matt Joyce_OAK","Ian Kinsler_DET","Brian McCann_HOU","Khris Davis_OAK","Marwin Gonzalez_HOU","Nicholas Castellanos_DET","Adrian Gonzalez_LAD","Joc Pederson_LAD","Rajai Davis_OAK","Curtis Granderson_NYM","Derek Fisher_HOU","Victor Martinez_DET","Chase Utley_LAD","David Wright_NYM","Asdrubal Cabrera_NYM","Josh Reddick_HOU","Stephen Vogt_OAK","Marcus Semien_OAK","Danny Valencia_SEA","Kyle Seager_SEA","Jose Reyes_NYM","Neil Walker_NYM","Franklin Gutierrez_LAD","Lucas Duda_NYM","Kike Hernandez_LAD","Leonys Martin_SEA","Logan Forsythe_LAD","Travis d'Arnaud_NYM","Trayce Thompson_LAD","Austin Barnes_LAD","Mark Canha_OAK","Chad Pinder_OAK","Yasmani Grandal_LAD","Wilmer Flores_NYM","Andrew Toles_LAD","Willie Calhoun_LAD","Evan Gattis_HOU","Joey Wendle_OAK","Yuli Gurriel_HOU","DJ Peterson_SEA","Mikie Mahtook_DET","Rob Segedin_LAD","Alex Verdugo_LAD","Jake Marisnick_HOU","Andrew Romine_DET","Jose Iglesias_DET","Tyler Smith_SEA","Andre Ethier_LAD","Amed Rosario_NYM","Norichika Aoki_HOU","Jake Smolinski_OAK","Ryan LaMarre_OAK","JD Davis_HOU","Alex Bregman_HOU","Alex Presley_DET","John Hicks_DET","JaCoby Jones_DET","Scott Van Slyke_LAD","Brandon Nimmo_NYM","TJ Rivera_NYM","Colin Moran_HOU","Bruce Maxwell_OAK","Matt Chapman_OAK","Carlos Ruiz_SEA","Shawn O'Malley_SEA","Dixon Machado_DET","Tyler Collins_DET","Josh Phegley_OAK","Jaycob Brugman_OAK","James McCann_DET","Taylor Motter_SEA","Boog Powell_SEA","Juan Lagares_NYM","Gavin Cecchini_NYM","Jim Adduci_DET","Tuffy Gosewisch_SEA","Guillermo Heredia_SEA","Matt Reynolds_NYM","Kevin Plawecki_NYM","Adam Rosales_OAK","Mike Freeman_LAD","Kyle Tucker_HOU","Daniel Vogelbach_SEA","Kyle Lewis_SEA","Rene Rivera_NYM","Juan Centeno_HOU","Jaff Decker_OAK","Teoscar Hernandez_HOU","Tony Kemp_HOU","Brett Eibner_LAD","Renato Nunez_OAK","Matt Olson_OAK","Franklin Barreto_OAK"
0,0,0,0,0,0,0,0,0,0,-21.5800865800866,0,0,0,0,0,0,0,0,0,88.84229390681,-9.13829787234043,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.870286576168929,0,0,0,0,16.9122807017544,0,0,0,0,0,-2.52470588235294,-10.7452830188679,0,-20.2512820512821,0,0,0,-18.4274193548387,0,0,0,0,0,14.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.99666666666667,0,0,0,0,0,0,0,0,0,0,0,0,-19.3717948717949,0,0,0,0,-9.16666666666667,-18.4,0,0,0,0,0,2.63076923076923,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.611111111111111,0,0,0,0,0,0,0,0,0,-9.13829787234043,99.5416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.0666666666667,0,0,0,0,2.73015873015873,0,0,0,0,0,4.46963562753036,3.3,0,7.62258064516129,0,0,0,-6.69473684210526,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3549783549784,0,0,0,0,0,0,0,0,0,0,0,0,-9.31818181818182,0,0,0,0,2.83333333333333,-19.1666666666667,0,0,0,0,0,0.825,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,12.9893939393939,0,0,0,0,0,0,0,18.8979797979798,0,0,0,0,58.5629159104658,0,0,0,-6.44133192389006,0,0,1.83636363636364,0,0,0,0,8.85378151260504,0,0,0,0,0,0,0,-3.20512820512821,32.375,0,0,0,0,0,0,0,0,0,0,0,0,-6.71345029239766,5.35612535612536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,-1.85,25,0,0,0,0,7.73976608187134,10.7,0,0,0,0,0,0,0,0,0,0,-0.807692307692308,0,0,0,0,0,0,-7.13636363636364,0,0,0,0,0,0
0,0,0,0,36.5238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6901017576318,4.86363636363636,13.6576086956522,0,12.2905525846702,0,0,0,0,0,0,0,0,0,2.13269230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8901098901099,0,0,0,-6.085,16.784756097561,0,0,0,0,0,0,0,0,3.57777777777778,47.1666666666667,10.5,0,0,0,0,0,0,0,0,28.1272727272727,-3.76470588235294,0,0,9.94466403162055,0,0,0,0,-8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,33.884236453202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86363636363636,68.6478114478114,15.1333333333333,0,9.34262485481998,0,0,0,0,0,0,0,0,0,-0.836262719703978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63809523809524,0,0,0,10.9748677248677,2.08599033816425,0,0,0,0,0,0,0,0,4.65555555555556,36.6071428571429,2.55357142857143,0,0,0,0,0,0,0,0,0.96969696969697,-0.22463768115942,0,0,7.3115763546798,0,0,0,0,33.0777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,17.7134502923977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6576086956522,15.1333333333333,68.4798387096774,0,25.4672364672365,0,0,0,0,0,0,0,0,0,1.67948717948718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33333333333333,0,0,0,5.6,11.2030769230769,0,0,0,0,0,0,0,0,19.7444444444444,3.83333333333333,31.5,0,0,0,0,0,0,0,0,7.25,5.59558823529412,0,0,56.1607142857143,0,0,0,0,37.7857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.28414634146341,0,0,0,0,0,0,0,9.7093023255814,0,0,0,0,-6.44133192389006,0,0,0,58.2652173913043,0,0,8.16437632135307,0,0,0,0,-14.7065217391304,0,0,0,0,0,0,0,8.12762762762763,-8.8,0,0,0,0,0,0,0,0,0,0,0,0,34.3777777777778,5.2483660130719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,80,0,0,0,0,-0.272727272727273,2.63333333333333,0,0,0,0,0,0,0,0,0,0,4.9679802955665,0,0,0,0,0,0,10.8333333333333,0,0,0,0,0,0
0,0,0,0,20.1991341991342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2905525846702,9.34262485481998,25.4672364672365,0,39.1343434343434,0,0,0,0,0,0,0,0,0,12.3903846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.81318681318681,0,0,0,20.1578947368421,-2.59243697478992,0,0,0,0,0,0,0,0,0.69047619047619,-6.5,-4.66666666666667,0,0,0,0,0,0,0,0,10.6666666666667,13.0849802371542,0,0,24.4738461538462,0,0,0,0,31.8571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.000840336134453781,0,-6.33012820512821,-7.66025641025641,0,0,0,0,0,0,0,0,0,0,0,0,-13.3977272727273,0,0,0,0,0,0,0,0,0,0,0,59.3658536585366,0,-1.26353276353276,0,0,0,0,0,52.3333333333333,0,0,0,0,-8.01893939393939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71428571428571,0,0,0,0,0,0,27.1217948717949,0,0,0,0,0,-3.58333333333333,0,0,0,-6.41428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-1.8695652173913,0,0,0,0,0,0,0,-2.00162337662338,0,0,0,0,1.83636363636364,0,0,0,8.16437632135307,0,0,58.9362945645821,0,0,0,0,-2.80255255255255,0,0,0,0,0,0,0,4.16073968705548,-2.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,-1.14619883040936,10.6264367816092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,-7.8,-105,0,0,0,0,8.72510822510823,-2.7,0,0,0,0,0,0,0,0,0,0,-7.92628205128205,0,0,0,0,0,0,-8.5,0,0,0,0,0,0
