P,P,C,1B,2B,3B,SS,OF,OF,OF
Jacob deGrom,Trevor Bauer,Yadier Molina,Matt Carpenter,Paul DeJong,Jedd Gyorko,Francisco Lindor,Dexter Fowler,Corey Dickerson,Michael Conforto
Jameson Taillon,JA Happ,Austin Barnes,Matt Carpenter,Logan Forsythe,Justin Turner,Corey Seager,Giancarlo Stanton,Dexter Fowler,Joc Pederson
Jacob deGrom,Jimmy Nelson,Austin Barnes,Matt Carpenter,Greg Garcia,Evan Longoria,Aledmys Diaz,Dexter Fowler,Joc Pederson,Tommy Pham
Jacob deGrom,Jimmy Nelson,Willson Contreras,Logan Morrison,Ian Happ,Evan Longoria,Francisco Lindor,Corey Dickerson,Mallex Smith,Colby Rasmus
Robbie Ray,Jacob deGrom,Roberto Perez,Carlos Santana,Jason Kipnis,Evan Longoria,Francisco Lindor,Daniel Robertson,Gregory Polanco,Allen Cordoba
Robbie Ray,Trevor Bauer,Derek Norris,Logan Morrison,Eric Sogard,Justin Turner,Tim Beckham,Corey Dickerson,Mallex Smith,Gregory Polanco
Jacob deGrom,Kenta Maeda,Austin Barnes,Justin Bour,Dee Gordon,Derek Dietrich,JT Riddle,Corey Dickerson,Michael Conforto,Christian Yelich
Jacob deGrom,Jameson Taillon,Cameron Rupp,Alex Avila,Ian Kinsler,Nicholas Castellanos,Corey Seager,JD Martinez,Michael Conforto,Justin Upton
Robbie Ray,Kyle Gibson,Austin Barnes,Matt Carpenter,Logan Forsythe,Justin Turner,Kike Hernandez,Christian Yelich,Joc Pederson,Billy Hamilton
Jacob deGrom,John Lackey,Manny Pina,Eric Thames,Dee Gordon,Travis Shaw,Francisco Lindor,Keon Broxton,Mallex Smith,Lewis Brinson
Jacob deGrom,Jacob Faria,Derek Norris,Paul Goldschmidt,Logan Forsythe,Evan Longoria,Tim Beckham,Steven Souza,Joc Pederson,Mallex Smith
