QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Latavius Murray (7976909),Latavius Murray,7976909,6200,Ind@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Michael Crabtree (7977064),Michael Crabtree,7977064,6100,Ind@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Larry Fitzgerald (7977074),Larry Fitzgerald,7977074,6100,Ari@Sea 04:25PM ET,Ari,
,,,,,,,,,,QB,Matthew Stafford (7976832),Matthew Stafford,7976832,6100,Det@Dal 08:30PM ET,Det,
,,,,,,,,,,WR,Michael Thomas (7976988),Michael Thomas,7976988,6000,TB@NO 04:25PM ET,NO,
,,,,,,,,,,RB,Bilal Powell (7976855),Bilal Powell,7976855,6000,NYJ@NE 01:00PM ET,NYJ,
,,,,,,,,,,QB,Marcus Mariota (7976773),Marcus Mariota,7976773,6000,Ten@Jax 01:00PM ET,Ten,
,,,,,,,,,,WR,Dontrelle Inman (7977028),Dontrelle Inman,7977028,6000,SD@Cle 01:00PM ET,SD,
,,,,,,,,,,WR,Doug Baldwin (7977076),Doug Baldwin,7977076,6000,Ari@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Emmanuel Sanders (7977120),Emmanuel Sanders,7977120,6000,Den@KC 08:30PM ET,Den,
,,,,,,,,,,RB,Ty Montgomery (7976878),Ty Montgomery,7976878,5900,Min@GB 01:00PM ET,GB,
,,,,,,,,,,WR,Stefon Diggs (7977022),Stefon Diggs,7977022,5900,Min@GB 01:00PM ET,Min,
,,,,,,,,,,WR,Tyreek Hill (7977131),Tyreek Hill,7977131,5900,Den@KC 08:30PM ET,KC,
,,,,,,,,,,QB,Dak Prescott (7976833),Dak Prescott,7976833,5900,Det@Dal 08:30PM ET,Dal,
,,,,,,,,,,QB,Eli Manning (7975667),Eli Manning,7975667,5800,NYG@Phi 08:25PM ET,NYG,
,,,,,,,,,,WR,Tyrell Williams (7977034),Tyrell Williams,7977034,5800,SD@Cle 01:00PM ET,SD,
,,,,,,,,,,RB,Carlos Hyde (7976926),Carlos Hyde,7976926,5800,SF@LA 04:25PM ET,SF,
,,,,,,,,,,QB,Joe Flacco (7976818),Joe Flacco,7976818,5800,Bal@Pit 04:30PM ET,Bal,
,,,,,,,,,,QB,Colin Kaepernick (7976806),Colin Kaepernick,7976806,5700,SF@LA 04:25PM ET,SF,
,,,,,,,,,,WR,Kenny Britt (7977085),Kenny Britt,7977085,5700,SF@LA 04:25PM ET,LA,
,,,,,,,,,,RB,Lamar Miller (7976933),Lamar Miller,7976933,5700,Cin@Hou 08:25PM ET,Hou,
,,,,,,,,,,RB,Jay Ajayi (7976839),Jay Ajayi,7976839,5600,Mia@Buf 01:00PM ET,Mia,
,,,,,,,,,,RB,LeGarrette Blount (7976856),LeGarrette Blount,7976856,5600,NYJ@NE 01:00PM ET,NE,
,,,,,,,,,,WR,Jamison Crowder (7977048),Jamison Crowder,7977048,5600,Was@Chi 01:00PM ET,Was,
,,,,,,,,,,WR,Jarvis Landry (7976972),Jarvis Landry,7976972,5500,Mia@Buf 01:00PM ET,Mia,
,,,,,,,,,,WR,Willie Snead (7976983),Willie Snead,7976983,5500,TB@NO 04:25PM ET,NO,
,,,,,,,,,,WR,DeSean Jackson (7977040),DeSean Jackson,7977040,5500,Was@Chi 01:00PM ET,Was,
,,,,,,,,,,TE,Jordan Reed (7977188),Jordan Reed,7977188,5500,Was@Chi 01:00PM ET,Was,
,,,,,,,,,,WR,Kelvin Benjamin (7977060),Kelvin Benjamin,7977060,5500,Atl@Car 01:00PM ET,Car,
,,,,,,,,,,QB,Carson Palmer (7976801),Carson Palmer,7976801,5500,Ari@Sea 04:25PM ET,Ari,
,,,,,,,,,,RB,DeAngelo Williams (7976939),DeAngelo Williams,7976939,5500,Bal@Pit 04:30PM ET,Pit,
,,,,,,,,,,QB,Tyrod Taylor (7976756),Tyrod Taylor,7976756,5400,Mia@Buf 01:00PM ET,Buf,
,,,,,,,,,,RB,Doug Martin (7976845),Doug Martin,7976845,5400,TB@NO 04:25PM ET,TB,
,,,,,,,,,,WR,Davante Adams (7977019),Davante Adams,7977019,5400,Min@GB 01:00PM ET,GB,
,,,,,,,,,,WR,Donte Moncrief (7977069),Donte Moncrief,7977069,5400,Ind@Oak 04:05PM ET,Ind,
,,,,,,,,,,RB,Theo Riddick (7976959),Theo Riddick,7976959,5400,Det@Dal 08:30PM ET,Det,
,,,,,,,,,,TE,Zach Ertz (7975693),Zach Ertz,7975693,5300,NYG@Phi 08:25PM ET,Phi,
,,,,,,,,,,RB,Matt Forte (7976853),Matt Forte,7976853,5300,NYJ@NE 01:00PM ET,NYJ,
,,,,,,,,,,WR,Brandon Marshall (7976991),Brandon Marshall,7976991,5300,NYJ@NE 01:00PM ET,NYJ,
,,,,,,,,,,QB,Andy Dalton (7976812),Andy Dalton,7976812,5300,Cin@Hou 08:25PM ET,Cin,
,,,,,,,,,,RB,Jeremy Hill (7976938),Jeremy Hill,7976938,5300,Cin@Hou 08:25PM ET,Cin,
,,,,,,,,,,QB,Trevor Siemian (7976827),Trevor Siemian,7976827,5300,Den@KC 08:30PM ET,Den,
,,,,,,,,,,RB,Spencer Ware (7976952),Spencer Ware,7976952,5300,Den@KC 08:30PM ET,KC,
,,,,,,,,,,QB,Matt Moore (7976753),Matt Moore,7976753,5200,Mia@Buf 01:00PM ET,Mia,
,,,,,,,,,,WR,Malcolm Mitchell (7977000),Malcolm Mitchell,7977000,5200,NYJ@NE 01:00PM ET,NE,
,,,,,,,,,,RB,Rob Kelley (7976893),Rob Kelley,7976893,5200,Was@Chi 01:00PM ET,Was,
,,,,,,,,,,RB,Jonathan Stewart (7976898),Jonathan Stewart,7976898,5200,Atl@Car 01:00PM ET,Car,
,,,,,,,,,,TE,Greg Olsen (7977193),Greg Olsen,7977193,5200,Atl@Car 01:00PM ET,Car,
,,,,,,,,,,WR,DeAndre Hopkins (7977101),DeAndre Hopkins,7977101,5200,Cin@Hou 08:25PM ET,Hou,
,,,,,,,,,,WR,Jordan Matthews (7975683),Jordan Matthews,7975683,5100,NYG@Phi 08:25PM ET,Phi,
,,,,,,,,,,QB,Robert Griffin III (7976783),Robert Griffin III,7976783,5100,SD@Cle 01:00PM ET,Cle,
,,,,,,,,,,WR,Mohamed Sanu (7977056),Mohamed Sanu,7977056,5100,Atl@Car 01:00PM ET,Atl,
,,,,,,,,,,RB,Thomas Rawls (7976919),Thomas Rawls,7976919,5100,Ari@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Steve Smith Sr. (7977107),Steve Smith Sr.,7977107,5100,Bal@Pit 04:30PM ET,Bal,
,,,,,,,,,,QB,Tony Romo (7976830),Tony Romo,7976830,5100,Det@Dal 08:30PM ET,Dal,
,,,,,,,,,,QB,Josh Johnson (7975668),Josh Johnson,7975668,5000,NYG@Phi 08:25PM ET,NYG,
,,,,,,,,,,QB,Chase Daniel (7975669),Chase Daniel,7975669,5000,NYG@Phi 08:25PM ET,Phi,
,,,,,,,,,,QB,Ryan Nassib (7975670),Ryan Nassib,7975670,5000,NYG@Phi 08:25PM ET,NYG,
,,,,,,,,,,QB,Carson Wentz (7975671),Carson Wentz,7975671,5000,NYG@Phi 08:25PM ET,Phi,
,,,,,,,,,,QB,T.J. Yates (7976754),T.J. Yates,7976754,5000,Mia@Buf 01:00PM ET,Mia,
,,,,,,,,,,QB,Ryan Tannehill (7976755),Ryan Tannehill,7976755,5000,Mia@Buf 01:00PM ET,Mia,
,,,,,,,,,,QB,EJ Manuel (7976757),EJ Manuel,7976757,5000,Mia@Buf 01:00PM ET,Buf,
,,,,,,,,,,QB,Cardale Jones (7976758),Cardale Jones,7976758,5000,Mia@Buf 01:00PM ET,Buf,
,,,,,,,,,,WR,Sammy Watkins (7976975),Sammy Watkins,7976975,5000,Mia@Buf 01:00PM ET,Buf,
,,,,,,,,,,QB,Luke McCown (7976760),Luke McCown,7976760,5000,TB@NO 04:25PM ET,NO,
,,,,,,,,,,QB,Mike Glennon (7976761),Mike Glennon,7976761,5000,TB@NO 04:25PM ET,TB,
,,,,,,,,,,QB,Ryan Griffin (7976762),Ryan Griffin,7976762,5000,TB@NO 04:25PM ET,TB,
,,,,,,,,,,QB,Ryan Fitzpatrick (7976765),Ryan Fitzpatrick,7976765,5000,NYJ@NE 01:00PM ET,NYJ,
,,,,,,,,,,QB,Bryce Petty (7976766),Bryce Petty,7976766,5000,NYJ@NE 01:00PM ET,NYJ,
,,,,,,,,,,QB,Jimmy Garoppolo (7976767),Jimmy Garoppolo,7976767,5000,NYJ@NE 01:00PM ET,NE,
,,,,,,,,,,QB,Christian Hackenberg (7976768),Christian Hackenberg,7976768,5000,NYJ@NE 01:00PM ET,NYJ,
,,,,,,,,,,QB,Matt Cassel (7976769),Matt Cassel,7976769,5000,Ten@Jax 01:00PM ET,Ten,
,,,,,,,,,,QB,Chad Henne (7976770),Chad Henne,7976770,5000,Ten@Jax 01:00PM ET,Jax,
,,,,,,,,,,QB,Blake Bortles (7976771),Blake Bortles,7976771,5000,Ten@Jax 01:00PM ET,Jax,
,,,,,,,,,,QB,Brandon Allen (7976772),Brandon Allen,7976772,5000,Ten@Jax 01:00PM ET,Jax,
,,,,,,,,,,QB,Shaun Hill (7976774),Shaun Hill,7976774,5000,Min@GB 01:00PM ET,Min,
,,,,,,,,,,QB,Sam Bradford (7976776),Sam Bradford,7976776,5000,Min@GB 01:00PM ET,Min,
,,,,,,,,,,QB,Brett Hundley (7976777),Brett Hundley,7976777,5000,Min@GB 01:00PM ET,GB,
,,,,,,,,,,QB,Taylor Heinicke (7976778),Taylor Heinicke,7976778,5000,Min@GB 01:00PM ET,Min,
,,,,,,,,,,QB,Joe Callahan (7976779),Joe Callahan,7976779,5000,Min@GB 01:00PM ET,GB,
,,,,,,,,,,QB,Josh McCown (7976780),Josh McCown,7976780,5000,SD@Cle 01:00PM ET,Cle,
,,,,,,,,,,QB,Kellen Clemens (7976781),Kellen Clemens,7976781,5000,SD@Cle 01:00PM ET,SD,
,,,,,,,,,,QB,Cody Kessler (7976784),Cody Kessler,7976784,5000,SD@Cle 01:00PM ET,Cle,
,,,,,,,,,,QB,Kevin Hogan (7976785),Kevin Hogan,7976785,5000,SD@Cle 01:00PM ET,Cle,
,,,,,,,,,,RB,Kenneth Farrow (7976885),Kenneth Farrow,7976885,5000,SD@Cle 01:00PM ET,SD,
,,,,,,,,,,QB,Colt McCoy (7976786),Colt McCoy,7976786,5000,Was@Chi 01:00PM ET,Was,
,,,,,,,,,,QB,Matt Barkley (7976788),Matt Barkley,7976788,5000,Was@Chi 01:00PM ET,Chi,
,,,,,,,,,,QB,David Fales (7976789),David Fales,7976789,5000,Was@Chi 01:00PM ET,Chi,
,,,,,,,,,,QB,Nate Sudfeld (7976790),Nate Sudfeld,7976790,5000,Was@Chi 01:00PM ET,Was,
,,,,,,,,,,QB,Derek Anderson (7976791),Derek Anderson,7976791,5000,Atl@Car 01:00PM ET,Car,
,,,,,,,,,,QB,Matt Schaub (7976793),Matt Schaub,7976793,5000,Atl@Car 01:00PM ET,Atl,
,,,,,,,,,,QB,Joe Webb (7976794),Joe Webb,7976794,5000,Atl@Car 01:00PM ET,Car,
,,,,,,,,,,RB,Tevin Coleman (7976903),Tevin Coleman,7976903,5000,Atl@Car 01:00PM ET,Atl,
,,,,,,,,,,QB,Scott Tolzien (7976796),Scott Tolzien,7976796,5000,Ind@Oak 04:05PM ET,Ind,
,,,,,,,,,,QB,Matt McGloin (7976798),Matt McGloin,7976798,5000,Ind@Oak 04:05PM ET,Oak,
,,,,,,,,,,QB,Connor Cook (7976800),Connor Cook,7976800,5000,Ind@Oak 04:05PM ET,Oak,
,,,,,,,,,,QB,Drew Stanton (7976802),Drew Stanton,7976802,5000,Ari@Sea 04:25PM ET,Ari,
,,,,,,,,,,QB,Zac Dysert (7976804),Zac Dysert,7976804,5000,Ari@Sea 04:25PM ET,Ari,
,,,,,,,,,,QB,Trevone Boykin (7976805),Trevone Boykin,7976805,5000,Ari@Sea 04:25PM ET,Sea,
,,,,,,,,,,QB,Christian Ponder (7976807),Christian Ponder,7976807,5000,SF@LA 04:25PM ET,SF,
,,,,,,,,,,QB,Case Keenum (7976808),Case Keenum,7976808,5000,SF@LA 04:25PM ET,LA,
,,,,,,,,,,QB,Blaine Gabbert (7976809),Blaine Gabbert,7976809,5000,SF@LA 04:25PM ET,SF,
,,,,,,,,,,QB,Sean Mannion (7976810),Sean Mannion,7976810,5000,SF@LA 04:25PM ET,LA,
,,,,,,,,,,QB,Jared Goff (7976811),Jared Goff,7976811,5000,SF@LA 04:25PM ET,LA,
,,,,,,,,,,QB,Brandon Weeden (7976813),Brandon Weeden,7976813,5000,Cin@Hou 08:25PM ET,Hou,
,,,,,,,,,,QB,Brock Osweiler (7976814),Brock Osweiler,7976814,5000,Cin@Hou 08:25PM ET,Hou,
,,,,,,,,,,QB,AJ McCarron (7976815),AJ McCarron,7976815,5000,Cin@Hou 08:25PM ET,Cin,
,,,,,,,,,,QB,Tom Savage (7976816),Tom Savage,7976816,5000,Cin@Hou 08:25PM ET,Hou,
,,,,,,,,,,QB,Jeff Driskel (7976817),Jeff Driskel,7976817,5000,Cin@Hou 08:25PM ET,Cin,
,,,,,,,,,,QB,Ryan Mallett (7976820),Ryan Mallett,7976820,5000,Bal@Pit 04:30PM ET,Bal,
,,,,,,,,,,QB,Landry Jones (7976821),Landry Jones,7976821,5000,Bal@Pit 04:30PM ET,Pit,
,,,,,,,,,,QB,Zach Mettenberger (7976822),Zach Mettenberger,7976822,5000,Bal@Pit 04:30PM ET,Pit,
,,,,,,,,,,QB,Alex Smith (7976823),Alex Smith,7976823,5000,Den@KC 08:30PM ET,KC,
,,,,,,,,,,QB,Austin Davis (7976824),Austin Davis,7976824,5000,Den@KC 08:30PM ET,Den,
,,,,,,,,,,QB,Nick Foles (7976825),Nick Foles,7976825,5000,Den@KC 08:30PM ET,KC,
,,,,,,,,,,QB,Tyler Bray (7976826),Tyler Bray,7976826,5000,Den@KC 08:30PM ET,KC,
,,,,,,,,,,QB,Paxton Lynch (7976828),Paxton Lynch,7976828,5000,Den@KC 08:30PM ET,Den,
,,,,,,,,,,TE,Travis Kelce (7977236),Travis Kelce,7977236,5000,Den@KC 08:30PM ET,KC,
,,,,,,,,,,QB,Dan Orlovsky (7976829),Dan Orlovsky,7976829,5000,Det@Dal 08:30PM ET,Det,
,,,,,,,,,,QB,Mark Sanchez (7976831),Mark Sanchez,7976831,5000,Det@Dal 08:30PM ET,Dal,
,,,,,,,,,,QB,Jake Rudock (7976834),Jake Rudock,7976834,5000,Det@Dal 08:30PM ET,Det,
,,,,,,,,,,RB,Ameer Abdullah (7976964),Ameer Abdullah,7976964,5000,Det@Dal 08:30PM ET,Det,
,,,,,,,,,,RB,Derrick Henry (7976871),Derrick Henry,7976871,4900,Ten@Jax 01:00PM ET,Ten,
,,,,,,,,,,WR,Rishard Matthews (7977009),Rishard Matthews,7977009,4900,Ten@Jax 01:00PM ET,Ten,
,,,,,,,,,,TE,Kyle Rudolph (7977174),Kyle Rudolph,7977174,4900,Min@GB 01:00PM ET,Min,
,,,,,,,,,,WR,Terrelle Pryor Sr. (7977029),Terrelle Pryor Sr.,7977029,4900,SD@Cle 01:00PM ET,Cle,
,,,,,,,,,,WR,Pierre Garcon (7977042),Pierre Garcon,7977042,4900,Was@Chi 01:00PM ET,Was,
,,,,,,,,,,RB,Alfred Morris (7976957),Alfred Morris,7976957,4900,Det@Dal 08:30PM ET,Dal,
,,,,,,,,,,WR,Cole Beasley (7977138),Cole Beasley,7977138,4900,Det@Dal 08:30PM ET,Dal,
,,,,,,,,,,WR,Robby Anderson (7977001),Robby Anderson,7977001,4800,NYJ@NE 01:00PM ET,NYJ,
,,,,,,,,,,WR,Travis Benjamin (7977030),Travis Benjamin,7977030,4800,SD@Cle 01:00PM ET,SD,
,,,,,,,,,,RB,Frank Gore (7976905),Frank Gore,7976905,4800,Ind@Oak 04:05PM ET,Ind,
,,,,,,,,,,WR,Tyler Lockett (7977082),Tyler Lockett,7977082,4800,Ari@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Brandon LaFell (7977097),Brandon LaFell,7977097,4800,Cin@Hou 08:25PM ET,Cin,
,,,,,,,,,,TE,Tyler Eifert (7977221),Tyler Eifert,7977221,4800,Cin@Hou 08:25PM ET,Cin,
,,,,,,,,,,WR,Mike Wallace (7977109),Mike Wallace,7977109,4800,Bal@Pit 04:30PM ET,Bal,
,,,,,,,,,,WR,Cameron Meredith (7977046),Cameron Meredith,7977046,4700,Was@Chi 01:00PM ET,Chi,
,,,,,,,,,,RB,C.J. Prosise (7976920),C.J. Prosise,7976920,4700,Ari@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Sterling Shepard (7975689),Sterling Shepard,7975689,4600,NYG@Phi 08:25PM ET,NYG,
,,,,,,,,,,WR,Allen Robinson (7977013),Allen Robinson,7977013,4600,Ten@Jax 01:00PM ET,Jax,
,,,,,,,,,,RB,Adrian Peterson (7976872),Adrian Peterson,7976872,4600,Min@GB 01:00PM ET,Min,
,,,,,,,,,,WR,Adam Thielen (7977023),Adam Thielen,7977023,4600,Min@GB 01:00PM ET,Min,
,,,,,,,,,,RB,Mike Gillislee (7976838),Mike Gillislee,7976838,4500,Mia@Buf 01:00PM ET,Buf,
,,,,,,,,,,WR,Ted Ginn Jr. (7977052),Ted Ginn Jr.,7977052,4500,Atl@Car 01:00PM ET,Car,
,,,,,,,,,,TE,Jimmy Graham (7977205),Jimmy Graham,7977205,4500,Ari@Sea 04:25PM ET,Sea,
,,,,,,,,,,RB,Rashad Jennings (7975673),Rashad Jennings,7975673,4400,NYG@Phi 08:25PM ET,NYG,
,,,,,,,,,,RB,Mark Ingram (7976847),Mark Ingram,7976847,4400,TB@NO 04:25PM ET,NO,
,,,,,,,,,,TE,Antonio Gates (7977177),Antonio Gates,7977177,4400,SD@Cle 01:00PM ET,SD,
,,,,,,,,,,WR,J.J. Nelson (7977079),J.J. Nelson,7977079,4400,Ari@Sea 04:25PM ET,Ari,
,,,,,,,,,,RB,Terrance West (7976944),Terrance West,7976944,4400,Bal@Pit 04:30PM ET,Bal,
,,,,,,,,,,WR,Jeremy Maclin (7977121),Jeremy Maclin,7977121,4400,Den@KC 08:30PM ET,KC,
,,,,,,,,,,WR,Marqise Lee (7977011),Marqise Lee,7977011,4300,Ten@Jax 01:00PM ET,Jax,
,,,,,,,,,,TE,Delanie Walker (7977164),Delanie Walker,7977164,4300,Ten@Jax 01:00PM ET,Ten,
,,,,,,,,,,RB,Alfred Blue (7976934),Alfred Blue,7976934,4300,Cin@Hou 08:25PM ET,Hou,
,,,,,,,,,,RB,Fitzgerald Toussaint (7976941),Fitzgerald Toussaint,7976941,4300,Bal@Pit 04:30PM ET,Pit,
,,,,,,,,,,WR,DeVante Parker (7976976),DeVante Parker,7976976,4200,Mia@Buf 01:00PM ET,Mia,
,,,,,,,,,,RB,Jacquizz Rodgers (7976848),Jacquizz Rodgers,7976848,4200,TB@NO 04:25PM ET,TB,
,,,,,,,,,,WR,Chris Hogan (7976997),Chris Hogan,7976997,4200,NYJ@NE 01:00PM ET,NE,
,,,,,,,,,,RB,Kenneth Dixon (7976947),Kenneth Dixon,7976947,4200,Bal@Pit 04:30PM ET,Bal,
,,,,,,,,,,WR,Marvin Jones Jr. (7977139),Marvin Jones Jr.,7977139,4200,Det@Dal 08:30PM ET,Det,
,,,,,,,,,,RB,Dion Lewis (7976858),Dion Lewis,7976858,4100,NYJ@NE 01:00PM ET,NE,
,,,,,,,,,,TE,Martellus Bennett (7977158),Martellus Bennett,7977158,4100,NYJ@NE 01:00PM ET,NE,
,,,,,,,,,,RB,Isaiah Crowell (7976884),Isaiah Crowell,7976884,4100,SD@Cle 01:00PM ET,Cle,
,,,,,,,,,,WR,Aldrick Robinson (7977053),Aldrick Robinson,7977053,4100,Atl@Car 01:00PM ET,Atl,
,,,,,,,,,,WR,Tyler Boyd (7977104),Tyler Boyd,7977104,4100,Cin@Hou 08:25PM ET,Cin,
,,,,,,,,,,RB,Charcandrick West (7976955),Charcandrick West,7976955,4100,Den@KC 08:30PM ET,KC,
,,,,,,,,,,WR,Anquan Boldin (7977132),Anquan Boldin,7977132,4100,Det@Dal 08:30PM ET,Det,
,,,,,,,,,,RB,Ryan Mathews (7975676),Ryan Mathews,7975676,4000,NYG@Phi 08:25PM ET,Phi,
,,,,,,,,,,RB,Tim Hightower (7976843),Tim Hightower,7976843,4000,TB@NO 04:25PM ET,NO,
,,,,,,,,,,WR,Quincy Enunwa (7976996),Quincy Enunwa,7976996,4000,NYJ@NE 01:00PM ET,NYJ,
,,,,,,,,,,RB,Jerick McKinnon (7976877),Jerick McKinnon,7976877,4000,Min@GB 01:00PM ET,Min,
,,,,,,,,,,WR,Randall Cobb (7977018),Randall Cobb,7977018,4000,Min@GB 01:00PM ET,GB,
,,,,,,,,,,RB,Jeremy Langford (7976891),Jeremy Langford,7976891,4000,Was@Chi 01:00PM ET,Chi,
,,,,,,,,,,WR,Tavon Austin (7977089),Tavon Austin,7977089,4000,SF@LA 04:25PM ET,LA,
,,,,,,,,,,RB,Jamaal Charles (7976949),Jamaal Charles,7976949,4000,Den@KC 08:30PM ET,KC,
,,,,,,,,,,RB,Darren Sproles (7975672),Darren Sproles,7975672,3900,NYG@Phi 08:25PM ET,Phi,
,,,,,,,,,,RB,Damien Williams (7976840),Damien Williams,7976840,3900,Mia@Buf 01:00PM ET,Mia,
,,,,,,,,,,WR,Kenny Stills (7976970),Kenny Stills,7976970,3900,Mia@Buf 01:00PM ET,Mia,
,,,,,,,,,,TE,Cameron Brate (7977156),Cameron Brate,7977156,3900,TB@NO 04:25PM ET,TB,
,,,,,,,,,,WR,Allen Hurns (7977008),Allen Hurns,7977008,3900,Ten@Jax 01:00PM ET,Jax,
,,,,,,,,,,WR,Cordarrelle Patterson (7977021),Cordarrelle Patterson,7977021,3900,Min@GB 01:00PM ET,Min,
,,,,,,,,,,WR,Corey Coleman (7977036),Corey Coleman,7977036,3900,SD@Cle 01:00PM ET,Cle,
,,,,,,,,,,WR,Phillip Dorsett (7977068),Phillip Dorsett,7977068,3900,Ind@Oak 04:05PM ET,Ind,
,,,,,,,,,,WR,John Brown (7977078),John Brown,7977078,3900,Ari@Sea 04:25PM ET,Ari,
,,,,,,,,,,RB,DuJuan Harris (7976925),DuJuan Harris,7976925,3900,SF@LA 04:25PM ET,SF,
