"","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05","X2017.04.06","X2017.04.07","X2017.04.08","X2017.04.09","X2017.04.10","X2017.04.11","X2017.04.12","X2017.04.13","X2017.04.14","X2017.04.15","X2017.04.16","X2017.04.17","X2017.04.18","X2017.04.19","X2017.04.20","X2017.04.21","X2017.04.22","X2017.04.23","X2017.04.24"
"50","Mac Williamson_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Martin Maldonado_LAA",NA,NA,9,5,NA,8,3,NA,NA,2,0,NA,5,2,NA,6,10,0,NA,7,NA,0,2
"52","Juan Graterol_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"53","Bruce Maxwell_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Kelby Tomlinson_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Carlos Perez_LAA",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"56","Matt Joyce_OAK",NA,NA,0,3,NA,21,4,NA,3,NA,7,NA,NA,2,NA,0,0,NA,NA,5,3,4,NA
"57","Gorkys Hernandez_SF",NA,NA,20,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,5,NA
"58","Adam Rosales_OAK",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,3,2,NA,0,19,3,9,7,14,0,NA
"59","Conor Gillaspie_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Cliff Pennington_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA
"61","Chad Pinder_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,NA,0,NA,NA
"62","Jaff Decker_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,7,6,2,0,NA
"63","Matt Olson_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"64","Tim Federowicz_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Aaron Hill_SF",NA,NA,NA,NA,16,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"66","Chris Marrero_SF",NA,NA,2,NA,0,NA,NA,5,NA,2,NA,NA,19,NA,0,NA,0,NA,NA,9,0,NA,NA
"67","Brett Eibner_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
