"Name","Position","Name...ID","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"Anquan Boldin","WR","Anquan Boldin (7451750)",7451750,4200,"Det@GB 01:00PM ET","Det","Anquan","Boldin","GB",9.55,8.2
"Anthony Fasano","TE","Anthony Fasano (7451855)",7451855,2500,"Oak@Ten 01:00PM ET","Ten","Anthony","Fasano","Oak",6.32,3.7
"Anthony Sherman","RB","Anthony Sherman (7451658)",7451658,3000,"NYJ@KC 04:25PM ET","KC","Anthony","Sherman","NYJ",0,0
"Antonio Andrews","RB","Antonio Andrews (7451586)",7451586,3000,"Oak@Ten 01:00PM ET","Ten","Antonio","Andrews","Oak",0,0
"Antonio Brown","WR","Antonio Brown (7451829)",7451829,9600,"Pit@Phi 04:25PM ET","Pit","Antonio","Brown","Phi",27.75,25.2
"Antonio Gates","TE","Antonio Gates (7451930)",7451930,4600,"SD@Ind 04:25PM ET","SD","Antonio","Gates","Ind",0,0
"Arian Foster","RB","Arian Foster (7451598)",7451598,5500,"Cle@Mia 01:00PM ET","Mia","Arian","Foster","Cle",0,0
"Arrelious Benn","WR","Arrelious Benn (7451742)",7451742,3000,"Bal@Jax 01:00PM ET","Jax","Arrelious","Benn","Bal",0,1
"Austin Davis","QB","Austin Davis (7451530)",7451530,5000,"Den@Cin 01:00PM ET","Den","Austin","Davis","Cin",0,0
"Austin Seferian-Jenkins","TE","Austin Seferian-Jenkins (7451912)",7451912,2900,"LA@TB 04:05PM ET","TB","Austin","Seferian-Jenkins","LA",0,0
"Ben Koyack","TE","Ben Koyack (7451880)",7451880,2500,"Bal@Jax 01:00PM ET","Jax","Ben","Koyack","Bal",0,0
"Ben Roethlisberger","QB","Ben Roethlisberger (7451562)",7451562,7300,"Pit@Phi 04:25PM ET","Pit","Ben","Roethlisberger","Phi",20.42,21.7
"Bennie Fowler","WR","Bennie Fowler (7451766)",7451766,3000,"Den@Cin 01:00PM ET","Den","Bennie","Fowler","Cin",2.76,1.5
"Benny Cunningham","RB","Benny Cunningham (7451642)",7451642,3400,"LA@TB 04:05PM ET","LA","Benny","Cunningham","TB",3.17,5.6
"Bilal Powell","RB","Bilal Powell (7451659)",7451659,3400,"NYJ@KC 04:25PM ET","NYJ","Bilal","Powell","KC",6.36,5.5
"Blaine Gabbert","QB","Blaine Gabbert (7451549)",7451549,5000,"SF@Sea 04:05PM ET","SF","Blaine","Gabbert","Sea",14.52,12.4
"Blake Bell","TE","Blake Bell (7451921)",7451921,2500,"SF@Sea 04:05PM ET","SF","Blake","Bell","Sea",0,2.2
"Blake Bortles","QB","Blake Bortles (7451522)",7451522,6500,"Bal@Jax 01:00PM ET","Jax","Blake","Bortles","Bal",19.97,19.9
"Bobby Rainey","RB","Bobby Rainey (7451592)",7451592,3000,"Was@NYG 01:00PM ET","NYG","Bobby","Rainey","Was",0,0
"Bradley Marquez","WR","Bradley Marquez (7451793)",7451793,3000,"LA@TB 04:05PM ET","LA","Bradley","Marquez","TB",0,0
"Brandon Allen","QB","Brandon Allen (7451523)",7451523,5000,"Bal@Jax 01:00PM ET","Jax","Brandon","Allen","Bal",0,0
"Brandon Bostick","TE","Brandon Bostick (7451926)",7451926,2500,"NYJ@KC 04:25PM ET","NYJ","Brandon","Bostick","KC",0,1.7
"Brandon LaFell","WR","Brandon LaFell (7451762)",7451762,3400,"Den@Cin 01:00PM ET","Cin","Brandon","LaFell","Den",9.14,6.9
"Brandon Marshall","WR","Brandon Marshall (7451807)",7451807,7300,"NYJ@KC 04:25PM ET","NYJ","Brandon","Marshall","KC",14.49,11.2
"Brandon Myers","TE","Brandon Myers (7451906)",7451906,2500,"LA@TB 04:05PM ET","TB","Brandon","Myers","LA",0,1.3
"Brandon Tate","WR","Brandon Tate (7451693)",7451693,3000,"Ari@Buf 01:00PM ET","Buf","Brandon","Tate","Ari",0,0
"Brandon Williams","TE","Brandon Williams (7451920)",7451920,2500,"SF@Sea 04:05PM ET","Sea","Brandon","Williams","SF",0,0
"Brent Celek","TE","Brent Celek (7451936)",7451936,2800,"Pit@Phi 04:25PM ET","Phi","Brent","Celek","Pit",5.86,5.3
"Brenton Bersin","WR","Brenton Bersin (7451775)",7451775,3000,"Min@Car 01:00PM ET","Car","Brenton","Bersin","Min",0,0
"Breshad Perriman","WR","Breshad Perriman (7451749)",7451749,3000,"Bal@Jax 01:00PM ET","Bal","Breshad","Perriman","Jax",4.92,8.3
"Brett Hundley","QB","Brett Hundley (7451527)",7451527,5000,"Det@GB 01:00PM ET","GB","Brett","Hundley","Det",0,0
"Brian Hoyer","QB","Brian Hoyer (7451569)",7451569,5000,"Chi@Dal 08:30PM ET","Chi","Brian","Hoyer","Dal",14.01,16.8
"Brian Quick","WR","Brian Quick (7451787)",7451787,3000,"LA@TB 04:05PM ET","LA","Brian","Quick","TB",3.18,4.1
"Brice Butler","WR","Brice Butler (7451841)",7451841,3000,"Chi@Dal 08:30PM ET","Dal","Brice","Butler","Chi",2.97,1.3
"Bryan Walters","WR","Bryan Walters (7451740)",7451740,3000,"Bal@Jax 01:00PM ET","Jax","Bryan","Walters","Bal",0,0
"Bryce Petty","QB","Bryce Petty (7451554)",7451554,5000,"NYJ@KC 04:25PM ET","NYJ","Bryce","Petty","KC",0,0
"Bryce Treggs","WR","Bryce Treggs (7451836)",7451836,3000,"Pit@Phi 04:25PM ET","Phi","Bryce","Treggs","Pit",0,0
"C.J. Anderson","RB","C.J. Anderson (7451627)",7451627,7300,"Den@Cin 01:00PM ET","Den","C.J.","Anderson","Cin",18.63,16
"C.J. Prosise","RB","C.J. Prosise (7451654)",7451654,3300,"SF@Sea 04:05PM ET","Sea","C.J.","Prosise","SF",0,0
"C.J. Uzomah","TE","C.J. Uzomah (7451896)",7451896,2500,"Den@Cin 01:00PM ET","Cin","C.J.","Uzomah","Den",4.17,3
"Cam Newton","QB","Cam Newton (7451539)",7451539,7800,"Min@Car 01:00PM ET","Car","Cam","Newton","Min",22.49,22.4
"Cameron Artis-Payne","RB","Cameron Artis-Payne (7451638)",7451638,3000,"Min@Car 01:00PM ET","Car","Cameron","Artis-Payne","Min",8.79,6.6
"Cameron Brate","TE","Cameron Brate (7451911)",7451911,2500,"LA@TB 04:05PM ET","TB","Cameron","Brate","LA",7.22,9.1
"Cameron Meredith","WR","Cameron Meredith (7451846)",7451846,3000,"Chi@Dal 08:30PM ET","Chi","Cameron","Meredith","Dal",0,0
"Cardale Jones","QB","Cardale Jones (7451503)",7451503,5000,"Ari@Buf 01:00PM ET","Buf","Cardale","Jones","Ari",0,0
"Carlos Hyde","RB","Carlos Hyde (7451651)",7451651,4400,"SF@Sea 04:05PM ET","SF","Carlos","Hyde","Sea",10.98,10.4
"Carson Palmer","QB","Carson Palmer (7451499)",7451499,7200,"Ari@Buf 01:00PM ET","Ari","Carson","Palmer","Buf",21.26,18.3
"Carson Wentz","QB","Carson Wentz (7451566)",7451566,5500,"Pit@Phi 04:25PM ET","Phi","Carson","Wentz","Pit",17.23,16.6
"Case Keenum","QB","Case Keenum (7451540)",7451540,5000,"LA@TB 04:05PM ET","LA","Case","Keenum","TB",11.39,13
"Chad Henne","QB","Chad Henne (7451520)",7451520,5000,"Bal@Jax 01:00PM ET","Jax","Chad","Henne","Bal",0,0
"Charcandrick West","RB","Charcandrick West (7451663)",7451663,3500,"NYJ@KC 04:25PM ET","KC","Charcandrick","West","NYJ",8.46,2.5
"Charles Clay","TE","Charles Clay (7451852)",7451852,2900,"Ari@Buf 01:00PM ET","Buf","Charles","Clay","Ari",9.55,8.8
"Charles Johnson","WR","Charles Johnson (7451774)",7451774,3000,"Min@Car 01:00PM ET","Min","Charles","Johnson","Car",7.1,5.3
"Charles Sims","RB","Charles Sims (7451643)",7451643,4900,"LA@TB 04:05PM ET","TB","Charles","Sims","LA",13.14,16
"Charone Peake","WR","Charone Peake (7451813)",7451813,3000,"NYJ@KC 04:25PM ET","NYJ","Charone","Peake","KC",0,0
"Chase Daniel","QB","Chase Daniel (7451563)",7451563,5000,"Pit@Phi 04:25PM ET","Phi","Chase","Daniel","Pit",0,0
"Chase Reynolds","RB","Chase Reynolds (7451639)",7451639,3000,"LA@TB 04:05PM ET","LA","Chase","Reynolds","TB",0,0
"Chester Rogers","WR","Chester Rogers (7451827)",7451827,3000,"SD@Ind 04:25PM ET","Ind","Chester","Rogers","SD",0,6.6
"Chris Conley","WR","Chris Conley (7451812)",7451812,3100,"NYJ@KC 04:25PM ET","KC","Chris","Conley","NYJ",5.5,5.8
"Chris Ivory","RB","Chris Ivory (7451608)",7451608,3900,"Bal@Jax 01:00PM ET","Jax","Chris","Ivory","Bal",9.8,8
"Chris Johnson","RB","Chris Johnson (7451574)",7451574,3500,"Ari@Buf 01:00PM ET","Ari","Chris","Johnson","Buf",5.28,2.9
"Chris Moore","WR","Chris Moore (7451747)",7451747,3000,"Bal@Jax 01:00PM ET","Bal","Chris","Moore","Jax",0,1.1
"Chris Thompson","RB","Chris Thompson (7451593)",7451593,3400,"Was@NYG 01:00PM ET","Was","Chris","Thompson","NYG",8.84,7.9
"Christian Hackenberg","QB","Christian Hackenberg (7451557)",7451557,5000,"NYJ@KC 04:25PM ET","NYJ","Christian","Hackenberg","KC",0,0
"Christian Ponder","QB","Christian Ponder (7451547)",7451547,5000,"SF@Sea 04:05PM ET","SF","Christian","Ponder","Sea",0,0
"Christine Michael","RB","Christine Michael (7451650)",7451650,5000,"SF@Sea 04:05PM ET","Sea","Christine","Michael","SF",16.12,15.6
"Clive Walford","TE","Clive Walford (7451860)",7451860,2800,"Oak@Ten 01:00PM ET","Oak","Clive","Walford","Ten",9.4,8.5
"Cody Core","WR","Cody Core (7451771)",7451771,3000,"Den@Cin 01:00PM ET","Cin","Cody","Core","Den",0,0
"Cody Kessler","QB","Cody Kessler (7451518)",7451518,5000,"Cle@Mia 01:00PM ET","Cle","Cody","Kessler","Mia",11.67,14.4
"Cody Latimer","WR","Cody Latimer (7451769)",7451769,3000,"Den@Cin 01:00PM ET","Den","Cody","Latimer","Cin",0,1.9
"Cole Beasley","WR","Cole Beasley (7451843)",7451843,3200,"Chi@Dal 08:30PM ET","Dal","Cole","Beasley","Chi",11.24,10.1
"Cole Wick","TE","Cole Wick (7451888)",7451888,2500,"Det@GB 01:00PM ET","Det","Cole","Wick","GB",0,0
"Colin Kaepernick","QB","Colin Kaepernick (7451546)",7451546,5000,"SF@Sea 04:05PM ET","SF","Colin","Kaepernick","Sea",0,1.1
"Colt McCoy","QB","Colt McCoy (7451511)",7451511,5000,"Was@NYG 01:00PM ET","Was","Colt","McCoy","NYG",0,0
"Connor Cook","QB","Connor Cook (7451507)",7451507,5000,"Oak@Ten 01:00PM ET","Oak","Connor","Cook","Ten",0,0
"Cordarrelle Patterson","WR","Cordarrelle Patterson (7451780)",7451780,3000,"Min@Car 01:00PM ET","Min","Cordarrelle","Patterson","Car",0,1.2
"Corey Brown","WR","Corey Brown (7451777)",7451777,3000,"Min@Car 01:00PM ET","Car","Corey","Brown","Min",0,3.7
"Corey Coleman","WR","Corey Coleman (7451735)",7451735,5300,"Cle@Mia 01:00PM ET","Cle","Corey","Coleman","Mia",0,0
"Corey Grant","RB","Corey Grant (7451611)",7451611,3000,"Bal@Jax 01:00PM ET","Jax","Corey","Grant","Bal",0,0
"Cory Harkey","TE","Cory Harkey (7451910)",7451910,2500,"LA@TB 04:05PM ET","LA","Cory","Harkey","TB",0,0
"Crockett Gillmore","TE","Crockett Gillmore (7451877)",7451877,2500,"Bal@Jax 01:00PM ET","Bal","Crockett","Gillmore","Jax",3.1,4.3
"Dak Prescott","QB","Dak Prescott (7451571)",7451571,5700,"Chi@Dal 08:30PM ET","Dal","Dak","Prescott","Chi",17.62,17.7
"Damien Williams","RB","Damien Williams (7451604)",7451604,3000,"Cle@Mia 01:00PM ET","Mia","Damien","Williams","Cle",0,0
"Damiere Byrd","WR","Damiere Byrd (7451778)",7451778,3000,"Min@Car 01:00PM ET","Car","Damiere","Byrd","Min",0,0
"Dan Orlovsky","QB","Dan Orlovsky (7451524)",7451524,5000,"Det@GB 01:00PM ET","Det","Dan","Orlovsky","GB",0,0
"Danny Woodhead","RB","Danny Woodhead (7451666)",7451666,5400,"SD@Ind 04:25PM ET","SD","Danny","Woodhead","Ind",0,0
"Darius Jackson","RB","Darius Jackson (7451689)",7451689,3000,"Chi@Dal 08:30PM ET","Dal","Darius","Jackson","Chi",0,0
"Darren Fells","TE","Darren Fells (7451849)",7451849,2500,"Ari@Buf 01:00PM ET","Ari","Darren","Fells","Buf",7.03,3.6
"Darren Sproles","RB","Darren Sproles (7451674)",7451674,3700,"Pit@Phi 04:25PM ET","Phi","Darren","Sproles","Pit",8.98,10.2
"Darrius Heyward-Bey","WR","Darrius Heyward-Bey (7451828)",7451828,3200,"Pit@Phi 04:25PM ET","Pit","Darrius","Heyward-Bey","Phi",3.25,2.2
"Daryl Richardson","RB","Daryl Richardson (7451680)",7451680,3000,"Pit@Phi 04:25PM ET","Pit","Daryl","Richardson","Phi",0,2.9
"Davante Adams","WR","Davante Adams (7451758)",7451758,4100,"Det@GB 01:00PM ET","GB","Davante","Adams","Det",10.06,9.5
"David Johnson","RB","David Johnson (7451579)",7451579,7700,"Ari@Buf 01:00PM ET","Ari","David","Johnson","Buf",21.69,1.3
"David Johnson","RB","David Johnson (7451579)",7451579,7700,"Ari@Buf 01:00PM ET","Ari","David","Johnson","Buf",21.69,19
"David Johnson","TE","David Johnson (7451937)",7451937,2500,"Pit@Phi 04:25PM ET","Pit","David","Johnson","Phi",0,1.3
"David Johnson","TE","David Johnson (7451937)",7451937,2500,"Pit@Phi 04:25PM ET","Pit","David","Johnson","Phi",0,19
"David Morgan","TE","David Morgan (7451905)",7451905,2500,"Min@Car 01:00PM ET","Min","David","Morgan","Car",0,0
"De'Anthony Thomas","WR","De'Anthony Thomas (7451814)",7451814,3000,"NYJ@KC 04:25PM ET","KC","De'Anthony","Thomas","NYJ",0,0
"DeAndre Washington","RB","DeAndre Washington (7451587)",7451587,3400,"Oak@Ten 01:00PM ET","Oak","DeAndre","Washington","Ten",6.18,5.2
"DeAngelo Williams","RB","DeAngelo Williams (7451675)",7451675,7500,"Pit@Phi 04:25PM ET","Pit","DeAngelo","Williams","Phi",21.47,20.3
"Delanie Walker","TE","Delanie Walker (7451856)",7451856,5000,"Oak@Ten 01:00PM ET","Ten","Delanie","Walker","Oak",0,0
"DeMarco Murray","RB","DeMarco Murray (7451581)",7451581,6300,"Oak@Ten 01:00PM ET","Ten","DeMarco","Murray","Oak",15.85,14.6
"Demarcus Robinson","WR","Demarcus Robinson (7451816)",7451816,3000,"NYJ@KC 04:25PM ET","KC","Demarcus","Robinson","NYJ",0,0
"Demaryius Thomas","WR","Demaryius Thomas (7451764)",7451764,6400,"Den@Cin 01:00PM ET","Den","Demaryius","Thomas","Cin",12.92,14.8
"Demetrius Harris","TE","Demetrius Harris (7451929)",7451929,2500,"NYJ@KC 04:25PM ET","KC","Demetrius","Harris","NYJ",0,0
"Denard Robinson","RB","Denard Robinson (7451610)",7451610,3000,"Bal@Jax 01:00PM ET","Jax","Denard","Robinson","Bal",0,2.4
"Dennis Pitta","TE","Dennis Pitta (7451876)",7451876,3400,"Bal@Jax 01:00PM ET","Bal","Dennis","Pitta","Jax",12.38,10.7
"Deonte Thompson","WR","Deonte Thompson (7451839)",7451839,3000,"Chi@Dal 08:30PM ET","Chi","Deonte","Thompson","Dal",0,0
"Derek Anderson","QB","Derek Anderson (7451535)",7451535,5000,"Min@Car 01:00PM ET","Car","Derek","Anderson","Min",0,0
"Derek Carr","QB","Derek Carr (7451506)",7451506,6900,"Oak@Ten 01:00PM ET","Oak","Derek","Carr","Ten",20.9,20.7
"Derek Watt","RB","Derek Watt (7451672)",7451672,3000,"SD@Ind 04:25PM ET","SD","Derek","Watt","Ind",0,0
"Derrick Henry","RB","Derrick Henry (7451589)",7451589,3700,"Oak@Ten 01:00PM ET","Ten","Derrick","Henry","Oak",6.75,7.4
"DeSean Jackson","WR","DeSean Jackson (7451715)",7451715,5900,"Was@NYG 01:00PM ET","Was","DeSean","Jackson","NYG",13.85,13
"DeVante Parker","WR","DeVante Parker (7451731)",7451731,4900,"Cle@Mia 01:00PM ET","Mia","DeVante","Parker","Cle",12.78,14.1
"Devin Funchess","WR","Devin Funchess (7451782)",7451782,4100,"Min@Car 01:00PM ET","Car","Devin","Funchess","Min",7.72,6.6
"Devin Hester","WR","Devin Hester (7451739)",7451739,3000,"Bal@Jax 01:00PM ET","Bal","Devin","Hester","Jax",0,0
"Devontae Booker","RB","Devontae Booker (7451630)",7451630,3000,"Den@Cin 01:00PM ET","Den","Devontae","Booker","Cin",4.23,5
"Dez Bryant","WR","Dez Bryant (7451840)",7451840,8400,"Chi@Dal 08:30PM ET","Dal","Dez","Bryant","Chi",17.84,17.1
"Dion Sims","TE","Dion Sims (7451872)",7451872,2500,"Cle@Mia 01:00PM ET","Mia","Dion","Sims","Cle",2.4,2.7
"Donte Moncrief","WR","Donte Moncrief (7451825)",7451825,6700,"SD@Ind 04:25PM ET","Ind","Donte","Moncrief","SD",0,0
"Dontrelle Inman","WR","Dontrelle Inman (7451819)",7451819,3600,"SD@Ind 04:25PM ET","SD","Dontrelle","Inman","Ind",4.74,9.5
"Dorial Green-Beckham","WR","Dorial Green-Beckham (7451835)",7451835,3200,"Pit@Phi 04:25PM ET","Phi","Dorial","Green-Beckham","Pit",6.94,5.9
"Doug Baldwin","WR","Doug Baldwin (7451798)",7451798,6300,"SF@Sea 04:05PM ET","Sea","Doug","Baldwin","SF",17.26,17.5
"Doug Martin","RB","Doug Martin (7451640)",7451640,5700,"LA@TB 04:05PM ET","TB","Doug","Martin","LA",0,0
"Drew Stanton","QB","Drew Stanton (7451500)",7451500,5000,"Ari@Buf 01:00PM ET","Ari","Drew","Stanton","Buf",0,0
"DuJuan Harris","RB","DuJuan Harris (7451648)",7451648,3000,"SF@Sea 04:05PM ET","SF","DuJuan","Harris","Sea",0,0
"Dwayne Allen","TE","Dwayne Allen (7451932)",7451932,3800,"SD@Ind 04:25PM ET","Ind","Dwayne","Allen","SD",10.82,9.8
"Dwayne Harris","WR","Dwayne Harris (7451716)",7451716,3000,"Was@NYG 01:00PM ET","NYG","Dwayne","Harris","Was",0,1.5
"Dwayne Washington","RB","Dwayne Washington (7451623)",7451623,3600,"Det@GB 01:00PM ET","Det","Dwayne","Washington","GB",7.36,6.7
"Ed Dickson","TE","Ed Dickson (7451899)",7451899,2500,"Min@Car 01:00PM ET","Car","Ed","Dickson","Min",0,2.4
"Eddie Lacy","RB","Eddie Lacy (7451617)",7451617,6100,"Det@GB 01:00PM ET","GB","Eddie","Lacy","Det",13.21,13.3
"Eddie Royal","WR","Eddie Royal (7451838)",7451838,3500,"Chi@Dal 08:30PM ET","Chi","Eddie","Royal","Dal",9.06,9.4
"EJ Manuel","QB","EJ Manuel (7451502)",7451502,5000,"Ari@Buf 01:00PM ET","Buf","EJ","Manuel","Ari",0,0
"Eli Manning","QB","Eli Manning (7451509)",7451509,7000,"Was@NYG 01:00PM ET","NYG","Eli","Manning","Was",18.46,18.5
"Eli Rogers","WR","Eli Rogers (7451834)",7451834,3900,"Pit@Phi 04:25PM ET","Pit","Eli","Rogers","Phi",8.79,6.2
"Emmanuel Sanders","WR","Emmanuel Sanders (7451763)",7451763,6000,"Den@Cin 01:00PM ET","Den","Emmanuel","Sanders","Cin",12.48,12.2
"Eric Decker","WR","Eric Decker (7451808)",7451808,6900,"NYJ@KC 04:25PM ET","NYJ","Eric","Decker","KC",15.75,14.3
"Eric Ebron","TE","Eric Ebron (7451886)",7451886,3700,"Det@GB 01:00PM ET","Det","Eric","Ebron","GB",12.51,9.8
"Erik Swoope","TE","Erik Swoope (7451934)",7451934,2500,"SD@Ind 04:25PM ET","Ind","Erik","Swoope","SD",0,0
"Ezekiel Elliott","RB","Ezekiel Elliott (7451690)",7451690,6900,"Chi@Dal 08:30PM ET","Dal","Ezekiel","Elliott","Chi",17.11,15.7
"Fitzgerald Toussaint","RB","Fitzgerald Toussaint (7451678)",7451678,3000,"Pit@Phi 04:25PM ET","Pit","Fitzgerald","Toussaint","Phi",2.4,4.4
"Fozzy Whittaker","RB","Fozzy Whittaker (7451634)",7451634,3800,"Min@Car 01:00PM ET","Car","Fozzy","Whittaker","Min",8.9,5.8
"Frank Gore","RB","Frank Gore (7451665)",7451665,5000,"SD@Ind 04:25PM ET","Ind","Frank","Gore","SD",11.92,12
"Garrett Celek","TE","Garrett Celek (7451917)",7451917,2500,"SF@Sea 04:05PM ET","SF","Garrett","Celek","Sea",2.77,2.4
"Gary Barnidge","TE","Gary Barnidge (7451869)",7451869,4000,"Cle@Mia 01:00PM ET","Cle","Gary","Barnidge","Mia",9.3,9.7
"Gavin Escobar","TE","Gavin Escobar (7451947)",7451947,2500,"Chi@Dal 08:30PM ET","Dal","Gavin","Escobar","Chi",0,0
"Geno Smith","QB","Geno Smith (7451555)",7451555,5000,"NYJ@KC 04:25PM ET","NYJ","Geno","Smith","KC",0,0
"Geoff Swaim","TE","Geoff Swaim (7451948)",7451948,2500,"Chi@Dal 08:30PM ET","Dal","Geoff","Swaim","Chi",2.87,1.2
"Giovani Bernard","RB","Giovani Bernard (7451625)",7451625,4300,"Den@Cin 01:00PM ET","Cin","Giovani","Bernard","Den",10.6,12
"Golden Tate","WR","Golden Tate (7451753)",7451753,5900,"Det@GB 01:00PM ET","Det","Golden","Tate","GB",12.48,13.4
"Greg Olsen","TE","Greg Olsen (7451898)",7451898,5800,"Min@Car 01:00PM ET","Car","Greg","Olsen","Min",15.99,13.1
"Greg Salas","WR","Greg Salas (7451694)",7451694,3000,"Ari@Buf 01:00PM ET","Buf","Greg","Salas","Ari",0,0
"Greg Scruggs","TE","Greg Scruggs (7451946)",7451946,2500,"Chi@Dal 08:30PM ET","Chi","Greg","Scruggs","Dal",0,0
"Harry Douglas","WR","Harry Douglas (7451704)",7451704,3000,"Oak@Ten 01:00PM ET","Ten","Harry","Douglas","Oak",5.08,1.5
"Hunter Henry","TE","Hunter Henry (7451935)",7451935,2500,"SD@Ind 04:25PM ET","SD","Hunter","Henry","Ind",7.44,9.4
"Isaiah Burse","WR","Isaiah Burse (7451822)",7451822,3000,"SD@Ind 04:25PM ET","SD","Isaiah","Burse","Ind",3.51,1.9
"Isaiah Crowell","RB","Isaiah Crowell (7451602)",7451602,4700,"Cle@Mia 01:00PM ET","Cle","Isaiah","Crowell","Mia",10.5,13.1
"Isaiah Pead","RB","Isaiah Pead (7451599)",7451599,3000,"Cle@Mia 01:00PM ET","Mia","Isaiah","Pead","Cle",0,0
"J.J. Nelson","WR","J.J. Nelson (7451701)",7451701,3000,"Ari@Buf 01:00PM ET","Ari","J.J.","Nelson","Buf",0,4.4
"Jace Amaro","TE","Jace Amaro (7451861)",7451861,2500,"Oak@Ten 01:00PM ET","Ten","Jace","Amaro","Oak",5.85,3.9
"Jack Doyle","TE","Jack Doyle (7451933)",7451933,2500,"SD@Ind 04:25PM ET","Ind","Jack","Doyle","SD",7.94,7.7
"Jacquizz Rodgers","RB","Jacquizz Rodgers (7451641)",7451641,3000,"LA@TB 04:05PM ET","TB","Jacquizz","Rodgers","LA",4.71,5.7
"Jakeem Grant","WR","Jakeem Grant (7451732)",7451732,3000,"Cle@Mia 01:00PM ET","Mia","Jakeem","Grant","Cle",0,0
"Jalen Richard","RB","Jalen Richard (7451588)",7451588,3600,"Oak@Ten 01:00PM ET","Oak","Jalen","Richard","Ten",0,3.1
