"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10"
"Ian Desmond_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Murphy_WAS",NA,8,NA,10,NA,NA,17,3,3
"Mark Trumbo_BAL",NA,21,NA,0,NA,0,14,12,NA
"Xander Bogaerts_BOS",NA,16,NA,0,NA,NA,NA,NA,NA
"Freddie Freeman_ATL",NA,14,NA,2,0,NA,5,43,NA
"Alex Dickerson_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunter Renfroe_SD",NA,0,3,14,NA,NA,10,0,19
"Ryan Braun_MIL",NA,2,19,9,NA,7,NA,18,NA
"Adam Jones_BAL",NA,9,NA,16,NA,9,7,5,NA
"Andrew McCutchen_PIT",NA,0,NA,0,NA,NA,2,0,5
"Nelson Cruz_SEA",NA,NA,0,7,2,5,2,2,15
"Cory Spangenberg_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dexter Fowler_STL",7,NA,3,NA,NA,2,11,0,9
"Craig Gentry_BAL",NA,NA,NA,NA,NA,NA,NA,0,NA
"Jackie Bradley_BOS",NA,12,NA,15,NA,NA,2,NA,NA
"Gregory Polanco_PIT",NA,3,NA,0,NA,NA,25,5,3
"Robinson Cano_SEA",NA,NA,7,2,3,3,3,27,11
"Jean Segura_SEA",NA,NA,0,19,13,7,13,16,0
"Christian Yelich_MIA",NA,0,NA,8,NA,21,7,0,NA
"Jabari Blash_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Carpenter_STL",5,NA,0,NA,NA,2,4,5,8
"Paul Goldschmidt_ARI",8,NA,18,11,19,17,12,8,0
"Dustin Pedroia_BOS",NA,7,NA,5,NA,NA,5,3,3
"George Springer_HOU",NA,NA,5,27,16,2,2,19,0
"Maikel Franco_PHI",NA,7,NA,3,NA,NA,11,4,8
"Jose Reyes_NYM",NA,4,NA,0,5,0,NA,0,0
"Dee Gordon_MIA",NA,0,NA,12,NA,10,NA,9,NA
"Gerardo Parra_COL",NA,8,19,5,NA,NA,17,11,5
"Adam Eaton_WAS",NA,16,NA,11,NA,NA,2,5,23
"Jonathan Villar_MIL",NA,13,0,19,NA,0,22,0,NA
"Curtis Granderson_NYM",NA,5,NA,0,3,10,0,NA,3
"JT Riddle_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Jankowski_SD",NA,5,4,2,NA,NA,NA,6,0
"Aledmys Diaz_STL",18,NA,0,NA,NA,0,37,3,0
"Stephen Piscotty_STL",9,NA,4,NA,NA,2,NA,NA,10
"Buster Posey_SF",2,NA,4,10,12,NA,5,21,2
"Troy Tulowitzki_TOR",NA,0,NA,0,0,27,5,2,NA
"Andrew Benintendi_BOS",NA,18,NA,3,NA,NA,3,5,2
"Evan Gattis_HOU",NA,NA,2,14,NA,3,NA,16,0
"Kyle Seager_SEA",NA,NA,5,8,5,0,7,2,10
"Odubel Herrera_PHI",NA,9,NA,8,NA,NA,11,3,5
"Matt Kemp_ATL",NA,5,NA,21,28,NA,NA,NA,NA
"Anthony Rendon_WAS",NA,NA,NA,0,NA,NA,6,0,2
"Devon Travis_TOR",NA,6,NA,5,NA,4,0,0,NA
"Welington Castillo_BAL",NA,8,NA,3,NA,0,7,NA,NA
"Jonathan Schoop_BAL",NA,0,NA,5,NA,7,2,2,NA
"Adam Duvall_CIN",NA,8,NA,7,NA,0,0,26,16
"Albert Pujols_LAA",NA,NA,0,5,NA,2,13,21,NA
"Rougned Odor_TEX",NA,NA,3,3,NA,21,5,2,NA
"David Wright_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asdrubal Cabrera_NYM",NA,18,NA,2,5,5,3,5,9
"Kendrys Morales_TOR",NA,4,NA,3,20,11,3,7,NA
"Pablo Sandoval_BOS",NA,7,NA,4,NA,NA,0,0,2
"Billy Hamilton_CIN",NA,10,NA,7,NA,13,NA,7,23
"Shin-Soo Choo_TEX",NA,NA,3,8,NA,12,0,NA,NA
"Alex Bregman_HOU",NA,NA,0,7,NA,5,3,0,3
"Lucas Duda_NYM",NA,13,NA,2,NA,NA,14,6,4
"Tommy Joseph_PHI",NA,0,NA,0,NA,NA,14,7,NA
"Neil Walker_NYM",NA,4,NA,0,10,3,0,5,4
"Jay Bruce_NYM",NA,10,NA,22,4,2,3,16,34
"Dustin Garneau_COL",NA,NA,NA,NA,NA,NA,0,NA,NA
"Hector Sanchez_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Randal Grichuk_STL",23,NA,0,NA,NA,0,3,5,0
"Hunter Pence_SF",5,NA,11,15,4,NA,0,16,10
"Russell Martin_TOR",NA,4,NA,2,4,NA,6,0,NA
"Seth Smith_BAL",NA,7,NA,NA,NA,23,8,NA,NA
"Adrian Beltre_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Conforto_NYM",NA,NA,NA,NA,NA,NA,NA,18,NA
"Marcell Ozuna_MIA",NA,5,NA,10,NA,15,23,0,NA
"Ender Inciarte_ATL",NA,0,NA,4,3,NA,3,0,NA
"Christian Bethancourt_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luis Torrens_SD",NA,NA,NA,NA,NA,NA,NA,NA,2
"Erick Aybar_SD",NA,NA,15,2,NA,NA,NA,3,0
"Allen Cordoba_SD",NA,NA,NA,NA,NA,NA,5,NA,NA
"Jayson Werth_WAS",NA,0,NA,6,NA,NA,10,6,12
"Eduardo Nunez_SF",25,NA,10,13,2,NA,5,7,3
"Jose Osuna_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Harrison_PIT",NA,7,NA,3,NA,NA,5,NA,NA
"Jose Peraza_CIN",NA,6,NA,0,NA,0,NA,9,13
"Jonathan Lucroy_TEX",NA,NA,NA,5,NA,3,0,NA,NA
"Kole Calhoun_LAA",NA,NA,7,11,NA,21,5,9,NA
"Carlos Beltran_HOU",NA,NA,0,6,3,10,10,NA,3
"Michael Saunders_PHI",NA,9,NA,NA,NA,NA,26,0,8
"JT Realmuto_MIA",NA,10,NA,23,NA,NA,20,3,NA
"Austin Hedges_SD",NA,0,0,2,NA,NA,2,2,NA
"Tom Murphy_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jedd Gyorko_STL",0,NA,NA,NA,NA,NA,18,0,NA
"Michael Taylor_WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Belt_SF",4,NA,10,24,9,NA,5,6,4
"Steve Pearce_TOR",NA,11,NA,0,0,NA,0,NA,NA
"Keon Broxton_MIL",NA,7,2,NA,NA,NA,NA,0,NA
"Hyun Soo Kim_BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brock Holt_BOS",NA,NA,NA,NA,NA,NA,2,NA,2
"Scooter Gennett_CIN",NA,NA,NA,NA,NA,2,0,NA,16
"Scott Schebler_CIN",NA,7,NA,0,NA,16,NA,11,4
"Mike Napoli_TEX",NA,NA,9,0,NA,0,14,2,NA
"Carlos Gomez_TEX",NA,NA,0,4,NA,20,0,2,NA
"Cameron Maybin_LAA",NA,NA,8,7,NA,14,3,NA,NA
"Mitch Haniger_SEA",NA,NA,7,11,21,5,16,18,12
"Aaron Altherr_PHI",NA,NA,NA,3,NA,NA,NA,NA,NA
"Martin Prado_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Markakis_ATL",NA,0,NA,12,3,NA,11,10,NA
"Luis Sardinas_SD",NA,NA,NA,NA,NA,NA,3,NA,NA
"Yadier Molina_STL",10,NA,3,NA,NA,0,9,3,10
"Ryan Zimmerman_WAS",NA,6,NA,18,NA,NA,2,NA,22
"Denard Span_SF",6,NA,NA,NA,NA,NA,2,5,5
"AJ Pollock_ARI",24,NA,10,17,11,0,NA,0,0
"Eric Thames_MIL",NA,13,NA,17,NA,NA,5,9,NA
"Domingo Santana_MIL",NA,9,11,NA,NA,0,NA,16,NA
"Kevin Pillar_TOR",NA,7,NA,3,3,6,3,0,NA
"Mitch Moreland_BOS",NA,0,NA,0,NA,NA,10,13,15
"Trey Mancini_BAL",NA,NA,NA,0,NA,NA,NA,4,NA
"Eugenio Suarez_CIN",NA,2,NA,0,NA,NA,21,10,27
"Alen Hanson_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CJ Cron_LAA",NA,NA,NA,8,NA,0,NA,10,NA
"Elvis Andrus_TEX",NA,NA,2,17,NA,7,0,5,NA
"Nomar Mazara_TEX",NA,NA,10,24,NA,32,0,6,NA
"Josh Reddick_HOU",NA,NA,3,5,NA,3,NA,5,0
"Cesar Hernandez_PHI",NA,14,NA,0,NA,NA,23,12,5
"Wilmer Flores_NYM",NA,NA,NA,NA,16,5,0,NA,NA
"Howie Kendrick_PHI",NA,11,NA,2,NA,NA,31,9,7
"Freddy Galvis_PHI",NA,21,NA,0,NA,NA,2,8,3
"Brandon Phillips_ATL",NA,3,NA,5,0,NA,19,6,NA
"Pat Valaika_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joe Panik_SF",12,NA,17,5,NA,NA,3,NA,4
"Jake Lamb_ARI",0,NA,20,7,20,12,9,5,3
"Zack Cozart_CIN",NA,5,NA,8,NA,15,8,12,NA
"Luis Valbuena_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefry Marte_LAA",NA,NA,9,NA,NA,NA,5,NA,NA
"Joey Gallo_TEX",NA,NA,19,4,NA,4,0,25,NA
"Danny Valencia_SEA",NA,NA,8,0,2,3,5,2,2
"Norichika Aoki_HOU",NA,NA,NA,NA,5,0,NA,0,NA
"Rhys Hoskins_PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Bour_MIA",NA,0,NA,2,NA,9,4,0,NA
"Adonis Garcia_ATL",NA,0,NA,9,3,NA,5,5,NA
"Dansby Swanson_ATL",NA,3,NA,3,0,NA,7,14,NA
"Matt Wieters_WAS",NA,5,NA,17,NA,NA,0,NA,14
"Adam Lind_WAS",NA,NA,NA,NA,NA,NA,NA,10,NA
"Jhonny Peralta_STL",3,NA,3,NA,NA,0,NA,0,5
"Brandon Crawford_SF",10,NA,21,7,7,NA,5,8,9
"Yasmany Tomas_ARI",0,NA,0,10,NA,16,20,NA,14
"Travis Shaw_MIL",NA,12,16,16,NA,7,9,0,NA
"Hernan Perez_MIL",NA,NA,NA,7,NA,3,NA,0,NA
"JJ Hardy_BAL",NA,0,NA,0,NA,3,0,7,NA
"Chris Young_BOS",NA,NA,NA,4,NA,NA,0,12,0
"Arismendy Alcantara_CIN",NA,NA,NA,NA,NA,NA,0,NA,NA
"Josh Bell_PIT",NA,5,NA,0,NA,NA,NA,13,3
"Delino DeShields_TEX",NA,NA,NA,0,NA,NA,NA,5,NA
"Brian McCann_HOU",NA,NA,14,NA,3,NA,17,7,NA
"Taylor Motter_SEA",NA,NA,NA,NA,NA,NA,NA,4,NA
"Leonys Martin_SEA",NA,NA,0,12,0,NA,0,3,8
"Travis d'Arnaud_NYM",NA,NA,NA,3,9,NA,2,NA,0
"Cameron Rupp_PHI",NA,0,NA,3,NA,NA,18,NA,4
"Daniel Nava_PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derek Dietrich_MIA",NA,0,NA,4,NA,21,2,10,NA
"Tony Wolters_COL",NA,10,2,0,NA,NA,NA,14,0
"Matt Adams_STL",NA,NA,NA,NA,NA,NA,6,3,NA
"David Peralta_ARI",0,NA,0,NA,25,6,16,8,2
"Justin Smoak_TOR",NA,NA,NA,10,3,9,3,0,NA
"Rowdy Tellez_TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Franklin_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orlando Arcia_MIL",NA,7,0,8,NA,3,0,NA,NA
"Dalton Pompey_TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joey Rickard_BAL",NA,NA,NA,0,NA,NA,NA,NA,NA
"Francisco Cervelli_PIT",NA,9,NA,3,NA,NA,5,NA,6
"David Freese_PIT",NA,8,NA,5,NA,NA,NA,NA,2
"Adam Frazier_PIT",NA,7,NA,3,NA,NA,5,13,2
"Jordy Mercer_PIT",NA,5,NA,0,NA,NA,7,5,2
"Yunel Escobar_LAA",NA,NA,5,4,NA,13,26,14,NA
"Ben Revere_LAA",NA,NA,NA,NA,NA,NA,NA,11,NA
"Yuli Gurriel_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derek Fisher_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Knapp_PHI",NA,NA,NA,NA,NA,NA,NA,9,NA
"TJ Rivera_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Nimmo_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jace Peterson_ATL",NA,NA,NA,NA,NA,NA,13,7,NA
"Kolten Wong_STL",NA,NA,3,NA,NA,3,6,NA,9
"Jesus Aguilar_MIL",NA,NA,5,NA,NA,10,0,NA,NA
"Sandy Leon_BOS",NA,8,NA,26,NA,NA,NA,14,0
"Marco Hernandez_BOS",NA,NA,NA,NA,NA,NA,3,13,0
"Steve Selsky_BOS",NA,NA,NA,NA,NA,NA,NA,5,NA
"John Jaso_PIT",NA,NA,NA,NA,NA,NA,2,NA,NA
"Kevin Newman_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jesse Winker_CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jurickson Profar_TEX",NA,NA,NA,NA,NA,4,NA,NA,NA
"Andrelton Simmons_LAA",NA,NA,7,12,NA,11,3,16,NA
"Jarrod Dyson_SEA",NA,NA,5,8,5,2,2,NA,9
"Tyler Flowers_ATL",NA,3,NA,NA,3,NA,NA,8,NA
"Cristhian Adames_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harrison Bader_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Drury_ARI",3,NA,9,7,NA,15,21,2,0
"Chris Owings_ARI",8,NA,5,26,0,NA,7,32,5
"Jarrett Parker_SF",0,NA,NA,0,NA,NA,0,NA,7
"Ezequiel Carrera_TOR",NA,10,NA,NA,NA,3,NA,0,NA
"Danny Espinosa_LAA",NA,NA,18,9,NA,2,5,2,NA
"Mike Zunino_SEA",NA,NA,3,5,NA,3,5,NA,7
"Ben Gamel_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juan Lagares_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Destin Hood_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexi Amarista_COL",NA,NA,NA,NA,NA,NA,NA,0,NA
"Jose Martinez_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephen Drew_WAS",NA,0,NA,NA,NA,NA,NA,0,25
"Nick Hundley_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Susac_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirk Nieuwenhuis_MIL",NA,NA,NA,0,NA,NA,4,NA,NA
"Christian Vazquez_BOS",NA,NA,NA,NA,NA,NA,9,NA,NA
"Josh Rutledge_BOS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deven Marrero_BOS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Flaherty_BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patrick Kivlehan_CIN",NA,NA,NA,NA,NA,NA,0,NA,NA
"Robinson Chirinos_TEX",NA,NA,0,NA,NA,NA,NA,25,NA
"Marwin Gonzalez_HOU",NA,NA,14,NA,16,NA,7,18,2
"Guillermo Heredia_SEA",NA,NA,NA,NA,NA,0,NA,NA,NA
"Brock Stassi_PHI",NA,NA,NA,NA,NA,NA,NA,NA,14
"Micah Johnson_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chase d'Arnaud_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ichiro Suzuki_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilmer Difo_WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greg Garcia_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelby Tomlinson_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Hazelbaker_ARI",NA,NA,NA,NA,NA,NA,13,NA,NA
"Mac Williamson_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarrod Saltalamacchia_TOR",NA,NA,NA,NA,NA,5,NA,NA,NA
"Caleb Joseph_BAL",NA,NA,NA,NA,NA,NA,NA,0,NA
"Devin Mesoraco_CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phil Gosselin_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brett Nicholas_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drew Robinson_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shawn O'Malley_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andres Blanco_PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rio Ruiz_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adeiny Hechavarria_MIA",NA,0,NA,3,NA,2,8,NA,NA
"Eric Fryer_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Heisey_WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Herrmann_ARI",NA,NA,NA,NA,10,NA,NA,0,NA
"Socrates Brito_ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manny Pina_MIL",NA,NA,NA,0,NA,5,NA,NA,NA
"Darwin Barney_TOR",NA,NA,NA,NA,10,NA,NA,NA,NA
"Tucker Barnhart_CIN",NA,5,NA,5,NA,3,7,NA,0
"Ryan Rua_TEX",NA,NA,2,NA,NA,NA,0,14,NA
"Carlos Ruiz_SEA",NA,NA,NA,NA,4,NA,NA,12,NA
"Jake Marisnick_HOU",NA,NA,NA,0,0,NA,5,NA,NA
"AJ Ellis_MIA",NA,NA,NA,NA,NA,2,NA,NA,NA
"Carson Kelly_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gorkys Hernandez_SF",NA,NA,20,0,0,NA,NA,NA,NA
"Jett Bandy_MIL",NA,5,6,NA,NA,NA,16,7,NA
"Stuart Turner_CIN",NA,NA,NA,NA,NA,NA,NA,5,NA
"Rene Rivera_NYM",NA,3,NA,NA,NA,8,NA,0,NA
"Kurt Suzuki_ATL",NA,NA,NA,5,NA,NA,6,NA,NA
"Jose Lobaton_WAS",NA,NA,NA,NA,NA,NA,NA,0,NA
"Conor Gillaspie_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Goins_TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hanser Alberto_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ty Kelly_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Moore_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Stewart_PIT",NA,NA,NA,NA,NA,NA,NA,3,NA
"Martin Maldonado_LAA",NA,NA,9,5,NA,8,3,NA,NA
"Miguel Rojas_MIA",NA,NA,NA,NA,NA,NA,15,5,NA
"Chris Iannetta_ARI",NA,NA,NA,5,NA,2,NA,NA,NA
"Aaron Hill_SF",NA,NA,NA,NA,16,NA,NA,3,NA
"Carlos Perez_LAA",NA,NA,NA,NA,NA,NA,NA,0,NA
"Emilio Bonifacio_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Marrero_SF",NA,NA,2,NA,0,NA,NA,5,NA
"Daniel Descalso_ARI",NA,NA,NA,NA,3,NA,NA,10,NA
"Cliff Pennington_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthony Recker_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeff Mathis_ARI",18,NA,0,NA,4,NA,5,NA,5
"Nick Ahmed_ARI",NA,NA,NA,7,NA,5,NA,NA,NA
