"","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Bryce Harper","OF","WSH","@ ATL",4.58,"Foltynewicz, R 6.35","L",0.333,0.465,0.311,0,0,0,3,5100,36.4,12.3,13.71,13.71,"%",54,2.7,14,2.7
"Kris Bryant","3B","CHC","vs MIL",5.18,"Nelson, R 1.38","R",0.212,0.326,0.192,0,0,0,2,5000,32.4,8.4,14.03,14.03,"%",45,2.8,15,3
"Anthony Rizzo","1B","CHC","vs MIL",5.18,"Nelson, R 1.38","L",0.28,0.367,0.12,0,0,0,3,5000,24.3,7.6,14.18,14.18,"%",67,2.8,10,2
"Andrew Triggs","P","OAK","vs TEX",3.67,"Darvish, R 2.33","R",0,0,0,5.8,3.1,1.03,NA,5000,18.2,17.5,12.24,12.24,"%",0,2.4,25.7,5.1
"Manny Machado","3B","BAL","@ CIN",4.9,"Arroyo, R 9.90","R",0.175,0.3,0.2,0,0,0,3,4900,25.6,7.3,13.09,13.09,"%",57,2.7,0,NA
"Paul Goldschmidt","1B","ARI","@ SD",4.11,"Cosart, R 3.86","R",0.265,0.385,0.184,0,0,0,3,4900,22.5,9.5,11.13,11.13,"%",70,2.3,10,2
"Matt Cain","P","SF","@ KC",4.72,"Hammel, R 6.52","R",4.82,0,0,4.7,8.6,1.82,NA,4800,25.4,11.4,7.34,7.34,"%",0,1.5,16.15,3.4
"Mookie Betts","OF","BOS","@ TOR",3.61,"Stroman, R 1.76","R",0.325,0.363,0.075,0,0,0,3,4800,23.3,6.9,10.17,10.17,"%",52,2.1,26,5.4
"Joey Votto","1B","CIN","vs BAL",4.1,"Jimenez, R 10.38","L",0.208,0.319,0.25,0,0,0,3,4800,20.9,7.5,10.06,10.06,"%",64,2.1,25,5.2
"Jose Altuve","2B","HOU","vs LAA",4.72,"Nolasco, R 5.40","R",0.32,0.365,0.08,0,0,0,3,4800,28.4,9.2,11.74,11.74,"%",55,2.4,6,1.3
"Francisco Lindor","SS","CLE","@ MIN",4.62,"Hughes, R 3.86","B",0.346,0.445,0.327,0,0,0,2,4700,34.4,11.6,12.42,12.42,"%",53,2.6,17,3.6
"Chris Davis","1B","BAL","@ CIN",4.9,"Arroyo, R 9.90","L",0.317,0.423,0.293,0,0,0,4,4700,27.6,9.1,11.9,11.9,"%",57,2.5,5,1.1
"Brian Dozier","2B","MIN","vs CLE",4.38,"Tomlin, R 18.47","R",0.24,0.312,0.16,0,0,0,1,4600,22.1,9.1,10.54,10.54,"%",68,2.3,5,1.1
"Ryan Braun","OF","MIL","@ CHC",3.82,"Anderson, L 0.84","R",0.289,0.446,0.378,0,0,0,3,4600,29.2,12.2,11.15,11.15,"%",63,2.4,10,2.2
"Jose Bautista","OF","TOR","vs BOS",4.89,"Johnson, L","R",0.136,0.224,0.046,0,0,0,2,4600,16.4,4.5,10.65,10.65,"%",68,2.3,4,0.9
"Yoenis Cespedes","OF","NYM","vs PHI",4.45,"Eflin, R","R",0.25,0.419,0.438,0,0,0,3,4600,39.7,10.6,11.09,11.09,"%",33,2.4,7,1.5
"Mark Trumbo","OF","BAL","@ CIN",4.9,"Arroyo, R 9.90","R",0.205,0.245,0.114,0,0,0,5,4600,25.4,6.5,10.98,10.98,"%",45,2.4,6,1.3
"Edwin Encarnacion","1B","CLE","@ MIN",4.62,"Hughes, R 3.86","R",0.204,0.278,0.082,0,0,0,4,4500,21,5.5,11.15,11.15,"%",55,2.5,24,5.3
"Wil Myers","1B","SD","vs ARI",3.89,"Miller, R 5.06","R",0.368,0.442,0.316,0,0,0,2,4600,27,10.4,9.51,9.51,"%",58,2.1,5,1.1
"Michael Brantley","OF","CLE","@ MIN",4.62,"Hughes, R 3.86","L",0.268,0.354,0.195,0,0,0,3,4500,23.3,8.6,11.71,11.71,"%",66,2.6,16,3.6
"Miguel Cabrera","1B","DET","@ TB",3.61,"Andriese, R 4.50","R",0.22,0.333,0.171,0,0,0,3,4500,24.3,6.6,9.26,9.26,"%",43,2.1,14,3.1
"Adam Jones","OF","BAL","@ CIN",4.9,"Arroyo, R 9.90","R",0.273,0.358,0.205,0,0,0,2,4500,21.8,8,12.05,12.05,"%",70,2.7,18,4
"Jarred Cosart","P","SD","vs ARI",4.11,"Miller, R 5.06","R",3.86,0,0,2.3,3.9,2.14,NA,4500,21.7,2.3,7.42,7.42,"%",0,1.6,7.85,1.7
"Carlos Santana","1B/OF","CLE","@ MIN",4.62,"Hughes, R 3.86","B",0.211,0.295,0.175,0,0,0,1,4400,28.3,8,11.43,11.43,"%",47,2.6,10,2.3
"Kyle Schwarber","OF","CHC","vs MIL",5.18,"Nelson, R 1.38","L",0.24,0.359,0.18,0,0,0,1,4400,23.1,8,12.02,12.02,"%",65,2.7,18,4.1
"George Springer","OF","HOU","vs LAA",4.72,"Nolasco, R 5.40","R",0.232,0.354,0.339,0,0,0,1,4400,28.4,10.5,11.21,11.21,"%",59,2.5,17,3.9
"Nolan Arenado","3B","COL","@ LAD",3.15,"Ryu, L 5.79","R",0.327,0.441,0.327,0,0,0,3,4400,22.1,9.5,8.63,8.63,"%",65,2,35,8
"Corey Seager","SS","LAD","vs COL",4.35,"Freeland, L 5.91","L",0.283,0.36,0.208,0,0,0,2,4400,26.7,8.7,9.71,9.71,"%",51,2.2,7,1.6
"Daniel Murphy","2B","WSH","@ ATL",4.58,"Foltynewicz, R 6.35","L",0.396,0.446,0.245,0,0,0,4,4400,31.9,10.6,11.19,11.19,"%",51,2.5,0,NA
"Jonathan Villar","2B","MIL","@ CHC",3.82,"Anderson, L 0.84","B",0.145,0.244,0.2,0,0,0,1,4300,28.7,7.5,9.29,9.29,"%",35,2.2,0,NA
"Dexter Fowler","OF","STL","vs PIT",4.33,"Kuhl, R 2.38","B",0.132,0.177,0.019,0,0,0,1,4300,16.3,4,9.06,9.06,"%",55,2.1,12,2.8
"Jose Abreu","1B","CWS","@ NYY",2.89,"Severino, R 4.50","R",0.17,0.195,0.021,0,0,0,4,4300,15.8,4,6.89,6.89,"%",44,1.6,0,NA
"Nelson Cruz","OF","SEA","vs MIA",4.19,"Chen, L 7.00","R",0.231,0.31,0.154,0,0,0,4,4300,20.5,6.6,9.75,9.75,"%",59,2.3,2,0.5
"Charlie Blackmon","OF","COL","@ LAD",3.15,"Ryu, L 5.79","L",0.232,0.307,0.214,0,0,0,1,4300,20.7,7.7,7.94,7.94,"%",59,1.8,7,1.6
"Brian Johnson","P","BOS","@ TOR",4.89,"Stroman, R 1.76","L",NA,0,0,0,0,0,NA,4200,6.9,NA,6.85,6.85,"%",0,1.6,13.85,3.3
"Andrew McCutchen","OF","PIT","@ STL",3.67,"Leake, R 0.60","R",0.25,0.308,0.173,0,0,0,3,4200,21,6.9,9.21,9.21,"%",57,2.2,8,1.9
"Robinson Cano","2B","SEA","vs MIA",4.19,"Chen, L 7.00","L",0.232,0.308,0.179,0,0,0,3,4200,24.5,7.4,9.14,9.14,"%",48,2.2,2,0.5
"Giancarlo Stanton","OF","MIA","@ SEA",4.31,"Gallardo, R 6.30","R",0.245,0.332,0.204,0,0,0,4,4200,28.3,7.6,10.51,10.51,"%",41,2.5,0,NA
"Miguel Sano","3B","MIN","vs CLE",4.38,"Tomlin, R 18.47","R",0.25,0.423,0.341,0,0,0,3,4100,25.8,10.5,9.3,9.3,"%",61,2.3,14,3.4
"Hanley Ramirez","1B/OF","BOS","@ TOR",3.61,"Stroman, R 1.76","R",0.286,0.332,0.057,0,0,0,4,4100,15.6,6.7,8.57,8.57,"%",74,2.1,9,2.2
"Ben Zobrist","2B/OF","CHC","vs MIL",5.18,"Nelson, R 1.38","B",0.214,0.335,0.143,0,0,0,4,4100,22.4,7.1,10.94,10.94,"%",60,2.7,0,NA
"Gregory Polanco","OF","PIT","@ STL",3.67,"Leake, R 0.60","L",0.297,0.327,0.081,0,0,0,4,4100,23.4,8.1,8.42,8.42,"%",54,2.1,2,0.5
"Ian Kinsler","2B","DET","@ TB",3.61,"Andriese, R 4.50","R",0.222,0.374,0.194,0,0,0,1,4100,22.3,7.8,8.17,8.17,"%",55,2,0,NA
"Adam Duvall","OF","CIN","vs BAL",4.1,"Jimenez, R 10.38","R",0.267,0.365,0.244,0,0,0,4,4100,26.6,8.5,8.54,8.54,"%",47,2.1,27,6.6
"Rougned Odor","2B","TEX","@ OAK",3.67,"Triggs, R 0.00","L",0.208,0.288,0.245,0,0,0,5,4100,25.4,7.3,7.47,7.47,"%",39,1.8,3,0.7
"Trevor Story","SS","COL","@ LAD",3.15,"Ryu, L 5.79","R",0.114,0.246,0.136,0,0,0,6,4100,16.7,4.8,5.66,5.66,"%",43,1.4,14,3.4
"Freddie Freeman","1B","ATL","vs WSH",3.42,"Scherzer, R 2.13","L",0.4,0.548,0.467,0,0,0,3,4100,34.5,12.9,7.36,7.36,"%",47,1.8,10,2.4
"Lorenzo Cain","OF","KC","vs SF",4.72,"Cain, R 4.82","R",0.35,0.416,0.05,0,0,0,3,4000,19.5,8.7,10.41,10.41,"%",74,2.6,6,1.5
"Jose Ramirez","2B","CLE","@ MIN",4.62,"Hughes, R 3.86","B",0.362,0.433,0.255,0,0,0,5,4000,33,9.8,9.91,9.91,"%",41,2.5,21,5.3
"Troy Tulowitzki","SS","TOR","vs BOS",4.89,"Johnson, L","R",0.25,0.293,0.159,0,0,0,4,4000,25.2,6.5,9.84,9.84,"%",41,2.5,6,1.5
"Aledmys Diaz","SS","STL","vs PIT",4.33,"Kuhl, R 2.38","R",0.231,0.288,0.231,0,0,0,2,4000,30.8,8.1,8.81,8.81,"%",32,2.2,0,NA
"Stephen Piscotty","OF","STL","vs PIT",4.33,"Kuhl, R 2.38","R",0.265,0.381,0.206,0,0,0,3,4000,26.2,7.4,9.18,9.18,"%",42,2.3,2,0.5
"Melky Cabrera","OF","CWS","@ NYY",2.89,"Severino, R 4.50","B",0.294,0.348,0.118,0,0,0,3,4000,16,6.7,6.52,6.52,"%",65,1.6,2,0.5
"Jose Reyes","3B","NYM","vs PHI",4.45,"Eflin, R","B",0.087,0.148,0.022,0,0,0,7,4000,10.2,2.3,5.07,5.07,"%",44,1.3,5,1.3
"Evan Longoria","3B","TB","vs DET",3.89,"Fulmer, R 2.25","R",0.212,0.302,0.154,0,0,0,3,4000,20.2,6.8,7.91,7.91,"%",55,2,2,0.5
"Shin-Soo Choo","OF","TEX","@ OAK",3.67,"Triggs, R 0.00","L",0.256,0.344,0.103,0,0,0,7,4000,21.2,7.4,5.63,5.63,"%",47,1.4,0,NA
"Bronson Arroyo","P","CIN","vs BAL",4.9,"Jimenez, R 10.38","R",9.9,0,0,5,4.5,1.6,NA,4000,13.5,0.5,7.82,7.82,"%",0,2,13.05,3.3
"Albert Pujols","1B","LAA","@ HOU",3.78,"Musgrove, R 4.35","R",0.2,0.246,0.08,0,0,0,4,4000,19.4,5.3,7.98,7.98,"%",46,2,18,4.5
"Billy Hamilton","OF","CIN","vs BAL",4.1,"Jimenez, R 10.38","B",0.216,0.224,0.059,0,0,0,1,4000,20.5,7.3,8.19,8.19,"%",58,2,17,4.3
"Carlos Gonzalez","OF","COL","@ LAD",3.15,"Ryu, L 5.79","L",0.192,0.234,0.135,0,0,0,4,4000,14.7,4.5,7.16,7.16,"%",58,1.8,0,NA
"A.J. Pollock","OF","ARI","@ SD",4.11,"Cosart, R 3.86","R",0.25,0.289,0.143,0,0,0,1,4000,24.5,7.5,9.17,9.17,"%",49,2.3,15,3.8
"Eric Hosmer","1B","KC","vs SF",4.72,"Cain, R 4.82","L",0.196,0.231,0.065,0,0,0,4,3900,17.3,4.3,9.46,9.46,"%",55,2.4,5,1.3
"Hunter Pence","OF","SF","@ KC",4.28,"Hammel, R 6.52","R",0.296,0.34,0.13,0,0,0,3,3900,20.6,7.3,8.91,8.91,"%",60,2.3,10,2.6
"Eric Thames","1B/OF","MIL","@ CHC",3.82,"Anderson, L 0.84","L",0.405,0.591,0.595,0,0,0,2,3900,28.1,14.5,9.05,9.05,"%",67,2.3,17,4.4
"Devon Travis","2B","TOR","vs BOS",4.89,"Johnson, L","R",0.105,0.126,0,0,0,0,9,3900,8.5,2.7,3.59,3.59,"%",55,0.9,4,1
"Xander Bogaerts","3B/SS","BOS","@ TOR",3.61,"Stroman, R 1.76","R",0.333,0.331,0.028,0,0,0,1,3900,20,7.3,8.34,8.34,"%",60,2.1,8,2.1
"Matt Holliday","1B/OF","NYY","vs CWS",4.11,"Gonzalez, R 4.22","R",0.243,0.385,0.216,0,0,0,3,3900,23.8,7.9,8.57,8.57,"%",52,2.2,0,NA
"Justin Upton","OF","DET","@ TB",3.61,"Andriese, R 4.50","R",0.242,0.376,0.242,0,0,0,5,3900,22.4,7.9,7.16,7.16,"%",52,1.8,3,0.8
"Kyle Seager","3B","SEA","vs MIA",4.19,"Chen, L 7.00","L",0.234,0.301,0.064,0,0,0,5,3900,14,5.6,8.44,8.44,"%",75,2.2,0,NA
"Christian Yelich","OF","MIA","@ SEA",4.31,"Gallardo, R 6.30","L",0.25,0.305,0.161,0,0,0,3,3900,24.8,9.8,9.87,9.87,"%",62,2.5,10,2.6
"Jonathan Schoop","2B","BAL","@ CIN",4.9,"Arroyo, R 9.90","R",0.289,0.353,0.237,0,0,0,7,3900,19.1,7.7,6.67,6.67,"%",60,1.7,5,1.3
"Alex Bregman","3B","HOU","vs LAA",4.72,"Nolasco, R 5.40","R",0.267,0.328,0.044,0,0,0,6,3900,17.4,6.3,7.61,7.61,"%",61,2,0,NA
"Jake Lamb","3B","ARI","@ SD",4.11,"Cosart, R 3.86","L",0.313,0.43,0.292,0,0,0,4,3900,23.7,11.1,9.29,9.29,"%",68,2.4,9,2.3
"Max Kepler","OF","MIN","vs CLE",4.38,"Tomlin, R 18.47","L",0.292,0.371,0.208,0,0,0,4,3800,23.4,7.5,8.8,8.8,"%",51,2.3,7,1.8
"Kendrys Morales","1B","TOR","vs BOS",4.89,"Johnson, L","B",0.227,0.323,0.182,0,0,0,3,3800,21.1,7,9.03,9.03,"%",57,2.4,7,1.8
"Brett Gardner","OF","NYY","vs CWS",4.11,"Gonzalez, R 4.22","L",0.22,0.297,0.049,0,0,0,1,3800,24.1,8,8.7,8.7,"%",52,2.3,2,0.5
"Jonathan Lucroy","C","TEX","@ OAK",3.67,"Triggs, R 0.00","R",0.205,0.237,0.077,0,0,0,6,3800,20.6,5.3,6.38,6.38,"%",33,1.7,0,NA
"Maikel Franco","3B","PHI","@ NYM",3.05,"Wheeler, R 7.45","R",0.174,0.245,0.152,0,0,0,4,3800,20.4,6.2,6.33,6.33,"%",43,1.7,2,0.5
"Dee Gordon","2B","MIA","@ SEA",4.31,"Gallardo, R 6.30","L",0.328,0.314,0.035,0,0,0,1,3800,19,8.2,9.36,9.36,"%",71,2.5,7,1.8
"Welington Castillo","C","BAL","@ CIN",4.9,"Arroyo, R 9.90","R",0.314,0.314,0.057,0,0,0,6,3800,18.6,5.7,7.75,7.75,"%",52,2,10,2.6
"Adrian Gonzalez","1B","LAD","vs COL",4.35,"Freeland, L 5.91","L",0.25,0.3,0.046,0,0,0,6,3800,16,4.9,7.89,7.89,"%",59,2.1,6,1.6
"Yasiel Puig","OF","LAD","vs COL",4.35,"Freeland, L 5.91","R",0.304,0.431,0.326,0,0,0,4,3800,33.6,10.1,8.86,8.86,"%",39,2.3,3,0.8
"Yasmany Tomas","OF","ARI","@ SD",4.11,"Cosart, R 3.86","R",0.273,0.333,0.205,0,0,0,5,3800,21.3,6.7,7.48,7.48,"%",49,2,23,6.1
"Buster Posey","1B/C","SF","@ KC",4.28,"Hammel, R 6.52","R",0.333,0.459,0.238,0,0,0,4,3700,22.6,8,9.81,9.81,"%",60,2.7,9,2.4
"Brandon Belt","1B","SF","@ KC",4.28,"Hammel, R 6.52","L",0.216,0.354,0.275,0,0,0,2,3700,26.7,9.2,8.52,8.52,"%",51,2.3,5,1.4
"Eduardo Nunez","3B/SS","SF","@ KC",4.28,"Hammel, R 6.52","R",0.313,0.314,0.042,0,0,0,6,3700,21.2,7.5,6.53,6.53,"%",51,1.8,3,0.8
"Alex Gordon","OF","KC","vs SF",4.72,"Cain, R 4.82","L",0.188,0.225,0.042,0,0,0,1,3700,17,4.6,8.52,8.52,"%",54,2.3,7,1.9
"Joe Mauer","1B","MIN","vs CLE",4.38,"Tomlin, R 18.47","L",0.213,0.223,0,0,0,0,2,3700,13.2,4.7,8.18,8.18,"%",74,2.2,5,1.4
"Javier Baez","2B","CHC","vs MIL",5.18,"Nelson, R 1.38","R",0.226,0.261,0.065,0,0,0,7,3700,15.4,4.1,6.41,6.41,"%",45,1.7,7,1.9
"Keon Broxton","OF","MIL","@ CHC",3.82,"Anderson, L 0.84","R",0.143,0.226,0.114,0,0,0,7,3700,18.2,4.5,5.4,5.4,"%",29,1.5,0,NA
"Russell Martin","C","TOR","vs BOS",4.89,"Johnson, L","R",0.097,0.226,0.032,0,0,0,6,3700,12.3,3.8,6.6,6.6,"%",62,1.8,18,4.9
"Randal Grichuk","OF","STL","vs PIT",4.33,"Kuhl, R 2.38","R",0.213,0.27,0.17,0,0,0,4,3700,21.2,5.9,7.71,7.71,"%",43,2.1,0,NA
"Jacoby Ellsbury","OF","NYY","vs CWS",4.11,"Gonzalez, R 4.22","L",0.326,0.356,0.109,0,0,0,2,3700,18.8,7.7,8.95,8.95,"%",68,2.4,5,1.4
"Tim Anderson","SS","CWS","@ NYY",2.89,"Severino, R 4.50","R",0.17,0.187,0.064,0,0,0,2,3700,15.7,4.5,5.77,5.77,"%",45,1.6,5,1.4
"Aaron Judge","OF","NYY","vs CWS",4.11,"Gonzalez, R 4.22","R",0.275,0.416,0.375,0,0,0,5,3700,26.3,9.8,7.49,7.49,"%",52,2,0,NA
"Mike Napoli","1B","TEX","@ OAK",3.67,"Triggs, R 0.00","R",0.16,0.252,0.16,0,0,0,4,3700,19.8,5.8,7.52,7.52,"%",47,2,0,NA
"Carlos Gomez","OF","TEX","@ OAK",3.67,"Triggs, R 0.00","R",0.176,0.314,0.235,0,0,0,1,3700,23.3,7.8,7.86,7.86,"%",51,2.1,0,NA
"Asdrubal Cabrera","SS","NYM","vs PHI",4.45,"Eflin, R","B",0.286,0.321,0.143,0,0,0,2,3700,25.4,8.5,9.07,9.07,"%",52,2.5,2,0.5
"Jose Peraza","2B","CIN","vs BAL",4.1,"Jimenez, R 10.38","R",0.24,0.24,0.04,0,0,0,2,3700,21,6.9,7.96,7.96,"%",53,2.2,20,5.4
"Seth Smith","OF","BAL","@ CIN",4.9,"Arroyo, R 9.90","L",0.28,0.415,0.36,0,0,0,1,3700,24.1,8.1,9.37,9.37,"%",55,2.5,4,1.1
"Carlos Beltran","OF","HOU","vs LAA",4.72,"Nolasco, R 5.40","B",0.26,0.272,0.06,0,0,0,4,3700,17.9,4.7,8.97,8.97,"%",53,2.4,3,0.8
"Kole Calhoun","OF","LAA","@ HOU",3.78,"Musgrove, R 4.35","L",0.24,0.315,0.12,0,0,0,2,3700,18.9,5.6,7.63,7.63,"%",50,2.1,0,NA
"Logan Forsythe","2B/3B","LAD","vs COL",4.35,"Freeland, L 5.91","R",0.295,0.343,0.046,0,0,0,1,3700,20.2,6.1,8.62,8.62,"%",53,2.3,2,0.5
"Joc Pederson","OF","LAD","vs COL",4.35,"Freeland, L 5.91","L",0.206,0.294,0.118,0,0,0,8,3700,17,4.6,6.04,6.04,"%",40,1.6,7,1.9
"Adam Eaton","OF","WSH","@ ATL",4.58,"Foltynewicz, R 6.35","L",0.326,0.412,0.186,0,0,0,1,3700,24,9.9,10.35,10.35,"%",65,2.8,5,1.4
"Brandon Moss","1B/OF","KC","vs SF",4.72,"Cain, R 4.82","L",0.103,0.253,0.207,0,0,0,6,3600,17.1,5.2,6.62,6.62,"%",50,1.8,11,3.1
"Denard Span","OF","SF","@ KC",4.28,"Hammel, R 6.52","L",0.237,0.283,0.105,0,0,0,1,3600,15.2,5.1,8.39,8.39,"%",66,2.3,0,NA
"Robbie Grossman","OF","MIN","vs CLE",4.38,"Tomlin, R 18.47","B",0.344,0.463,0.188,0,0,0,5,3600,20.8,8.4,7.37,7.37,"%",60,2,7,1.9
"Domingo Santana","OF","MIL","@ CHC",3.82,"Anderson, L 0.84","R",0.244,0.372,0.244,0,0,0,5,3600,19.1,7.5,7.58,7.58,"%",62,2.1,4,1.1
"Elvis Andrus","SS","TEX","@ OAK",3.67,"Triggs, R 0.00","R",0.308,0.389,0.289,0,0,0,2,3600,22.3,9.1,7.63,7.63,"%",60,2.1,20,5.6
"Khris Davis","OF","OAK","vs TEX",3.33,"Darvish, R 2.33","R",0.32,0.436,0.4,0,0,0,4,3600,23.5,10.6,6.31,6.31,"%",60,1.8,2,0.6
"Lucas Duda","1B","NYM","vs PHI",4.45,"Eflin, R","L",0.256,0.404,0.359,0,0,0,6,3600,28.2,8.7,6.27,6.27,"%",37,1.7,4,1.1
"Neil Walker","2B","NYM","vs PHI",4.45,"Eflin, R","B",0.239,0.296,0.065,0,0,0,5,3600,15.5,5.8,7.6,7.6,"%",66,2.1,0,NA
"Jay Bruce","OF","NYM","vs PHI",4.45,"Eflin, R","L",0.271,0.387,0.271,0,0,0,4,3600,28,9.8,8.95,8.95,"%",51,2.5,5,1.4
"Odubel Herrera","OF","PHI","@ NYM",3.05,"Wheeler, R 7.45","L",0.275,0.34,0.075,0,0,0,3,3600,13.9,6.2,6.43,6.43,"%",70,1.8,19,5.3
"Scooter Gennett","2B","CIN","vs BAL",4.1,"Jimenez, R 10.38","L",0.308,0.435,0.423,0,0,0,7,3600,19.1,8.1,0.59,0.59,"%",43,0.2,3,0.8
"Scott Schebler","OF","CIN","vs BAL",4.1,"Jimenez, R 10.38","L",0.205,0.342,0.282,0,0,0,5,3600,19,7.3,6.1,6.1,"%",56,1.7,0,NA
"Cameron Maybin","OF","LAA","@ HOU",3.78,"Musgrove, R 4.35","R",0.212,0.286,0.121,0,0,0,6,3600,15.3,6.6,6.3,6.3,"%",66,1.8,0,NA
"DJ LeMahieu","2B","COL","@ LAD",3.15,"Ryu, L 5.79","R",0.28,0.339,0.12,0,0,0,2,3600,19.3,6.5,6.57,6.57,"%",51,1.8,2,0.6
