id,last_name,first_name,team,position,opponent,games,pa,ab,singles,doubles,triples,home_runs,walks,strikeouts,sb,cs,runs,rbi,hbp,sac_flies,gidp,errors,outs,matchup,odds,weather,injury,bvp, price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces, positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces,price_victiv,positions_victiv
6192,Donaldson,Josh,TOR,3B,TEX,1.00,4.78,3.98,0.64,0.25,0.02,0.25,0.76,0.88,0.05,0.01,0.74,0.66,0.00,0.04,0.00,0.12,2.82,TEX (Cashner R) R Ord 2,,,,3ab .667/.667/2.000 0sb 1hr,3800,19,4600,0,0,0,0,0,0,3B,3B,3B,3B;DH,,,,,,0,
6234,Goldschmidt,Paul,ARI,1B,@ MIL,1.00,4.46,3.65,0.66,0.22,0.01,0.19,0.77,1.02,0.22,0.04,0.66,0.68,0.00,0.04,0.00,0.03,2.57,@MIL (Nelson R) R Ord 3,,,,7ab .286/.583/.571 0sb 0hr,4900,28,5400,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
7531,Altuve,Jose,HOU,2B,BAL,1.00,4.59,4.21,0.93,0.29,0.03,0.15,0.35,0.47,0.17,0.07,0.67,0.78,0.00,0.04,0.00,0.06,2.80,BAL (Asher R) R Ord 3,,,,,3800,22,5100,0,0,0,0,0,0,2B,2B,2B,2B;DH,,,,,,0,
5151,Votto,Joey,CIN,1B,@ PHI,1.00,4.49,3.71,0.71,0.25,0.01,0.21,0.73,0.78,0.03,0.01,0.69,0.74,0.00,0.04,0.00,0.06,2.53,@PHI (Eflin R) L Ord 3,,,,,4500,27,5000,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
8361,Bogaerts,Xander,BOS,SS,SEA,1.00,4.69,4.30,0.97,0.30,0.02,0.10,0.37,0.76,0.13,0.04,0.73,0.80,0.00,0.02,0.00,0.09,2.91,SEA (Bergman R) R Ord 3,,,,,3900,23,4900,0,0,0,0,0,0,SS,SS,SS,SS;3B;DH,,,,,,0,
1105,Cruz,Nelson,SEA,OF,@ BOS,1.00,4.49,4.11,0.75,0.21,0.01,0.30,0.35,1.13,0.02,0.01,0.64,0.76,0.00,0.04,0.00,0.02,2.84,@BOS (Porcello R) R Ord 4,,,,4ab .000/.000/.000 0sb 0hr,4000,22,4800,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
6717,Villar,Jonathan,MIL,2B,ARI,1.00,4.61,4.05,0.73,0.24,0.03,0.12,0.54,1.21,0.42,0.12,0.70,0.41,0.00,0.02,0.00,0.20,2.93,ARI (Corbin L) S Ord 1,,,,7ab .429/.429/.714 0sb 0hr,3200,15,4500,0,0,0,0,0,0,2B,2B,2B,2B;SS;DH,,,,,,0,
727,Cabrera,Miguel,DET,1B,@ CHW,1.00,4.59,4.04,0.80,0.23,0.01,0.24,0.53,0.94,0.01,0.01,0.64,0.75,0.00,0.02,0.00,0.05,2.77,@CHW (Gonzalez R) R Ord 3,,,,16ab .438/.438/.750 0sb 1hr,4000,18,4500,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
6428,Dozier,Brian,MIN,2B,TB,1.00,4.79,4.24,0.60,0.26,0.03,0.22,0.50,0.91,0.17,0.05,0.74,0.53,0.00,0.04,0.00,0.06,3.13,TB (Cobb R) R Ord 1,,,,2ab .500/.500/.500 0sb 0hr,3900,19,4500,0,0,0,0,0,0,2B,2B,2B,2B;DH,,,,,,0,
1810,Gonzalez,Carlos,COL,OF,STL,1.00,4.51,4.07,0.71,0.27,0.02,0.21,0.42,0.96,0.02,0.01,0.75,0.86,0.00,0.03,0.00,0.03,2.87,STL (Lynn R) L Ord 4,,,,6ab .333/.500/.500 0sb 0hr,3900,19,4900,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
10656,Benintendi,Andrew,BOS,OF,SEA,1.00,4.58,4.09,0.77,0.35,0.05,0.10,0.40,0.63,0.13,0.06,0.67,0.78,0.00,0.09,0.00,0.05,2.81,SEA (Bergman R) L Ord 4,,,,,3900,18,4700,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
295,Bautista,Jose,TOR,OF,TEX,1.00,4.67,3.83,0.51,0.21,0.01,0.23,0.80,0.96,0.04,0.02,0.72,0.75,0.00,0.04,0.00,0.03,2.87,TEX (Cashner R) R Ord 3,,,,2ab .000/.333/.000 0sb 0hr,3800,23,4800,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
7662,Springer,George,HOU,OF,BAL,1.00,4.82,4.25,0.67,0.21,0.03,0.23,0.54,1.08,0.05,0.04,0.83,0.56,0.00,0.02,0.00,0.03,3.12,BAL (Asher R) R Ord 1,,,,,3300,15,4000,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
769,Cano,Robinson,SEA,2B,@ BOS,1.00,4.60,4.27,0.89,0.27,0.02,0.19,0.30,0.68,0.02,0.02,0.65,0.75,0.00,0.03,0.00,0.04,2.90,@BOS (Porcello R) L Ord 3,,,,2ab .000/.333/.000 0sb 0hr,3800,23,4700,0,0,0,0,0,0,2B,2B,2B,2B;DH,,,,,,0,
7243,Grichuk,Randal,STL,OF,@ COL,1.00,4.31,4.03,0.53,0.33,0.06,0.24,0.26,1.26,0.11,0.07,0.58,0.66,0.00,0.02,0.00,0.03,2.87,@COL (Marquez R) R Ord 7,,,,2ab .000/.000/.000 0sb 0hr,3400,16,4700,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
5824,Reddick,Josh,HOU,OF,BAL,1.00,4.70,4.28,0.79,0.21,0.04,0.20,0.40,0.57,0.08,0.03,0.73,0.61,0.00,0.03,0.00,0.04,3.05,BAL (Asher R) L Ord 2,,,,,3500,17,4000,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
6344,Segura,Jean,SEA,SS,@ BOS,1.00,4.82,4.60,1.06,0.25,0.04,0.10,0.20,0.79,0.20,0.08,0.72,0.51,0.00,0.02,0.00,0.12,3.15,@BOS (Porcello R) R Ord 1,,,,2ab .500/.500/.500 0sb 0hr,3600,19,4500,0,0,0,0,0,0,SS,SS,SS,2B;SS;DH,,,,,,0,
6790,LeMahieu,DJ,COL,2B,STL,1.00,4.73,4.24,1.07,0.21,0.05,0.06,0.47,0.65,0.12,0.08,0.81,0.57,0.00,0.03,0.00,0.05,2.84,STL (Lynn R) R Ord 2,,,,10ab .100/.100/.100 0sb 0hr,3400,16,4500,0,0,0,0,0,0,2B,2B,2B,2B;3B;DH,,,,,,0,
3789,Pedroia,Dustin,BOS,2B,SEA,1.00,4.80,4.31,1.02,0.28,0.01,0.10,0.46,0.49,0.05,0.04,0.77,0.64,0.00,0.03,0.00,0.04,2.91,SEA (Bergman R) R Ord 2,,,Questionable,,3500,18,4400,0,0,0,0,0,0,2B,2B,2B,2B;DH,,,,,,0,
7560,Sanchez,Gary,NYY,C,OAK,1.00,4.59,4.18,0.64,0.21,0.01,0.28,0.39,1.02,0.05,0.02,0.69,0.60,0.00,0.03,0.00,0.08,3.04,OAK (Triggs R) R Ord 2,,,,,3300,16,4600,0,0,0,0,0,0,C,C,C,C;DH,,,,,,0,
8651,Travis,Devon,TOR,2B,TEX,1.00,4.89,4.57,0.82,0.38,0.01,0.14,0.30,0.90,0.10,0.04,0.75,0.55,0.00,0.02,0.00,0.10,3.22,TEX (Cashner R) R Ord 1,,,,2ab .000/.000/.000 0sb 0hr,3300,16,3600,0,0,0,0,0,0,2B,2B,2B,2B;DH,,,,,,0,
6018,Stanton,Giancarlo,MIA,OF,LAA,1.00,4.53,4.01,0.55,0.21,0.01,0.29,0.49,1.22,0.02,0.02,0.76,0.55,0.00,0.02,0.00,0.05,2.95,LAA (Shoemaker R) R Ord 2,,,,3ab .000/.000/.000 0sb 0hr,3900,18,4300,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
8805,Correa,Carlos,HOU,SS,BAL,1.00,4.48,3.95,0.67,0.26,0.02,0.19,0.50,0.81,0.03,0.01,0.64,0.74,0.00,0.03,0.00,0.10,2.81,BAL (Asher R) R Ord 4,,,,,4000,24,5000,0,0,0,0,0,0,SS,SS,SS,SS;DH,,,,,,0,
8449,Dickerson,Corey,TB,OF,@ MIN,1.00,4.75,4.47,0.73,0.31,0.04,0.21,0.26,1.11,0.03,0.02,0.71,0.54,0.00,0.02,0.00,0.01,3.17,@MIN (Gibson R) L Ord 1,,,,2ab .000/.000/.000 0sb 0hr,4000,23,4600,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
6653,Hamilton,Billy,CIN,OF,@ PHI,1.00,4.71,4.38,0.84,0.16,0.05,0.05,0.31,0.87,0.49,0.09,0.69,0.36,0.00,0.02,0.00,0.01,3.27,@PHI (Eflin R) S Ord 1,,,,,3600,21,5000,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
6320,Thames,Eric,MIL,1B,ARI,1.00,4.50,4.01,0.58,0.23,0.04,0.24,0.47,1.13,0.07,0.03,0.71,0.53,0.00,0.02,0.00,0.03,2.92,ARI (Corbin L) L Ord 2,,,,,3300,17,4700,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
4038,Ramirez,Hanley,BOS,1B,SEA,1.00,4.47,4.01,0.75,0.24,0.01,0.20,0.43,0.85,0.04,0.02,0.66,0.69,0.00,0.03,0.00,0.08,2.82,SEA (Bergman R) R Ord 5,,,,3ab .333/.333/.333 0sb 0hr,3300,19,4700,0,0,0,0,0,0,1B,1B,1B,1B;DH;OF,,,,,,0,
6199,Gordon,Dee,MIA,2B,LAA,1.00,4.64,4.40,1.06,0.16,0.08,0.02,0.21,0.66,0.41,0.10,0.67,0.37,0.00,0.02,0.00,0.11,3.09,LAA (Shoemaker R) L Ord 1,,,,3ab .000/.000/.000 0sb 0hr,3000,13,4400,0,0,0,0,0,0,2B,2B,2B,2B;DH,,,,,,0,
7391,Davis,Khris,OAK,OF,@ NYY,1.00,4.45,4.08,0.48,0.19,0.01,0.33,0.32,1.42,0.01,0.01,0.63,0.68,0.00,0.04,0.00,0.03,3.07,@NYY (Pineda R) R Ord 3,,,,3ab .000/.000/.000 0sb 0hr,3600,13,4300,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
4135,Reynolds,Mark,COL,1B,STL,1.00,4.40,3.88,0.70,0.20,0.01,0.20,0.50,1.14,0.03,0.03,0.70,0.72,0.00,0.03,0.00,0.09,2.77,STL (Lynn R) R Ord 5,,,,4ab .250/.400/.500 0sb 0hr,3800,20,4900,0,0,0,0,0,0,1B,1B,1B,1B;3B;DH,,,,,,0,
3127,Maybin,Cameron,LAA,OF,@ MIA,1.00,4.86,4.40,0.91,0.23,0.04,0.07,0.45,0.89,0.20,0.06,0.73,0.50,0.00,0.02,0.00,0.03,3.16,@MIA (Urena R) R Ord 1,,,Questionable,3ab .667/.667/.667 0sb 0hr,3400,18,4700,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
3389,Morales,Kendrys,TOR,1B,TEX,1.00,4.55,4.10,0.67,0.24,0.01,0.21,0.43,0.90,0.00,0.00,0.64,0.73,0.00,0.03,0.00,0.00,2.96,TEX (Cashner R) S Ord 4,,,,3ab .667/.667/1.667 0sb 1hr,3100,16,3600,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
3468,Murphy,Daniel,WAS,2B,SD,1.00,4.35,4.00,0.85,0.32,0.03,0.14,0.30,0.44,0.03,0.01,0.58,0.69,0.00,0.05,0.00,0.10,2.67,SD (Chacin R) L Ord 5,,,,11ab .364/.417/.455 0sb 0hr,3600,21,5000,0,0,0,0,0,0,2B,2B,2B,2B;3B;DH,,,,,,0,
2885,Longoria,Evan,TB,3B,@ MIN,1.00,4.53,4.17,0.71,0.28,0.01,0.21,0.31,0.91,0.01,0.01,0.62,0.70,0.00,0.06,0.00,0.07,2.96,@MIN (Gibson R) R Ord 3,,,,13ab .308/.357/.385 0sb 0hr,2900,16,3700,0,0,0,0,0,0,3B,3B,3B,3B;DH,,,,,,0,
7561,Sano,Miguel,MIN,3B,TB,1.00,4.46,3.79,0.53,0.20,0.02,0.23,0.64,1.54,0.03,0.01,0.60,0.68,0.00,0.02,0.00,0.09,2.81,TB (Cobb R) R Ord 4,,,,,3800,22,4600,0,0,0,0,0,0,3B,3B,3B,3B;DH;OF,,,,,,0,
7324,Kiermaier,Kevin,TB,OF,@ MIN,1.00,4.64,4.26,0.76,0.22,0.08,0.11,0.36,0.90,0.20,0.07,0.61,0.52,0.00,0.02,0.00,0.04,3.09,@MIN (Gibson R) L Ord 2,,,,5ab .600/.667/.800 0sb 0hr,3000,13,3500,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
5049,Upton,Justin,DET,OF,@ CHW,1.00,4.37,3.88,0.52,0.21,0.01,0.26,0.47,1.33,0.08,0.04,0.57,0.61,0.00,0.02,0.00,0.03,2.89,@CHW (Gonzalez R) R Ord 5,,,,4ab .500/.600/.750 0sb 0hr,3000,17,3600,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
9129,Abreu,Jose,CHW,1B,DET,1.00,4.38,4.04,0.78,0.23,0.01,0.22,0.31,0.76,0.01,0.01,0.57,0.67,0.00,0.03,0.00,0.06,2.80,DET (Zimmermann R) R Ord 3,,,,6ab .500/.571/1.167 0sb 1hr,4000,24,5000,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
3355,Molina,Yadier,STL,C,@ COL,1.00,4.53,4.21,1.01,0.29,0.01,0.08,0.26,0.57,0.07,0.05,0.67,0.71,0.00,0.06,0.00,0.03,2.83,@COL (Marquez R) R Ord 5,,,,,3800,18,4000,0,0,0,0,0,0,C,C,C,C;DH,,,,,,0,
8389,Story,Trevor,COL,SS,STL,1.00,4.18,3.73,0.50,0.23,0.04,0.23,0.43,1.29,0.08,0.04,0.56,0.60,0.00,0.02,0.00,0.11,2.73,STL (Lynn R) R Ord 7,,,,,3800,19,4600,0,0,0,0,0,0,SS,SS,SS,SS;DH,,,,,,0,
6207,Belt,Brandon,SF,1B/OF,ATL,1.00,4.46,3.73,0.59,0.25,0.04,0.13,0.70,1.01,0.01,0.01,0.67,0.66,0.00,0.03,0.00,0.06,2.72,ATL (Dickey R) L Ord 3,,,,5ab .200/.333/.800 0sb 1hr,3400,17,3800,0,0,0,0,0,0,1B,1B,1B;OF,1B;DH,,,,,,0,
5491,Zimmerman,Ryan,WAS,1B,SD,1.00,4.46,4.06,0.64,0.26,0.01,0.18,0.33,0.91,0.03,0.01,0.67,0.77,0.00,0.07,0.00,0.10,2.97,SD (Chacin R) R Ord 4,,,,16ab .313/.389/.750 0sb 2hr,3400,21,4500,0,0,0,0,0,0,1B,1B,1B,1B;3B;DH,,,,,,0,
8470,Duvall,Adam,CIN,OF,@ PHI,1.00,4.38,4.08,0.48,0.22,0.03,0.26,0.24,1.14,0.04,0.02,0.64,0.72,0.00,0.05,0.00,0.04,3.09,@PHI (Eflin R) R Ord 4,,,,,3700,18,4600,0,0,0,0,0,0,OF,OF,OF,1B;DH;OF,,,,,,0,
7744,Yelich,Christian,MIA,OF,LAA,1.00,4.41,3.93,0.83,0.23,0.02,0.11,0.46,0.83,0.07,0.02,0.65,0.65,0.00,0.02,0.00,0.02,2.74,LAA (Shoemaker R) L Ord 3,,,,2ab .000/.000/.000 0sb 0hr,3500,13,3800,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
5555,Desmond,Ian,COL,1B/OF,STL,1.00,4.29,3.94,0.80,0.23,0.03,0.15,0.33,1.07,0.12,0.05,0.58,0.63,0.00,0.03,0.00,0.13,2.74,STL (Lynn R) R Ord 6,,,,12ab .333/.385/.500 0sb 0hr,3700,15,4600,0,0,0,0,0,0,OF,OF,1B;OF,DH;OF,,,,,,0,
6205,Myers,Wil,SD,1B,@ WAS,1.00,4.36,3.95,0.67,0.21,0.02,0.17,0.38,1.11,0.14,0.05,0.59,0.59,0.00,0.03,0.00,0.02,2.87,@WAS (Ross R) R Ord 3,,,,3ab .000/.000/.000 0sb 0hr,3700,16,3500,0,0,0,0,0,0,1B,1B,1B,1B;DH;OF,,,,,,0,
9969,Conforto,Michael,NYM,OF,@ PIT,1.00,4.65,4.09,0.61,0.27,0.02,0.20,0.51,1.16,0.02,0.01,0.72,0.44,0.00,0.05,0.00,0.01,3.00,@PIT (Glasnow R) L Ord 1,,,,,4100,25,5300,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
5840,Brantley,Michael,CLE,OF,KC,1.00,4.49,4.02,0.79,0.29,0.01,0.11,0.43,0.49,0.09,0.02,0.57,0.65,0.00,0.03,0.00,0.01,2.83,KC (Duffy L) L Ord 3,,,,20ab .300/.300/.350 0sb 0hr,3800,15,4400,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
5952,Cain,Lorenzo,KC,OF,@ CLE,1.00,4.42,4.11,0.86,0.24,0.02,0.10,0.28,0.86,0.21,0.05,0.52,0.60,0.00,0.03,0.00,0.04,2.88,@CLE (Tomlin R) R Ord 3,,,,21ab .286/.318/.381 0sb 0hr,3200,12,3600,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
3982,Pujols,Albert,LAA,1B,@ MIA,1.00,4.64,4.27,0.76,0.16,0.00,0.20,0.34,0.63,0.03,0.01,0.69,0.73,0.00,0.03,0.00,0.03,3.16,@MIA (Urena R) R Ord 3,,,,,3000,14,4200,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
9503,Peralta,David,ARI,OF,@ MIL,1.00,4.57,4.19,0.76,0.23,0.08,0.13,0.34,1.01,0.07,0.03,0.65,0.49,0.00,0.04,0.00,0.03,2.99,@MIL (Nelson R) L Ord 2,,,,6ab .500/.500/1.167 0sb 1hr,3300,16,4600,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
5675,Posey,Buster,SF,C/1B,ATL,1.00,4.35,3.82,0.85,0.22,0.01,0.13,0.48,0.41,0.03,0.01,0.57,0.69,0.00,0.05,0.00,0.04,2.62,ATL (Dickey R) R Ord 4,,,,12ab .167/.167/.167 0sb 0hr,3800,19,4200,0,0,0,0,0,0,C,C,C;1B,C;1B;DH,,,,,,0,
5267,Werth,Jayson,WAS,OF,SD,1.00,4.68,4.01,0.65,0.21,0.01,0.15,0.62,1.05,0.06,0.03,0.78,0.51,0.00,0.05,0.00,0.02,2.99,SD (Chacin R) R Ord 2,,,,12ab .417/.500/.583 0sb 0hr,3500,17,3700,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
2228,Holliday,Matt,NYY,1B,OAK,1.00,4.48,3.98,0.65,0.22,0.01,0.19,0.48,0.93,0.03,0.00,0.62,0.68,0.00,0.02,0.00,0.02,2.92,OAK (Triggs R) R Ord 3,,,,,3200,16,3600,0,0,0,0,0,0,1B,OF,1B,1B;DH;OF,,,,,,0,
9308,Altherr,Aaron,PHI,OF,CIN,1.00,4.36,3.93,0.55,0.25,0.02,0.17,0.41,1.12,0.11,0.04,0.67,0.64,0.00,0.02,0.00,0.02,2.95,CIN (Feldman R) R Ord 3,,,,,3500,17,4200,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
7557,Lindor,Francisco,CLE,SS,KC,1.00,4.60,4.14,0.81,0.24,0.03,0.14,0.38,0.67,0.08,0.03,0.61,0.54,0.00,0.08,0.00,0.08,2.92,KC (Duffy L) S Ord 2,,,,4ab .500/.500/1.250 0sb 1hr,3500,17,4500,0,0,0,0,0,0,SS,SS,SS,SS;DH,,,,,,0,
7558,Machado,Manny,BAL,3B,@ HOU,1.00,4.46,4.06,0.66,0.21,0.01,0.22,0.38,0.97,0.02,0.01,0.57,0.65,0.00,0.02,0.00,0.10,2.96,@HOU (McCullers R) R Ord 3,,,,4ab .000/.429/.000 0sb 0hr,3800,16,4200,0,0,0,0,0,0,3B,3B,3B,SS;3B;DH,,,,,,0,
9843,Judge,Aaron,NYY,OF,OAK,1.00,4.26,3.79,0.52,0.15,0.02,0.27,0.45,1.34,0.04,0.02,0.57,0.60,0.00,0.02,0.00,0.06,2.83,OAK (Triggs R) R Ord 5,,,,,4100,24,4900,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
7567,Wong,Kolten,STL,2B,@ COL,1.00,4.42,4.04,0.77,0.21,0.07,0.11,0.34,0.67,0.08,0.03,0.61,0.64,0.00,0.04,0.00,0.10,2.88,@COL (Marquez R) L Ord 6,,,,1ab .000/.000/.000 0sb 0hr,3600,19,4200,0,0,0,0,0,0,2B,2B,2B,2B;DH,,,,,,0,
6260,Joseph,Tommy,PHI,1B,CIN,1.00,4.25,3.91,0.57,0.21,0.00,0.26,0.27,0.87,0.02,0.01,0.61,0.70,0.00,0.07,0.00,0.06,2.88,CIN (Feldman R) R Ord 4,,,,,3500,16,4000,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
9530,Diaz,Aledmys,STL,SS,@ COL,1.00,4.20,3.87,0.74,0.29,0.03,0.18,0.28,0.61,0.07,0.04,0.51,0.53,0.00,0.05,0.00,0.14,2.64,@COL (Marquez R) R Ord 8,,,,2ab .500/.500/.500 0sb 0hr,3700,16,4500,0,0,0,0,0,0,SS,SS,SS,SS;DH,,,,,,0,
7195,Perez,Hernan,MIL,3B/OF,ARI,1.00,4.39,4.15,0.76,0.23,0.04,0.10,0.21,0.84,0.19,0.05,0.63,0.62,0.00,0.03,0.00,0.07,3.02,ARI (Corbin L) R Ord 3,,,,8ab .250/.250/.375 0sb 0hr,3100,13,3400,0,0,0,0,0,0,OF,3B,3B;OF,3B;DH;OF,,,,,,0,
6754,Seager,Kyle,SEA,3B,@ BOS,1.00,4.38,3.97,0.70,0.28,0.02,0.17,0.38,0.71,0.02,0.01,0.55,0.61,0.00,0.03,0.00,0.10,2.80,@BOS (Porcello R) L Ord 5,,,,13ab .231/.333/.231 0sb 0hr,3300,14,3700,0,0,0,0,0,0,3B,3B,3B,3B;DH,,,,,,0,
620,Bruce,Jay,NYM,1B/OF,@ PIT,1.00,4.43,4.00,0.53,0.24,0.03,0.19,0.38,1.03,0.03,0.02,0.67,0.64,0.00,0.05,0.00,0.03,3.01,@PIT (Glasnow R) L Ord 3,,,,,3700,17,4500,0,0,0,0,0,0,OF,OF,1B;OF,DH;OF,,,,,,0,
8594,Lamb,Jake,ARI,3B,@ MIL,1.00,4.35,3.83,0.54,0.17,0.04,0.18,0.49,1.34,0.07,0.02,0.58,0.66,0.00,0.03,0.00,0.09,2.90,@MIL (Nelson R) L Ord 4,,,,6ab .333/.333/.833 0sb 1hr,4000,23,5200,0,0,0,0,0,0,3B,3B,3B,3B;DH,,,,,,0,
6191,Moustakas,Mike,KC,3B,@ CLE,1.00,4.53,4.26,0.65,0.25,0.01,0.24,0.24,0.72,0.01,0.01,0.61,0.52,0.00,0.03,0.00,0.11,3.12,@CLE (Tomlin R) L Ord 2,,,,17ab .412/.474/.941 0sb 2hr,3200,13,3700,0,0,0,0,0,0,3B,3B,3B,3B;DH,,,,,,0,
5756,McCutchen,Andrew,PIT,OF,NYM,1.00,4.47,3.95,0.63,0.21,0.02,0.14,0.48,0.89,0.09,0.05,0.66,0.62,0.00,0.04,0.00,0.03,2.96,NYM (Harvey R) R Ord 3,,,,4ab .500/.600/1.250 0sb 1hr,2900,12,3200,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
