"Ryan Braun_MIL","Dexter Fowler_STL","Matt Carpenter_STL","Lorenzo Cain_KC","Jonathan Villar_MIL","Aledmys Diaz_STL","Stephen Piscotty_STL","Eric Hosmer_KC","Rougned Odor_TEX","Shin-Soo Choo_TEX","Adrian Beltre_TEX","Randal Grichuk_STL","Jonathan Lucroy_TEX","Alex Gordon_KC","Mike Napoli_TEX","Brandon Moss_KC","Carlos Gomez_TEX","Jorge Soler_KC","Jedd Gyorko_STL","Whit Merrifield_KC","Elvis Andrus_TEX","Peter O'Brien_KC","Yadier Molina_STL","Keon Broxton_MIL","Salvador Perez_KC","Nomar Mazara_TEX","Eric Thames_MIL","Domingo Santana_MIL","Cheslor Cuthbert_KC","Joey Gallo_TEX","Alcides Escobar_KC","Mike Moustakas_KC","Paulo Orlando_KC","Billy Burns_KC","Jhonny Peralta_STL","Travis Shaw_MIL","Hernan Perez_MIL","Delino DeShields_TEX","Orlando Arcia_MIL","Matt Adams_STL","Kolten Wong_STL","Nick Franklin_MIL","Jurickson Profar_TEX","Jesus Aguilar_MIL","Harrison Bader_STL","Ryan O'Hearn_KC","Jose Martinez_STL","Robinson Chirinos_TEX","Terrance Gore_KC","Andrew Susac_MIL","Greg Garcia_STL","Kirk Nieuwenhuis_MIL","Brett Nicholas_TEX","Christian Colon_KC","Ryan Rua_TEX","Manny Pina_MIL","Carson Kelly_STL","Raul Mondesi_KC","Eric Fryer_STL","Jett Bandy_MIL","Hanser Alberto_TEX","Drew Butera_KC","Drew Robinson_TEX"
34.4222222222222,0,0,0,-27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.0416666666667,0,0,72.6969696969697,-16.5,0,0,0,0,0,0,0,-1.02727272727273,88.75,0,6.11818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,-10.1666666666667,0,0,0
9.71818181818182,0,0,0,-5.88181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4444444444444,0,0,-16.5,27.4909090909091,0,0,0,0,0,0,0,-15.0666666666667,-38.3333333333333,0,-12.0666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.45,0,0,0,5.6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-4.69230769230769,-15.2424242424242,0,0,-0.555555555555556,0,5.15384615384615,0,1.38461538461538,0,0,0,-9.53846153846154,0,0,0,0,-16.5384615384615,0,0,0,65.2307692307692,0,0,0,0,0,0,0,0,0,0,0,0,-1.64285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1.42424242424242,0,0,0,-0.424242424242424,0,0,0,0,0,2.90909090909091,0,-0.666666666666667,0,0,0,0,0,0,0,0,11.0606060606061,0,0,0,0,0,14.4242424242424,-1.92222222222222,1.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1666666666667,0,0,0,0,0
0,0,0,-10.3888888888889,0,0,0,1.3,0,0,0,0,0,3.28888888888889,0,10.4027777777778,0,0,0,0,0,0,0,0,15.0444444444444,0,0,0,0,0,-1.92222222222222,40.0111111111111,4.53571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.6527777777778,0,0,0,0,0
0,0,0,-5.78241158658936e-19,0,0,0,0.555555555555556,0,0,0,0,0,-1.44444444444444,0,5.95238095238095,0,0,0,0,0,0,0,0,10.1111111111111,0,0,0,0,0,1.22222222222222,4.53571428571429,18.4444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.21428571428571,1.52380952380952,0,0,-2.28571428571429,5.47619047619048,0,0,0,0,-1.23214285714286,0,0,0,0,0,0,2.25,0,0,0,4.71428571428571,0,0,0,0,0,0,0,0,0,0,0,3.26785714285714,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.0606060606061,0,0,0,-10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17777777777778,0,0,-1.02727272727273,-15.0666666666667,0,0,0,0,0,0,0,90.3736263736264,12.0666666666667,0,20.9807692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.8333333333333,0,0,0,-4.5,0,0,0
