"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Week1","Week2","Week3","Week4","Week5","Week6","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs"
"WR","Brandin Cooks (7608962)","Brandin Cooks",7608962,7500,"NO@KC 01:00PM ET","NO","Brandin","Cooks","KC",14.2,16.4,1,0.18552036199095,14.547181033079,14.3678767970874,1,36.4,13.8,3.9,6.1,NA,33.5,"Cooks, Brandin",25,41,3,2,1
"QB","Drew Brees (7608794)","Drew Brees",7608794,7400,"NO@KC 01:00PM ET","NO","Drew","Brees","KC",19.01,21.4,NA,NA,19.1409926173448,18.943440244311,0,35.4,14.5,29.9,13.9,NA,36.6,"Brees, Drew",NA,NA,NA,NA,NA
"RB","David Johnson (7608952)","David Johnson",7608952,7400,"Sea@Ari 08:30PM ET","Ari","David","Johnson","Sea",19.69,17.3,4,0.144067796610169,16.9005720894234,17.0682890565056,1,23.2,17.3,26.1,15.4,36.5,37.8,"Johnson, David",21,34,0,3,4
"WR","Allen Robinson (7609020)","Allen Robinson",7609020,7300,"Oak@Jax 01:00PM ET","Jax","Allen","Robinson","Oak",19.61,19.1,1,0.256281407035176,17.9563129449839,17.9802229827135,1,13.2,8.4,24.7,16.5,NA,7.9,"Robinson, Allen",24,51,3,1,1
"RB","DeMarco Murray (7608868)","DeMarco Murray",7608868,7200,"Ind@Ten 01:00PM ET","Ten","DeMarco","Murray","Ind",21.7,19.9,3,0.142857142857143,19.127202986162,19.2482201088178,1,23.7,21.5,29.5,25.9,21.7,12.5,"Murray, DeMarco",23,28,2,1,2
"QB","Matt Ryan (7608843)","Matt Ryan",7608843,7200,"SD@Atl 04:05PM ET","Atl","Matt","Ryan","SD",21.68,22.6,NA,NA,20.7438254924424,20.6567077123488,0,27.4,31.8,19.9,39.5,15,26.6,"Ryan, Matt",NA,NA,NA,NA,NA
"TE","Rob Gronkowski (7609171)","Rob Gronkowski",7609171,7200,"NE@Pit 04:25PM ET","NE","Rob","Gronkowski","Pit",17.94,15.5,5,0.0926829268292683,15.2407258540669,15.4136182600887,1,NA,NA,NA,2.1,18.9,32.2,"Gronkowski, Rob",13,19,1,4,4
"WR","Larry Fitzgerald (7609078)","Larry Fitzgerald",7609078,7100,"Sea@Ari 08:30PM ET","Ari","Larry","Fitzgerald","Sea",16.53,16.4,1,0.25,15.3163425275735,15.3135472383915,1,28.1,20.1,13,11.3,26.1,10.9,"Fitzgerald, Larry",39,59,6,1,1
"QB","Andrew Luck (7608802)","Andrew Luck",7608802,7000,"Ind@Ten 01:00PM ET","Ind","Andrew","Luck","Ten",19.95,19.8,NA,NA,18.4893871495003,18.4854857601185,0,38.5,12.1,18.2,18.7,25.2,24.4,"Luck, Andrew",NA,NA,NA,NA,NA
"WR","Marvin Jones Jr. (7609008)","Marvin Jones",7609008,7000,"Was@Det 01:00PM ET","Det","Marvin","Jones","Was",15.72,16.5,1,0.246575342465753,15.1090710569795,15.0372617030829,1,12.5,22.8,41.5,12.4,13.7,9.3,"Jones, Marvin",29,54,4,2,1
"QB","Ben Roethlisberger (7608848)","Ben Roethlisberger",7608848,6900,"NE@Pit 04:25PM ET","Pit","Ben","Roethlisberger","NE",0,0,NA,NA,0,0,0,25.8,21.8,9,36.9,33.2,11.6,"Roethlisberger, Ben",NA,NA,NA,NA,NA
"WR","Jarvis Landry (7609030)","Jarvis Landry",7609030,6800,"Buf@Mia 01:00PM ET","Mia","Jarvis","Landry","Buf",16.96,16.3,1,0.315217391304348,15.3981713509968,15.4356032596678,1,12.9,25.7,29.6,13.1,6,16.1,"Landry, Jarvis",43,58,1,1,2
"WR","Jeremy Maclin (7608956)","Jeremy Maclin",7608956,6700,"NO@KC 01:00PM ET","KC","Jeremy","Maclin","NO",18.53,15.6,1,0.211640211640212,15.4956115046283,15.7055467238469,0,17.2,12.8,7.5,12.8,NA,7.9,"Maclin, Jeremy",23,40,1,2,3
"QB","Russell Wilson (7608854)","Russell Wilson",7608854,6700,"Sea@Ari 08:30PM ET","Sea","Russell","Wilson","Ari",19.09,18.7,12,0,17.5441768448282,17.5593046693114,0,13.9,11.6,14,26.9,NA,11.5,"Wilson, Russell",0,0,0,11,4
"RB","Christine Michael (7608951)","Christine Michael",7608951,6700,"Sea@Ari 08:30PM ET","Sea","Christine","Michael","Ari",15.35,12.4,NA,NA,12.5220326881915,12.7359500159772,1,9.1,10.6,28.1,20,NA,23.3,"Michael, Christine",NA,NA,NA,NA,NA
"WR","Michael Crabtree (7609013)","Michael Crabtree",7609013,6600,"Oak@Jax 01:00PM ET","Oak","Michael","Crabtree","Jax",15.11,11.8,2,0.205128205128205,12.0820891418322,12.3237408026571,1,17.7,13.1,21.2,33.8,13.7,3,"Crabtree, Michael",32,48,5,2,1
"QB","Philip Rivers (7608844)","Philip Rivers",7608844,6500,"SD@Atl 04:05PM ET","SD","Philip","Rivers","Atl",19.05,19.6,NA,NA,18.0720472726085,18.0152716324154,0,14.6,24.8,15.4,22.8,31.4,11.1,"Rivers, Philip",NA,NA,NA,NA,NA
"WR","Julian Edelman (7609070)","Julian Edelman",7609070,6500,"NE@Pit 04:25PM ET","NE","Julian","Edelman","Pit",15.59,14.9,1,0.234146341463415,14.1042455036803,14.1450293767463,1,15.2,14.6,9.2,2.7,8.5,7.8,"Edelman, Julian",30,48,0,1,6
"QB","Matthew Stafford (7608816)","Matthew Stafford",7608816,6400,"Was@Det 01:00PM ET","Det","Matthew","Stafford","Was",19.65,18.9,NA,NA,17.8492785637251,17.8915239686697,0,29.1,16.5,30.5,10.2,19.8,28.2,"Stafford, Matthew",NA,NA,NA,NA,NA
"RB","Melvin Gordon (7608933)","Melvin Gordon",7608933,6400,"SD@Atl 04:05PM ET","SD","Melvin","Gordon","Atl",16.86,14.2,5,0.0966183574879227,14.1026519884928,14.2932126982683,1,17.7,24,17.8,24.9,14.7,9.4,"Gordon, Melvin",14,20,1,4,5
"WR","Doug Baldwin (7609079)","Doug Baldwin",7609079,6400,"Sea@Ari 08:30PM ET","Sea","Doug","Baldwin","Ari",16.61,14.9,1,0.25,14.4409599776651,14.5590138617808,1,24.2,5,33,9.4,NA,7.1,"Baldwin, Doug",28,38,2,1,1
"QB","Derek Carr (7608821)","Derek Carr",7608821,6300,"Oak@Jax 01:00PM ET","Oak","Derek","Carr","Jax",18.63,18.2,NA,NA,17.091728043219,17.1102715345751,0,25.4,25,12.9,23.8,26,11.8,"Carr, Derek",NA,NA,NA,NA,NA
"WR","Terrelle Pryor Sr. (7608993)","Terrelle Pryor",7608993,6200,"Cle@Cin 01:00PM ET","Cle","Terrelle","Pryor","Cin",12.9,12.5,1,0.288372093023256,11.7733771613867,11.7940423674759,1,9.8,6.2,34.9,15,10.3,28.8,"Pryor, Terrelle",35,62,3,1,1
"QB","Blake Bortles (7608822)","Blake Bortles",7608822,6200,"Oak@Jax 01:00PM ET","Jax","Blake","Bortles","Oak",20.91,22.1,NA,NA,20.1890418997201,20.0818557635334,0,19,24.6,14.5,25.9,NA,12.9,"Bortles, Blake",NA,NA,NA,NA,NA
"QB","Alex Smith (7608795)","Alex Smith",7608795,6100,"NO@KC 01:00PM ET","KC","Alex","Smith","NO",19.12,20.5,14,0.00529100529100529,18.6362300456224,18.5158839811604,0,32,5.6,13.2,18.7,NA,8.9,"Smith, Alex",0,1,0,14,4
"RB","Doug Martin (7608924)","Doug Martin",7608924,6100,"TB@SF 04:05PM ET","TB","Doug","Martin","SF",0,0,8,0.0240384615384615,0,0,0,14.6,2.3,NA,NA,NA,NA,"Martin, Doug",5,5,0,7,5
"WR","Travis Benjamin (7609062)","Travis Benjamin",7609062,6100,"SD@Atl 04:05PM ET","SD","Travis","Benjamin","Atl",12.39,12,1,0.227053140096618,11.3044227483076,11.32471587563,1,10.2,32.4,11.2,7.8,21.7,3.7,"Benjamin, Travis",31,47,2,1,2
"QB","Marcus Mariota (7608803)","Marcus Mariota",7608803,6000,"Ind@Ten 01:00PM ET","Ten","Marcus","Mariota","Ind",18.67,19.4,NA,NA,17.826365755003,17.7561084186515,0,18.7,17.6,7.8,9.1,30.5,28.8,"Mariota, Marcus",NA,NA,NA,NA,NA
"WR","Stefon Diggs (7608988)","Stefon Diggs",7608988,6000,"Min@Phi 01:00PM ET","Min","Stefon","Diggs","Phi",15.66,15.5,2,0.213414634146341,14.4880699710422,14.4882411758941,1,20.2,36.2,8,9.6,NA,NA,"Diggs, Stefon",25,35,1,1,2
"QB","Andy Dalton (7608809)","Andy Dalton",7608809,6000,"Cle@Cin 01:00PM ET","Cin","Andy","Dalton","Cle",19.07,20.7,NA,NA,18.7399633045872,18.6005243237823,0,21.3,22.3,11.2,14.6,22.2,21.9,"Dalton, Andy",NA,NA,NA,NA,NA
"TE","Jordan Reed (7609125)","Jordan Reed",7609125,6000,"Was@Det 01:00PM ET","Was","Jordan","Reed","Det",0,0,2,0.198275862068966,0,0,1,13.4,12,9.6,28.3,13.3,NA,"Reed, Jordan",35,46,2,1,2
"WR","Willie Snead (7608959)","Willie Snead",7608959,5900,"NO@KC 01:00PM ET","NO","Willie","Snead","KC",12,15.9,4,0.113122171945701,13.5203369523194,13.2126348349393,1,35.2,16.4,NA,3.3,NA,8.7,"Snead, Willie",19,25,2,3,3
"QB","Kirk Cousins (7608817)","Kirk Cousins",7608817,5900,"Was@Det 01:00PM ET","Was","Kirk","Cousins","Det",19.96,19.6,NA,NA,18.3724494013595,18.3846107318089,0,15,22.6,19.3,18.3,13.3,18.3,"Cousins, Kirk",NA,NA,NA,NA,NA
"QB","Jameis Winston (7608841)","Jameis Winston",7608841,5900,"TB@SF 04:05PM ET","TB","Jameis","Winston","SF",19.48,17.7,NA,NA,17.0717262621195,17.1929243561085,0,26.5,9.6,30.5,13.1,15.4,NA,"Winston, Jameis",NA,NA,NA,NA,NA
"RB","Devonta Freeman (7608932)","Devonta Freeman",7608932,5900,"SD@Atl 04:05PM ET","Atl","Devonta","Freeman","SD",15.25,16.2,5,0.104265402843602,14.7735600035109,14.6891035966561,1,8,9.3,34.7,14.4,21.3,8,"Freeman, Devonta",17,22,1,5,5
"RB","Spencer Ware (7608863)","Spencer Ware",7608863,5800,"NO@KC 01:00PM ET","KC","Spencer","Ware","NO",16.96,17.7,4,0.100529100529101,16.2398434440396,16.1701391577881,1,35.9,11.5,8.3,9.6,NA,27.3,"Ware, Spencer",14,19,0,4,4
"QB","Joe Flacco (7608831)","Joe Flacco",7608831,5800,"Bal@NYJ 01:00PM ET","Bal","Joe","Flacco","NYJ",18.56,20.2,NA,NA,18.2710088915081,18.1311978319364,0,13,21.2,13.8,23,13,15.3,"Flacco, Joe",NA,NA,NA,NA,NA
"WR","Mike Wallace (7609037)","Mike Wallace",7609037,5800,"Bal@NYJ 01:00PM ET","Bal","Mike","Wallace","NYJ",13.97,12.8,1,0.193181818181818,12.3069555524933,12.3857207592171,1,19.2,20.1,6.9,10.7,13.3,13.7,"Wallace, Mike",26,51,3,3,1
"TE","Jimmy Graham (7609177)","Jimmy Graham",7609177,5800,"Sea@Ari 08:30PM ET","Sea","Jimmy","Graham","Ari",14.68,12.2,2,0.203947368421053,12.1806186240609,12.359085330978,1,2.1,7.2,24,20.3,NA,14.9,"Graham, Jimmy",22,31,1,2,2
"RB","Jamaal Charles (7608858)","Jamaal Charles",7608858,5700,"NO@KC 01:00PM ET","KC","Jamaal","Charles","NO",6.57,8.1,10,0.0158730158730159,7.03851159974188,6.91636196331692,0,NA,NA,NA,0.7,NA,12.7,"Charles, Jamaal",2,3,0,9,4
"WR","DeSean Jackson (7609004)","DeSean Jackson",7609004,5700,"Was@Det 01:00PM ET","Was","DeSean","Jackson","Det",13.02,13.1,1,0.202586206896552,12.1737072402184,12.1575475237332,1,19.2,7,20.6,1.5,6.5,9.5,"Jackson, DeSean",22,47,1,4,3
"QB","Carson Palmer (7608852)","Carson Palmer",7608852,5700,"Sea@Ari 08:30PM ET","Ari","Carson","Palmer","Sea",17.33,15.9,NA,NA,15.2798351350042,15.3759067028154,0,18.9,27.3,7.5,13.5,NA,12.4,"Palmer, Carson",NA,NA,NA,NA,NA
"WR","Jordan Matthews (7608982)","Jordan Matthews",7608982,5600,"Min@Phi 01:00PM ET","Phi","Jordan","Matthews","Min",11.87,15.2,1,0.243421052631579,13.0565863159764,12.7926041573944,0,27.4,13.1,9.9,NA,10.5,10.5,"Matthews, Jordan",22,37,2,1,1
"RB","Carlos Hyde (7608926)","Carlos Hyde",7608926,5600,"TB@SF 04:05PM ET","SF","Carlos","Hyde","TB",0,0,5,0.0790960451977401,0,0,1,23.3,7.2,28.5,14.9,23.4,5.2,"Hyde, Carlos",13,14,0,3,4
"QB","Tyrod Taylor (7608827)","Tyrod Taylor",7608827,5500,"Buf@Mia 01:00PM ET","Buf","Tyrod","Taylor","Mia",19.04,17.2,NA,NA,16.6258797050982,16.7520085642159,0,5.5,25.4,17.4,16.6,15.8,21,"Taylor, Tyrod",NA,NA,NA,NA,NA
"WR","Steve Smith Sr. (7609034)","Steve Smith",7609034,5500,"Bal@NYJ 01:00PM ET","Bal","Steve","Smith","NYJ",0,0,3,0.147727272727273,0,0,1,6.9,9.4,16.7,28.1,5.9,NA,"Smith, Steve",27,39,1,2,2
"RB","Mark Ingram (7608861)","Mark Ingram",7608861,5400,"NO@KC 01:00PM ET","NO","Mark","Ingram","KC",15.3,15.8,6,0.0950226244343891,14.5495878741114,14.4995295543027,1,10.7,8.7,22.7,22.5,NA,8,"Ingram, Mark",17,21,1,5,5
"TE","Travis Kelce (7609090)","Travis Kelce",7609090,5300,"NO@KC 01:00PM ET","KC","Travis","Kelce","NO",17.85,14.7,2,0.169312169312169,14.7300602716824,14.9573554183657,1,13.4,8.4,20.9,13.3,NA,6.2,"Kelce, Travis",25,32,2,1,1
"WR","Donte Moncrief (7608977)","Donte Moncrief",7608977,5300,"Ind@Ten 01:00PM ET","Ind","Donte","Moncrief","Ten",0,0,8,0.040983606557377,0,0,0,18.4,1.9,NA,NA,NA,NA,"Moncrief, Donte",7,10,1,9,4
"QB","Colin Kaepernick (7608836)","Colin Kaepernick",7608836,5300,"TB@SF 04:05PM ET","SF","Colin","Kaepernick","TB",17.27,15.7,NA,NA,15.1397895308057,15.2466209745525,0,NA,NA,NA,NA,NA,18.1,"Kaepernick, Colin",NA,NA,NA,NA,NA
"QB","Carson Wentz (7608807)","Carson Wentz",7608807,5200,"Min@Phi 01:00PM ET","Phi","Carson","Wentz","Min",15.08,15.4,NA,NA,14.2364854427747,14.2003713835578,0,19.2,12.6,24,NA,17.9,7.4,"Wentz, Carson",NA,NA,NA,NA,NA
"RB","Theo Riddick (7608891)","Theo Riddick",7608891,5200,"Was@Det 01:00PM ET","Det","Theo","Riddick","Was",0,0,4,0.150684931506849,0,0,1,27.8,10.5,11.8,9.8,26.2,NA,"Riddick, Theo",27,33,3,3,3
"QB","Sam Bradford (7608806)","Sam Bradford",7608806,5100,"Min@Phi 01:00PM ET","Min","Sam","Bradford","Phi",15.27,14.1,13,0,13.5176541085346,13.5954170923195,0,NA,NA,NA,NA,NA,NA,"Bradford, Sam",0,0,0,12,5
"QB","Ryan Tannehill (7608826)","Ryan Tannehill",7608826,5100,"Buf@Mia 01:00PM ET","Mia","Ryan","Tannehill","Buf",16.11,16.3,NA,NA,15.1175759560095,15.0906161888057,0,15.1,28.1,25,9.6,5.6,10.4,"Tannehill, Ryan",NA,NA,NA,NA,NA
"QB","Ryan Fitzpatrick (7608830)","Ryan Fitzpatrick",7608830,5100,"Bal@NYJ 01:00PM ET","NYJ","Ryan","Fitzpatrick","Bal",0,0,NA,NA,0,0,0,16.1,24.1,3.7,11.9,15.1,6.2,"Fitzpatrick, Ryan",NA,NA,NA,NA,NA
"WR","Sammie Coates (7609075)","Sammie Coates",7609075,5100,"NE@Pit 04:25PM ET","Pit","Sammie","Coates","NE",10.03,7.6,2,0.140350877192982,7.88010273736799,8.05832802596784,0,7.6,12.3,8,13.8,34.9,NA,"Coates, Sammie",19,32,2,4,3
"QB","Luke McCown (7608796)","Luke McCown",7608796,5000,"NO@KC 01:00PM ET","NO","Luke","McCown","KC",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"McCown, Luke",NA,NA,NA,NA,NA
"QB","Nick Foles (7608797)","Nick Foles",7608797,5000,"NO@KC 01:00PM ET","KC","Nick","Foles","NO",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Foles, Nick",NA,NA,NA,NA,NA
"QB","Tyler Bray (7608798)","Tyler Bray",7608798,5000,"NO@KC 01:00PM ET","KC","Tyler","Bray","NO",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Bray, Tyler",NA,NA,NA,NA,NA
"QB","Joe Callahan (7608799)","Joe Callahan",7608799,5000,"NO@KC 01:00PM ET","NO","Joe","Callahan","KC",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Callahan, Joe",NA,NA,NA,NA,NA
"QB","Matt Cassel (7608800)","Matt Cassel",7608800,5000,"Ind@Ten 01:00PM ET","Ten","Matt","Cassel","Ind",0,0,NA,NA,0,0,0,NA,-0.1,NA,NA,NA,NA,"Cassel, Matt",NA,NA,NA,NA,NA
"QB","Scott Tolzien (7608801)","Scott Tolzien",7608801,5000,"Ind@Ten 01:00PM ET","Ind","Scott","Tolzien","Ten",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Tolzien, Scott",NA,NA,NA,NA,NA
"QB","Shaun Hill (7608804)","Shaun Hill",7608804,5000,"Min@Phi 01:00PM ET","Min","Shaun","Hill","Phi",0,0,NA,NA,0,0,0,10.2,NA,NA,NA,NA,NA,"Hill, Shaun",NA,NA,NA,NA,NA
"QB","Chase Daniel (7608805)","Chase Daniel",7608805,5000,"Min@Phi 01:00PM ET","Phi","Chase","Daniel","Min",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Daniel, Chase",NA,NA,NA,NA,NA
"QB","Josh McCown (7608808)","Josh McCown",7608808,5000,"Cle@Cin 01:00PM ET","Cle","Josh","McCown","Cin",0,0,NA,NA,0,0,0,NA,16.4,NA,NA,NA,NA,"McCown, Josh",NA,NA,NA,NA,NA
"QB","AJ McCarron (7608810)","AJ McCarron",7608810,5000,"Cle@Cin 01:00PM ET","Cin","AJ","McCarron","Cle",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"McCarron, AJ",NA,NA,NA,NA,NA
"QB","Cody Kessler (7608811)","Cody Kessler",7608811,5000,"Cle@Cin 01:00PM ET","Cle","Cody","Kessler","Cin",13.36,14.3,NA,NA,13.0073786208215,12.9251445504668,0,NA,NA,10.7,12.1,6.5,24.7,"Kessler, Cody",NA,NA,NA,NA,NA
"QB","Jeff Driskel (7608812)","Jeff Driskel",7608812,5000,"Cle@Cin 01:00PM ET","Cin","Jeff","Driskel","Cle",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Driskel, Jeff",NA,NA,NA,NA,NA
"QB","Kevin Hogan (7608813)","Kevin Hogan",7608813,5000,"Cle@Cin 01:00PM ET","Cle","Kevin","Hogan","Cin",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Hogan, Kevin",NA,NA,NA,NA,NA
"QB","Dan Orlovsky (7608814)","Dan Orlovsky",7608814,5000,"Was@Det 01:00PM ET","Det","Dan","Orlovsky","Was",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Orlovsky, Dan",NA,NA,NA,NA,NA
"QB","Colt McCoy (7608815)","Colt McCoy",7608815,5000,"Was@Det 01:00PM ET","Was","Colt","McCoy","Det",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"McCoy, Colt",NA,NA,NA,NA,NA
"QB","Nate Sudfeld (7608818)","Nate Sudfeld",7608818,5000,"Was@Det 01:00PM ET","Was","Nate","Sudfeld","Det",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Sudfeld, Nate",NA,NA,NA,NA,NA
"QB","Chad Henne (7608819)","Chad Henne",7608819,5000,"Oak@Jax 01:00PM ET","Jax","Chad","Henne","Oak",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Henne, Chad",NA,NA,NA,NA,NA
"QB","Matt McGloin (7608820)","Matt McGloin",7608820,5000,"Oak@Jax 01:00PM ET","Oak","Matt","McGloin","Jax",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"McGloin, Matt",NA,NA,NA,NA,NA
"QB","Brandon Allen (7608823)","Brandon Allen",7608823,5000,"Oak@Jax 01:00PM ET","Jax","Brandon","Allen","Oak",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Allen, Brandon",NA,NA,NA,NA,NA
"QB","Connor Cook (7608824)","Connor Cook",7608824,5000,"Oak@Jax 01:00PM ET","Oak","Connor","Cook","Jax",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Cook, Connor",NA,NA,NA,NA,NA
"WR","Allen Hurns (7609016)","Allen Hurns",7609016,5000,"Oak@Jax 01:00PM ET","Jax","Allen","Hurns","Oak",11.72,14,2,0.190954773869347,12.2856362589587,12.102121887677,0,11.5,11.4,8,12.7,NA,12.4,"Hurns, Allen",20,38,1,3,2
"QB","Matt Moore (7608825)","Matt Moore",7608825,5000,"Buf@Mia 01:00PM ET","Mia","Matt","Moore","Buf",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Moore, Matt",NA,NA,NA,NA,NA
"QB","EJ Manuel (7608828)","EJ Manuel",7608828,5000,"Buf@Mia 01:00PM ET","Buf","EJ","Manuel","Mia",0,0,NA,NA,0,0,0,NA,0.6,NA,NA,NA,1.1,"Manuel, EJ",NA,NA,NA,NA,NA
"QB","Cardale Jones (7608829)","Cardale Jones",7608829,5000,"Buf@Mia 01:00PM ET","Buf","Cardale","Jones","Mia",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Jones, Cardale",NA,NA,NA,NA,NA
"QB","Ryan Mallett (7608832)","Ryan Mallett",7608832,5000,"Bal@NYJ 01:00PM ET","Bal","Ryan","Mallett","NYJ",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Mallett, Ryan",NA,NA,NA,NA,NA
"QB","Bryce Petty (7608833)","Bryce Petty",7608833,5000,"Bal@NYJ 01:00PM ET","NYJ","Bryce","Petty","Bal",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Petty, Bryce",NA,NA,NA,NA,NA
"QB","Geno Smith (7608834)","Geno Smith",7608834,5000,"Bal@NYJ 01:00PM ET","NYJ","Geno","Smith","Bal",13.59,13.8,NA,NA,12.782707257496,12.756159743842,0,NA,NA,NA,NA,NA,0.4,"Smith, Geno",NA,NA,NA,NA,NA
"QB","Christian Hackenberg (7608835)","Christian Hackenberg",7608835,5000,"Bal@NYJ 01:00PM ET","NYJ","Christian","Hackenberg","Bal",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Hackenberg, Christian",NA,NA,NA,NA,NA
"RB","Matt Forte (7608916)","Matt Forte",7608916,5000,"Bal@NYJ 01:00PM ET","NYJ","Matt","Forte","Bal",12.38,11.7,4,0.092511013215859,11.1207633203616,11.1632566546109,1,20.5,33.9,8.4,6.3,8,3.2,"Forte, Matt",14,21,0,4,5
"QB","Christian Ponder (7608837)","Christian Ponder",7608837,5000,"TB@SF 04:05PM ET","SF","Christian","Ponder","TB",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Ponder, Christian",NA,NA,NA,NA,NA
"QB","Blaine Gabbert (7608838)","Blaine Gabbert",7608838,5000,"TB@SF 04:05PM ET","SF","Blaine","Gabbert","TB",0,1.6,12,0.00564971751412429,0.961910963477542,0.839469597851745,0,14.5,22.7,6,13.5,21.5,NA,"Gabbert, Blaine",1,1,0,11,4
"QB","Mike Glennon (7608839)","Mike Glennon",7608839,5000,"TB@SF 04:05PM ET","TB","Mike","Glennon","SF",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Glennon, Mike",NA,NA,NA,NA,NA
"QB","Ryan Griffin (7608840)","Ryan Griffin",7608840,5000,"TB@SF 04:05PM ET","TB","Ryan","Griffin","SF",0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"Griffin, Ryan",NA,NA,NA,NA,NA
