"Unique.ID","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16","Week17","FullName","Team","Pos","mean"
"Demaryius Thomas@DEN@WR",8.8,16,24,21.4,15.9,7.5,16,12.9,10.6,22.7,NA,11,12.1,25.6,16.1,5,8.7,"Demaryius Thomas","DEN","WR",14.64375
"Devonta Freeman@ATL@RB",8,9.3,34.7,14.4,21.3,8,15,21.8,12.5,11.1,NA,21.7,26.5,3.8,37.5,16.8,28.7,"Devonta Freeman","ATL","RB",18.19375
"Tyrod Taylor@BUF@QB",5.5,25.4,17.4,16.6,15.8,21,24.3,18.1,26.9,NA,9.5,20.4,14.6,16.3,15.9,34.2,NA,"Tyrod Taylor","BUF","QB",18.7933333333333
"Sammy Watkins@BUF@WR",8.3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6.8,15.4,2,31.4,7.1,"Sammy Watkins","BUF","WR",10.75
"Tony Romo@DAL@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,"Tony Romo","DAL","QB",5.2
"Andy Dalton@CIN@QB",21.3,22.3,11.2,14.6,22.2,21.9,23.3,21.5,NA,12.7,17.3,14.7,25.2,16.9,11.4,13.7,13.4,"Andy Dalton","CIN","QB",17.725
"Josh Gordon@CLE@WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Josh Gordon","CLE","WR",NA
"Eddie Lacy@GB@RB",8.8,5,14.5,NA,9.4,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eddie Lacy","GB","RB",9.16
"Joe Flacco@BAL@QB",13,21.2,13.8,23,13,15.3,7.5,NA,15.8,24.1,15.4,14.3,33.2,23.1,14.1,15.5,9.7,"Joe Flacco","BAL","QB",17
"Jordan Matthews@PHI@WR",27.4,13.1,9.9,NA,10.5,10.5,4,23.5,14.8,13.3,10.9,8.7,NA,15.9,8.7,3.2,NA,"Jordan Matthews","PHI","WR",12.4571428571429
"Eric Decker@NYJ@WR",11.7,27.6,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eric Decker","NYJ","WR",14.4666666666667
"Jordan Reed@WAS@TE",13.4,12,9.6,28.3,13.3,NA,NA,24.9,NA,6.1,12.9,31.5,NA,2,1.6,NA,14,"Jordan Reed","WAS","TE",14.1333333333333
"Doug Baldwin@SEA@WR",24.2,5,33,9.4,NA,7.1,12.9,9.1,14.9,29.9,22,10.4,13.5,10.6,14.5,39.7,6.4,"Doug Baldwin","SEA","WR",16.4125
"Mark Ingram@NO@RB",10.7,8.7,22.7,22.5,NA,8,17.2,-0.5,34.1,8.3,10.5,32.7,10.3,3.3,11.2,25.3,28.2,"Mark Ingram","NO","RB",15.825
"Jameis Winston@TB@QB",26.5,9.6,30.5,13.1,15.4,NA,21.7,18.8,22.8,22.5,21.4,17,16.3,9,14.5,18.5,11.9,"Jameis Winston","TB","QB",18.09375
"Alex Smith@KC@QB",32,5.6,13.2,18.7,NA,8.9,17.3,10,NA,9.4,20.4,15,13.5,14.2,12.6,23.4,25.7,"Alex Smith","KC","QB",15.9933333333333
"Ryan Fitzpatrick@NYJ@QB",16.1,24.1,3.7,11.9,15.1,6.2,8.7,14.4,12.3,NA,NA,17.9,2.5,NA,1.3,3.7,16.4,"Ryan Fitzpatrick","NYJ","QB",11.0214285714286
"Jeremy Maclin@KC@WR",17.2,12.8,7.5,12.8,NA,7.9,8,13.3,NA,NA,NA,NA,NA,2.6,14.2,3.9,9.3,"Jeremy Maclin","KC","WR",9.95454545454546
"Sam Bradford@PHI@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam Bradford","PHI","QB",NA
"LeSean McCoy@BUF@RB",17,13,29.6,22.8,20.8,37.2,1.1,NA,16,NA,12.5,32.4,29.1,22.8,34.9,28.5,2.6,"LeSean McCoy","BUF","RB",21.3533333333333
"Marcus Mariota@TEN@QB",18.7,17.6,7.8,9.1,30.5,28.8,17.7,19.9,31.9,28.6,22.5,21.6,NA,7.3,7.4,8.3,NA,"Marcus Mariota","TEN","QB",18.5133333333333
"Jay Cutler@CHI@QB",12.8,4.3,NA,NA,NA,NA,NA,14.3,NA,9,13.4,NA,NA,NA,NA,NA,NA,"Jay Cutler","CHI","QB",10.76
"Brock Osweiler@HOU@QB",17.6,12.4,8.1,17.6,10.4,17.4,5.8,10.1,NA,14.3,15,15.1,17.3,4.7,-0.1,NA,20.2,"Brock Osweiler","HOU","QB",12.3933333333333
"Larry Fitzgerald@ARI@WR",28.1,20.1,13,11.3,26.1,10.9,16,17.4,NA,28.3,12.3,9.3,17.8,4.2,11.7,7.1,15.3,"Larry Fitzgerald","ARI","WR",15.55625
"Doug Martin@TB@RB",14.6,2.3,NA,NA,NA,NA,NA,NA,NA,11.6,13.5,10,13.8,16.5,4.2,NA,NA,"Doug Martin","TB","RB",10.8125
"Jimmy Garoppolo@NE@QB",16.1,21.4,NA,NA,-0.3,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jimmy Garoppolo","NE","QB",9.275
"DeSean Jackson@WAS@WR",19.2,7,20.6,1.5,6.5,9.5,8.5,7.8,NA,NA,15.1,24.8,6.9,22.2,21.1,19.4,5.4,"DeSean Jackson","WAS","WR",13.0333333333333
"Matt Forte@NYJ@RB",20.5,33.9,8.4,6.3,8,3.2,33.4,23.8,16.7,12.9,NA,8,10.9,0.8,3.8,NA,NA,"Matt Forte","NYJ","RB",13.6142857142857
"Julian Edelman@NE@WR",15.2,14.6,9.2,2.7,8.5,7.8,14,13.7,NA,15.9,22.9,16.3,21.1,14.3,13.5,13.9,34.7,"Julian Edelman","NE","WR",14.89375
"Thomas Rawls@SEA@RB",8.8,3.8,NA,NA,NA,NA,NA,NA,NA,NA,11.8,3.8,27.8,8.4,5.9,0.8,7.4,"Thomas Rawls","SEA","RB",8.72222222222222
"Jarvis Landry@MIA@WR",12.9,25.7,29.6,13.1,6,16.1,14.8,NA,6.3,11.3,13.8,8.7,19.6,16.3,22.8,5.9,22.6,"Jarvis Landry","MIA","WR",15.34375
"Teddy Bridgewater@MIN@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Teddy Bridgewater","MIN","QB",NA
"Donte Moncrief@IND@WR",18.4,1.9,NA,NA,NA,NA,NA,14,14.5,NA,13.7,16.5,12.6,NA,NA,11,NA,"Donte Moncrief","IND","WR",12.825
"C.J. Anderson@DEN@RB",29.9,18.3,5.1,12.2,9.2,11.1,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C.J. Anderson","DEN","RB",15.0714285714286
"Ryan Tannehill@MIA@QB",15.1,28.1,25,9.6,5.6,10.4,16.3,NA,9.7,19.2,15.8,26.8,10,19.8,NA,NA,NA,"Ryan Tannehill","MIA","QB",16.2615384615385
"Michael Floyd@ARI@WR",9.1,8.8,10.5,12.6,NA,10.2,11.5,NA,NA,18.1,4.1,5.1,10.8,3.8,NA,NA,NA,"Michael Floyd","ARI","WR",9.50909090909091
"Arian Foster@MIA@RB",13,0.9,NA,NA,NA,3.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arian Foster","MIA","RB",4.825
"Allen Hurns@JAX@WR",11.5,11.4,8,12.7,NA,12.4,8.5,22.8,NA,3.3,1.9,8.2,NA,NA,NA,NA,NA,"Allen Hurns","JAX","WR",10.07
"Ryan Mathews@PHI@RB",13.7,16.5,-0.5,NA,17.5,6,8.3,8.1,8.5,32.9,3.1,NA,NA,6,25.3,7.2,NA,"Ryan Mathews","PHI","RB",11.7384615384615
"Dion Lewis@NE@RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,9.8,7.8,2.9,12.4,6.7,7.2,"Dion Lewis","NE","RB",7.81428571428571
"Emmanuel Sanders@DEN@WR",9.9,6.9,35.7,22.8,15,8,12.6,10.8,9.7,10.4,NA,32.2,6.2,30,7.8,3.6,NA,"Emmanuel Sanders","DEN","WR",14.7733333333333
"Kelvin Benjamin@CAR@WR",21.1,32.8,NA,12.9,12,16.6,NA,9.3,12.6,14.4,8.6,13.3,3.8,2.1,4,16.3,21.3,"Kelvin Benjamin","CAR","WR",13.4066666666667
"Robert Griffin@CLE@QB",10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,18.6,10.8,18.5,"Robert Griffin","CLE","QB",14.1
"Latavius Murray@OAK@RB",14.2,22.1,10.8,4.4,NA,NA,20.3,12.1,34.7,NA,14.2,17.8,25.5,19.3,9.2,7.1,3.5,"Latavius Murray","OAK","RB",15.3714285714286
"Carlos Hyde@SF@RB",23.3,7.2,28.5,14.9,23.4,5.2,NA,NA,NA,1.4,14,20.5,10.8,30,7.7,14.2,NA,"Carlos Hyde","SF","RB",15.4692307692308
"Frank Gore@IND@RB",11.8,15.3,15.3,20.5,8.9,14.8,19.3,14.2,21.1,NA,16.1,4.1,7.9,15.4,18.5,8.5,9.6,"Frank Gore","IND","RB",13.83125
"Michael Crabtree@OAK@WR",17.7,13.1,21.2,33.8,13.7,3,23.6,21.8,4.7,NA,3.5,22,20.4,6.1,18,16,9.7,"Michael Crabtree","OAK","WR",15.51875
"Case Keenum@LA@QB",4.2,10.1,14.7,19,8.8,33.5,11.9,NA,14.8,7.7,NA,NA,NA,NA,1.3,NA,NA,"Case Keenum","LA","QB",12.6
"Rashad Jennings@NYG@RB",8.8,6,NA,NA,NA,7.5,12.9,NA,6.9,13.9,23.9,7.9,17.3,7.7,3.8,9.1,12.7,"Rashad Jennings","NYG","RB",10.6461538461538
"Markus Wheaton@PIT@WR",NA,NA,1.2,12,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Markus Wheaton","PIT","WR",5.7
"DeMarco Murray@TEN@RB",23.7,21.5,29.5,25.9,21.7,12.5,24.7,22.8,21,31,16.9,13.4,NA,15.2,19.1,8,2.9,"DeMarco Murray","TEN","RB",19.3625
"DeVante Parker@MIA@WR",NA,21.6,14.1,4,9,7.8,5,NA,2.8,18.3,21.9,9.4,12.4,3.4,2.7,18.5,9.5,"DeVante Parker","MIA","WR",10.6933333333333
"Blaine Gabbert@SF@QB",14.5,22.7,6,13.5,21.5,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,"Blaine Gabbert","SF","QB",13.2833333333333
"Trevor Siemian@DEN@QB",11.1,12.3,32,6.7,NA,13.3,10.2,8.8,17.3,16.8,NA,32,NA,20.4,10.7,6.3,14.7,"Trevor Siemian","DEN","QB",15.1857142857143
"John Brown@ARI@WR",1.8,2.4,13,27.4,2.1,10.4,NA,14.9,NA,6,NA,2.9,NA,NA,19.1,2.2,4.5,"John Brown","ARI","WR",8.89166666666667
"Kevin White@CHI@WR",6.4,8.5,12.2,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kevin White","CHI","WR",9.65
"Mohamed Sanu@ATL@WR",21,4.9,6.1,4.2,6.3,15.7,3.6,23.4,12.4,3.4,NA,15,4.6,NA,7.4,8.6,13.2,"Mohamed Sanu","ATL","WR",9.98666666666667
"Duke Johnson@CLE@RB",8,9.6,13.1,13.4,4.2,17.4,7.3,17.6,6.6,6.1,8.6,7,NA,5.5,14.3,6.9,0.4,"Duke Johnson","CLE","RB",9.125
"Corey Coleman@CLE@WR",8.9,30.4,NA,NA,NA,NA,NA,NA,7.1,4.7,7.9,12.8,NA,5.7,5.4,3.5,9.9,"Corey Coleman","CLE","WR",9.63
"Jonathan Stewart@CAR@RB",6.4,3.6,NA,NA,NA,20.5,NA,24,4.2,3.9,10.9,21.6,5.3,12.6,18,6.2,14.2,"Jonathan Stewart","CAR","RB",11.6461538461538
"Greg Olsen@CAR@TE",14.3,26.2,12.4,21.6,30.1,15.4,NA,2.1,16.2,8.9,7.3,8.5,6,12.7,14.5,11.9,5.2,"Greg Olsen","CAR","TE",13.33125
"Travis Kelce@KC@TE",13.4,8.4,20.9,13.3,NA,6.2,4.4,26.1,10.8,8.1,20.3,21.1,25,18.1,7.1,36,1.8,"Travis Kelce","KC","TE",15.0625
"EJ Manuel@BUF@QB",NA,0.6,NA,NA,NA,1.1,NA,3.4,NA,NA,NA,NA,NA,NA,0.1,NA,3.2,"EJ Manuel","BUF","QB",1.68
"Sean Renfree@ATL@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sean Renfree","ATL","QB",NA
"Mike Glennon@TB@QB",NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,"Mike Glennon","TB","QB",9
"Ryan Nassib@NYG@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ryan Nassib","NYG","QB",NA
"Josh McCown@CLE@QB",NA,16.4,NA,NA,NA,NA,NA,25.6,NA,-0.6,8.8,17.9,NA,NA,NA,NA,NA,"Josh McCown","CLE","QB",13.62
"Zac Dysert@MIA@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zac Dysert","MIA","QB",NA
"Matt McGloin@OAK@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.8,"Matt McGloin","OAK","QB",0.85
"Matt Barkley@ARI@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Matt Barkley","ARI","QB",NA
"Aaron Murray@KC@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aaron Murray","KC","QB",NA
"Bryce Petty@NYJ@QB",NA,NA,NA,NA,NA,NA,NA,NA,0.8,9.5,NA,NA,7.4,13.2,10.4,-1,NA,"Bryce Petty","NYJ","QB",6.71666666666667
"Logan Thomas@NYG@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Logan Thomas","NYG","QB",NA
"AJ McCarron@CIN@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AJ McCarron","CIN","QB",NA
"Tom Savage@HOU@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,8.1,0.1,"Tom Savage","HOU","QB",6.2
"David Fales@CHI@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,"David Fales","CHI","QB",0.9
"Geno Smith@NYJ@QB",NA,NA,NA,NA,NA,0.4,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geno Smith","NYJ","QB",4.45
"Stephen Morris@IND@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephen Morris","IND","QB",NA
"Jake Heaps@SEA@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jake Heaps","SEA","QB",NA
"Garrett Grayson@NO@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Garrett Grayson","NO","QB",NA
"Keith Wenning@CIN@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Keith Wenning","CIN","QB",NA
"Tyler Bray@KC@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tyler Bray","KC","QB",NA
"Connor Shaw@CHI@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Connor Shaw","CHI","QB",NA
"Jameill Showers@DAL@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jameill Showers","DAL","QB",NA
"Brandon Doughty@MIA@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brandon Doughty","MIA","QB",NA
"Brett Hundley@GB@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,-0.6,NA,NA,-0.2,NA,NA,NA,"Brett Hundley","GB","QB",-0.166666666666667
"Dak Prescott@DAL@QB",10.3,18.3,23.5,18.1,18.5,20.5,NA,28.3,23.9,22.8,28.6,21.7,12.3,8.7,19.2,24,2.4,"Dak Prescott","DAL","QB",18.81875
"Cody Kessler@CLE@QB",NA,NA,10.7,12.1,6.5,24.7,3.1,NA,13.2,7.9,4.3,NA,NA,NA,NA,0.4,NA,"Cody Kessler","CLE","QB",9.21111111111111
"Mike Bercovici@SD@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mike Bercovici","SD","QB",NA
"Marquise Williams@GB@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marquise Williams","GB","QB",NA
"Joel Stave@MIN@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Joel Stave","MIN","QB",NA
"Kevin Hogan@KC@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kevin Hogan","KC","QB",NA
"Taylor Heinicke@MIN@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taylor Heinicke","MIN","QB",NA
"Trevone Boykin@SEA@QB",NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,-0.5,NA,1.6,NA,NA,NA,2.4,"Trevone Boykin","SEA","QB",2.225
"Brandon Allen@JAX@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brandon Allen","JAX","QB",NA
"Tyler Lockett@SEA@WR",4.7,13.9,NA,2.3,NA,5.5,3.3,7.2,4,10.2,5.9,0.9,24.8,9.6,29,5.8,NA,"Tyler Lockett","SEA","WR",9.07857142857143
"Jake Coker@ARI@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jake Coker","ARI","QB",NA
"Connor Cook@OAK@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Connor Cook","OAK","QB",8
"Jacoby Brissett@NE@QB",NA,4.9,14.9,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jacoby Brissett","NE","QB",9.76666666666667
"Joe Licata@CIN@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Joe Licata","CIN","QB",NA
"Jake Rudock@DET@QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jake Rudock","DET","QB",NA
"Carson Wentz@PHI@QB",19.2,12.6,24,NA,17.9,7.4,9.1,11.8,15.2,9.2,16.9,18.5,19.6,18.1,12.6,11.8,19.1,"Carson Wentz","PHI","QB",15.1875
